,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),-1.74E+00,1.354,,-1.288,0.205,-4.483,0.994,,,,,
GDPpc (2017),-4.01E-06,0,-0.652,-4.109,<.001,0,0,-0.091,-0.55,-0.333,0.261,3.835
GAP**,0.647,0.139,0.875,4.664,<.001**,0.366,0.927,-0.085,0.598,0.378,0.187,5.36
GICP**,0.683,0.08,1.18,8.546,<.001**,0.521,0.845,0.53,0.807,0.692,0.344,2.905
GIGCP**,0.2,0.047,0.48,4.232,<.001**,0.104,0.296,0.066,0.561,0.343,0.511,1.957
GFOP**,-1.60E-01,0.073,-0.25,-2.199,0.034**,-0.306,-0.013,-0.17,-0.332,-0.178,0.507,1.972
GGEP,-1.40E-02,0.089,-0.02,-0.155,0.878,-0.193,0.165,0.151,-0.025,-0.013,0.389,2.57
GHOP*,0.113,0.058,0.244,1.955,0.058*,-0.004,0.229,-0.01,0.299,0.158,0.422,2.368
GPOP,-0.141,0.097,-0.195,-1.454,0.154,-0.338,0.055,-0.316,-0.227,-0.118,0.364,2.746
GPDP,-0.138,0.125,-0.131,-1.1,0.278,-0.392,0.116,-0.073,-0.174,-0.089,0.46,2.172
GUAP,0.037,0.09,0.071,0.408,0.686,-0.145,0.218,-0.087,0.065,0.033,0.216,4.631
