,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),6.31E+00,1.894,,3.332,0.002,2.48,10.143,,,,,
GDPpc (2017),2.29E-06,0,0.332,1.683,0.1,0,0,0.42,0.26,0.196,0.349,2.862
GAP,0.101,0.119,0.161,0.849,0.401,-0.14,0.343,0.304,0.135,0.099,0.38,2.63
GICP,0.119,0.197,0.152,0.605,0.548,-0.279,0.517,0.17,0.096,0.071,0.215,4.641
GIGCP*,0.139,0.073,0.326,1.889,0.066*,-0.01,0.287,-0.159,0.29,0.22,0.457,2.19
GFOP**,-2.93E-01,0.115,-0.416,-2.55,0.015**,-0.526,-0.061,-0.064,-0.378,-0.297,0.51,1.961
GGEP,8.00E-03,0.128,0.01,0.061,0.952,-0.252,0.267,0.419,0.01,0.007,0.479,2.086
GHOP,-0.082,0.086,-0.16,-0.944,0.351,-0.256,0.093,-0.131,-0.149,-0.11,0.472,2.12
GPOP,-0.224,0.143,-0.281,-1.56,0.127,-0.514,0.066,-0.052,-0.242,-0.182,0.418,2.393
GPDP**,-0.564,0.177,-0.509,-3.188,0.003**,-0.923,-0.206,-0.438,-0.455,-0.372,0.532,1.878
GUAP,0.069,0.139,0.115,0.496,0.623,-0.212,0.35,0.159,0.079,0.058,0.251,3.979
