,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),-5.32E+00,4.426,,-1.201,0.237,-14.268,3.636,,,,,
GDPpc (2017),2.84E-06,0,0.114,0.839,0.406,0,0,0.174,0.133,0.057,0.248,4.025
GAV**,-0.366,0.135,-0.381,-2.714,0.01**,-0.639,-0.093,-0.736,-0.399,-0.183,0.231,4.331
GICV,-0.333,0.354,-0.1,-0.941,0.353,-1.05,0.383,0.457,-0.149,-0.063,0.403,2.48
GIGCV,0.021,0.258,0.009,0.08,0.937,-0.501,0.542,0.184,0.013,0.005,0.339,2.947
GFOV,-4.11E-01,0.282,-0.182,-1.456,0.153,-0.983,0.16,0.382,-0.227,-0.098,0.293,3.414
GGEV,-4.59E-01,0.292,-0.212,-1.572,0.124,-1.048,0.131,-0.285,-0.244,-0.106,0.251,3.988
GHOV**,1.311,0.335,0.451,3.916,<.001**,0.634,1.988,0.809,0.531,0.264,0.343,2.913
GPOV**,1.22,0.519,0.262,2.349,0.024**,0.169,2.27,0.33,0.352,0.158,0.365,2.738
GPDV,-0.151,0.421,-0.043,-0.36,0.721,-1.003,0.7,0.226,-0.057,-0.024,0.32,3.12
GUAV,0.344,0.222,0.243,1.553,0.128,-0.104,0.793,0.548,0.241,0.105,0.185,5.396
