,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),4.20E+00,2.894,,1.45,0.155,-1.667,10.061,,,,,
GDPpc (2017),-1.13E-06,0,-0.199,-0.533,0.597,0,0,-0.371,-0.087,-0.067,0.113,8.817
GAP,0.215,0.159,0.485,1.351,0.185,-0.107,0.538,-0.153,0.217,0.17,0.123,8.11
GICP,0.308,0.26,0.306,1.186,0.243,-0.218,0.834,-0.073,0.191,0.149,0.239,4.189
GIGCP,0.072,0.085,0.347,0.847,0.403,-0.1,0.245,0.423,0.138,0.107,0.094,10.588
GFOP,1.62E-01,0.162,0.173,0.995,0.326,-0.167,0.491,-0.126,0.162,0.125,0.527,1.898
GGEP,-3.80E-02,0.195,-0.051,-0.193,0.848,-0.433,0.357,-0.269,-0.032,-0.024,0.225,4.445
GHOP,0.028,0.133,0.044,0.208,0.836,-0.242,0.298,0.069,0.034,0.026,0.353,2.835
GPOP**,-0.451,0.182,-0.716,-2.473,0.018**,-0.821,-0.081,-0.552,-0.377,-0.311,0.189,5.28
GPDP,-0.233,0.279,-0.29,-0.835,0.409,-0.799,0.332,0.373,-0.136,-0.105,0.132,7.592
GUAP,-0.048,0.164,-0.055,-0.29,0.773,-0.381,0.285,-0.12,-0.048,-0.037,0.44,2.274
