,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),1.06E+00,1.388,,0.761,0.451,-1.749,3.86,,,,,
GDPpc (2017),-8.22E-07,0,-0.138,-0.774,0.443,0,0,-0.588,-0.122,-0.049,0.128,7.794
GAP**,0.314,0.083,0.715,3.805,<.001**,0.147,0.481,-0.6,0.515,0.243,0.115,8.66
GICP**,0.455,0.139,0.436,3.284,0.002**,0.175,0.735,0.322,0.461,0.21,0.232,4.31
GIGCP**,0.241,0.04,1.148,5.975,<.001**,0.16,0.323,0.781,0.687,0.382,0.111,9.049
GFOP,-3.60E-02,0.079,-0.039,-0.45,0.655,-0.196,0.125,-0.229,-0.071,-0.029,0.549,1.822
GGEP,-1.34E-01,0.095,-0.183,-1.414,0.165,-0.326,0.058,-0.526,-0.218,-0.09,0.244,4.097
GHOP,0.036,0.07,0.055,0.522,0.605,-0.105,0.177,0.357,0.082,0.033,0.369,2.711
GPOP**,-0.245,0.085,-0.353,-2.87,0.007**,-0.418,-0.072,-0.621,-0.413,-0.183,0.27,3.707
GPDP**,-0.305,0.126,-0.376,-2.412,0.021**,-0.561,-0.049,0.541,-0.356,-0.154,0.168,5.958
GUAP,0.134,0.085,0.162,1.564,0.126,-0.039,0.306,0.042,0.24,0.1,0.381,2.622
