,UB,C std E,S CoB,t,Sig,-95% CI,I95% CI,Zo,CP,Part,CT,Stats
(Constant),-2.69E+00,1.638,,-1.641,0.109,-6.002,0.625,,,,,
GDPpc (2017),-2.56E-06,0,-0.415,-2.27,0.029,0,0,0.108,-0.342,-0.222,0.285,3.507
GAP**,0.559,0.098,0.923,5.723,<.001**,0.361,0.756,0.554,0.676,0.558,0.366,2.733
GICP**,0.383,0.161,0.506,2.373,0.023**,0.056,0.709,0.047,0.355,0.232,0.21,4.772
GIGCP**,0.191,0.058,0.497,3.274,0.002**,0.073,0.309,0.016,0.464,0.319,0.413,2.421
GFOP,1.28E-01,0.093,0.169,1.379,0.176,-0.06,0.315,0.319,0.216,0.135,0.637,1.569
GGEP,7.20E-02,0.107,0.099,0.669,0.507,-0.145,0.289,0.253,0.107,0.065,0.437,2.286
GHOP,0.096,0.077,0.193,1.254,0.217,-0.059,0.251,-0.197,0.197,0.122,0.402,2.489
GPOP,-0.105,0.113,-0.133,-0.929,0.359,-0.333,0.123,-0.092,-0.147,-0.091,0.465,2.15
GPDP,-0.036,0.141,-0.034,-0.255,0.8,-0.321,0.249,-0.254,-0.041,-0.025,0.523,1.911
GUAP,0.183,0.119,0.302,1.535,0.133,-0.058,0.424,0.229,0.239,0.15,0.246,4.065
