Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,220,-1_minister health_ministry health_covid19 pandemic_public health,"[('minister health', 0.0064036120568522785), ('ministry health', 0.0058094400172141), ('covid19 pandemic', 0.0045249589494314344), ('public health', 0.004455860573872487), ('ilir meta', 0.004173404499957464), ('president ilir', 0.004173404499957464), ('president ilir meta', 0.004173404499957464), ('health minister', 0.003718933307516217), ('zemaj respecting', 0.0035919621685043296), ('anticovid19 measures', 0.0035919621685043296)]",negative,"['minister health', 'ministry health', 'covid pandemic', 'public health', 'ilir meta', 'president ilir', 'president ilir meta', 'health minister', 'zemaj respecting', 'anticovid measures ']"
1,0,117,0_kosovo health_kosovo last_new cases_ministry health,"[('kosovo health', 0.007369897141149647), ('kosovo last', 0.007369897141149647), ('new cases', 0.00683273811187747), ('ministry health', 0.006528457383041516), ('delta variant', 0.006343116684962493), ('kosovo help', 0.006343116684962493), ('covid19 situation', 0.006248900401292952), ('covid19 kosovo', 0.005693948426564557), ('institute public', 0.0055777902361330775), ('institute public health', 0.0055777902361330775)]",negative,"['kosovo health', 'kosovo last', 'new cases', 'ministry health', 'delta variant', 'kosovo help', 'covid situation', 'covid kosovo', 'institute public', 'institute public health ']"
2,1,88,1_covid19 sarscov2_corona covid covid19_stayhealthy corona covid_story one,"[('covid19 sarscov2', 0.009536642668722783), ('corona covid covid19', 0.009536642668722783), ('stayhealthy corona covid', 0.009536642668722783), ('story one', 0.009536642668722783), ('stayhome staysafe stayhealthy', 0.009536642668722783), ('staysafe stayhealthy', 0.009536642668722783), ('staysafe stayhealthy corona', 0.009536642668722783), ('street story one', 0.009536642668722783), ('street story', 0.009536642668722783), ('story one listen', 0.009536642668722783)]",negative,"['covid sarscov', 'corona covid covid', 'stayhealthy corona covid', 'story one', 'stayhome staysafe stayhealthy', 'staysafe stayhealthy', 'staysafe stayhealthy corona', 'street story one', 'street story', 'story one listen ']"
3,2,64,2_poor health_poor health conditions_health conditions_amp sleepdeprivation,"[('poor health', 0.04263588123711407), ('poor health conditions', 0.04263588123711407), ('health conditions', 0.04231233286834687), ('amp sleepdeprivation', 0.03768981610321131), ('torture amp sleepdeprivation', 0.03768981610321131), ('torture amp', 0.03768981610321131), ('conditions due', 0.02568985065185135), ('health conditions due', 0.02568985065185135), ('umpteenth night', 0.02450078887175968), ('intelrun torture', 0.023291169156875496)]",negative,"['poor health', 'poor health conditions', 'health conditions', 'amp sleepdeprivation', 'torture amp sleepdeprivation', 'torture amp', 'conditions due', 'health conditions due', 'umpteenth night', 'intelrun torture ']"
4,3,60,3_civil society_civil society activists_society activists_dictatorship albania,"[('civil society', 0.011926752982530648), ('civil society activists', 0.009912676266533886), ('society activists', 0.009912676266533886), ('dictatorship albania', 0.0077937361876441345), ('state authorities demolished', 0.0077937361876441345), ('albania next', 0.0077937361876441345), ('demolition nationaltheatre', 0.0077937361876441345), ('activists arrested', 0.0077937361876441345), ('albania next door', 0.0077937361876441345), ('disobedience civil society', 0.0077937361876441345)]",negative,"['civil society', 'civil society activists', 'society activists', 'dictatorship albania', 'state authorities demolished', 'albania next', 'demolition nationaltheatre', 'activists arrested', 'albania next door', 'disobedience civil society ']"
5,4,49,4_world health_coronavirus pandemic_number people_coronavirus pandemic covid19,"[('world health', 0.037678368564892664), ('coronavirus pandemic', 0.029680012407444556), ('number people', 0.026627343057864974), ('coronavirus pandemic covid19', 0.023474294286333183), ('organisation coronavirus', 0.023474294286333183), ('health organisation', 0.023474294286333183), ('world health organisation', 0.023474294286333183), ('organisation coronavirus pandemic', 0.023474294286333183), ('health organisation coronavirus', 0.023474294286333183), ('pandemic covid19', 0.022260009305583413)]",negative,"['world health', 'coronavirus pandemic', 'number people', 'coronavirus pandemic covid', 'organisation coronavirus', 'health organisation', 'world health organisation', 'organisation coronavirus pandemic', 'health organisation coronavirus', 'pandemic covid ']"
6,5,36,5_min ago_earthquake trmet_please report_ago please report,"[('min ago', 0.1269815775684683), ('earthquake trmet', 0.10744302600140335), ('please report', 0.07985175783372467), ('ago please report', 0.07985175783372467), ('felt earthquake', 0.07985175783372467), ('ago please', 0.07985175783372467), ('min ago please', 0.07656911007900351), ('tirana albania', 0.07566334300108599), ('felt earthquake trmet', 0.06984483258274841), ('km nw', 0.06288566467636088)]",negative,"['min ago', 'earthquake trmet', 'please report', 'ago please report', 'felt earthquake', 'ago please', 'min ago please', 'tirana albania', 'felt earthquake trmet', 'km nw ']"
7,6,34,6_health healthnews_travel cination travelphotography_healthnews dubrovnik croatia_healthnews dubrovnik,"[('health healthnews', 0.08617395406508498), ('travel cination travelphotography', 0.08617395406508498), ('healthnews dubrovnik croatia', 0.08617395406508498), ('healthnews dubrovnik', 0.08617395406508498), ('health healthnews dubrovnik', 0.08617395406508498), ('wewillbeback travel cination', 0.08617395406508498), ('quarantine health healthnews', 0.08617395406508498), ('cination travelphotography', 0.08617395406508498), ('dubrovnik croatia wewillbeback', 0.08617395406508498), ('instahealth quarantine', 0.08617395406508498)]",negative,"['health healthnews', 'travel cination travelphotography', 'healthnews dubrovnik croatia', 'healthnews dubrovnik', 'health healthnews dubrovnik', 'wewillbeback travel cination', 'quarantine health healthnews', 'cination travelphotography', 'dubrovnik croatia wewillbeback', 'instahealth quarantine ']"
8,7,28,7_mental health_prescription drugs_harm experiment significant_drugs fine,"[('mental health', 0.11684556138941642), ('prescription drugs', 0.024743822042096675), ('harm experiment significant', 0.0175682166288626), ('drugs fine', 0.0175682166288626), ('money open', 0.0175682166288626), ('ongoing harms lockdown', 0.0175682166288626), ('clinics safe injection', 0.0175682166288626), ('clinics safe', 0.0175682166288626), ('cause could save', 0.0175682166288626), ('cause could', 0.0175682166288626)]",negative,"['mental health', 'prescription drugs', 'harm experiment significant', 'drugs fine', 'money open', 'ongoing harms lockdown', 'clinics safe injection', 'clinics safe', 'cause could save', 'cause could ']"
9,8,24,8_homeless people_person shelter_per person shelter_shelter homeless,"[('homeless people', 0.022394613582357895), ('person shelter', 0.022394613582357895), ('per person shelter', 0.022394613582357895), ('shelter homeless', 0.022394613582357895), ('per person', 0.022394613582357895), ('tax oligarchs', 0.022394613582357895), ('wage increase', 0.022394613582357895), ('continue work', 0.022394613582357895), ('person shelter homeless', 0.022394613582357895), ('work despite', 0.0176075265238294)]",negative,"['homeless people', 'person shelter', 'per person shelter', 'shelter homeless', 'per person', 'tax oligarchs', 'wage increase', 'continue work', 'person shelter homeless', 'work despite ']"
10,9,19,9_covid19 world global_worst health impact_global economy impacted_2008 worstisyettocome2020,"[('covid19 world global', 0.027114057535243815), ('worst health impact', 0.027114057535243815), ('global economy impacted', 0.027114057535243815), ('2008 worstisyettocome2020', 0.027114057535243815), ('impacted much worse', 0.027114057535243815), ('impacted much', 0.027114057535243815), ('impact covid19 world', 0.027114057535243815), ('global economy', 0.027114057535243815), ('financialcrisis 2008 worstisyettocome2020', 0.027114057535243815), ('financialcrisis 2008', 0.027114057535243815)]",negative,"['covid world global', 'worst health impact', 'global economy impacted', ' worstisyettocome', 'impacted much worse', 'impacted much', 'impact covid world', 'global economy', 'financialcrisis', 'worstisyettocome', 'financialcrisis', '']"
11,10,19,10_health facilities_calamities threaten topple_hospital amp faltering_amp night,"[('health facilities', 0.02180540890785776), ('calamities threaten topple', 0.01939936203715783), ('hospital amp faltering', 0.01939936203715783), ('amp night', 0.01939936203715783), ('topple countrys', 0.01939936203715783), ('may expensive', 0.01939936203715783), ('amp faltering hospitals', 0.01939936203715783), ('amp faltering', 0.01939936203715783), ('amp ambulance everyday', 0.01939936203715783), ('amp ambulance', 0.01939936203715783)]",negative,"['health facilities', 'calamities threaten topple', 'hospital amp faltering', 'amp night', 'topple countrys', 'may expensive', 'amp faltering hospitals', 'amp faltering', 'amp ambulance everyday', 'amp ambulance ']"
12,11,19,11_public health_12 eu_measures favour_cyprus others,"[('public health', 0.02669826422141866), ('12 eu', 0.02343988160825971), ('measures favour', 0.02343988160825971), ('cyprus others', 0.02343988160825971), ('day 86', 0.02343988160825971), ('egyptian communities', 0.02343988160825971), ('egyptian communities vaccinated', 0.02343988160825971), ('covid19 vaccine maskup', 0.02343988160825971), ('countries taking measures', 0.02343988160825971), ('countries taking', 0.02343988160825971)]",negative,"['public health', ' eu', 'measures favour', 'cyprus others', 'day', ' egyptian communities', 'egyptian communities vaccinated', 'covid vaccine maskup', 'countries taking measures', 'countries taking ']"
13,12,19,12_year old_first shot_negative 72 year_positive suffering get,"[('year old', 0.053371145009067165), ('first shot', 0.04117969672596486), ('negative 72 year', 0.03237709816600172), ('positive suffering get', 0.03237709816600172), ('frontline health workers', 0.03237709816600172), ('getting first', 0.03237709816600172), ('one vaccine positive', 0.03237709816600172), ('frontline health', 0.03237709816600172), ('health issues vaccines', 0.03237709816600172), ('good health one', 0.03237709816600172)]",negative,"['year old', 'first shot', 'negative', 'year', 'positive suffering get', 'frontline health workers', 'getting first', 'one vaccine positive', 'frontline health', 'health issues vaccines', 'good health one ']"
14,13,17,13_youre young healthy_healthy got_exit reported operating_thinks youre unethical,"[('youre young healthy', 0.02236762825428543), ('healthy got', 0.02236762825428543), ('exit reported operating', 0.02236762825428543), ('thinks youre unethical', 0.02236762825428543), ('operating monopoly preventing', 0.02236762825428543), ('covid19 outbreak something', 0.02236762825428543), ('thousands people prove', 0.02236762825428543), ('totalling 268', 0.02236762825428543), ('covid19 covid19vaccine', 0.02236762825428543), ('covid19 covid19 covid19vaccine', 0.02236762825428543)]",negative,"['youre young healthy', 'healthy got', 'exit reported operating', 'thinks youre unethical', 'operating monopoly preventing', 'covid outbreak something', 'thousands people prove', 'totalling', ' covid covidvaccine', 'covid covid covidvaccine ']"
15,14,16,14_positive covid19_paul tests positive_tests positive_quarantine meeting doctor,"[('positive covid19', 0.0633889731687937), ('paul tests positive', 0.041422584571580906), ('tests positive', 0.041422584571580906), ('quarantine meeting doctor', 0.041422584571580906), ('quarantine meeting', 0.041422584571580906), ('merkel quarantine meeting', 0.041422584571580906), ('merkel quarantine', 0.041422584571580906), ('meeting doctor later', 0.041422584571580906), ('tested positive', 0.041422584571580906), ('tested positive senator', 0.041422584571580906)]",negative,"['positive covid', 'paul tests positive', 'tests positive', 'quarantine meeting doctor', 'quarantine meeting', 'merkel quarantine meeting', 'merkel quarantine', 'meeting doctor later', 'tested positive', 'tested positive senator ']"
16,15,14,15_genderbased violence_national law amp_concerned reports_podaci moraju biti,"[('genderbased violence', 0.036275854978445383), ('national law amp', 0.028521504796615253), ('concerned reports', 0.028521504796615253), ('podaci moraju biti', 0.028521504796615253), ('risk stigma amp', 0.028521504796615253), ('standards coronainfocg', 0.028521504796615253), ('moraju biti', 0.028521504796615253), ('moraju biti poverljivi', 0.028521504796615253), ('must confidential', 0.028521504796615253), ('must confidential national', 0.028521504796615253)]",negative,"['genderbased violence', 'national law amp', 'concerned reports', 'podaci moraju biti', 'risk stigma amp', 'standards coronainfocg', 'moraju biti', 'moraju biti poverljivi', 'must confidential', 'must confidential national ']"
17,16,13,16_covid19 covid19albania_responding call_balconies sheets_pay workers covid19,"[('covid19 covid19albania', 0.04031612022732906), ('responding call', 0.04031612022732906), ('balconies sheets', 0.04031612022732906), ('pay workers covid19', 0.04031612022732906), ('balconies sheets written', 0.04031612022732906), ('hanging balconies sheets', 0.04031612022732906), ('hanging balconies', 0.04031612022732906), ('new labor', 0.04031612022732906), ('new labor union', 0.04031612022732906), ('pay workers', 0.04031612022732906)]",negative,"['covid covidalbania', 'responding call', 'balconies sheets', 'pay workers covid', 'balconies sheets written', 'hanging balconies sheets', 'hanging balconies', 'new labor', 'new labor union', 'pay workers ']"
18,17,13,17_confirmed different_medical doctors_different municipalities state_9th case covid19,"[('confirmed different', 0.040340721580444355), ('medical doctors', 0.040340721580444355), ('different municipalities state', 0.040340721580444355), ('9th case covid19', 0.040340721580444355), ('today 9th', 0.040340721580444355), ('prishtina neighborhoods citizens', 0.040340721580444355), ('pandemic today', 0.040340721580444355), ('frontline fighting coronaviruskosova', 0.040340721580444355), ('giving ovations', 0.040340721580444355), ('pandemic today 9th', 0.040340721580444355)]",negative,"['confirmed different', 'medical doctors', 'different municipalities state', 'th case covid', 'today th', 'prishtina neighborhoods citizens', 'pandemic today', 'frontline fighting coronaviruskosova', 'giving ovations', 'pandemic today th ']"
19,18,12,18_people ive mom_lot doctors nurses_ive mom ive_neglect people,"[('people ive mom', 0.04496272391454664), ('lot doctors nurses', 0.04496272391454664), ('ive mom ive', 0.04496272391454664), ('neglect people', 0.04496272391454664), ('im going charge', 0.04496272391454664), ('ive yelled', 0.04496272391454664), ('ive mom', 0.04496272391454664), ('sick im', 0.04496272391454664), ('sick im going', 0.04496272391454664), ('im going', 0.04496272391454664)]",negative,"['people ive mom', 'lot doctors nurses', 'ive mom ive', 'neglect people', 'im going charge', 'ive yelled', 'ive mom', 'sick im', 'sick im going', 'im going ']"
20,19,12,19_albania many_public health_15 million_studies reports highlight,"[('albania many', 0.05199274619448955), ('public health', 0.031040870290985664), ('15 million', 0.02902407780041851), ('studies reports highlight', 0.02902407780041851), ('equipment social', 0.02902407780041851), ('equipment social protection', 0.02902407780041851), ('health per capita', 0.02902407780041851), ('fight covid19 medical', 0.02902407780041851), ('factors build', 0.02902407780041851), ('factors build humancapital', 0.02902407780041851)]",negative,"['albania many', 'public health', ' million', 'studies reports highlight', 'equipment social', 'equipment social protection', 'health per capita', 'fight covid medical', 'factors build', 'factors build humancapital ']"
21,20,12,20_free healthcare_damn girl safe_girl safe_safe us healthcare,"[('free healthcare', 0.13001273439226688), ('damn girl safe', 0.06407731185889498), ('girl safe', 0.06407731185889498), ('safe us healthcare', 0.06407731185889498), ('bills arent joke', 0.06407731185889498), ('bills arent', 0.06407731185889498), ('safe us', 0.06407731185889498), ('us healthcare', 0.06407731185889498), ('us healthcare bills', 0.06407731185889498), ('business business', 0.06407731185889498)]",negative,"['free healthcare', 'damn girl safe', 'girl safe', 'safe us healthcare', 'bills arent joke', 'bills arent', 'safe us', 'us healthcare', 'us healthcare bills', 'business business ']"
