Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,246,-1_health workers_covid19 pandemic_fight covid19_public health,"[('health workers', 0.006536692619305373), ('covid19 pandemic', 0.005276286764041524), ('fight covid19', 0.005209407328196688), ('public health', 0.005003968557406694), ('health professionals', 0.0047300943102411555), ('shields health', 0.0046215426956714096), ('face shields health', 0.0046215426956714096), ('face shields', 0.004429727212873942), ('take care', 0.004380691672020935), ('campaign join', 0.004144374253364366)]",positive,"['health workers', 'covid pandemic', 'fight covid', 'public health', 'health professionals', 'shields health', 'face shields health', 'face shields', 'take care', 'campaign join ']"
1,0,204,0_response covid19_fight covid19_health centre_covid19 crisis,"[('response covid19', 0.008896800901158297), ('fight covid19', 0.0072037844229963285), ('health centre', 0.007201768456849319), ('covid19 crisis', 0.006785645928570832), ('personal protective', 0.006716998560752872), ('protective equipment', 0.006716998560752872), ('personal protective equipment', 0.006716998560752872), ('spread covid19', 0.0065385035480030025), ('medical equipment', 0.006327557567359487), ('command west', 0.005713633738168474)]",positive,"['response covid', 'fight covid', 'health centre', 'covid crisis', 'personal protective', 'protective equipment', 'personal protective equipment', 'spread covid', 'medical equipment', 'command west ']"
2,1,141,1_new year_happy new_happy new year_mental health,"[('new year', 0.02024968903739515), ('happy new', 0.015560892183352819), ('happy new year', 0.015560892183352819), ('mental health', 0.01102782437898257), ('good health', 0.009748572608344264), ('health happy', 0.008041642838211446), ('health happiness', 0.008041642838211446), ('health amp', 0.007981908352299434), ('happiness health', 0.007424811141466488), ('wish health', 0.007424811141466488)]",positive,"['new year', 'happy new', 'happy new year', 'mental health', 'good health', 'health happy', 'health happiness', 'health amp', 'happiness health', 'wish health ']"
3,2,49,2_montenegros health_health system_humanitarian assistance program_assistance program,"[('montenegros health', 0.016260300686434304), ('health system', 0.01613350085161855), ('humanitarian assistance program', 0.015433485113214372), ('assistance program', 0.015433485113214372), ('humanitarian assistance', 0.01509527925886486), ('longterm investment', 0.013987301526197813), ('medical equipment', 0.012537938142730834), ('need support', 0.011618022896976082), ('unitedstates proud', 0.011618022896976082), ('health care', 0.01044828178560903)]",positive,"['montenegros health', 'health system', 'humanitarian assistance program', 'assistance program', 'humanitarian assistance', 'longterm investment', 'medical equipment', 'need support', 'unitedstates proud', 'health care ']"
4,3,47,3_health fitness_physiotherapy credits_2022 studies innovation_innovation physiotherapy,"[('health fitness', 0.01820889159233892), ('physiotherapy credits', 0.01512452698986429), ('2022 studies innovation', 0.01512452698986429), ('innovation physiotherapy', 0.01512452698986429), ('innovation physiotherapy credits', 0.01512452698986429), ('physiotherapy rehabilitation health', 0.01512452698986429), ('physiotherapy rehabilitation', 0.01512452698986429), ('physiotherapy credits physiotherapy', 0.01512452698986429), ('2022 studies', 0.01512452698986429), ('studies innovation', 0.01512452698986429)]",positive,"['health fitness', 'physiotherapy credits', ' studies innovation', 'innovation physiotherapy', 'innovation physiotherapy credits', 'physiotherapy rehabilitation health', 'physiotherapy rehabilitation', 'physiotherapy credits physiotherapy', ' studies', 'studies innovation ']"
5,4,40,4_coronavirus lockdown_idea photo_wish friends_friends health comes,"[('coronavirus lockdown', 0.028100719141393945), ('idea photo', 0.020078029595023503), ('wish friends', 0.020078029595023503), ('friends health comes', 0.020078029595023503), ('friends miss friends', 0.020078029595023503), ('friends miss', 0.020078029595023503), ('first guys stay', 0.020078029595023503), ('right coronavirus lockdown', 0.020078029595023503), ('guys stay', 0.020078029595023503), ('first guys', 0.020078029595023503)]",positive,"['coronavirus lockdown', 'idea photo', 'wish friends', 'friends health comes', 'friends miss friends', 'friends miss', 'first guys stay', 'right coronavirus lockdown', 'guys stay', 'first guys ']"
6,5,39,5_arben vitia_minister arben vitia_minister arben_minister health,"[('arben vitia', 0.023515478383029358), ('minister arben vitia', 0.021119995851028868), ('minister arben', 0.021119995851028868), ('minister health', 0.018463307370291972), ('global health', 0.017299528173409358), ('monthly salary', 0.012187963376443001), ('professional job done', 0.012187963376443001), ('sent home', 0.012187963376443001), ('hi thanks', 0.012187963376443001), ('done minister arben', 0.012187963376443001)]",positive,"['arben vitia', 'minister arben vitia', 'minister arben', 'minister health', 'global health', 'monthly salary', 'professional job done', 'sent home', 'hi thanks', 'done minister arben ']"
7,6,38,6_healthy life_child health_risan giving_speedy recovery,"[('healthy life', 0.018393168800104526), ('child health', 0.012002946854599466), ('risan giving', 0.012002946854599466), ('speedy recovery', 0.012002946854599466), ('speedy recovery proud', 0.012002946854599466), ('skills medical', 0.012002946854599466), ('donated equipment helped', 0.012002946854599466), ('see good news', 0.012002946854599466), ('helped uspartnermne', 0.012002946854599466), ('specialized hospital risan', 0.012002946854599466)]",positive,"['healthy life', 'child health', 'risan giving', 'speedy recovery', 'speedy recovery proud', 'skills medical', 'donated equipment helped', 'see good news', 'helped uspartnermne', 'specialized hospital risan ']"
8,7,35,7_mental health_health important_mental health important_good mental health,"[('mental health', 0.12577779525840296), ('health important', 0.03241031873775018), ('mental health important', 0.02731730515320963), ('good mental health', 0.023002010881359704), ('good mental', 0.023002010881359704), ('healthcare community', 0.01631617276048296), ('health important physical', 0.01631617276048296), ('christ encouraging', 0.01631617276048296), ('care family members', 0.01631617276048296), ('christ encouraging words', 0.01631617276048296)]",positive,"['mental health', 'health important', 'mental health important', 'good mental health', 'good mental', 'healthcare community', 'health important physical', 'christ encouraging', 'care family members', 'christ encouraging words ']"
9,8,32,8_gender equality_domestic violence_help women_emerging private,"[('gender equality', 0.02746204184924405), ('domestic violence', 0.01728981360258645), ('help women', 0.01728981360258645), ('emerging private', 0.013583864693716361), ('recovery measures', 0.013583864693716361), ('responseamp recovery covid19', 0.013583864693716361), ('bridging gap', 0.013583864693716361), ('cent workers health', 0.013583864693716361), ('cent workers', 0.013583864693716361), ('covid19 emerging', 0.013583864693716361)]",positive,"['gender equality', 'domestic violence', 'help women', 'emerging private', 'recovery measures', 'responseamp recovery covid', 'bridging gap', 'cent workers health', 'cent workers', 'covid emerging ']"
