Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,13552,-1_health_mental_mental health_people,"[('health', 0.001929506681877205), ('mental', 0.001683572581501808), ('mental health', 0.001646354590438682), ('people', 0.0015112250828147613), ('get', 0.0013884227525063776), ('care', 0.0013577887067422493), ('would', 0.0013463113738368085), ('im', 0.001323196085049549), ('like', 0.0012916899341988257), ('dont', 0.0012856253836440598)]",neutral,"['health', 'mental', 'mental health', 'people', 'get', 'care', 'would', 'im', 'like', 'dont ']"
1,0,917,0_schools_mental_mental health_kids,"[('schools', 0.009146097903883061), ('mental', 0.007976223591232788), ('mental health', 0.007946603385337283), ('kids', 0.007793246386939778), ('school', 0.007265221620517893), ('teachers', 0.005800237505017872), ('children', 0.005686537633169621), ('childcare', 0.0054171068851088505), ('parents', 0.005008211790728604), ('child', 0.002894576125302384)]",neutral,"['schools', 'mental', 'mental health', 'kids', 'school', 'teachers', 'children', 'childcare', 'parents', 'child ']"
2,1,551,1_amp_health amp_amp safety_health amp safety,"[('amp', 0.01360646512791584), ('health amp', 0.004004154852222718), ('amp safety', 0.003101856754001339), ('health amp safety', 0.002864072756167558), ('safety', 0.0024641649298090063), ('nurses amp', 0.001994339381105217), ('support', 0.0018552073888501333), ('amp health', 0.001854515002084482), ('safe amp', 0.0016042989133605524), ('new amp', 0.0015904929757064317)]",neutral,"['amp', 'health amp', 'amp safety', 'health amp safety', 'safety', 'nurses amp', 'support', 'amp health', 'safe amp', 'new amp ']"
3,2,370,2_vaccine_vaccines_vaccinated_vaccination,"[('vaccine', 0.012805071102748788), ('vaccines', 0.00893900770342616), ('vaccinated', 0.006508972293439723), ('vaccination', 0.00515201700997301), ('doses', 0.0034899046927967534), ('unvaccinated', 0.003241516571831018), ('population', 0.003197825349744044), ('immunity', 0.0030514877627946667), ('enough', 0.002548781993702981), ('ordered', 0.0024564589257523523)]",neutral,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'doses', 'unvaccinated', 'population', 'immunity', 'enough', 'ordered ']"
4,3,331,3_coronavirus_covid_flu_coronavirus case,"[('coronavirus', 0.011756050513340272), ('covid', 0.008211177375614876), ('flu', 0.004694943734715858), ('coronavirus case', 0.00414496240561299), ('cluster', 0.004121940848805927), ('cairns', 0.003982505015419637), ('covid19', 0.0036354500449632212), ('case', 0.003520845992414489), ('suggesting lockdown', 0.0034431533158815523), ('redcliffe', 0.0034431533158815523)]",neutral,"['coronavirus', 'covid', 'flu', 'coronavirus case', 'cluster', 'cairns', 'covid', 'case', 'suggesting lockdown', 'redcliffe ']"
5,4,266,4_insurance_health insurance_private_private health,"[('insurance', 0.021163733209117096), ('health insurance', 0.01886773036325999), ('private', 0.015775312723513943), ('private health', 0.015256245345295951), ('medicare', 0.013671489122182877), ('private health insurance', 0.011842189520528583), ('free', 0.010607936386126443), ('cover', 0.008105097879096024), ('healthcare', 0.007483047348097972), ('pay', 0.0062016377522424995)]",neutral,"['insurance', 'health insurance', 'private', 'private health', 'medicare', 'private health insurance', 'free', 'cover', 'healthcare', 'pay ']"
6,5,251,5_good health_better health_underlying health_health,"[('good health', 0.009853932693839208), ('better health', 0.007721369860338702), ('underlying health', 0.007189295612693312), ('health', 0.00717863451513166), ('health issues', 0.006886642027027279), ('good', 0.006819801781129744), ('health conditions', 0.006662690289289403), ('underlying', 0.006446809850748536), ('wish', 0.006070980660189462), ('underlying health conditions', 0.005855134229850685)]",neutral,"['good health', 'better health', 'underlying health', 'health', 'health issues', 'good', 'health conditions', 'underlying', 'wish', 'underlying health conditions ']"
7,6,245,6_aged_aged care_care_sector,"[('aged', 0.02238380922538428), ('aged care', 0.022130613482061353), ('care', 0.011635796023385148), ('sector', 0.0060381839746844156), ('federal', 0.005910577913730762), ('aged care workers', 0.005812282349304822), ('elderly', 0.005743385880964091), ('private aged care', 0.00507930349580709), ('private aged', 0.005010345233484693), ('providers', 0.004804240803505377)]",neutral,"['aged', 'aged care', 'care', 'sector', 'federal', 'aged care workers', 'elderly', 'private aged care', 'private aged', 'providers ']"
8,7,239,7_covid_symptoms_asthma_feeling,"[('covid', 0.006139781620302573), ('symptoms', 0.004973098276445678), ('asthma', 0.004710570357976289), ('feeling', 0.004609852374123199), ('clean', 0.0044145051028302105), ('cold', 0.004180976998551673), ('cough', 0.004174131528504944), ('ear', 0.004105832980238704), ('lungs', 0.0039579270827912625), ('clean air', 0.0036699726028402695)]",neutral,"['covid', 'symptoms', 'asthma', 'feeling', 'clean', 'cold', 'cough', 'ear', 'lungs', 'clean air ']"
9,8,239,8_mask_wear_wearing_masks,"[('mask', 0.027183072779576944), ('wear', 0.01592637944111095), ('wearing', 0.015224371276354379), ('masks', 0.014778631029716268), ('wear mask', 0.01202216569188106), ('wearing mask', 0.010494117408316935), ('face', 0.005659474120945668), ('need wear', 0.005174220902658797), ('face masks', 0.004669585436956485), ('wear masks', 0.004550663805748161)]",neutral,"['mask', 'wear', 'wearing', 'masks', 'wear mask', 'wearing mask', 'face', 'need wear', 'face masks', 'wear masks ']"
