Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,56845,-1_mental_mental health_health_amp,"[('mental', 0.0004991573397759521), ('mental health', 0.0004962788492233978), ('health', 0.0004687826618792179), ('amp', 0.00045904887475190995), ('people', 0.0004570350588581233), ('would', 0.0004443162301002184), ('im', 0.00044232886156075245), ('dont', 0.0004361336250016276), ('time', 0.00042883886111698736), ('like', 0.00042793309281432136)]",negative,"['mental', 'mental health', 'health', 'amp', 'people', 'would', 'im', 'dont', 'time', 'like ']"
1,0,970,0_aged care_aged_quarantine_agedcare,"[('aged care', 0.007209222829852184), ('aged', 0.006714255265634838), ('quarantine', 0.0034291623302659694), ('agedcare', 0.003301089655210774), ('private aged', 0.0032200595211282195), ('private aged care', 0.003193735434322408), ('aged care royal', 0.0031770279028121903), ('care royal', 0.00315504063705822), ('royal commission', 0.00308944945177119), ('care royal commission', 0.0029399606974993275)]",negative,"['aged care', 'aged', 'quarantine', 'agedcare', 'private aged', 'private aged care', 'aged care royal', 'care royal', 'royal commission', 'care royal commission ']"
2,1,852,1_mental health_mental_mental health issues_mental health day,"[('mental health', 0.007742802102396372), ('mental', 0.007729697523262228), ('mental health issues', 0.003205040110202262), ('mental health day', 0.0028314598644883435), ('health day', 0.0026520831056226265), ('health issues', 0.002267982294110395), ('health mental', 0.002213521133539461), ('mental health act', 0.0021626407382728773), ('mental health services', 0.0020174267384821007), ('mental health mental', 0.0018754928031334747)]",negative,"['mental health', 'mental', 'mental health issues', 'mental health day', 'health day', 'health issues', 'health mental', 'mental health act', 'mental health services', 'mental health mental ']"
3,2,841,2_schools_kids_school_children,"[('schools', 0.008539873394395278), ('kids', 0.00664302386956246), ('school', 0.006462276080179616), ('children', 0.004402806772778002), ('students', 0.0036837133297832414), ('teachers', 0.0036733453853568213), ('parents', 0.003528551235946583), ('schools open', 0.002430279736083429), ('child', 0.0022016387580122815), ('teacher', 0.002086309226377325)]",negative,"['schools', 'kids', 'school', 'children', 'students', 'teachers', 'parents', 'schools open', 'child', 'teacher ']"
4,3,777,3_china_shanghai_shanghailockdown_shanghailockdown covid19,"[('china', 0.014066826835350458), ('shanghai', 0.010234254622647751), ('shanghailockdown', 0.008396850093795125), ('shanghailockdown covid19', 0.007967595562841354), ('worldhealthorganization', 0.007820984568425742), ('wuhan china', 0.007817973949638506), ('wuhan', 0.007436727693366238), ('covid19 worldhealthorganization', 0.0071241428296847965), ('shanghailockdown covid19 worldhealthorganization', 0.006892616669455544), ('chinese', 0.00685079493699448)]",negative,"['china', 'shanghai', 'shanghailockdown', 'shanghailockdown covid', 'worldhealthorganization', 'wuhan china', 'wuhan', 'covid worldhealthorganization', 'shanghailockdown covid worldhealthorganization', 'chinese ']"
5,4,601,4_gun_guns_shootings_mass shootings,"[('gun', 0.01878286369191902), ('guns', 0.015037166506064917), ('shootings', 0.00766834438195174), ('mass shootings', 0.005834353954404126), ('mass', 0.004811526507641571), ('gun control', 0.004374222971695544), ('shooting', 0.004034397574883527), ('gun violence', 0.0038835679907401966), ('gun laws', 0.003713812035610307), ('weapons', 0.0032635897650311945)]",negative,"['gun', 'guns', 'shootings', 'mass shootings', 'mass', 'gun control', 'shooting', 'gun violence', 'gun laws', 'weapons ']"
6,5,595,5_morrison_scott morrison_scott_morrisons,"[('morrison', 0.012622862109484344), ('scott morrison', 0.009400740684976398), ('scott', 0.008967920836213672), ('morrisons', 0.004342074668889278), ('scott morrisons', 0.002272892983916459), ('morrison government', 0.0020475542564257947), ('national cabinet', 0.0016221368399400124), ('pm', 0.0015965821763141103), ('prime minister', 0.0015825020255142896), ('morrison said', 0.0015788020088586367)]",negative,"['morrison', 'scott morrison', 'scott', 'morrisons', 'scott morrisons', 'morrison government', 'national cabinet', 'pm', 'prime minister', 'morrison said ']"
7,6,593,6_campaign_scare campaign_election_scare,"[('campaign', 0.008703521054293908), ('scare campaign', 0.0058690781341422), ('election', 0.004839460709309674), ('scare', 0.004824418834986584), ('labor', 0.003590970889667553), ('political', 0.003160506957308662), ('politicians', 0.0030249212611763304), ('seats', 0.0028079318877166234), ('vote', 0.0026018554214494736), ('lnp', 0.002343375716584844)]",negative,"['campaign', 'scare campaign', 'election', 'scare', 'labor', 'political', 'politicians', 'seats', 'vote', 'lnp ']"
8,7,536,7_amp_health amp_amp safety_health amp safety,"[('amp', 0.004015339881953923), ('health amp', 0.003205532308786051), ('amp safety', 0.0024245557739196164), ('health amp safety', 0.0022647172434866808), ('autopilot', 0.0018180019798014354), ('fefo', 0.0013167897196115143), ('patients amp medical', 0.0013167897196115143), ('myosh', 0.0013167897196115143), ('sick amp', 0.0012806564624434625), ('safe amp', 0.0012301871660759175)]",negative,"['amp', 'health amp', 'amp safety', 'health amp safety', 'autopilot', 'fefo', 'patients amp medical', 'myosh', 'sick amp', 'safe amp ']"
9,8,421,8_nsw health_nsw_health advice_nsw government,"[('nsw health', 0.01198839195960758), ('nsw', 0.008171553795744139), ('health advice', 0.0024229445332024594), ('nsw government', 0.002224898702217512), ('advice', 0.002027384812193286), ('health nsw', 0.0020017970590889265), ('queensland', 0.0017211827674369086), ('premier', 0.0016999859479155523), ('longer confidence commitment', 0.0016775125955234202), ('longer confidence', 0.0016775125955234202)]",negative,"['nsw health', 'nsw', 'health advice', 'nsw government', 'advice', 'health nsw', 'queensland', 'premier', 'longer confidence commitment', 'longer confidence ']"
