Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,38486,-1_mental_mental health_health_amp,"[('mental', 0.0006614919579112507), ('mental health', 0.0006494538795280247), ('health', 0.0006465282027690493), ('amp', 0.0006378557808634612), ('great', 0.0005944168727991467), ('good', 0.0005889154676688517), ('care', 0.0005703094932402365), ('people', 0.0005688883805483782), ('work', 0.00055867212455038), ('im', 0.0005511326318848281)]",positive,"['mental', 'mental health', 'health', 'amp', 'great', 'good', 'care', 'people', 'work', 'im ']"
1,0,870,0_vaccines_vaccine_vaccinated_vaccination,"[('vaccines', 0.007693761624823836), ('vaccine', 0.006721219884293018), ('vaccinated', 0.004701512898361842), ('vaccination', 0.002695472403126545), ('get vaccinated', 0.0022644156521865614), ('science', 0.0017561413012664212), ('choice', 0.0016423973634395895), ('covid19 vaccines', 0.001615422956169531), ('trust', 0.0015724018602293526), ('among first', 0.001525307939724084)]",positive,"['vaccines', 'vaccine', 'vaccinated', 'vaccination', 'get vaccinated', 'science', 'choice', 'covid vaccines', 'trust', 'among first ']"
2,1,749,1_birthday_happy birthday_new year_happy new,"[('birthday', 0.015822591493348706), ('happy birthday', 0.014523647090259214), ('new year', 0.013820820449692697), ('happy new', 0.012057099994805509), ('happy new year', 0.011660977069997873), ('happy', 0.01008668243395505), ('happiness', 0.009460910112910365), ('year', 0.008830831311217932), ('good health', 0.007130641849944458), ('wishing', 0.006922317383173528)]",positive,"['birthday', 'happy birthday', 'new year', 'happy new', 'happy new year', 'happy', 'happiness', 'year', 'good health', 'wishing ']"
3,2,718,2_mask_wearing_wear_masks,"[('mask', 0.016405697058096674), ('wearing', 0.01012786107880394), ('wear', 0.009768407175193082), ('masks', 0.00894628001989653), ('wear mask', 0.007728316051956685), ('wearing mask', 0.004924355658255265), ('mask wearing', 0.004712866699334932), ('wear masks', 0.003952432366696997), ('face mask', 0.0036976326100824175), ('face', 0.0034941167212075236)]",positive,"['mask', 'wearing', 'wear', 'masks', 'wear mask', 'wearing mask', 'mask wearing', 'wear masks', 'face mask', 'face ']"
4,3,665,3_mental health_mental_mental health day_health day,"[('mental health', 0.010660586997808471), ('mental', 0.01029782038775914), ('mental health day', 0.009626108907281394), ('health day', 0.0085631828334647), ('good mental', 0.005484304367348403), ('good mental health', 0.005442740206631014), ('world mental health', 0.005359436116709009), ('world mental', 0.005359436116709009), ('mental health important', 0.0034958009193972435), ('health mental health', 0.0033210108734273813)]",positive,"['mental health', 'mental', 'mental health day', 'health day', 'good mental', 'good mental health', 'world mental health', 'world mental', 'mental health important', 'health mental health ']"
5,4,590,4_stay safe_stay_care stay_care stay safe,"[('stay safe', 0.023848114630619578), ('stay', 0.0203120215827838), ('care stay', 0.017125225025411438), ('care stay safe', 0.0170529111894533), ('safe stay', 0.016705650725580095), ('take care stay', 0.016003004701538495), ('safe healthy', 0.015295869723747158), ('stay safe healthy', 0.015243893275648079), ('take care', 0.015198941137247372), ('safe', 0.013432998025920262)]",positive,"['stay safe', 'stay', 'care stay', 'care stay safe', 'safe stay', 'take care stay', 'safe healthy', 'stay safe healthy', 'take care', 'safe ']"
6,5,556,5_active health club_virgin active_virgin active health_active health,"[('active health club', 0.03578272158994329), ('virgin active', 0.03578272158994329), ('virgin active health', 0.03578272158994329), ('active health', 0.03558238343029466), ('virgin', 0.0349538768239693), ('health club', 0.03364048911792505), ('club zetland nsw', 0.033235505703319394), ('zetland nsw', 0.033235505703319394), ('club zetland', 0.033235505703319394), ('health club zetland', 0.033235505703319394)]",positive,"['active health club', 'virgin active', 'virgin active health', 'active health', 'virgin', 'health club', 'club zetland nsw', 'zetland nsw', 'club zetland', 'health club zetland ']"
7,6,555,6_eds significantly_capacity assess amp_bed housed_significantly reduces ed,"[('eds significantly', 0.011019879750337736), ('capacity assess amp', 0.011019879750337736), ('bed housed', 0.011019879750337736), ('significantly reduces ed', 0.011019879750337736), ('waiting hospital', 0.011019879750337736), ('hospital bed housed', 0.011019879750337736), ('amp waiting hospital', 0.011019879750337736), ('waiting hospital bed', 0.011019879750337736), ('adult eds', 0.011019879750337736), ('adult eds significantly', 0.011019879750337736)]",positive,"['eds significantly', 'capacity assess amp', 'bed housed', 'significantly reduces ed', 'waiting hospital', 'hospital bed housed', 'amp waiting hospital', 'waiting hospital bed', 'adult eds', 'adult eds significantly ']"
8,7,546,7_aboriginal_indigenous_torres_torres strait,"[('aboriginal', 0.02068781294021498), ('indigenous', 0.014203220907941749), ('torres', 0.012156691629134356), ('torres strait', 0.012056087271133453), ('strait', 0.012020006452088965), ('strait islander', 0.011452259500950078), ('torres strait islander', 0.011452259500950078), ('islander', 0.01141567026693229), ('aboriginal torres', 0.01020479653258403), ('aboriginal torres strait', 0.010068480375099956)]",positive,"['aboriginal', 'indigenous', 'torres', 'torres strait', 'strait', 'strait islander', 'torres strait islander', 'islander', 'aboriginal torres', 'aboriginal torres strait ']"
9,8,479,8_election_campaign_politics_vote,"[('election', 0.008786350022548569), ('campaign', 0.0067986427616991895), ('politics', 0.00567673644576057), ('vote', 0.005514941225452303), ('political', 0.004739135273747767), ('voters', 0.004016236616727468), ('elections', 0.003588760924586923), ('election campaign', 0.0032585197755449994), ('voting', 0.0031023373490799777), ('politicians', 0.002913856996588608)]",positive,"['election', 'campaign', 'politics', 'vote', 'political', 'voters', 'elections', 'election campaign', 'voting', 'politicians ']"
