Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,867,-1_health_amp_covid_covid19,"[('health', 0.010879045020855349), ('amp', 0.006697365963258366), ('covid', 0.006623354715314049), ('covid19', 0.006403175357596261), ('care', 0.004881691782595928), ('people', 0.004719420665870299), ('hospital', 0.004586265215633099), ('time', 0.004499741038663672), ('medical', 0.004303010093411964), ('take', 0.004243288211880661)]",neutral,"['health', 'amp', 'covid', 'covid', 'care', 'people', 'hospital', 'time', 'medical', 'take ']"
1,0,596,0_health_hospital_need_care,"[('health', 0.012525264119908267), ('hospital', 0.011000230301006934), ('need', 0.005638164249166756), ('care', 0.005543003146772039), ('please', 0.005536930610467325), ('good', 0.005334170714709332), ('medical', 0.005050898423101589), ('help', 0.004982194925338345), ('take', 0.0049705830024303205), ('patient', 0.004943330400442889)]",neutral,"['health', 'hospital', 'need', 'care', 'please', 'good', 'medical', 'help', 'take', 'patient ']"
2,1,113,1_mental_mental health_health_players,"[('mental', 0.0779100095048361), ('mental health', 0.07485225102070697), ('health', 0.032352367224360884), ('players', 0.010804512778765572), ('issues', 0.009613839921742145), ('mental health issues', 0.00897875859933387), ('social media', 0.008240926074328834), ('media', 0.00807479228862677), ('health issues', 0.00794589463313544), ('get', 0.00776786195210733)]",neutral,"['mental', 'mental health', 'health', 'players', 'issues', 'mental health issues', 'social media', 'media', 'health issues', 'get ']"
3,2,98,2_vaccine_vaccination_vaccines_centre,"[('vaccine', 0.04123351904729105), ('vaccination', 0.03457607420773477), ('vaccines', 0.021047906866173045), ('centre', 0.01001702508330564), ('states', 0.0083475209027547), ('slot', 0.008235482116283353), ('countries', 0.008229744479983835), ('vaccinated', 0.00789407949512511), ('possible', 0.007587378214260406), ('covid', 0.007543854798065567)]",neutral,"['vaccine', 'vaccination', 'vaccines', 'centre', 'states', 'slot', 'countries', 'vaccinated', 'possible', 'covid ']"
4,3,78,3_students_exam_exams_health,"[('students', 0.046224940313860485), ('exam', 0.04525274070278131), ('exams', 0.026198470893763884), ('health', 0.018364849956912673), ('please', 0.01709419024610632), ('cbse', 0.015460752978732836), ('important', 0.014859294677432328), ('students health', 0.014293794158060941), ('cancel', 0.014263508173469143), ('health important', 0.013817240527674026)]",neutral,"['students', 'exam', 'exams', 'health', 'please', 'cbse', 'important', 'students health', 'cancel', 'health important ']"
5,4,78,4_mask_masks_wearing_wear,"[('mask', 0.0483162184321783), ('masks', 0.029075850874116106), ('wearing', 0.02143350157414672), ('wear', 0.018023320912855745), ('wear mask', 0.01349182793298982), ('gloves', 0.012774538005284329), ('wearing mask', 0.01254304067815737), ('people', 0.011952475132388637), ('distance', 0.011253354547518971), ('maintain', 0.011183019566967734)]",neutral,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'gloves', 'wearing mask', 'people', 'distance', 'maintain ']"
6,5,70,5_covid_covid 19_19_covid19,"[('covid', 0.02303497908928042), ('covid 19', 0.020533820478843053), ('19', 0.02037786863209935), ('covid19', 0.01955047137003555), ('lockdown', 0.018672617459235513), ('helpline', 0.011290272528456389), ('measures', 0.010705115206294162), ('telemedicine', 0.010539798755064009), ('information', 0.008518936707863689), ('regarding', 0.008518936707863689)]",neutral,"['covid', 'covid', '', ' covid', 'lockdown', 'helpline', 'measures', 'telemedicine', 'information', 'regarding ']"
7,6,59,6_assam_covid19_minister_health minister,"[('assam', 0.046136114686984205), ('covid19', 0.01832106086842808), ('minister', 0.013297571665775616), ('health minister', 0.01276620651316945), ('health', 0.012534983044540591), ('covid19 assam', 0.01031654706984497), ('guwahati', 0.00960646253683644), ('mp', 0.008905129882055843), ('kumbh', 0.00854137872870538), ('kumbh mela', 0.00854137872870538)]",neutral,"['assam', 'covid', 'minister', 'health minister', 'health', 'covid assam', 'guwahati', 'mp', 'kumbh', 'kumbh mela ']"
8,7,42,7_positive_covid_covid positive_patient,"[('positive', 0.02639994960165872), ('covid', 0.023820503721818095), ('covid positive', 0.023124659214841976), ('patient', 0.017361454753168373), ('covid19', 0.014741686073373582), ('amp', 0.014532655848861988), ('dengruse', 0.014285329061843405), ('patient covid positive', 0.014285329061843405), ('serious patient', 0.014285329061843405), ('patient covid', 0.013930922513357522)]",neutral,"['positive', 'covid', 'covid positive', 'patient', 'covid', 'amp', 'dengruse', 'patient covid positive', 'serious patient', 'patient covid ']"
9,8,37,8_home_isolation_home isolation_patients,"[('home', 0.03390692228245353), ('isolation', 0.03277254914450763), ('home isolation', 0.03165897659773049), ('patients', 0.02458394081771102), ('covid', 0.02380019292396525), ('covid19', 0.019119276344366283), ('test', 0.01780514231705694), ('primary care', 0.016496644940783532), ('phc', 0.015812775102493834), ('mild', 0.015030595757270787)]",neutral,"['home', 'isolation', 'home isolation', 'patients', 'covid', 'covid', 'test', 'primary care', 'phc', 'mild ']"
