Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,6241,-1_health_covid_hospital_amp,"[('health', 0.006496938496961111), ('covid', 0.005503173226341551), ('hospital', 0.004919893685940014), ('amp', 0.0048470088510454545), ('covid19', 0.0045949724863268045), ('people', 0.004540744397072392), ('please', 0.003450946192023937), ('vaccine', 0.003305180974477189), ('medical', 0.0032794231057310503), ('govt', 0.003250469838206135)]",negative,"['health', 'covid', 'hospital', 'amp', 'covid', 'people', 'please', 'vaccine', 'medical', 'govt ']"
1,0,10545,0_covid19_health_cases_covid,"[('covid19', 0.007507206230430953), ('health', 0.007115939342444648), ('cases', 0.005541760562031948), ('covid', 0.004963302467538392), ('bihar', 0.004951030390805076), ('hospital', 0.0041293987371685435), ('total', 0.003911365994359897), ('amp', 0.0038612215680792787), ('covid19 cases', 0.003580395634777765), ('people', 0.003538254342673981)]",negative,"['covid', 'health', 'cases', 'covid', 'bihar', 'hospital', 'total', 'amp', 'covid cases', 'people ']"
2,1,324,1_mask_wear_masks_wear mask,"[('mask', 0.0517091735206424), ('wear', 0.02304344026950649), ('masks', 0.02285060947792007), ('wear mask', 0.01836782817526854), ('wearing', 0.016130988611978373), ('wearing mask', 0.010404754351744339), ('people', 0.007520154846663584), ('dont', 0.006974372580974491), ('safe', 0.00671573706660139), ('n95', 0.006693217762391467)]",negative,"['mask', 'wear', 'masks', 'wear mask', 'wearing', 'wearing mask', 'people', 'dont', 'safe', 'n ']"
3,2,166,2_tobacco_smoking_worldnotobaccoday_tobacco day,"[('tobacco', 0.08774429546194921), ('smoking', 0.04170370761356741), ('worldnotobaccoday', 0.03258061626741421), ('tobacco day', 0.03174674079698495), ('world tobacco', 0.030676134870018204), ('world tobacco day', 0.029051802128639188), ('world', 0.02513288436453553), ('injurious', 0.022163065966277363), ('injurious health', 0.02042752658818972), ('day', 0.018607201520903897)]",negative,"['tobacco', 'smoking', 'worldnotobaccoday', 'tobacco day', 'world tobacco', 'world tobacco day', 'world', 'injurious', 'injurious health', 'day ']"
4,3,134,3_nifty_nifty sipgrab_nifty sipgrab unitingpeoplewiththepossibilities_sipgrab unitingpeoplewiththepossibilities,"[('nifty', 0.13036024148697312), ('nifty sipgrab', 0.07558169473759405), ('nifty sipgrab unitingpeoplewiththepossibilities', 0.07558169473759405), ('sipgrab unitingpeoplewiththepossibilities', 0.07558169473759405), ('unitingpeoplewiththepossibilities', 0.07558169473759405), ('sipgrab', 0.07558169473759405), ('sensex', 0.05325662309837312), ('unitingpeoplewiththepossibilities sensex', 0.037642184336801984), ('sipgrab unitingpeoplewiththepossibilities sensex', 0.037642184336801984), ('sensex nifty', 0.03394781043411579)]",negative,"['nifty', 'nifty sipgrab', 'nifty sipgrab unitingpeoplewiththepossibilities', 'sipgrab unitingpeoplewiththepossibilities', 'unitingpeoplewiththepossibilities', 'sipgrab', 'sensex', 'unitingpeoplewiththepossibilities sensex', 'sipgrab unitingpeoplewiththepossibilities sensex', 'sensex nifty ']"
5,4,99,4_sircar medical_sircar_ratan sircar medical_ratan sircar,"[('sircar medical', 0.2050795812023264), ('sircar', 0.2050795812023264), ('ratan sircar medical', 0.2050795812023264), ('ratan sircar', 0.2050795812023264), ('photo nil ratan', 0.2050795812023264), ('photo nil', 0.2050795812023264), ('sircar medical college', 0.2050795812023264), ('nil ratan sircar', 0.2050795812023264), ('posted photo nil', 0.2050795812023264), ('nil ratan', 0.2050795812023264)]",negative,"['sircar medical', 'sircar', 'ratan sircar medical', 'ratan sircar', 'photo nil ratan', 'photo nil', 'sircar medical college', 'nil ratan sircar', 'posted photo nil', 'nil ratan ']"
6,5,90,5_trains_train_railway_railways,"[('trains', 0.02956986117161586), ('train', 0.029568660229259313), ('railway', 0.024878224087262358), ('railways', 0.022268153904629502), ('passengers', 0.02018256473016246), ('special', 0.012584332326233339), ('local', 0.012190462725422296), ('flights', 0.011070921397228118), ('please', 0.011040007053996008), ('special trains', 0.009738793474313622)]",negative,"['trains', 'train', 'railway', 'railways', 'passengers', 'special', 'local', 'flights', 'please', 'special trains ']"
7,6,85,6_namo app_via namo_via namo app_namo,"[('namo app', 0.0993636582269618), ('via namo', 0.0993636582269618), ('via namo app', 0.0993636582269618), ('namo', 0.09904026402531334), ('app', 0.08556567991364619), ('via', 0.08039497550860006), ('ministry via namo', 0.050669551178068775), ('health ministry via', 0.049814579527810536), ('ministry via', 0.049814579527810536), ('rate', 0.04634879350439115)]",negative,"['namo app', 'via namo', 'via namo app', 'namo', 'app', 'via', 'ministry via namo', 'health ministry via', 'ministry via', 'rate ']"
8,7,65,7_amp_police_safety_safe,"[('amp', 0.04297054555142295), ('police', 0.01201023294256646), ('safety', 0.011272017433843538), ('safe', 0.00980187220990467), ('amp stay', 0.009489210892758), ('take', 0.00830473694207541), ('wesco', 0.007479807984478999), ('stay', 0.007469524705378631), ('would', 0.007061300026986411), ('next year', 0.00696435799663375)]",negative,"['amp', 'police', 'safety', 'safe', 'amp stay', 'take', 'wesco', 'stay', 'would', 'next year ']"
9,8,57,8_highest_fail_gdp_highest unemployment,"[('highest', 0.051982608032366436), ('fail', 0.0312898435309278), ('gdp', 0.02802285168873144), ('highest unemployment', 0.018557688614236175), ('unemployment', 0.01820799115146205), ('covid mismanagement', 0.017797915951033454), ('unemployment highest', 0.015866089910793125), ('india', 0.015847700902232417), ('mismanagement', 0.014955214294185021), ('highest unemployment highest', 0.01448824359323894)]",negative,"['highest', 'fail', 'gdp', 'highest unemployment', 'unemployment', 'covid mismanagement', 'unemployment highest', 'india', 'mismanagement', 'highest unemployment highest ']"
