Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,618,-1_health_covid19_people_covid,"[('health', 0.011969545310171482), ('covid19', 0.0102357672234772), ('people', 0.0074149913806569245), ('covid', 0.007114575017236553), ('care', 0.0051683809965334835), ('amp', 0.004995155281769853), ('workers', 0.004856981836621472), ('would', 0.004845955592338208), ('like', 0.004114976172389133), ('healthcare', 0.00407308495309873)]",negative,"['health', 'covid', 'people', 'covid', 'care', 'amp', 'workers', 'would', 'like', 'healthcare ']"
1,0,504,0_health_covid19_coronavirus_deaths,"[('health', 0.015315112961556937), ('covid19', 0.012498126782493561), ('coronavirus', 0.00853385479461242), ('deaths', 0.008169499731995709), ('care', 0.007659098715259945), ('eu', 0.007506121207808742), ('belgium', 0.006453135919309118), ('amp', 0.006446386242451549), ('new', 0.005820332388011148), ('cases', 0.005638434482584463)]",negative,"['health', 'covid', 'coronavirus', 'deaths', 'care', 'eu', 'belgium', 'amp', 'new', 'cases ']"
2,1,140,1_gop_donaldtrump_republicans_coronavirus,"[('gop', 0.035258509967435105), ('donaldtrump', 0.03451564066728077), ('republicans', 0.03419931279001141), ('coronavirus', 0.026256639494445486), ('covid19', 0.0248064455647857), ('gop republicans', 0.024052649682097645), ('trump', 0.02291405400769641), ('joebiden', 0.020258441621886922), ('republicans joebiden', 0.017764860466015473), ('us', 0.016476635168826134)]",negative,"['gop', 'donaldtrump', 'republicans', 'coronavirus', 'covid', 'gop republicans', 'trump', 'joebiden', 'republicans joebiden', 'us ']"
3,2,115,2_mental_mental health_health_guns,"[('mental', 0.047367960781486945), ('mental health', 0.0469322466342109), ('health', 0.025915149557875893), ('guns', 0.016561159300166987), ('gun', 0.01234300475480744), ('people', 0.010184279483483384), ('dont', 0.007976101938107633), ('school', 0.007522402614566716), ('issue', 0.007452521685075144), ('shootings', 0.007022814477383458)]",negative,"['mental', 'mental health', 'health', 'guns', 'gun', 'people', 'dont', 'school', 'issue', 'shootings ']"
4,3,48,3_nurses_teachers_workers_tory,"[('nurses', 0.06326726244559686), ('teachers', 0.02923083942063504), ('workers', 0.025764912470954693), ('tory', 0.0196296496554441), ('fired', 0.019433431101400583), ('laughed', 0.01737354222849138), ('country', 0.01530133468250243), ('nurses teachers', 0.015257118678226888), ('teachers nurses', 0.015257118678226888), ('government', 0.014618443913590346)]",negative,"['nurses', 'teachers', 'workers', 'tory', 'fired', 'laughed', 'country', 'nurses teachers', 'teachers nurses', 'government ']"
5,4,45,4_vaccine_vaccinated_vaccines_spike,"[('vaccine', 0.03616224038578629), ('vaccinated', 0.027157704162621064), ('vaccines', 0.023603652585301903), ('spike', 0.022631420135517555), ('covid', 0.020837168439524018), ('im', 0.018831231398584513), ('means', 0.016228918895700616), ('means im', 0.01601807222826314), ('care', 0.01543396204524783), ('people', 0.01542986067629585)]",negative,"['vaccine', 'vaccinated', 'vaccines', 'spike', 'covid', 'im', 'means', 'means im', 'care', 'people ']"
6,5,41,5_data_privacy_health_gdpr,"[('data', 0.0456651392656882), ('privacy', 0.020165398143694016), ('health', 0.01894934033916997), ('gdpr', 0.01830892629662005), ('health data', 0.01795829177385918), ('personal', 0.016864298620700994), ('enforcement', 0.016034186214530226), ('make', 0.014393328936807668), ('covid19', 0.014331203135325186), ('users', 0.014077787555303072)]",negative,"['data', 'privacy', 'health', 'gdpr', 'health data', 'personal', 'enforcement', 'make', 'covid', 'users ']"
7,6,39,6_vulnerable_scotland_said_borisjohnson,"[('vulnerable', 0.01323395318185246), ('scotland', 0.013059110163994072), ('said', 0.012471371607576264), ('borisjohnson', 0.01239158928125146), ('tories', 0.011899156216876698), ('dad said', 0.010799795649884215), ('appointments', 0.010799795649884215), ('nhs', 0.01005160387158547), ('dad', 0.009915961739630396), ('patients', 0.00911185371906505)]",negative,"['vulnerable', 'scotland', 'said', 'borisjohnson', 'tories', 'dad said', 'appointments', 'nhs', 'dad', 'patients ']"
8,7,34,7_mask_masks_wear_wearing,"[('mask', 0.06672869092480546), ('masks', 0.03640882661564305), ('wear', 0.027166609154970302), ('wearing', 0.025082614896976666), ('mouth', 0.02163982626684873), ('wear mask', 0.018154159379488857), ('know', 0.015659803871514878), ('nose', 0.014838740666903931), ('nurse', 0.014681380360687122), ('maskwearing', 0.013467792504219516)]",negative,"['mask', 'masks', 'wear', 'wearing', 'mouth', 'wear mask', 'know', 'nose', 'nurse', 'maskwearing ']"
9,8,28,8_detention_migrants_lack_syria,"[('detention', 0.029815981541033296), ('migrants', 0.02107350188195401), ('lack', 0.019804327653990355), ('syria', 0.018502235072684038), ('detention centers', 0.018502235072684038), ('libya', 0.017992288413259158), ('adequate', 0.017561251568295008), ('centers', 0.01656443418946294), ('spread', 0.01631567819811293), ('covid19', 0.015861301515186974)]",negative,"['detention', 'migrants', 'lack', 'syria', 'detention centers', 'libya', 'adequate', 'centers', 'spread', 'covid ']"
