Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,977,-1_health_covid19_amp_care,"[('health', 0.01321743034661278), ('covid19', 0.01055371000037517), ('amp', 0.008590065659655238), ('care', 0.005971285172100767), ('people', 0.005159955912917777), ('healthcare', 0.004788418212350434), ('public', 0.004591047394613582), ('safety', 0.004407083444479077), ('work', 0.004307098163556879), ('new', 0.004176357597774302)]",positive,"['health', 'covid', 'amp', 'care', 'people', 'healthcare', 'public', 'safety', 'work', 'new ']"
1,0,391,0_covid19_health_eu_amp,"[('covid19', 0.02144619619526964), ('health', 0.014266682419441032), ('eu', 0.010708959853459293), ('amp', 0.007408912986343822), ('european', 0.006861408931873072), ('pandemic', 0.005716320956514946), ('crisis', 0.005490007904339507), ('need', 0.005384882504596944), ('covid', 0.005323066473585666), ('healthcare', 0.004957609468651942)]",positive,"['covid', 'health', 'eu', 'amp', 'european', 'pandemic', 'crisis', 'need', 'covid', 'healthcare ']"
2,1,166,1_good_stay_safe_happy,"[('good', 0.03158246938234729), ('stay', 0.02580678238108715), ('safe', 0.025091715074066146), ('happy', 0.020979984810464706), ('day', 0.020941090981928322), ('stay safe', 0.020754758404663797), ('good health', 0.01511281117658711), ('health', 0.014464378186179136), ('morning', 0.014439759135791737), ('safe good', 0.013888958942254297)]",positive,"['good', 'stay', 'safe', 'happy', 'day', 'stay safe', 'good health', 'health', 'morning', 'safe good ']"
3,2,96,2_food_animal_health_standards,"[('food', 0.024044204242471272), ('animal', 0.019577119027136883), ('health', 0.019171911034573944), ('standards', 0.01279995614128659), ('amp', 0.012157456653162394), ('welfare', 0.0107433256826199), ('meat', 0.010188967735787481), ('healthy', 0.008961164970395424), ('animal welfare', 0.008597670744134865), ('worldmilkday', 0.008597670744134865)]",positive,"['food', 'animal', 'health', 'standards', 'amp', 'welfare', 'meat', 'healthy', 'animal welfare', 'worldmilkday ']"
4,3,60,3_mental_mental health_health_psychosocial,"[('mental', 0.07662180220808143), ('mental health', 0.07361341034118128), ('health', 0.032703588069767045), ('psychosocial', 0.01698134696101508), ('support', 0.01357769439953761), ('people', 0.013202406016332036), ('health psychosocial', 0.009636533826816349), ('consultations', 0.009636533826816349), ('mental health psychosocial', 0.009636533826816349), ('psychosocial support', 0.00932108099930539)]",positive,"['mental', 'mental health', 'health', 'psychosocial', 'support', 'people', 'health psychosocial', 'consultations', 'mental health psychosocial', 'psychosocial support ']"
5,4,57,4_cancer_eucancerplan_hand_must,"[('cancer', 0.06355427195334813), ('eucancerplan', 0.03269611937218508), ('hand', 0.02947207071548648), ('must', 0.02717171728683877), ('ewac22', 0.02532137212675709), ('cancer patients', 0.023498213220621327), ('eucanbeatcancer', 0.02127708735898827), ('patients', 0.02085137563461849), ('eucanbeatcancer ewac22', 0.019886247018959132), ('lives', 0.018848320064548663)]",positive,"['cancer', 'eucancerplan', 'hand', 'must', 'ewac', 'cancer patients', 'eucanbeatcancer', 'patients', 'eucanbeatcancer ewac', 'lives ']"
6,5,53,5_nurses_nurse_heroes_teachers,"[('nurses', 0.054520662271778174), ('nurse', 0.052025960620916654), ('heroes', 0.01926136329339991), ('teachers', 0.017725040740718366), ('workers', 0.016138451861076316), ('doctors', 0.01602198320160524), ('union', 0.015103638549857109), ('hospital', 0.015002021756673787), ('like', 0.014934844581662648), ('worker', 0.014064348442223986)]",positive,"['nurses', 'nurse', 'heroes', 'teachers', 'workers', 'doctors', 'union', 'hospital', 'like', 'worker ']"
7,6,49,6_amp_amp safety_health amp safety_safety,"[('amp', 0.029515956716874892), ('amp safety', 0.026215798488167054), ('health amp safety', 0.02490867399722397), ('safety', 0.024716864947221223), ('worker', 0.024483747942615056), ('looking', 0.02160496604147562), ('health amp', 0.018674206962662906), ('job', 0.01806831544021313), ('apply', 0.017244466613462746), ('circular', 0.017078305132590406)]",positive,"['amp', 'amp safety', 'health amp safety', 'safety', 'worker', 'looking', 'health amp', 'job', 'apply', 'circular ']"
8,7,39,7_healthcare_digital_innovation_livinginnovation,"[('healthcare', 0.038625502345127426), ('digital', 0.037279507811548276), ('innovation', 0.021439729022337175), ('livinginnovation', 0.016776975887537064), ('digital solutions', 0.014732312586150466), ('benefits digital', 0.014732312586150466), ('benefits digital solutions', 0.014732312586150466), ('enable', 0.013682702518140803), ('benefits', 0.013047827734041898), ('across', 0.012258430100557027)]",positive,"['healthcare', 'digital', 'innovation', 'livinginnovation', 'digital solutions', 'benefits digital', 'benefits digital solutions', 'enable', 'benefits', 'across ']"
9,8,35,8_cycling_worldbicycleday_mobility_bike,"[('cycling', 0.042594853645315116), ('worldbicycleday', 0.03926672774405561), ('mobility', 0.021790389155651197), ('bike', 0.020044637009560055), ('health', 0.017751482651603406), ('today', 0.017329274520482277), ('safe', 0.017025153454046264), ('air', 0.01676381436566162), ('amp', 0.01649692079474182), ('today celebrating worldbicycleday', 0.01570182099668397)]",positive,"['cycling', 'worldbicycleday', 'mobility', 'bike', 'health', 'today', 'safe', 'air', 'amp', 'today celebrating worldbicycleday ']"
10,9,34,9_vaccine_production_vaccines_covid19,"[('vaccine', 0.0502044320708435), ('production', 0.028090328250276537), ('vaccines', 0.02473361741337158), ('covid19', 0.02214749845342699), ('covid19 vaccine', 0.019385635580376988), ('vaccine production', 0.0173939348283393), ('health crises', 0.01438607744035024), ('future health crises', 0.01438607744035024), ('covid19 vaccines', 0.014020054495698509), ('biontech', 0.013915147862671439)]",positive,"['vaccine', 'production', 'vaccines', 'covid', 'covid vaccine', 'vaccine production', 'health crises', 'future health crises', 'covid vaccines', 'biontech ']"
11,10,33,10_data_sharing_report_healthdata,"[('data', 0.04685494407823716), ('sharing', 0.02853349579119734), ('report', 0.023813116584570783), ('healthdata', 0.022439581752630364), ('health', 0.02150882303331776), ('report health', 0.016297333689157992), ('read eesc', 0.016297333689157992), ('cooperation beyond covid19', 0.016297333689157992), ('report health challenges', 0.016297333689157992), ('read eesc report', 0.016297333689157992)]",positive,"['data', 'sharing', 'report', 'healthdata', 'health', 'report health', 'read eesc', 'cooperation beyond covid', 'report health challenges', 'read eesc report ']"
12,11,33,11_amp_health_seminar_tech,"[('amp', 0.02059904900951149), ('health', 0.019949013462171674), ('seminar', 0.01928829843723015), ('tech', 0.018109448777483474), ('sign receive', 0.017645615557366715), ('hta', 0.01638844594214614), ('receive', 0.015537356748222552), ('sign', 0.01509120731456956), ('health tech', 0.014594236117139872), ('sign receive event', 0.014594236117139872)]",positive,"['amp', 'health', 'seminar', 'tech', 'sign receive', 'hta', 'receive', 'sign', 'health tech', 'sign receive event ']"
13,12,32,12_night_sleep_good night_good,"[('night', 0.11809080447069381), ('sleep', 0.11803411234588011), ('good night', 0.11803411234588011), ('good', 0.11452505230692067), ('sweet dreams', 0.09985905177497673), ('sweet', 0.09804041731396267), ('dreams', 0.09804041731396267), ('stay', 0.09026117643712361), ('jimmy', 0.0848706327300812), ('safe', 0.08322085499565272)]",positive,"['night', 'sleep', 'good night', 'good', 'sweet dreams', 'sweet', 'dreams', 'stay', 'jimmy', 'safe ']"
14,13,31,13_examples_team_hopeagora2022 hopeep2022_hopeep2022,"[('examples', 0.050219598178274885), ('team', 0.04329372757873814), ('hopeagora2022 hopeep2022', 0.0429510616264318), ('hopeep2022', 0.0429510616264318), ('hopeep2022 hospitals healthcare', 0.0418496651485624), ('presenting', 0.04175674091468532), ('hopeagora2022', 0.03950159707635169), ('healthcare', 0.039496469554870496), ('hopeep2022 hospitals', 0.03921645737591714), ('hopeagora2022 hopeep2022 hospitals', 0.03921645737591714)]",positive,"['examples', 'team', 'hopeagora hopeep', 'hopeep', 'hopeep hospitals healthcare', 'presenting', 'hopeagora', 'healthcare', 'hopeep hospitals', 'hopeagora hopeep hospitals ']"
15,14,29,14_amp_covid19_operational_hospitals,"[('amp', 0.048273564146622844), ('covid19', 0.024800481852905818), ('operational', 0.023911274756358222), ('hospitals', 0.02217734799957545), ('amp solutions challenges', 0.017230098707507215), ('solutions challenges identified', 0.017230098707507215), ('covid19 shortages', 0.017230098707507215), ('identified covid19 shortages', 0.017230098707507215), ('identified covid19', 0.017230098707507215), ('identified', 0.017230098707507215)]",positive,"['amp', 'covid', 'operational', 'hospitals', 'amp solutions challenges', 'solutions challenges identified', 'covid shortages', 'identified covid shortages', 'identified covid', 'identified ']"
16,15,28,15_hopeep2022_hopeagora2022 hopeep2022_team_hopeagora2022,"[('hopeep2022', 0.04255058552735085), ('hopeagora2022 hopeep2022', 0.04255058552735085), ('team', 0.040871700861046495), ('hopeagora2022', 0.039133283816898526), ('hospitals', 0.037046251772018084), ('hopeagora2022 hopeep2022 hospitals', 0.0356513248871974), ('hopeep2022 hospitals', 0.0356513248871974), ('programme', 0.03520971348655641), ('healthcare', 0.03255203534742074), ('good practices', 0.030038851523045716)]",positive,"['hopeep', 'hopeagora hopeep', 'team', 'hopeagora', 'hospitals', 'hopeagora hopeep hospitals', 'hopeep hospitals', 'programme', 'healthcare', 'good practices ']"
17,16,26,16_refugees_ukrainian_standwithukraine_ukraine,"[('refugees', 0.036172373601781375), ('ukrainian', 0.026968931084039843), ('standwithukraine', 0.023569048268242538), ('ukraine', 0.022052024885439073), ('ukrainian refugees', 0.021147539261429857), ('eu', 0.01881918724214954), ('war', 0.01722824632273571), ('health', 0.014839489384258457), ('free public education', 0.013671709086997509), ('refugees legally live', 0.013671709086997509)]",positive,"['refugees', 'ukrainian', 'standwithukraine', 'ukraine', 'ukrainian refugees', 'eu', 'war', 'health', 'free public education', 'refugees legally live ']"
18,17,26,17_vaccines_vaccine_vaccination_vaccinated,"[('vaccines', 0.04597996132780398), ('vaccine', 0.03507135295931207), ('vaccination', 0.03333654728573975), ('vaccinated', 0.031319283000815275), ('building', 0.02365010066784187), ('risk', 0.019708417223201557), ('internationalchildrensday', 0.016425039389240063), ('vaccinated today', 0.016425039389240063), ('throughout life read', 0.016425039389240063), ('disease promote', 0.016425039389240063)]",positive,"['vaccines', 'vaccine', 'vaccination', 'vaccinated', 'building', 'risk', 'internationalchildrensday', 'vaccinated today', 'throughout life read', 'disease promote ']"
19,18,21,18_mask_masks_wear_face mask,"[('mask', 0.07427473950078739), ('masks', 0.046099218551228255), ('wear', 0.02830728168246329), ('face mask', 0.026160273385766573), ('wear mask', 0.024013154728559295), ('n95', 0.02044846402349195), ('wearing', 0.02044846402349195), ('face', 0.01980659720020997), ('staysafe', 0.016460535323991554), ('people', 0.014933557237493731)]",positive,"['mask', 'masks', 'wear', 'face mask', 'wear mask', 'n', 'wearing', 'face', 'staysafe', 'people ']"
20,19,21,19_medicines_safer_pvc_lead,"[('medicines', 0.03956952826764178), ('safer', 0.027860681913779835), ('pvc', 0.022750914448273183), ('lead', 0.022661759857900667), ('pharma', 0.019694489711909294), ('needs', 0.01846826223559722), ('use', 0.018109367599886638), ('programme projects', 0.0177835012936133), ('medicines means', 0.0177835012936133), ('programme projects protect', 0.0177835012936133)]",positive,"['medicines', 'safer', 'pvc', 'lead', 'pharma', 'needs', 'use', 'programme projects', 'medicines means', 'programme projects protect ']"
21,20,18,20_airpollution_air_pollution_airquality,"[('airpollution', 0.04578893146176716), ('air', 0.04082894160835357), ('pollution', 0.039051239603996764), ('airquality', 0.03904450135162819), ('region', 0.03776011018750019), ('cleanair4health', 0.03729370747322524), ('experts', 0.03326704369845155), ('westernbalkans', 0.032537084459690155), ('air pollution', 0.03175520080339205), ('health', 0.028698727945369762)]",positive,"['airpollution', 'air', 'pollution', 'airquality', 'region', 'cleanairhealth', 'experts', 'westernbalkans', 'air pollution', 'health ']"
22,21,13,21_brain_brain health_disorders_research,"[('brain', 0.07673927143605283), ('brain health', 0.04287333154953944), ('disorders', 0.027717253969342607), ('research', 0.02758889991859697), ('neurological', 0.025012883678386805), ('health', 0.02339924693273046), ('plan epilepsy', 0.019533348549489054), ('action plan', 0.019533348549489054), ('neurological disorders', 0.019533348549489054), ('global action', 0.019533348549489054)]",positive,"['brain', 'brain health', 'disorders', 'research', 'neurological', 'health', 'plan epilepsy', 'action plan', 'neurological disorders', 'global action ']"
23,22,13,22_hospital_data_damir_damir ivankovic,"[('hospital', 0.09108370352266228), ('data', 0.08027472134798458), ('damir', 0.06131496767527758), ('damir ivankovic', 0.06131496767527758), ('hopeagora2022 damir', 0.06131496767527758), ('hopeagora2022 damir ivankovic', 0.06131496767527758), ('hospital data', 0.06131496767527758), ('ivankovic', 0.06131496767527758), ('beyond hospital', 0.06131496767527758), ('beyond hospital data', 0.06131496767527758)]",positive,"['hospital', 'data', 'damir', 'damir ivankovic', 'hopeagora damir', 'hopeagora damir ivankovic', 'hospital data', 'ivankovic', 'beyond hospital', 'beyond hospital data ']"
24,23,13,23_wec2022brussels_impact covid19_impact_workingforyou,"[('wec2022brussels', 0.0649442182052195), ('impact covid19', 0.04837278493466982), ('impact', 0.046912108357216396), ('workingforyou', 0.041985899503856255), ('regarding discrimination education', 0.029588977684433127), ('employment conference', 0.029588977684433127), ('youth interesting perspectives', 0.029588977684433127), ('employability security', 0.029588977684433127), ('people express world', 0.029588977684433127), ('employability security flexibility', 0.029588977684433127)]",positive,"['wecbrussels', 'impact covid', 'impact', 'workingforyou', 'regarding discrimination education', 'employment conference', 'youth interesting perspectives', 'employability security', 'people express world', 'employability security flexibility ']"
25,24,12,24_disabilities_persons disabilities_persons_disability,"[('disabilities', 0.04646411537626435), ('persons disabilities', 0.03967347101404599), ('persons', 0.03872009614688696), ('disability', 0.03173877681123679), ('accessible', 0.02831130486951708), ('discussion', 0.02554977408354223), ('quality life', 0.021909204633044077), ('quality', 0.021804719878384813), ('health', 0.020677826285747998), ('quality life persons', 0.018589357727394788)]",positive,"['disabilities', 'persons disabilities', 'persons', 'disability', 'accessible', 'discussion', 'quality life', 'quality', 'health', 'quality life persons ']"
26,25,12,25_take care_safe_take_stay safe,"[('take care', 0.18851127560180828), ('safe', 0.18618903151569763), ('take', 0.16942057373547337), ('stay safe', 0.16211299249887262), ('care safe', 0.14470730444445248), ('take care safe', 0.14470730444445248), ('stay', 0.13926914423962963), ('care', 0.13305535631768167), ('stay safe healthy', 0.10853047833333936), ('safe healthy', 0.09681026707500119)]",positive,"['take care', 'safe', 'take', 'stay safe', 'care safe', 'take care safe', 'stay', 'care', 'stay safe healthy', 'safe healthy ']"
27,26,12,26_water_directive_keeping_waste water,"[('water', 0.08558110065170282), ('directive', 0.0399749544157447), ('keeping', 0.02805163871843085), ('waste water', 0.02782594908294787), ('key', 0.027006817252090577), ('affordability', 0.02669886724959118), ('drinking water', 0.02669886724959118), ('drinking', 0.024507543208264926), ('waste', 0.023524160054817948), ('environment', 0.02037351886058265)]",positive,"['water', 'directive', 'keeping', 'waste water', 'key', 'affordability', 'drinking water', 'drinking', 'waste', 'environment ']"
