Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2098,-1_health_care_covid_get,"[('health', 0.009606509432165188), ('care', 0.006088093471505603), ('covid', 0.005613006758571341), ('get', 0.004759488354933746), ('amp', 0.004707236459979584), ('people', 0.004484732323005841), ('health care', 0.004458425233669986), ('covid19', 0.00421640747296837), ('public', 0.004192080435365205), ('need', 0.003796566755294446)]",neutral,"['health', 'care', 'covid', 'get', 'amp', 'people', 'health care', 'covid', 'public', 'need ']"
1,0,494,0_vaccine_covid_covid19_vaccines,"[('vaccine', 0.01674310079950021), ('covid', 0.014772397259459388), ('covid19', 0.013739380680510654), ('vaccines', 0.009498020833547583), ('people', 0.008060442404662723), ('care', 0.0069813357364309015), ('get', 0.006898657038826217), ('health', 0.005808734098924211), ('dont', 0.005506171556021933), ('vaccinated', 0.005456811553985149)]",neutral,"['vaccine', 'covid', 'covid', 'vaccines', 'people', 'care', 'get', 'health', 'dont', 'vaccinated ']"
2,1,480,1_mental_mental health_health_need,"[('mental', 0.038760526880495375), ('mental health', 0.03781918209067033), ('health', 0.019222634742638002), ('need', 0.007466016424901169), ('mental health issues', 0.0062526826488653224), ('im', 0.006061628379317114), ('issues', 0.0058183018974154906), ('health issues', 0.005603201363534928), ('help', 0.005515982709508595), ('okay', 0.004778698633991883)]",neutral,"['mental', 'mental health', 'health', 'need', 'mental health issues', 'im', 'issues', 'health issues', 'help', 'okay ']"
3,2,388,2_health care_care_healthcare_health,"[('health care', 0.016496155387002085), ('care', 0.015619849258481186), ('healthcare', 0.014947906028622738), ('health', 0.013683515106931006), ('alberta', 0.0100815931156597), ('ucp', 0.008567768891263537), ('albertans', 0.00773735356050215), ('system', 0.00706699640118234), ('provinces', 0.006502059230701846), ('education', 0.0060316921384614645)]",neutral,"['health care', 'care', 'healthcare', 'health', 'alberta', 'ucp', 'albertans', 'system', 'provinces', 'education ']"
4,3,250,3_mask_masks_wear_wearing,"[('mask', 0.04427435486773877), ('masks', 0.02117774079120877), ('wear', 0.01970738452596808), ('wearing', 0.018408917410589316), ('wear mask', 0.012586524923473303), ('wearing mask', 0.010857984503530248), ('people', 0.009210374543408801), ('face', 0.006928993344927332), ('one', 0.006018309280533237), ('n95', 0.005945822510172657)]",neutral,"['mask', 'masks', 'wear', 'wearing', 'wear mask', 'wearing mask', 'people', 'face', 'one', 'n ']"
5,4,167,4_nurse_oilers_keith_broberg,"[('nurse', 0.04874538035335941), ('oilers', 0.015895945814120772), ('keith', 0.014666169735316594), ('broberg', 0.014031102086264314), ('kulak', 0.013388249527583196), ('right', 0.010916095618740447), ('nurses', 0.009103883758659927), ('would', 0.008679653974927927), ('bouchard', 0.008622399520109687), ('hes', 0.008336651601964201)]",neutral,"['nurse', 'oilers', 'keith', 'broberg', 'kulak', 'right', 'nurses', 'would', 'bouchard', 'hes ']"
6,5,113,5_kids_school_parents_schools,"[('kids', 0.02514314262488932), ('school', 0.0230172362685852), ('parents', 0.016021452641762815), ('schools', 0.015837486292978802), ('children', 0.013957109196802315), ('safe', 0.012327135924241199), ('child', 0.009134202402573573), ('health', 0.009097534585895172), ('covid', 0.008214345181960512), ('mask mandates', 0.007498793942076661)]",neutral,"['kids', 'school', 'parents', 'schools', 'children', 'safe', 'child', 'health', 'covid', 'mask mandates ']"
7,6,95,6_gun_guns_mental_mental health,"[('gun', 0.03037682339343512), ('guns', 0.026341797678167463), ('mental', 0.023706412780453934), ('mental health', 0.02364883373869785), ('police', 0.013962299179063426), ('issue', 0.012791832778132424), ('checks', 0.012709040146230909), ('health', 0.012149993244667362), ('laws', 0.011609273527128695), ('people', 0.011085428674298974)]",neutral,"['gun', 'guns', 'mental', 'mental health', 'police', 'issue', 'checks', 'health', 'laws', 'people ']"
8,7,74,7_weight_health_diet_nutrition,"[('weight', 0.017146703947034183), ('health', 0.014879263784380021), ('diet', 0.013615409383424855), ('nutrition', 0.011949614114473006), ('fitness', 0.011807232278408526), ('healthy', 0.011153298496637067), ('exercise', 0.010754222145184242), ('calories', 0.010275124435943988), ('weightlossjourney', 0.010275124435943988), ('healthyeating', 0.010275124435943988)]",neutral,"['weight', 'health', 'diet', 'nutrition', 'fitness', 'healthy', 'exercise', 'calories', 'weightlossjourney', 'healthyeating ']"
9,8,67,8_workers_care_ive_nurse,"[('workers', 0.016215601609117537), ('care', 0.011898373473048065), ('ive', 0.0118441406654537), ('nurse', 0.011611964903859592), ('work', 0.010288579436387165), ('worker', 0.009547505517929754), ('think', 0.00953833898572127), ('health care', 0.008608781831132112), ('like', 0.008586833281586772), ('respect', 0.008449703365827826)]",neutral,"['workers', 'care', 'ive', 'nurse', 'work', 'worker', 'think', 'health care', 'like', 'respect ']"
