Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,10018,-1_health_care_people_covid,"[('health', 0.003917588964167588), ('care', 0.0030155546472465256), ('people', 0.0029131294504736636), ('covid', 0.00286271011454907), ('mental', 0.00268064434771063), ('covid19', 0.0026181761545842953), ('amp', 0.002604015200733872), ('mental health', 0.002577350607815098), ('public', 0.0024354642695494574), ('health care', 0.002422597979890027)]",negative,"['health', 'care', 'people', 'covid', 'mental', 'covid', 'amp', 'mental health', 'public', 'health care ']"
1,0,1094,0_mask_masks_wear_wearing,"[('mask', 0.02574512847451445), ('masks', 0.014908400830645145), ('wear', 0.014255964439898263), ('wearing', 0.012584376133080591), ('wear mask', 0.010090945771344518), ('wearing mask', 0.008223686142593455), ('dont', 0.004121362517727111), ('wear masks', 0.0036452177312822115), ('people', 0.0034941918237568438), ('face', 0.003454912363233777)]",negative,"['mask', 'masks', 'wear', 'wearing', 'wear mask', 'wearing mask', 'dont', 'wear masks', 'people', 'face ']"
2,1,995,1_vaccine_vaccines_vaccinated_get,"[('vaccine', 0.017528828711833814), ('vaccines', 0.0113472926145866), ('vaccinated', 0.0067262363248631225), ('get', 0.005162964370029598), ('canada', 0.004682344190333192), ('vaccination', 0.003936014654615797), ('covid', 0.0037475666578991903), ('health canada', 0.0036222821394909102), ('shot', 0.0035477860713024013), ('unvaccinated', 0.003458397591159317)]",negative,"['vaccine', 'vaccines', 'vaccinated', 'get', 'canada', 'vaccination', 'covid', 'health canada', 'shot', 'unvaccinated ']"
3,2,729,2_nurse_nurses_hospital_oilers,"[('nurse', 0.017872999993379397), ('nurses', 0.011103011338279742), ('hospital', 0.006186742466762198), ('oilers', 0.005270507818678692), ('emergency', 0.003941751906816557), ('doctors', 0.0037197211072937187), ('hes', 0.0037140236428389916), ('hospitals', 0.0033599339800851886), ('staff', 0.003200146671344986), ('doctors nurses', 0.0031592797865775805)]",negative,"['nurse', 'nurses', 'hospital', 'oilers', 'emergency', 'doctors', 'hes', 'hospitals', 'staff', 'doctors nurses ']"
4,3,530,3_mental_mental health_health_mental health issues,"[('mental', 0.02649765888210829), ('mental health', 0.025933249483410806), ('health', 0.008626739244274196), ('mental health issues', 0.005068274792184646), ('issues', 0.004164853955841288), ('health issues', 0.004095473597431378), ('im', 0.003948041886199435), ('children', 0.0037293145167149786), ('day', 0.003578303190219411), ('kids', 0.0035478402797419132)]",negative,"['mental', 'mental health', 'health', 'mental health issues', 'issues', 'health issues', 'im', 'children', 'day', 'kids ']"
5,4,338,4_trump_campaign_gop_vote,"[('trump', 0.01418272180383952), ('campaign', 0.0071884818137576125), ('gop', 0.007059730830219289), ('vote', 0.005641088849958422), ('president', 0.0054537584650000736), ('biden', 0.005135687785291762), ('ukraine', 0.004488864006575091), ('election', 0.004347800661549148), ('political', 0.004091019122258086), ('politicians', 0.00376610620627058)]",negative,"['trump', 'campaign', 'gop', 'vote', 'president', 'biden', 'ukraine', 'election', 'political', 'politicians ']"
6,5,292,5_schools_teachers_school_education,"[('schools', 0.015045480988663687), ('teachers', 0.014558692201970477), ('school', 0.014113933827633417), ('education', 0.008655994890855584), ('kids', 0.008272422402942748), ('students', 0.008157769467052019), ('children', 0.005658356104093319), ('daycare', 0.0052587692934883915), ('childcare', 0.0052245698709960054), ('parents', 0.004991760060979359)]",negative,"['schools', 'teachers', 'school', 'education', 'kids', 'students', 'children', 'daycare', 'childcare', 'parents ']"
7,6,289,6_alberta_albertans_alberta health_ucp,"[('alberta', 0.020247749470753258), ('albertans', 0.010338791855970836), ('alberta health', 0.008596975034883325), ('ucp', 0.007302450631039962), ('healthcare', 0.007060586810366988), ('canada', 0.0070453294432326384), ('health care', 0.006873757199583226), ('care', 0.006112696788379494), ('education', 0.005651413256084209), ('health', 0.005217859010595217)]",negative,"['alberta', 'albertans', 'alberta health', 'ucp', 'healthcare', 'canada', 'health care', 'care', 'education', 'health ']"
8,7,226,7_covid_scared_covid19_people,"[('covid', 0.01585305861646584), ('scared', 0.00925279001699766), ('covid19', 0.007443091570388177), ('people', 0.006006745910323981), ('dont care', 0.005044966892267098), ('like', 0.004757415193052034), ('care', 0.004730020063801794), ('doesnt', 0.004632551026665732), ('dont', 0.004589414432867206), ('covid doesnt care', 0.003914017466038064)]",negative,"['covid', 'scared', 'covid', 'people', 'dont care', 'like', 'care', 'doesnt', 'dont', 'covid doesnt care ']"
9,8,219,8_insurance_health insurance_universal_pay,"[('insurance', 0.017525625125976697), ('health insurance', 0.014334251957514685), ('universal', 0.009389806799193092), ('pay', 0.009338176415999485), ('health care', 0.008707784587563092), ('healthcare', 0.008675912076547656), ('care', 0.007741438558595861), ('homeless', 0.00657346841253372), ('universal healthcare', 0.006033949690949304), ('free', 0.006008983455051989)]",negative,"['insurance', 'health insurance', 'universal', 'pay', 'health care', 'healthcare', 'care', 'homeless', 'universal healthcare', 'free ']"
10,9,219,9_gun_guns_mental health_mental,"[('gun', 0.032221771929594877), ('guns', 0.02258827007256361), ('mental health', 0.013513687600005455), ('mental', 0.013181779485436352), ('problem', 0.011485891699315413), ('shootings', 0.010245207364395784), ('laws', 0.009177962540873), ('mass', 0.00778664150992142), ('mass shootings', 0.0068861855159945435), ('violence', 0.006454435161221481)]",negative,"['gun', 'guns', 'mental health', 'mental', 'problem', 'shootings', 'laws', 'mass', 'mass shootings', 'violence ']"
