Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,7853,-1_health_mental_amp_mental health,"[('health', 0.0038315290275478045), ('mental', 0.0031216788718015326), ('amp', 0.00300632807005468), ('mental health', 0.0030051311154973056), ('care', 0.002997578581471468), ('covid19', 0.002791143162517109), ('safe', 0.0026203705189153095), ('people', 0.0025055937360955968), ('covid', 0.002469319031271602), ('health care', 0.0022123085804280794)]",positive,"['health', 'mental', 'amp', 'mental health', 'care', 'covid', 'safe', 'people', 'covid', 'health care ']"
1,0,1474,0_vaccine_alberta_covid19_covid,"[('vaccine', 0.008612442434809565), ('alberta', 0.00736198212296472), ('covid19', 0.005998332255050021), ('covid', 0.005005070690456802), ('vaccines', 0.004944145646416158), ('canada', 0.004082144604423636), ('get', 0.0038382252860987343), ('health', 0.003574716465953667), ('alberta health', 0.003431867589439813), ('public', 0.0033746809984268786)]",positive,"['vaccine', 'alberta', 'covid', 'covid', 'vaccines', 'canada', 'get', 'health', 'alberta health', 'public ']"
2,1,602,1_happiness_happy_birthday_safe,"[('happiness', 0.01627392431527455), ('happy', 0.01568391795856747), ('birthday', 0.013014854048400635), ('safe', 0.012669702162629488), ('stay', 0.011402178407505802), ('stay safe', 0.011091710121307458), ('good', 0.010853627918954679), ('healthy', 0.010595951138927482), ('health happiness', 0.010290650283344702), ('happy birthday', 0.010159378061949222)]",positive,"['happiness', 'happy', 'birthday', 'safe', 'stay', 'stay safe', 'good', 'healthy', 'health happiness', 'happy birthday ']"
3,2,574,2_mental health_mental_health_youth,"[('mental health', 0.022678540943789096), ('mental', 0.022627454196542503), ('health', 0.007732080494943729), ('youth', 0.006449965619239598), ('mental health issues', 0.004604774010436021), ('issues', 0.004415711315585803), ('mentalhealth', 0.004321040840543338), ('resources', 0.0038497923298943817), ('support', 0.0037481342704155053), ('health issues', 0.0037147571969785823)]",positive,"['mental health', 'mental', 'health', 'youth', 'mental health issues', 'issues', 'mentalhealth', 'resources', 'support', 'health issues ']"
4,3,443,3_mask_masks_wear_wear mask,"[('mask', 0.0345864454690544), ('masks', 0.017662021029067124), ('wear', 0.015599148942746596), ('wear mask', 0.01184519009981355), ('wearing', 0.010147835634820935), ('wearing mask', 0.00765227790526663), ('face', 0.005328408933746812), ('mandatory', 0.00458150537400411), ('others', 0.00456219241233549), ('protect', 0.00407722523992503)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'wearing mask', 'face', 'mandatory', 'others', 'protect ']"
5,4,402,4_nurse_nurses_doctors_oilers,"[('nurse', 0.0276196661196605), ('nurses', 0.02358420339171019), ('doctors', 0.005897640519575113), ('oilers', 0.005606203353759593), ('doctors nurses', 0.0051603705553610385), ('darnell nurse', 0.0044472825829547395), ('darnell', 0.0044472825829547395), ('contract', 0.004189004298932028), ('like', 0.003972864490814811), ('nursing', 0.003838255426956342)]",positive,"['nurse', 'nurses', 'doctors', 'oilers', 'doctors nurses', 'darnell nurse', 'darnell', 'contract', 'like', 'nursing ']"
6,5,266,5_school_students_kids_schools,"[('school', 0.013249588213509762), ('students', 0.01284527469874107), ('kids', 0.012802832307748377), ('schools', 0.011702011559173834), ('teachers', 0.010954567773128868), ('children', 0.010928505175600178), ('parents', 0.0056272749345350195), ('learning', 0.0054810023936065246), ('safe', 0.0053091548904222186), ('staff', 0.005218881905464028)]",positive,"['school', 'students', 'kids', 'schools', 'teachers', 'children', 'parents', 'learning', 'safe', 'staff ']"
7,6,222,6_gut_benefits_health benefits_healthyeating,"[('gut', 0.013562065620481224), ('benefits', 0.012288634957530993), ('health benefits', 0.012016917907064276), ('healthyeating', 0.011353746585756537), ('gut health', 0.009940589836649456), ('diet', 0.009046506205453319), ('weightloss', 0.008896830019056225), ('nutrition', 0.008881510590105161), ('supplements', 0.008099358835227805), ('food', 0.0080385863504192)]",positive,"['gut', 'benefits', 'health benefits', 'healthyeating', 'gut health', 'diet', 'weightloss', 'nutrition', 'supplements', 'food ']"
8,7,209,7_quality health index_health index_air quality health_index,"[('quality health index', 0.11448566146316473), ('health index', 0.11448566146316473), ('air quality health', 0.11434157085297413), ('index', 0.11391276289351118), ('air quality', 0.11334413711886457), ('quality health', 0.11251963616850033), ('air', 0.10670999108797928), ('history', 0.10639111548378903), ('quality', 0.10108680853569298), ('history thu', 0.05504318080745703)]",positive,"['quality health index', 'health index', 'air quality health', 'index', 'air quality', 'quality health', 'air', 'history', 'quality', 'history thu ']"
9,8,194,8_hockey_players_play_gaming,"[('hockey', 0.011259349300643491), ('players', 0.009908227384566273), ('play', 0.00892228084808072), ('gaming', 0.007663931170677226), ('athletes', 0.007663931170677226), ('coaches', 0.00748600267165339), ('sports', 0.007387147351355461), ('games', 0.007205983552411834), ('sport', 0.006824590917868927), ('football', 0.006698121117796296)]",positive,"['hockey', 'players', 'play', 'gaming', 'athletes', 'coaches', 'sports', 'games', 'sport', 'football ']"
