Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1236,-1_health_covid19_covid_amp,"[('health', 0.011139077818831607), ('covid19', 0.005655285690648297), ('covid', 0.00500770714364828), ('amp', 0.00494278846452014), ('care', 0.004541343242743078), ('medical', 0.004483037901327995), ('people', 0.004386029751598748), ('like', 0.004372505951968735), ('good', 0.004310266246527631), ('hospital', 0.0040331436690072735)]",neutral,"['health', 'covid', 'covid', 'amp', 'care', 'medical', 'people', 'like', 'good', 'hospital ']"
1,0,236,0_dad_health_blood_hospital,"[('dad', 0.020043675212691955), ('health', 0.014814252945003336), ('blood', 0.012457817718294087), ('hospital', 0.012304559111736647), ('take', 0.012152968192126369), ('good', 0.011964739065767187), ('please', 0.010700591133989577), ('dont', 0.009257626952784684), ('good health', 0.008999714512250569), ('need', 0.0089771563730388)]",neutral,"['dad', 'health', 'blood', 'hospital', 'take', 'good', 'please', 'dont', 'good health', 'need ']"
2,1,196,1_covid_covid19_patients_hospitals,"[('covid', 0.0171618985977159), ('covid19', 0.01621504094363369), ('patients', 0.010857089634582012), ('hospitals', 0.008924744473941955), ('may', 0.008414702810405498), ('virus', 0.008199398323724214), ('hospital', 0.007846983921231695), ('doctors', 0.006893896250578839), ('covid 19', 0.0066900169847188265), ('19', 0.0066900169847188265)]",neutral,"['covid', 'covid', 'patients', 'hospitals', 'may', 'virus', 'hospital', 'doctors', 'covid', '', '']"
3,2,182,2_mental_mental health_health_issues,"[('mental', 0.06211525162748655), ('mental health', 0.06128730845289685), ('health', 0.02709019712173538), ('issues', 0.009194662646780273), ('okay', 0.008056574543413244), ('mental health issues', 0.007134531038543404), ('physical', 0.0071036923917138445), ('think', 0.007102590689254388), ('dont', 0.006973343799508235), ('health issues', 0.006742452224798487)]",neutral,"['mental', 'mental health', 'health', 'issues', 'okay', 'mental health issues', 'physical', 'think', 'dont', 'health issues ']"
4,3,161,3_mask_wear_wearing_wear mask,"[('mask', 0.043621357994314165), ('wear', 0.022853184661260004), ('wearing', 0.01861136250837042), ('wear mask', 0.016860625100082943), ('masks', 0.016308855363973467), ('wearing mask', 0.013632603469833734), ('need', 0.008696834956671954), ('distancing', 0.008225469862369049), ('social', 0.00791445694764193), ('safe', 0.007885118722826589)]",neutral,"['mask', 'wear', 'wearing', 'wear mask', 'masks', 'wearing mask', 'need', 'distancing', 'social', 'safe ']"
5,4,111,4_assam_bihar_covid19_health,"[('assam', 0.028613368031583448), ('bihar', 0.015404333869461814), ('covid19', 0.015372714523129237), ('health', 0.011247524523722713), ('minister', 0.009193207612480096), ('covid', 0.00875045945399029), ('bjp', 0.008228180899255621), ('india', 0.007925883143480862), ('situation', 0.007756419773290682), ('nagaon', 0.007352616275263388)]",neutral,"['assam', 'bihar', 'covid', 'health', 'minister', 'covid', 'bjp', 'india', 'situation', 'nagaon ']"
6,5,95,5_china_hk_taiwan_shanghai,"[('china', 0.01945041014270788), ('hk', 0.01698248238011983), ('taiwan', 0.013694064570525685), ('shanghai', 0.012215503002197474), ('singapore', 0.011500469348765313), ('hong', 0.010877623308343694), ('kong', 0.010189489428071899), ('hong kong', 0.010189489428071899), ('covid19', 0.008709751480753494), ('covid', 0.008653958274215109)]",neutral,"['china', 'hk', 'taiwan', 'shanghai', 'singapore', 'hong', 'kong', 'hong kong', 'covid', 'covid ']"
7,6,91,6_vaccine_vaccines_vaccination_vaccinated,"[('vaccine', 0.028043968762444228), ('vaccines', 0.027091210032770013), ('vaccination', 0.016138670234340735), ('vaccinated', 0.015189336691144221), ('people', 0.014956551178510961), ('covid', 0.009286699880316326), ('health', 0.008839585386237173), ('covid19', 0.007677541659597187), ('numbers', 0.0067433057231851955), ('might', 0.006435740614283148)]",neutral,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'people', 'covid', 'health', 'covid', 'numbers', 'might ']"
8,7,76,7_exam_students_exams_important,"[('exam', 0.04111051175014243), ('students', 0.036508035306362215), ('exams', 0.03345121638472897), ('important', 0.015949651325989155), ('health', 0.015199983381750186), ('sir', 0.015054011360294788), ('take', 0.014753988244311757), ('please', 0.013419035544643047), ('students health', 0.012758213666605128), ('cancel', 0.012511311517412776)]",neutral,"['exam', 'students', 'exams', 'important', 'health', 'sir', 'take', 'please', 'students health', 'cancel ']"
9,8,53,8_public_health_insurance_public health,"[('public', 0.03311359369776279), ('health', 0.02863625561160953), ('insurance', 0.028229865026002488), ('public health', 0.027277615715752424), ('health insurance', 0.023532961424670835), ('universal health', 0.014904875294079398), ('covered', 0.014231868093285784), ('universal', 0.014231868093285784), ('health care', 0.013396281977450311), ('universal health care', 0.012265265132617574)]",neutral,"['public', 'health', 'insurance', 'public health', 'health insurance', 'universal health', 'covered', 'universal', 'health care', 'universal health care ']"
