Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,6110,-1_health_people_covid19_covid,"[('health', 0.0034774487193270196), ('people', 0.002897918537850504), ('covid19', 0.002759608509012681), ('covid', 0.0027464708289523325), ('amp', 0.0024753434671244525), ('care', 0.0023540357307115824), ('dont', 0.002120319104396783), ('medical', 0.0020496385572024204), ('one', 0.001877062787270968), ('like', 0.0018633555397268376)]",negative,"['health', 'people', 'covid', 'covid', 'amp', 'care', 'dont', 'medical', 'one', 'like ']"
1,0,672,0_bihar_biharhealthdept_cases bihar_biharfightscorona,"[('bihar', 0.0224744625556617), ('biharhealthdept', 0.019847539317805883), ('cases bihar', 0.01776067262877437), ('biharfightscorona', 0.01730097399905566), ('cases', 0.017199611630134337), ('biharhealthdept covid19', 0.01661113144038735), ('total', 0.014981266501873288), ('update day', 0.01494616527895748), ('taking total', 0.014696479459414769), ('update', 0.014596283658184356)]",negative,"['bihar', 'biharhealthdept', 'cases bihar', 'biharfightscorona', 'cases', 'biharhealthdept covid', 'total', 'update day', 'taking total', 'update ']"
2,1,604,1_mask_masks_wear_wearing,"[('mask', 0.03208063125223977), ('masks', 0.014143604620785555), ('wear', 0.013115945539702332), ('wearing', 0.012224764479406534), ('wear mask', 0.010606682638415707), ('wearing mask', 0.009199397014978496), ('face', 0.007165396972979647), ('face mask', 0.005503894336951387), ('n95', 0.004749768222578042), ('people', 0.0045789089288713345)]",negative,"['mask', 'masks', 'wear', 'wearing', 'wear mask', 'wearing mask', 'face', 'face mask', 'n', 'people ']"
3,2,595,2_dad_hospital_doctor_private hospital,"[('dad', 0.01983988852336642), ('hospital', 0.014980834834826713), ('doctor', 0.0142537601578467), ('private hospital', 0.011942889622284921), ('private', 0.010875454129735231), ('government hospital', 0.00938244713490339), ('dailysis', 0.009061812825249043), ('treatment', 0.00704715313066823), ('dad private', 0.006970642014133411), ('refer', 0.0069117611274702)]",negative,"['dad', 'hospital', 'doctor', 'private hospital', 'private', 'government hospital', 'dailysis', 'treatment', 'dad private', 'refer ']"
4,3,592,3_china_hong_kong_hong kong,"[('china', 0.011900641811800606), ('hong', 0.011252275196371831), ('kong', 0.010951741222231604), ('hong kong', 0.010734201689492495), ('hk', 0.007567841902833253), ('singapore', 0.007155039253502422), ('hongkong', 0.006387591459867669), ('coronavirus', 0.005781147862742352), ('taiwan', 0.005779852262618951), ('chinese', 0.005680218979764486)]",negative,"['china', 'hong', 'kong', 'hong kong', 'hk', 'singapore', 'hongkong', 'coronavirus', 'taiwan', 'chinese ']"
5,4,461,4_hospital sitamarhi_health hospital sitamarhi_sitamarhi posted photo_sitamarhi posted,"[('hospital sitamarhi', 0.13423816896416524), ('health hospital sitamarhi', 0.13423816896416524), ('sitamarhi posted photo', 0.13387164431555837), ('sitamarhi posted', 0.13387164431555837), ('hospital sitamarhi posted', 0.13387164431555837), ('sitamarhi', 0.13369431721259603), ('photo hope', 0.1312721987539669), ('posted photo hope', 0.1312721987539669), ('photo hope health', 0.1312721987539669), ('hope health hospital', 0.13076216719096348)]",negative,"['hospital sitamarhi', 'health hospital sitamarhi', 'sitamarhi posted photo', 'sitamarhi posted', 'hospital sitamarhi posted', 'sitamarhi', 'photo hope', 'posted photo hope', 'photo hope health', 'hope health hospital ']"
6,5,457,5_mental_mental health_health_depression,"[('mental', 0.041887872935764243), ('mental health', 0.04016401548299524), ('health', 0.008858526944952384), ('depression', 0.006563207079437838), ('mentalhealth', 0.005906693611829662), ('mental health issues', 0.005152549186381057), ('dont', 0.004782207200294734), ('issues', 0.004729420510009132), ('suicide', 0.004405031996982757), ('people', 0.004200051651445945)]",negative,"['mental', 'mental health', 'health', 'depression', 'mentalhealth', 'mental health issues', 'dont', 'issues', 'suicide', 'people ']"
7,6,447,6_students_exam_exams_cancel,"[('students', 0.026804112790750234), ('exam', 0.021205848372853612), ('exams', 0.020322678511719042), ('cancel', 0.007382260750884888), ('student', 0.006508777486899311), ('board', 0.00645683361602991), ('cbse', 0.006214310406035912), ('mental', 0.005512178095860929), ('neet', 0.0051897163243457235), ('pandemic', 0.005180058626090423)]",negative,"['students', 'exam', 'exams', 'cancel', 'student', 'board', 'cbse', 'mental', 'neet', 'pandemic ']"
8,7,357,7_quarantine_home quarantine_home_days,"[('quarantine', 0.031045967609674964), ('home quarantine', 0.011089315149554302), ('home', 0.009347195400693481), ('days', 0.006037664213300336), ('quarantine centres', 0.005032454999554928), ('hotel', 0.0050122290630685955), ('centres', 0.004432954702213925), ('14 days', 0.004172427098669248), ('quarantined', 0.004158972654552009), ('14', 0.004140028980350753)]",negative,"['quarantine', 'home quarantine', 'home', 'days', 'quarantine centres', 'hotel', 'centres', ' days', 'quarantined', ' ']"
9,8,329,8_test_tests_code_testing,"[('test', 0.014691118898058627), ('tests', 0.01130144455476191), ('code', 0.010479237239299962), ('testing', 0.009283026524693093), ('nucleic', 0.00843741372242766), ('nucleic acid', 0.00825819437714544), ('acid', 0.008149108346354973), ('health code', 0.006864967895186136), ('pcr', 0.00590860491123614), ('qr', 0.005875674991162539)]",negative,"['test', 'tests', 'code', 'testing', 'nucleic', 'nucleic acid', 'acid', 'health code', 'pcr', 'qr ']"
