Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,77,-1_health_good_im_safe,"[('health', 0.019497278286367693), ('good', 0.012805395348721618), ('im', 0.011445757635172374), ('safe', 0.011414110865137918), ('people', 0.011262738006090936), ('espalda', 0.00949420889135269), ('covid19', 0.008284215632935832), ('said', 0.008228475736845962), ('anxiety', 0.008161022143613302), ('amp', 0.007950094047352172)]",neutral,"['health', 'good', 'im', 'safe', 'people', 'espalda', 'covid', 'said', 'anxiety', 'amp ']"
1,0,54,0_mental_mental health_health_need,"[('mental', 0.044046117686226724), ('mental health', 0.04351415388574226), ('health', 0.03616693937269739), ('need', 0.014675016575799834), ('im', 0.012887075263305191), ('back', 0.011668696240100652), ('amp', 0.011366624763762778), ('like', 0.01128092710508368), ('would', 0.010485726772592041), ('also', 0.010454795700798351)]",neutral,"['mental', 'mental health', 'health', 'need', 'im', 'back', 'amp', 'like', 'would', 'also ']"
2,1,47,1_nurse_nurses_worker_pay,"[('nurse', 0.037302495890223525), ('nurses', 0.025946273327687785), ('worker', 0.025946273327687785), ('pay', 0.01705918549970284), ('worth', 0.015518624441921062), ('every', 0.015186898741420918), ('missing', 0.013607918448709184), ('driver', 0.013607918448709184), ('job', 0.013245749325437095), ('workers', 0.012932187034934218)]",neutral,"['nurse', 'nurses', 'worker', 'pay', 'worth', 'every', 'missing', 'driver', 'job', 'workers ']"
3,2,43,2_health_healthcare_care_health care,"[('health', 0.03564859221565224), ('healthcare', 0.023425509571888593), ('care', 0.02024962855362275), ('health care', 0.017735431687198756), ('ai', 0.016780462226576847), ('people', 0.014477261538484757), ('countries', 0.013983718522147373), ('european', 0.011970748510151513), ('hackathons', 0.011970748510151513), ('reasons', 0.011970748510151513)]",neutral,"['health', 'healthcare', 'care', 'health care', 'ai', 'people', 'countries', 'european', 'hackathons', 'reasons ']"
4,3,35,3_amp_gun_well_better,"[('amp', 0.023521446135231733), ('gun', 0.01959331644194268), ('well', 0.01708055289839857), ('better', 0.015486788837162731), ('health', 0.014918632265431109), ('public', 0.014427036976308465), ('course', 0.013347527348464953), ('control', 0.013347527348464953), ('like', 0.013339490445427418), ('would', 0.012399180563211027)]",neutral,"['amp', 'gun', 'well', 'better', 'health', 'public', 'course', 'control', 'like', 'would ']"
5,4,29,4_health_department health_revised_department,"[('health', 0.044150261445480656), ('department health', 0.03785801881732022), ('revised', 0.03785801881732022), ('department', 0.03726564802981263), ('information', 0.0362074149892349), ('died', 0.027241880770796253), ('would', 0.02609715797312712), ('covid19', 0.023448804026187084), ('epidemiological status adjusting', 0.02149899071114501), ('died individuals information', 0.02149899071114501)]",neutral,"['health', 'department health', 'revised', 'department', 'information', 'died', 'would', 'covid', 'epidemiological status adjusting', 'died individuals information ']"
6,5,28,5_mask_covid_airport_got,"[('mask', 0.03837042609087345), ('covid', 0.03701501324086664), ('airport', 0.02589184066180104), ('got', 0.023987912808142723), ('careful', 0.023612569902075966), ('eating', 0.01941888049635078), ('kinda', 0.01900378302687538), ('face', 0.01756425296749341), ('wear', 0.01756425296749341), ('wear mask', 0.01756425296749341)]",neutral,"['mask', 'covid', 'airport', 'got', 'careful', 'eating', 'kinda', 'face', 'wear', 'wear mask ']"
7,6,25,6_health_youre_help_feeling,"[('health', 0.05620594706001169), ('youre', 0.030808262113882903), ('help', 0.020253522759603276), ('feeling', 0.019302831972619314), ('better', 0.01768075058909412), ('cant', 0.017143230438184675), ('good', 0.01622016744171405), ('one', 0.015882621956953873), ('keep things', 0.014310446772220221), ('fruit', 0.014310446772220221)]",neutral,"['health', 'youre', 'help', 'feeling', 'better', 'cant', 'good', 'one', 'keep things', 'fruit ']"
8,7,24,7_covid19_patients_covid19 vaccine_increase covidpositive patients,"[('covid19', 0.06109329911512786), ('patients', 0.03930602799707374), ('covid19 vaccine', 0.0353386595210718), ('increase covidpositive patients', 0.03111848520723685), ('covidpositive', 0.03111848520723685), ('upgrading alachua county', 0.03111848520723685), ('status covid19 vaccine', 0.03111848520723685), ('upgrading alachua', 0.03111848520723685), ('alachua', 0.03111848520723685), ('alachua county', 0.03111848520723685)]",neutral,"['covid', 'patients', 'covid vaccine', 'increase covidpositive patients', 'covidpositive', 'upgrading alachua county', 'status covid vaccine', 'upgrading alachua', 'alachua', 'alachua county ']"
9,8,11,8_vaccines_vaccine_lets_dont,"[('vaccines', 0.05523903354968838), ('vaccine', 0.05503230234058827), ('lets', 0.03499734443520954), ('dont', 0.02567030243002655), ('going', 0.024317890077632725), ('experimental genetic', 0.0219107319000501), ('evil', 0.0219107319000501), ('us guinea pigs', 0.0219107319000501), ('treatment used', 0.0219107319000501), ('used us guinea', 0.0219107319000501)]",neutral,"['vaccines', 'vaccine', 'lets', 'dont', 'going', 'experimental genetic', 'evil', 'us guinea pigs', 'treatment used', 'used us guinea ']"
