Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,608,-1_health_care_covid19_people,"[('health', 0.013938640232974463), ('care', 0.009751541531843674), ('covid19', 0.0070814269184754225), ('people', 0.006562086759863745), ('covid', 0.006079474401133827), ('one', 0.006014892334394955), ('dont', 0.005310402057996027), ('health care', 0.0052833410235806405), ('amp', 0.00479713979198478), ('get', 0.004625991513074864)]",negative,"['health', 'care', 'covid', 'people', 'covid', 'one', 'dont', 'health care', 'amp', 'get ']"
1,0,297,0_mental_health_mental health_guns,"[('mental', 0.026560002371847927), ('health', 0.026202763992547135), ('mental health', 0.025479908800465332), ('guns', 0.00910625925713377), ('people', 0.008867734503452745), ('dont', 0.008181724100982252), ('gun', 0.008167539896658011), ('care', 0.007280947489898487), ('healthcare', 0.006185330668714149), ('public', 0.005970081375465525)]",negative,"['mental', 'health', 'mental health', 'guns', 'people', 'dont', 'gun', 'care', 'healthcare', 'public ']"
2,1,167,1_covid19_science_trump_covid,"[('covid19', 0.019163543147751944), ('science', 0.016279858061257528), ('trump', 0.014732879813732846), ('covid', 0.011632790610603563), ('corrupt', 0.010161336580817831), ('facts', 0.009792989732809655), ('corporate', 0.009367207570513583), ('people', 0.009059996047483646), ('trumps', 0.008946487965195789), ('climatecrisis', 0.00889177436496326)]",negative,"['covid', 'science', 'trump', 'covid', 'corrupt', 'facts', 'corporate', 'people', 'trumps', 'climatecrisis ']"
3,2,124,2_vaccine_covid19 vaccine_covid19_vaccines,"[('vaccine', 0.0417975608695029), ('covid19 vaccine', 0.01887800591352417), ('covid19', 0.01797201723922733), ('vaccines', 0.01623944932040177), ('pfizer', 0.012781661337005442), ('health', 0.012304822792051634), ('dont', 0.00978353402118697), ('people', 0.008739437528112718), ('get', 0.008522621235758036), ('vaccinated', 0.00852110755800363)]",negative,"['vaccine', 'covid vaccine', 'covid', 'vaccines', 'pfizer', 'health', 'dont', 'people', 'get', 'vaccinated ']"
4,3,56,3_colombia_health_coronavirus_covid19,"[('colombia', 0.04255972132014568), ('health', 0.017868430714379963), ('coronavirus', 0.016236103320785313), ('covid19', 0.015840059768218243), ('venezuela', 0.01571638510444712), ('ministry', 0.012365286022344617), ('colombian', 0.01227474830227859), ('first', 0.012140664040942266), ('first case', 0.01178728882833534), ('case', 0.01144451589407607)]",negative,"['colombia', 'health', 'coronavirus', 'covid', 'venezuela', 'ministry', 'colombian', 'first', 'first case', 'case ']"
5,4,55,4_mask_wear_covid_wearing,"[('mask', 0.05582978091307214), ('wear', 0.02471206477344206), ('covid', 0.022195769431395698), ('wearing', 0.021207814837834328), ('wear mask', 0.020488224066256243), ('care', 0.020276429358632497), ('rep', 0.016569836344750087), ('dont', 0.01640517648517534), ('dont care', 0.016140886245299555), ('masks', 0.013491882128324851)]",negative,"['mask', 'wear', 'covid', 'wearing', 'wear mask', 'care', 'rep', 'dont', 'dont care', 'masks ']"
6,5,44,5_nurse_nurses_lack_youre,"[('nurse', 0.05561318000075948), ('nurses', 0.043756333942111425), ('lack', 0.020754885102547596), ('youre', 0.01948121287678936), ('doors', 0.01849970242583305), ('union', 0.017741380145701383), ('pei', 0.017741380145701383), ('hes', 0.016272242592701467), ('nursing positions', 0.014456779170248778), ('geoff', 0.014456779170248778)]",negative,"['nurse', 'nurses', 'lack', 'youre', 'doors', 'union', 'pei', 'hes', 'nursing positions', 'geoff ']"
7,6,40,6_nursing_homes_nursing homes_patients,"[('nursing', 0.059230680441569754), ('homes', 0.053664404341733085), ('nursing homes', 0.051972707030319386), ('patients', 0.045495169187718086), ('covid', 0.042115705361185155), ('covid patients', 0.04008535973371149), ('ny', 0.03473068892458098), ('patients nursing homes', 0.03128245845226204), ('patients nursing', 0.030954688973691195), ('covid patients nursing', 0.027412834959642085)]",negative,"['nursing', 'homes', 'nursing homes', 'patients', 'covid', 'covid patients', 'ny', 'patients nursing homes', 'patients nursing', 'covid patients nursing ']"
8,7,37,7_sex_gender_reproductive_care,"[('sex', 0.0321790980145947), ('gender', 0.020439969405357892), ('reproductive', 0.017512673623660907), ('care', 0.016882289619547665), ('doesnt', 0.01529104472276946), ('right', 0.014396338058671338), ('dont', 0.014228186240697096), ('state', 0.014175644168228791), ('trans', 0.014010138898928725), ('health', 0.013615680690978214)]",negative,"['sex', 'gender', 'reproductive', 'care', 'doesnt', 'right', 'dont', 'state', 'trans', 'health ']"
9,8,29,8_panama_minsa_continue reading_according,"[('panama', 0.06898601862216819), ('minsa', 0.02832570403993875), ('continue reading', 0.026107067950558498), ('according', 0.025621570139073322), ('health ministry', 0.024882633618843943), ('reading', 0.02437536930384984), ('cases', 0.023668363849865273), ('covid19', 0.023583897994569107), ('continue', 0.022449665601942642), ('completed', 0.022231100745002653)]",negative,"['panama', 'minsa', 'continue reading', 'according', 'health ministry', 'reading', 'cases', 'covid', 'continue', 'completed ']"
