Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,496,-1_health_care_covid19_healthcare,"[('health', 0.017957058365838167), ('care', 0.006998719588234942), ('covid19', 0.00694479092816417), ('healthcare', 0.0065728892530394515), ('safe', 0.00636946326299114), ('amp', 0.006072807856588215), ('love', 0.005162142404435534), ('people', 0.00493503583824191), ('world', 0.00493452765883642), ('good', 0.004675826393125115)]",positive,"['health', 'care', 'covid', 'healthcare', 'safe', 'amp', 'love', 'people', 'world', 'good ']"
1,0,337,0_mental_mental health_health_care,"[('mental', 0.02362274195489181), ('mental health', 0.02309587636659102), ('health', 0.02144801575774631), ('care', 0.01042550466058598), ('people', 0.009734239575717327), ('give', 0.007794444831895617), ('covid19', 0.007583816211858905), ('help', 0.006708513632573447), ('good', 0.006548095916751453), ('amp', 0.006455786398036059)]",positive,"['mental', 'mental health', 'health', 'care', 'people', 'give', 'covid', 'help', 'good', 'amp ']"
2,1,128,1_healthcare healthtech_healthtech_healthcare_futuremedicine,"[('healthcare healthtech', 0.0342642475500366), ('healthtech', 0.0342642475500366), ('healthcare', 0.03374706510594037), ('futuremedicine', 0.026118502575463613), ('futurehealthcare', 0.024786622335605968), ('futuretechnology', 0.0234297703647281), ('ai', 0.023421137655622995), ('nurse', 0.017635256337538662), ('telehealth', 0.01677771281847811), ('artificialintelligence', 0.01541775616176193)]",positive,"['healthcare healthtech', 'healthtech', 'healthcare', 'futuremedicine', 'futurehealthcare', 'futuretechnology', 'ai', 'nurse', 'telehealth', 'artificialintelligence ']"
3,2,56,2_happy_birthday_happy birthday_us,"[('happy', 0.03473445678842435), ('birthday', 0.02827345944644157), ('happy birthday', 0.02074287871389755), ('us', 0.020697596113249547), ('health', 0.019620034845949683), ('good', 0.01892893579886276), ('year', 0.018149937281021034), ('family', 0.018038789100557385), ('new year', 0.017854413666028787), ('happiness', 0.01784989817120385)]",positive,"['happy', 'birthday', 'happy birthday', 'us', 'health', 'good', 'year', 'family', 'new year', 'happiness ']"
4,3,46,3_vaccine_vaccines_health_begin,"[('vaccine', 0.05642784878340238), ('vaccines', 0.020416733383067782), ('health', 0.018098413707207713), ('begin', 0.013787898265039393), ('world health', 0.012976994741044075), ('covid19', 0.012486689753648573), ('covid19 vaccine', 0.012049200697037582), ('measles', 0.012049200697037582), ('one', 0.011566175486433251), ('global', 0.011520492119999217)]",positive,"['vaccine', 'vaccines', 'health', 'begin', 'world health', 'covid', 'covid vaccine', 'measles', 'one', 'global ']"
5,4,45,4_amp_really_good_worry,"[('amp', 0.05570410396095722), ('really', 0.02493828739898319), ('good', 0.019693592750924024), ('worry', 0.01906883480347494), ('appreciate', 0.018796296590145062), ('appreciated', 0.01818628060623588), ('thanks', 0.016516601555854413), ('fam', 0.01625085924268353), ('eveningwherever', 0.01625085924268353), ('morning afternoon', 0.01625085924268353)]",positive,"['amp', 'really', 'good', 'worry', 'appreciate', 'appreciated', 'thanks', 'fam', 'eveningwherever', 'morning afternoon ']"
6,5,42,5_sweet_sweet beautiful_hugs_hello sweet beautiful,"[('sweet', 0.10438107327724), ('sweet beautiful', 0.10328536026435371), ('hugs', 0.10201033808983238), ('hello sweet beautiful', 0.10089342056967626), ('beautiful marie', 0.10089342056967626), ('sweet beautiful marie', 0.10089342056967626), ('marie', 0.10089342056967626), ('hello sweet', 0.10089342056967626), ('hugs hello', 0.0991465371650144), ('hugs hello sweet', 0.0991465371650144)]",positive,"['sweet', 'sweet beautiful', 'hugs', 'hello sweet beautiful', 'beautiful marie', 'sweet beautiful marie', 'marie', 'hello sweet', 'hugs hello', 'hugs hello sweet ']"
7,6,36,6_health_health health_wealth_rich year,"[('health', 0.1007217686293924), ('health health', 0.0438087292825771), ('wealth', 0.04293876274249886), ('rich year', 0.03829621239546871), ('health lobbies', 0.03829621239546871), ('got rich', 0.03829621239546871), ('health lobbies got', 0.03829621239546871), ('rich year pandemic', 0.03829621239546871), ('got rich year', 0.03829621239546871), ('lobbies got rich', 0.03829621239546871)]",positive,"['health', 'health health', 'wealth', 'rich year', 'health lobbies', 'got rich', 'health lobbies got', 'rich year pandemic', 'got rich year', 'lobbies got rich ']"
8,7,31,7_mask_hands_wearing_covid19,"[('mask', 0.06412430754990049), ('hands', 0.026721642692121746), ('wearing', 0.02495446711505051), ('covid19', 0.02040637203200784), ('face', 0.018768400531970007), ('us cdc', 0.017722265009123685), ('foundations', 0.017722265009123685), ('foundations public', 0.017722265009123685), ('foundations public health', 0.017722265009123685), ('us cdc covid19', 0.017722265009123685)]",positive,"['mask', 'hands', 'wearing', 'covid', 'face', 'us cdc', 'foundations', 'foundations public', 'foundations public health', 'us cdc covid ']"
9,8,31,8_workout_gym_fitness_fit,"[('workout', 0.05791736668818561), ('gym', 0.054496889282319674), ('fitness', 0.05282021151993017), ('fit', 0.05189145873026504), ('motivation', 0.046991861283396254), ('training', 0.04044448459545833), ('bodybuilding', 0.038112018309581136), ('fitnessmotivation', 0.03616915371861525), ('healthy', 0.03542683396336302), ('gymlife', 0.03419617320812046)]",positive,"['workout', 'gym', 'fitness', 'fit', 'motivation', 'training', 'bodybuilding', 'fitnessmotivation', 'healthy', 'gymlife ']"
10,9,27,9_vitamin_milk_coffee_health,"[('vitamin', 0.03373507881373394), ('milk', 0.02879701037641085), ('coffee', 0.02710338044486634), ('health', 0.024999887414907107), ('everyday', 0.023660134572397334), ('health benefits', 0.022843824647483496), ('benefits', 0.02079100561603801), ('expose', 0.017975440223539738), ('coconut milk', 0.017975440223539738), ('organic', 0.01736916663936356)]",positive,"['vitamin', 'milk', 'coffee', 'health', 'everyday', 'health benefits', 'benefits', 'expose', 'coconut milk', 'organic ']"
11,10,25,10_panama_costa_rica_costa rica,"[('panama', 0.06098244153809161), ('costa', 0.03397000349609468), ('rica', 0.030923568851821927), ('costa rica', 0.030923568851821927), ('panama city panama', 0.027198180167061624), ('panama city', 0.027198180167061624), ('city panama', 0.027198180167061624), ('city', 0.02593937918047328), ('health', 0.020416574722174133), ('relax', 0.018132120111374415)]",positive,"['panama', 'costa', 'rica', 'costa rica', 'panama city panama', 'panama city', 'city panama', 'city', 'health', 'relax ']"
12,11,21,11_safety_health safety_certification_program,"[('safety', 0.0883526733737463), ('health safety', 0.06254626256507617), ('certification', 0.04542992731201502), ('program', 0.03189089444173971), ('safe', 0.027998655123716912), ('congratulations table', 0.02525024993107827), ('season health safety', 0.02525024993107827), ('season health', 0.02525024993107827), ('health safety still', 0.02525024993107827), ('safety still', 0.02525024993107827)]",positive,"['safety', 'health safety', 'certification', 'program', 'safe', 'congratulations table', 'season health safety', 'season health', 'health safety still', 'safety still ']"
13,12,20,12_covid19_prophylaxis_disease_coronavirus,"[('covid19', 0.0559299645215509), ('prophylaxis', 0.04559694910360331), ('disease', 0.03715358708699748), ('coronavirus', 0.032401533539592825), ('care covid19', 0.03129004284297112), ('patients', 0.027793836245707162), ('covid', 0.026822497464864408), ('care', 0.025363925860671307), ('containing iotacarrageenan prophylaxis', 0.025343081732295467), ('containing iotacarrageenan', 0.025343081732295467)]",positive,"['covid', 'prophylaxis', 'disease', 'coronavirus', 'care covid', 'patients', 'covid', 'care', 'containing iotacarrageenan prophylaxis', 'containing iotacarrageenan ']"
14,13,18,13_gun_gun violence_violence_crisis gun violence,"[('gun', 0.07415139393463648), ('gun violence', 0.04553758710967954), ('violence', 0.044918962471044134), ('crisis gun violence', 0.039001164013144976), ('crisis gun', 0.039001164013144976), ('health crisis gun', 0.039001164013144976), ('wearorange', 0.039001164013144976), ('public health crisis', 0.037196090900301314), ('keep', 0.03479148248463918), ('health crisis', 0.03415319033225966)]",positive,"['gun', 'gun violence', 'violence', 'crisis gun violence', 'crisis gun', 'health crisis gun', 'wearorange', 'public health crisis', 'keep', 'health crisis ']"
15,14,17,14_magic_new_somavedic_use,"[('magic', 0.08325171227321525), ('new', 0.0469037631936262), ('somavedic', 0.04417686986478363), ('use', 0.04029398796326459), ('setting', 0.035492531129603176), ('crafts health care', 0.03474053265036443), ('crops cooking crafts', 0.03474053265036443), ('magic almost mundane', 0.03474053265036443), ('cooking crafts health', 0.03474053265036443), ('animals crops', 0.03474053265036443)]",positive,"['magic', 'new', 'somavedic', 'use', 'setting', 'crafts health care', 'crops cooking crafts', 'magic almost mundane', 'cooking crafts health', 'animals crops ']"
16,15,14,15_worker_job_worker id_health care worker,"[('worker', 0.20219000350160424), ('job', 0.09254373340351021), ('worker id', 0.05346846228211097), ('health care worker', 0.05346846228211097), ('care worker id', 0.05346846228211097), ('id quite', 0.05346846228211097), ('quite job well', 0.05346846228211097), ('quite job', 0.05346846228211097), ('worker id quite', 0.05346846228211097), ('id quite job', 0.05346846228211097)]",positive,"['worker', 'job', 'worker id', 'health care worker', 'care worker id', 'id quite', 'quite job well', 'quite job', 'worker id quite', 'id quite job ']"
17,16,13,16_nfts_safe_space_miltonterareum mashaterareum thefudhound2468,"[('nfts', 0.047706791778520996), ('safe', 0.03427638048777899), ('space', 0.026520979610528735), ('miltonterareum mashaterareum thefudhound2468', 0.021818968913327793), ('drramananaidu', 0.021818968913327793), ('drfamilyallergy drramananaidu wilmanmd', 0.021818968913327793), ('terareumstrong', 0.021818968913327793), ('drramananaidu wilmanmd', 0.021818968913327793), ('terareumhq singapore', 0.021818968913327793), ('terareumhq', 0.021818968913327793)]",positive,"['nfts', 'safe', 'space', 'miltonterareum mashaterareum thefudhound', 'drramananaidu', 'drfamilyallergy drramananaidu wilmanmd', 'terareumstrong', 'drramananaidu wilmanmd', 'terareumhq singapore', 'terareumhq ']"
18,17,12,17_knowledge_funded healthcare system_funded healthcare_funded,"[('knowledge', 0.0764954152800947), ('funded healthcare system', 0.07009396685212335), ('funded healthcare', 0.07009396685212335), ('funded', 0.06870202038799818), ('healthcare system', 0.06530444886411706), ('knowledge manage', 0.06271348926418362), ('lets let bad', 0.06271348926418362), ('knowledge manage excellent', 0.06271348926418362), ('manage excellent', 0.06271348926418362), ('healthcare system exists', 0.06271348926418362)]",positive,"['knowledge', 'funded healthcare system', 'funded healthcare', 'funded', 'healthcare system', 'knowledge manage', 'lets let bad', 'knowledge manage excellent', 'manage excellent', 'healthcare system exists ']"
19,18,12,18_bh4u_biomaterials_skin_digitalhealth,"[('bh4u', 0.12880033970064741), ('biomaterials', 0.07344799263298499), ('skin', 0.0693954104155059), ('digitalhealth', 0.06209111236900691), ('nextgensolutions', 0.06209111236900691), ('bh4u health digitalhealth', 0.06209111236900691), ('bh4u health', 0.06209111236900691), ('health digitalhealth', 0.06209111236900691), ('besthealth4u bh4u health', 0.06209111236900691), ('health digitalhealth biomaterials', 0.06209111236900691)]",positive,"['bhu', 'biomaterials', 'skin', 'digitalhealth', 'nextgensolutions', 'bhu health digitalhealth', 'bhu health', 'health digitalhealth', 'besthealthu bhu health', 'health digitalhealth biomaterials ']"
20,19,11,19_memorial_memorial day_day_happy memorial,"[('memorial', 0.14425476406614365), ('memorial day', 0.13114053026503986), ('day', 0.09360385270894984), ('happy memorial', 0.06010516704299537), ('happy memorial day', 0.06010516704299537), ('event fl511', 0.04976251813296312), ('memorial day consider', 0.04976251813296312), ('sacrifice', 0.04976251813296312), ('safe directions memorial', 0.04976251813296312), ('safe directions', 0.04976251813296312)]",positive,"['memorial', 'memorial day', 'day', 'happy memorial', 'happy memorial day', 'event fl', 'memorial day consider', 'sacrifice', 'safe directions memorial', 'safe directions ']"
21,20,10,20_peace_peace health_wishes_health,"[('peace', 0.10160940689754987), ('peace health', 0.08398906236797511), ('wishes', 0.05599270824531674), ('health', 0.05157871508759781), ('theres', 0.050848534826643386), ('heart', 0.043876586433913234), ('wish', 0.040349320874223646), ('hope', 0.03592699129347263), ('people 2gether', 0.03504935934140438), ('people 2gether peace', 0.03504935934140438)]",positive,"['peace', 'peace health', 'wishes', 'health', 'theres', 'heart', 'wish', 'hope', 'people gether', 'people gether peace ']"
