Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,449,-1_health_people_healthcare_amp,"[('health', 0.009260115019140409), ('people', 0.00894758545891178), ('healthcare', 0.007384405920473754), ('amp', 0.00688170930688049), ('dont', 0.0057857464900620695), ('get', 0.0052838210232306945), ('covid19', 0.004580545190231742), ('vaccine', 0.004552346158116945), ('covid', 0.004527408161436281), ('public', 0.004372838685385705)]",negative,"['health', 'people', 'healthcare', 'amp', 'dont', 'get', 'covid', 'vaccine', 'covid', 'public ']"
1,0,110,0_health care_care_healthcare_vaccine,"[('health care', 0.01724761248632185), ('care', 0.01632854550688038), ('healthcare', 0.014300111241186214), ('vaccine', 0.01374202201890934), ('health', 0.01358056951464218), ('going', 0.009749076776241953), ('plan', 0.008990382801376042), ('free', 0.008802848755647994), ('insurance', 0.00822504031997973), ('would', 0.007728963022971346)]",negative,"['health care', 'care', 'healthcare', 'vaccine', 'health', 'going', 'plan', 'free', 'insurance', 'would ']"
2,1,80,1_mental_mental health_health_need,"[('mental', 0.061759967794032866), ('mental health', 0.05507418835466619), ('health', 0.029809504059350633), ('need', 0.009486680789122346), ('people', 0.008179675675580957), ('chain', 0.008027692340635934), ('help', 0.007904598882622687), ('lockdown', 0.007750527150929163), ('didnt', 0.007275673679082894), ('yall', 0.006980073166669428)]",negative,"['mental', 'mental health', 'health', 'need', 'people', 'chain', 'help', 'lockdown', 'didnt', 'yall ']"
3,2,62,2_nursing_homes_nursing homes_patients,"[('nursing', 0.05248015749194948), ('homes', 0.043072467947342305), ('nursing homes', 0.04226445702548764), ('patients', 0.03738007328096855), ('covid patients', 0.034032175642792414), ('covid', 0.031216640004471788), ('patients nursing', 0.02732271891838654), ('ny', 0.02691853829311875), ('patients nursing homes', 0.02569924623544957), ('covid patients nursing', 0.025084565379454984)]",negative,"['nursing', 'homes', 'nursing homes', 'patients', 'covid patients', 'covid', 'patients nursing', 'ny', 'patients nursing homes', 'covid patients nursing ']"
4,3,58,3_trump_campaign_resign_amp,"[('trump', 0.026873242302977343), ('campaign', 0.018590364307766123), ('resign', 0.016258683823832422), ('amp', 0.013686666382943425), ('president', 0.011722923521284387), ('pete', 0.011589344999449193), ('house', 0.010681498907754928), ('like', 0.010473270721269223), ('treasonous', 0.010199401677385327), ('leader', 0.010059676481621833)]",negative,"['trump', 'campaign', 'resign', 'amp', 'president', 'pete', 'house', 'like', 'treasonous', 'leader ']"
5,4,52,4_test_covid19_covid_fatigue,"[('test', 0.03126389627366905), ('covid19', 0.029498175666279564), ('covid', 0.019587414739648003), ('fatigue', 0.01799225707287837), ('covid19 doesnt', 0.016116432889859037), ('care', 0.01579625943149193), ('return', 0.015743224938768577), ('doesnt', 0.013496560007162555), ('dont', 0.012743308943190031), ('one', 0.012613293941743684)]",negative,"['test', 'covid', 'covid', 'fatigue', 'covid doesnt', 'care', 'return', 'doesnt', 'dont', 'one ']"
6,5,51,5_mask_wearing_wear_wear mask,"[('mask', 0.06203028478944105), ('wearing', 0.023906502251480527), ('wear', 0.022988881344593464), ('wear mask', 0.022033554078167768), ('wearing mask', 0.017308815456964218), ('would', 0.012734266418566625), ('masks', 0.011745865430316398), ('cared', 0.010433296112949516), ('im', 0.009819024647269085), ('think', 0.009561194880305343)]",negative,"['mask', 'wearing', 'wear', 'wear mask', 'wearing mask', 'would', 'masks', 'cared', 'im', 'think ']"
7,6,47,6_vaccine_mon jul 12_jul 12_12 2021,"[('vaccine', 0.036272305479775786), ('mon jul 12', 0.024288771200916597), ('jul 12', 0.024288771200916597), ('12 2021', 0.024288771200916597), ('jul 12 2021', 0.024288771200916597), ('pm edt', 0.024288771200916597), ('mon', 0.024288771200916597), ('mon jul', 0.024288771200916597), ('jul', 0.023917733228447695), ('edt', 0.023917733228447695)]",negative,"['vaccine', 'mon jul', ' jul', '', '', 'jul', '', 'pm edt', 'mon', 'mon jul', 'jul', 'edt ']"
8,7,46,7_democrat_amp_police_safe,"[('democrat', 0.02525905657980934), ('amp', 0.023812741361000818), ('police', 0.023330394797443733), ('safe', 0.023129090414440348), ('nobody safe', 0.020518924328164236), ('nobody', 0.020022747551243125), ('murder', 0.019997481254951772), ('dem', 0.01602552606395128), ('terror', 0.014402655385996473), ('filthy', 0.01428761170997264)]",negative,"['democrat', 'amp', 'police', 'safe', 'nobody safe', 'nobody', 'murder', 'dem', 'terror', 'filthy ']"
9,8,41,8_panama_continue reading_covid19_reading,"[('panama', 0.05192657414129202), ('continue reading', 0.02250346575053749), ('covid19', 0.0222896865890825), ('reading', 0.021797563365207547), ('2020', 0.0216004379724303), ('minsa', 0.020457696136852263), ('ministry', 0.02025446039339905), ('continue', 0.018877613005483046), ('monkeypox', 0.017345953516378684), ('according', 0.017117305999837823)]",negative,"['panama', 'continue reading', 'covid', 'reading', '', 'minsa', 'ministry', 'continue', 'monkeypox', 'according ']"
