Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,174,-1_health_healthcare_work_world,"[('health', 0.01974423874088445), ('healthcare', 0.010813944592180252), ('work', 0.010036261442728933), ('world', 0.00887003032274105), ('im', 0.007816106050643742), ('day', 0.007555923484923606), ('new', 0.0072928731335847275), ('care', 0.007229996343975978), ('well', 0.0072065784612544105), ('amp', 0.007132616983573642)]",positive,"['health', 'healthcare', 'work', 'world', 'im', 'day', 'new', 'care', 'well', 'amp ']"
1,0,67,0_safe_stay_stay safe_take care,"[('safe', 0.0399376364051315), ('stay', 0.03222579410991991), ('stay safe', 0.0314016756027249), ('take care', 0.025491430941042698), ('hope', 0.025247473977564477), ('take', 0.024062416333731643), ('care', 0.023574331886827404), ('family', 0.021455713163023134), ('good', 0.018751002658212484), ('safe take', 0.017616594991966755)]",positive,"['safe', 'stay', 'stay safe', 'take care', 'hope', 'take', 'care', 'family', 'good', 'safe take ']"
2,1,51,1_mental_mental health_health_important,"[('mental', 0.06486585978971694), ('mental health', 0.06000938235778641), ('health', 0.058107460635739044), ('important', 0.02204386234053989), ('get', 0.016924889314194835), ('body', 0.01451892987754655), ('wellbeing', 0.013811930031754687), ('physical', 0.012413055776817518), ('exercise', 0.01104954402540375), ('people', 0.010004233173661689)]",positive,"['mental', 'mental health', 'health', 'important', 'get', 'body', 'wellbeing', 'physical', 'exercise', 'people ']"
3,2,46,2_denmark_danish_healthcare_icic22,"[('denmark', 0.035329133874845466), ('danish', 0.025413375208022438), ('healthcare', 0.023534630044442662), ('icic22', 0.021824084933945533), ('health', 0.021767610946466273), ('free', 0.02166449483816985), ('care', 0.01682749778799447), ('danish health', 0.016118210971635006), ('great', 0.014409603496720037), ('service', 0.013815609404258576)]",positive,"['denmark', 'danish', 'healthcare', 'icic', 'health', 'free', 'care', 'danish health', 'great', 'service ']"
4,3,30,3_covid19_covid_time_test,"[('covid19', 0.04857988914424167), ('covid', 0.03588637023117805), ('time', 0.020896872526633154), ('test', 0.018027432005946517), ('way', 0.017801746642898075), ('virus', 0.01663583911174373), ('health', 0.015747251247565094), ('careful', 0.013115541109872784), ('like', 0.013049589174973834), ('safe', 0.013005634921553086)]",positive,"['covid', 'covid', 'time', 'test', 'way', 'virus', 'health', 'careful', 'like', 'safe ']"
5,4,30,4_patient_amp_research_workshop,"[('patient', 0.02414173988645936), ('amp', 0.023846361258514866), ('research', 0.022241270062992483), ('workshop', 0.018191697955192886), ('health', 0.01693692749807213), ('hopeep2022', 0.016779264035385544), ('great', 0.01423037957263148), ('research methodology', 0.013915797189268062), ('methodology', 0.013915797189268062), ('group', 0.013915797189268062)]",positive,"['patient', 'amp', 'research', 'workshop', 'health', 'hopeep', 'great', 'research methodology', 'methodology', 'group ']"
6,5,23,5_vaccine_vaccines_would_amp,"[('vaccine', 0.03595587203702897), ('vaccines', 0.03090671284842059), ('would', 0.025289557584290204), ('amp', 0.024025657207827008), ('health', 0.023627454670532084), ('johnson', 0.021030640864984063), ('kill', 0.021030640864984063), ('vaccination', 0.019678790169867604), ('never', 0.019165209197931646), ('getting', 0.017977936018514485)]",positive,"['vaccine', 'vaccines', 'would', 'amp', 'health', 'johnson', 'kill', 'vaccination', 'never', 'getting ']"
7,6,22,6_healthcare_health_slow_health care,"[('healthcare', 0.046509531608846036), ('health', 0.04519012071388272), ('slow', 0.03712931727933027), ('health care', 0.03670157627153816), ('people', 0.035908999780860006), ('care', 0.03224706333950347), ('public', 0.03066959900451815), ('healthcare plan', 0.029117872288871458), ('cost', 0.029117872288871458), ('plan', 0.027846987959497704)]",positive,"['healthcare', 'health', 'slow', 'health care', 'people', 'care', 'public', 'healthcare plan', 'cost', 'plan ']"
8,7,15,7_nurse_nursing_clinical_nurses,"[('nurse', 0.09479492842705857), ('nursing', 0.0546208462141052), ('clinical', 0.05335351257980668), ('nurses', 0.04516364148360171), ('educator nursing', 0.03326496103637718), ('deterioration nursing pediatrics', 0.03326496103637718), ('publication highlighting important', 0.03326496103637718), ('patientsafety learning', 0.03326496103637718), ('deterioration nursing', 0.03326496103637718), ('competencies intercultural nurse', 0.03326496103637718)]",positive,"['nurse', 'nursing', 'clinical', 'nurses', 'educator nursing', 'deterioration nursing pediatrics', 'publication highlighting important', 'patientsafety learning', 'deterioration nursing', 'competencies intercultural nurse ']"
9,8,14,8_says_covid19_new_minister,"[('says', 0.04342727768123799), ('covid19', 0.04262726250882257), ('new', 0.038788906625687306), ('minister', 0.03644383344512063), ('denmarks', 0.03361427313401157), ('denmarks health', 0.03361427313401157), ('variant', 0.03361427313401157), ('covid', 0.029198997705464712), ('danish', 0.02873026091386305), ('health', 0.028710104803146546)]",positive,"['says', 'covid', 'new', 'minister', 'denmarks', 'denmarks health', 'variant', 'covid', 'danish', 'health ']"
10,9,11,9_digital_solutions_business_healthcare solutions,"[('digital', 0.05320099301003038), ('solutions', 0.048112253802549604), ('business', 0.04490275984907801), ('healthcare solutions', 0.03680362151372211), ('link', 0.0344378827972683), ('amp', 0.031533675085272946), ('international', 0.031461388032400346), ('healthcare', 0.030734368840933345), ('ceo', 0.028862452356512934), ('ai', 0.028862452356512934)]",positive,"['digital', 'solutions', 'business', 'healthcare solutions', 'link', 'amp', 'international', 'healthcare', 'ceo', 'ai ']"
