Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,108,-1_health_covid_amp_woke,"[('health', 0.01581085503308358), ('covid', 0.014463699265074082), ('amp', 0.010725255271388179), ('woke', 0.01046985423845101), ('care', 0.010195992189327919), ('nurse', 0.010033975178586518), ('hospital', 0.007925982911234112), ('rights', 0.007441397011310534), ('said', 0.007158236933327016), ('public', 0.0071339729832130576)]",negative,"['health', 'covid', 'amp', 'woke', 'care', 'nurse', 'hospital', 'rights', 'said', 'public ']"
1,0,49,0_gun_guns_country_amp,"[('gun', 0.027396663112187344), ('guns', 0.01765364353246722), ('country', 0.016606960334436476), ('amp', 0.014567350083942396), ('drill', 0.013299024217197848), ('schools', 0.012755285106573174), ('go', 0.012595025685259482), ('health', 0.01173721585753051), ('gun violence', 0.011160874468251527), ('dont', 0.010643785876705612)]",negative,"['gun', 'guns', 'country', 'amp', 'drill', 'schools', 'go', 'health', 'gun violence', 'dont ']"
2,1,41,1_mental health_mental_health_day,"[('mental health', 0.05292731881156352), ('mental', 0.05225698219182108), ('health', 0.044357028914733115), ('day', 0.01427106727505978), ('one', 0.012672650211832769), ('people', 0.012522934033427155), ('get', 0.012254790172272899), ('time', 0.011297292666147348), ('brain', 0.011181633632070816), ('either', 0.010775067138265162)]",negative,"['mental health', 'mental', 'health', 'day', 'one', 'people', 'get', 'time', 'brain', 'either ']"
3,2,36,2_covid19_cases_county_report,"[('covid19', 0.04703111220346105), ('cases', 0.039887560128531806), ('county', 0.036800952922773356), ('report', 0.026106053971603347), ('millions', 0.02525887793656222), ('florida', 0.02309821238079561), ('health', 0.022183877199638834), ('alachua county', 0.01988147543884492), ('reporting', 0.01988147543884492), ('alachua', 0.01988147543884492)]",negative,"['covid', 'cases', 'county', 'report', 'millions', 'florida', 'health', 'alachua county', 'reporting', 'alachua ']"
4,3,29,3_healthcare_free_dont_people,"[('healthcare', 0.03740279883950032), ('free', 0.023522872213536158), ('dont', 0.022998180197881767), ('people', 0.020405673759825497), ('cost', 0.018450531856520402), ('poor', 0.017016594633299215), ('free healthcare', 0.016559443190772617), ('health', 0.015216461986727055), ('life', 0.014963425282400328), ('food', 0.014631322564980596)]",negative,"['healthcare', 'free', 'dont', 'people', 'cost', 'poor', 'free healthcare', 'health', 'life', 'food ']"
5,4,21,4_monkeypox_health_world health_world,"[('monkeypox', 0.05858541388073134), ('health', 0.04190763301262534), ('world health', 0.03726175572340325), ('world', 0.03193524955108271), ('reported', 0.025336852969488163), ('organization', 0.024731279666202966), ('health organization', 0.024731279666202966), ('disease', 0.02419741882822348), ('cases', 0.023721836761321738), ('world health organizations', 0.022302165441015563)]",negative,"['monkeypox', 'health', 'world health', 'world', 'reported', 'organization', 'health organization', 'disease', 'cases', 'world health organizations ']"
6,5,15,5_mask_cuba_masks_covid19 cuba,"[('mask', 0.058599933024383384), ('cuba', 0.04883380833184519), ('masks', 0.04525824178915142), ('covid19 cuba', 0.035734848729928353), ('given', 0.029779040608273626), ('wearing', 0.029779040608273626), ('vaccination', 0.028979025583852083), ('covid19', 0.02799208514088808), ('cuba given current', 0.02550810172316155), ('epidemiological situation country', 0.02550810172316155)]",negative,"['mask', 'cuba', 'masks', 'covid cuba', 'given', 'wearing', 'vaccination', 'covid', 'cuba given current', 'epidemiological situation country ']"
7,6,13,6_inside_police_hospital_building,"[('inside', 0.058783631873989606), ('police', 0.057789780400994376), ('hospital', 0.0572459706190702), ('building', 0.04238038260201276), ('man', 0.035547515716756746), ('ward remained inside', 0.035183588583671106), ('four', 0.035183588583671106), ('doctor two', 0.035183588583671106), ('room hours', 0.035183588583671106), ('two nurses', 0.035183588583671106)]",negative,"['inside', 'police', 'hospital', 'building', 'man', 'ward remained inside', 'four', 'doctor two', 'room hours', 'two nurses ']"
8,7,11,7_right_reproductive_state_law,"[('right', 0.04609681022475062), ('reproductive', 0.043505525502951156), ('state', 0.04196646936503442), ('law', 0.03373201060052234), ('freedom', 0.03282579889144307), ('child', 0.028358751279432715), ('reproductive freedom', 0.028358751279432715), ('sex', 0.026103315301770694), ('medical', 0.021266391379266374), ('rights', 0.020230063379421202)]",negative,"['right', 'reproductive', 'state', 'law', 'freedom', 'child', 'reproductive freedom', 'sex', 'medical', 'rights ']"
9,8,10,8_people_covid_still_people actually,"[('people', 0.05233821666642265), ('covid', 0.03932513255210318), ('still', 0.03668858360087176), ('people actually', 0.03467681373622221), ('mental physical', 0.03467681373622221), ('smart people', 0.03467681373622221), ('smart', 0.03467681373622221), ('physical still', 0.03467681373622221), ('physical still pandemic', 0.03467681373622221), ('mental physical still', 0.03467681373622221)]",negative,"['people', 'covid', 'still', 'people actually', 'mental physical', 'smart people', 'smart', 'physical still', 'physical still pandemic', 'mental physical still ']"
10,9,10,9_workers_hours_maybe_belongs,"[('workers', 0.03186047005375455), ('hours', 0.027274377020096077), ('maybe', 0.026622495170089074), ('belongs', 0.022267953918848574), ('river', 0.022267953918848574), ('customs', 0.022267953918848574), ('hood river', 0.022267953918848574), ('hood', 0.022267953918848574), ('exploitation', 0.022267953918848574), ('im', 0.021926462808233373)]",negative,"['workers', 'hours', 'maybe', 'belongs', 'river', 'customs', 'hood river', 'hood', 'exploitation', 'im ']"
