Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,578,-1_health_amp_people_dont,"[('health', 0.013707012388163596), ('amp', 0.007858173311207752), ('people', 0.006020107943250311), ('dont', 0.005909676816528833), ('care', 0.005706912428579303), ('like', 0.005087294498326068), ('israeli', 0.004981829612341075), ('hospital', 0.004880323602991702), ('israel', 0.0044837136970308795), ('us', 0.004395193616990063)]",negative,"['health', 'amp', 'people', 'dont', 'care', 'like', 'israeli', 'hospital', 'israel', 'us ']"
1,0,292,0_ministry_health_israel_gaza,"[('ministry', 0.017708678481709626), ('health', 0.0161199069224594), ('israel', 0.016000042759344305), ('gaza', 0.014560143804253682), ('health ministry', 0.012799531439052159), ('coronavirus', 0.01263602386985749), ('covid19', 0.01216763411953552), ('israeli', 0.01210387026557289), ('cases', 0.01149277595557941), ('ministry health', 0.00913454052627327)]",negative,"['ministry', 'health', 'israel', 'gaza', 'health ministry', 'coronavirus', 'covid', 'israeli', 'cases', 'ministry health ']"
2,1,250,1_mental_mental health_health_im,"[('mental', 0.04098926659813861), ('mental health', 0.03850841605260716), ('health', 0.024089104666245136), ('im', 0.01013974244673981), ('people', 0.010086184546695161), ('dont', 0.009087609095799705), ('get', 0.007320530046060093), ('healthcare', 0.0071665278882514505), ('need', 0.006774572219573955), ('know', 0.006715883533318808)]",negative,"['mental', 'mental health', 'health', 'im', 'people', 'dont', 'get', 'healthcare', 'need', 'know ']"
3,2,102,2_pandemic_global_global health_global health pandemic,"[('pandemic', 0.0460393823913067), ('global', 0.040615375534880545), ('global health', 0.03782337470675764), ('global health pandemic', 0.03698456268639602), ('health pandemic', 0.036756798916882556), ('pandemic council', 0.027156951271957053), ('council', 0.027044996868806757), ('health pandemic council', 0.026082643150074795), ('health', 0.020013269790317048), ('biden', 0.019218368951541113)]",negative,"['pandemic', 'global', 'global health', 'global health pandemic', 'health pandemic', 'pandemic council', 'council', 'health pandemic council', 'health', 'biden ']"
4,3,66,3_egypt_safe_safe egypt_feel safe,"[('egypt', 0.06871388259808923), ('safe', 0.04000719640559651), ('safe egypt', 0.03666968016164942), ('feel safe', 0.03536044199726503), ('feel safe egypt', 0.033684271578571554), ('feel', 0.03161762066688641), ('dont feel safe', 0.03027039319710801), ('dont feel', 0.029941574736508048), ('dont', 0.02239573252437754), ('egypt dont feel', 0.01548086382353592)]",negative,"['egypt', 'safe', 'safe egypt', 'feel safe', 'feel safe egypt', 'feel', 'dont feel safe', 'dont feel', 'dont', 'egypt dont feel ']"
5,4,60,4_nurses_nurse_capacity_patient,"[('nurses', 0.05731161668341573), ('nurse', 0.03290124280512516), ('capacity', 0.013652659369911413), ('patient', 0.012818421938487598), ('get', 0.011824911163974699), ('icu', 0.011189626161359463), ('abeg', 0.010546324204794387), ('sufficient', 0.010546324204794387), ('shafted', 0.010546324204794387), ('patient safety', 0.010546324204794387)]",negative,"['nurses', 'nurse', 'capacity', 'patient', 'get', 'icu', 'abeg', 'sufficient', 'shafted', 'patient safety ']"
6,5,48,5_health_ill_good_good health,"[('health', 0.038582496314522936), ('ill', 0.029896694159544716), ('good', 0.025168404476860553), ('good health', 0.023659401620511198), ('regain', 0.022453009322021905), ('regain health', 0.022453009322021905), ('bad health', 0.019137096500652775), ('promise regain health', 0.018582667283604307), ('promise regain', 0.018582667283604307), ('regain health ill', 0.018582667283604307)]",negative,"['health', 'ill', 'good', 'good health', 'regain', 'regain health', 'bad health', 'promise regain health', 'promise regain', 'regain health ill ']"
7,6,45,6_vaccine_pfizer_health_vaccination,"[('vaccine', 0.03185984733526033), ('pfizer', 0.026204479330319268), ('health', 0.017519395577407667), ('vaccination', 0.016875632557947395), ('news', 0.01610033390287386), ('people', 0.013966948453486427), ('fake news', 0.013310633001545162), ('vaccines', 0.012522481924457445), ('vaccinated', 0.01231864787727865), ('fake', 0.011884121811267771)]",negative,"['vaccine', 'pfizer', 'health', 'vaccination', 'news', 'people', 'fake news', 'vaccines', 'vaccinated', 'fake ']"
8,7,42,7_tidings_mohammed alyamani_imam nasser mohammed_nasser mohammed alyamani,"[('tidings', 0.04188366375101262), ('mohammed alyamani', 0.04188366375101262), ('imam nasser mohammed', 0.04188366375101262), ('nasser mohammed alyamani', 0.04188366375101262), ('nasser mohammed', 0.04188366375101262), ('alyamani', 0.04188366375101262), ('imam nasser', 0.0414286937164572), ('nasser', 0.0414286937164572), ('imam', 0.040998464076866865), ('health organisation', 0.04020244062988361)]",negative,"['tidings', 'mohammed alyamani', 'imam nasser mohammed', 'nasser mohammed alyamani', 'nasser mohammed', 'alyamani', 'imam nasser', 'nasser', 'imam', 'health organisation ']"
9,8,42,8_africa_egypt_excon_doses,"[('africa', 0.07203656658185822), ('egypt', 0.05535280598502413), ('excon', 0.049481309675818826), ('doses', 0.044617047384967766), ('abdel', 0.0442066110827447), ('30', 0.04249808666611031), ('african', 0.03914348180607796), ('30 million doses', 0.03757033117938206), ('30 million', 0.03757033117938206), ('million doses', 0.037119949682499945)]",negative,"['africa', 'egypt', 'excon', 'doses', 'abdel', '', 'african', ' million doses', ' million', 'million doses ']"
10,9,42,9_hospital_doctor_doctors_died,"[('hospital', 0.04641489668588599), ('doctor', 0.018419087525327938), ('doctors', 0.012119884206358135), ('died', 0.011701963688550735), ('emergency', 0.01131953656170362), ('different hospital', 0.011154257680258725), ('different', 0.01081067195608569), ('patient', 0.009683806047335779), ('medical', 0.009656573978340103), ('one', 0.009222283278344685)]",negative,"['hospital', 'doctor', 'doctors', 'died', 'emergency', 'different hospital', 'different', 'patient', 'medical', 'one ']"
11,10,40,10_congratulations_stayhealthy covid_stayhome stayhealthy_stayhome stayhealthy covid,"[('congratulations', 0.08633115089808074), ('stayhealthy covid', 0.08633115089808074), ('stayhome stayhealthy', 0.08633115089808074), ('stayhome stayhealthy covid', 0.08633115089808074), ('iswimstat', 0.08633115089808074), ('stayhealthy', 0.08584157483937063), ('quarantine looking', 0.08460709869017986), ('forward better times', 0.08460709869017986), ('coronavid19', 0.08460709869017986), ('coronavid19 quarantine', 0.08460709869017986)]",negative,"['congratulations', 'stayhealthy covid', 'stayhome stayhealthy', 'stayhome stayhealthy covid', 'iswimstat', 'stayhealthy', 'quarantine looking', 'forward better times', 'coronavid', 'coronavid quarantine ']"
12,11,36,11_freethemall_hunger_khalil_hunger strike,"[('freethemall', 0.04667013739695339), ('hunger', 0.04179486519452967), ('khalil', 0.0414857333204463), ('hunger strike', 0.03818465787023458), ('strike', 0.03309312719996894), ('prison', 0.03126821693236415), ('prisoner', 0.029332038670681328), ('detention', 0.02676723388209743), ('health condition', 0.025692788896606828), ('condition', 0.024722993579384952)]",negative,"['freethemall', 'hunger', 'khalil', 'hunger strike', 'strike', 'prison', 'prisoner', 'detention', 'health condition', 'condition ']"
13,12,32,12_tobacco_smoking_quit_environment,"[('tobacco', 0.07326365735163676), ('smoking', 0.04681985590918749), ('quit', 0.03725860591267616), ('environment', 0.028771147336342652), ('health', 0.023563331879393086), ('harmful', 0.021222571865589634), ('worldnotobaccoday', 0.02014043345552152), ('use', 0.01816419613425686), ('cycle', 0.01666872215139787), ('habit', 0.01666872215139787)]",negative,"['tobacco', 'smoking', 'quit', 'environment', 'health', 'harmful', 'worldnotobaccoday', 'use', 'cycle', 'habit ']"
14,13,29,13_masks_mask_wearing_wear,"[('masks', 0.058218442002639925), ('mask', 0.03928572524491148), ('wearing', 0.025512043934189918), ('wear', 0.0240059260587609), ('health', 0.016851990031601663), ('public', 0.014821623677650261), ('wearing masks', 0.012434267831911138), ('facemask', 0.012434267831911138), ('mask mandate', 0.012434267831911138), ('pandemic', 0.012114699728732872)]",negative,"['masks', 'mask', 'wearing', 'wear', 'health', 'public', 'wearing masks', 'facemask', 'mask mandate', 'pandemic ']"
15,14,28,14_resignation_pakistan_karachi_people,"[('resignation', 0.02388947974041257), ('pakistan', 0.02194827525372425), ('karachi', 0.016954471673993263), ('people', 0.016535229817460854), ('worker', 0.01594051134906057), ('benefits', 0.012756673598188278), ('certificates', 0.012715853755494947), ('get', 0.012673301615739232), ('domestic', 0.012291418817426849), ('take', 0.011681558819236602)]",negative,"['resignation', 'pakistan', 'karachi', 'people', 'worker', 'benefits', 'certificates', 'get', 'domestic', 'take ']"
16,15,25,15_posted_posted photo_photo_pediatric,"[('posted', 0.08072578164067853), ('posted photo', 0.07293764478413363), ('photo', 0.068405153254249), ('pediatric', 0.04098685249580588), ('center', 0.03794895010560351), ('maternal health awareness', 0.03514703093218462), ('center amp', 0.03514703093218462), ('amp gym posted', 0.03514703093218462), ('posted photo albidayah', 0.03514703093218462), ('health awareness center', 0.03514703093218462)]",negative,"['posted', 'posted photo', 'photo', 'pediatric', 'center', 'maternal health awareness', 'center amp', 'amp gym posted', 'posted photo albidayah', 'health awareness center ']"
