Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,240,-1_health_get_people_covid19,"[('health', 0.013064810436058042), ('get', 0.00859559892202957), ('people', 0.008307867658661702), ('covid19', 0.00816543400202139), ('world', 0.006553157164122488), ('covid', 0.005370770543306972), ('need', 0.005274640372877446), ('like', 0.005010908354233574), ('one', 0.005010908354233574), ('learning', 0.004794050805330556)]",negative,"['health', 'get', 'people', 'covid', 'world', 'covid', 'need', 'like', 'one', 'learning ']"
1,0,115,0_people_health_healthcare_free,"[('people', 0.014876019782827673), ('health', 0.014328686580680672), ('healthcare', 0.012906801636582067), ('free', 0.009523714417851895), ('emergency', 0.009224150864713948), ('government', 0.009181309751422128), ('way', 0.009072122234914966), ('pay', 0.008806544993651704), ('insurance', 0.008468001342465888), ('money', 0.008152105877754945)]",negative,"['people', 'health', 'healthcare', 'free', 'emergency', 'government', 'way', 'pay', 'insurance', 'money ']"
2,1,53,1_mental_mental health_health_time,"[('mental', 0.059036581433711814), ('mental health', 0.05502933298380638), ('health', 0.03294853509093585), ('time', 0.01388267655087192), ('dont', 0.011885246391819353), ('abuse', 0.01030575816316115), ('issues', 0.009582726038582545), ('way', 0.009540507493158695), ('mental health issues', 0.008823784205793165), ('garda', 0.008823784205793165)]",negative,"['mental', 'mental health', 'health', 'time', 'dont', 'abuse', 'issues', 'way', 'mental health issues', 'garda ']"
3,2,50,2_vaccine_vaccines_tweets_people,"[('vaccine', 0.0319993300121761), ('vaccines', 0.01594434812451716), ('tweets', 0.01566350028722729), ('people', 0.012648384804203631), ('health', 0.012431645864097781), ('vaccination', 0.012320629030887825), ('public', 0.012045632624585372), ('minister', 0.011724798157858679), ('immunity', 0.011665241154897301), ('booster', 0.011665241154897301)]",negative,"['vaccine', 'vaccines', 'tweets', 'people', 'health', 'vaccination', 'public', 'minister', 'immunity', 'booster ']"
4,3,48,3_covid19_covid_care_finland,"[('covid19', 0.021872869394972957), ('covid', 0.01585347931458082), ('care', 0.015676431057769714), ('finland', 0.014878533793191494), ('beach', 0.01464569644839276), ('health', 0.014167208471931916), ('estonia', 0.013735460301377579), ('tallinn', 0.012814984392343666), ('new', 0.012209298045668959), ('italy', 0.012072637604245132)]",negative,"['covid', 'covid', 'care', 'finland', 'beach', 'health', 'estonia', 'tallinn', 'new', 'italy ']"
5,4,31,4_coronavirus_corona_finland_helsinki,"[('coronavirus', 0.05916026822507829), ('corona', 0.027445766910923625), ('finland', 0.021508011114686105), ('helsinki', 0.020287460931235384), ('doctor', 0.015541820362663147), ('contain spread', 0.015208400539736832), ('dirk devroey said', 0.015208400539736832), ('contain spread new', 0.015208400539736832), ('dirk', 0.015208400539736832), ('contain', 0.015208400539736832)]",negative,"['coronavirus', 'corona', 'finland', 'helsinki', 'doctor', 'contain spread', 'dirk devroey said', 'contain spread new', 'dirk', 'contain ']"
6,5,27,5_mask_masks_wear_even,"[('mask', 0.07160557433154172), ('masks', 0.04213120866655268), ('wear', 0.024082498971272244), ('even', 0.02394127352056805), ('people', 0.02355463358820563), ('survivors', 0.021723760414874786), ('odd', 0.021723760414874786), ('video', 0.0211440474028565), ('healthy', 0.021049405602754184), ('covid19', 0.019843545272836886)]",negative,"['mask', 'masks', 'wear', 'even', 'people', 'survivors', 'odd', 'video', 'healthy', 'covid ']"
7,6,25,6_len_nurse_nurse len thinks_nosebleed doctor,"[('len', 0.14006478814370646), ('nurse', 0.09570645634126533), ('nurse len thinks', 0.0589009668923826), ('nosebleed doctor', 0.0589009668923826), ('len nosebleed', 0.0589009668923826), ('doctor damn', 0.0589009668923826), ('nurse len', 0.0589009668923826), ('nosebleed', 0.0589009668923826), ('nosebleed doctor damn', 0.0589009668923826), ('thinks len nosebleed', 0.0589009668923826)]",negative,"['len', 'nurse', 'nurse len thinks', 'nosebleed doctor', 'len nosebleed', 'doctor damn', 'nurse len', 'nosebleed', 'nosebleed doctor damn', 'thinks len nosebleed ']"
8,7,21,7_protests_protest_russian_ukraine,"[('protests', 0.0501536894841633), ('protest', 0.043147979268787315), ('russian', 0.026048227567650656), ('ukraine', 0.024655988153592753), ('helsinki', 0.020929156775775677), ('raging', 0.016674693657387052), ('turkeys', 0.016674693657387052), ('walking', 0.016674693657387052), ('embassy', 0.016674693657387052), ('walking past', 0.016674693657387052)]",negative,"['protests', 'protest', 'russian', 'ukraine', 'helsinki', 'raging', 'turkeys', 'walking', 'embassy', 'walking past ']"
9,8,19,8_supporting nurses doctors_line gross covid19_gross covid19_downplaying pandemy mansion,"[('supporting nurses doctors', 0.02367418759537013), ('line gross covid19', 0.02367418759537013), ('gross covid19', 0.02367418759537013), ('downplaying pandemy mansion', 0.02367418759537013), ('pandemy', 0.02367418759537013), ('picture', 0.02367418759537013), ('pandemy mansion instead', 0.02367418759537013), ('line gross', 0.02367418759537013), ('gross covid19 covidiots', 0.02367418759537013), ('conveniently downplaying pandemy', 0.02367418759537013)]",negative,"['supporting nurses doctors', 'line gross covid', 'gross covid', 'downplaying pandemy mansion', 'pandemy', 'picture', 'pandemy mansion instead', 'line gross', 'gross covid covidiots', 'conveniently downplaying pandemy ']"
10,9,19,9_staff_patients_healthcare staff_healthcare staff shortages,"[('staff', 0.03641435894661367), ('patients', 0.03392712877618547), ('healthcare staff', 0.03366548218537933), ('healthcare staff shortages', 0.03366548218537933), ('staff shortages', 0.03366548218537933), ('understaffed', 0.03366548218537933), ('hospitals', 0.03342656295645502), ('care', 0.033192443311094035), ('intensive care', 0.03176401679000551), ('intensive', 0.03176401679000551)]",negative,"['staff', 'patients', 'healthcare staff', 'healthcare staff shortages', 'staff shortages', 'understaffed', 'hospitals', 'care', 'intensive care', 'intensive ']"
11,10,17,10_uk health_positive covid19_positive_minister,"[('uk health', 0.04447290750792436), ('positive covid19', 0.043519599716684634), ('positive', 0.04194288726260051), ('minister', 0.04116190572797033), ('uk health minister', 0.040234356758136275), ('may', 0.0383831014607279), ('uk', 0.03792265661093099), ('covid19', 0.03664487454565697), ('coronavirus', 0.0339890971916439), ('officials well', 0.03339407762436356)]",negative,"['uk health', 'positive covid', 'positive', 'minister', 'uk health minister', 'may', 'uk', 'covid', 'coronavirus', 'officials well ']"
12,11,17,11_privacy_hard_would_eu,"[('privacy', 0.03996469496602517), ('hard', 0.025558831578874036), ('would', 0.023519605475259074), ('eu', 0.023136098472891827), ('facebook', 0.023136098472891827), ('immigration', 0.022506693412584756), ('health', 0.021850746312635432), ('hard show', 0.017666744736571004), ('health privacy', 0.017666744736571004), ('youdid answer', 0.017666744736571004)]",negative,"['privacy', 'hard', 'would', 'eu', 'facebook', 'immigration', 'health', 'hard show', 'health privacy', 'youdid answer ']"
13,12,16,12_sri_srilanka_fund_sri lanka,"[('sri', 0.06451735324363961), ('srilanka', 0.05483494370181985), ('fund', 0.0461380728131351), ('sri lanka', 0.04549517750702544), ('lanka', 0.04549517750702544), ('medicine', 0.04193340956483177), ('colombo news', 0.041152929129462404), ('colombo', 0.041152929129462404), ('news 1st', 0.039024162207349486), ('colombo news 1st', 0.039024162207349486)]",negative,"['sri', 'srilanka', 'fund', 'sri lanka', 'lanka', 'medicine', 'colombo news', 'colombo', 'news st', 'colombo news st ']"
14,13,16,13_support_vote_country national health_strategy completely,"[('support', 0.10462446658079791), ('vote', 0.06845158771910184), ('country national health', 0.05941950475836014), ('strategy completely', 0.05941950475836014), ('spot never politicians', 0.05941950475836014), ('country national', 0.05941950475836014), ('spot never', 0.05941950475836014), ('politicians support', 0.05941950475836014), ('completely spot never', 0.05941950475836014), ('strategy completely spot', 0.05941950475836014)]",negative,"['support', 'vote', 'country national health', 'strategy completely', 'spot never politicians', 'country national', 'spot never', 'politicians support', 'completely spot never', 'strategy completely spot ']"
15,14,16,14_coronavirus_scientific_twitter_spaces coronavirus covid19,"[('coronavirus', 0.04289855270549832), ('scientific', 0.027876480406751107), ('twitter', 0.025207987888374677), ('spaces coronavirus covid19', 0.02406105160018066), ('societies', 0.02406105160018066), ('societies responded', 0.02406105160018066), ('societies responded way', 0.02406105160018066), ('public spaces coronavirus', 0.02406105160018066), ('public spaces', 0.02406105160018066), ('spaces coronavirus', 0.02406105160018066)]",negative,"['coronavirus', 'scientific', 'twitter', 'spaces coronavirus covid', 'societies', 'societies responded', 'societies responded way', 'public spaces coronavirus', 'public spaces', 'spaces coronavirus ']"
16,15,15,15_describe_disease_covid_covid19,"[('describe', 0.05005910008645059), ('disease', 0.04563544478357644), ('covid', 0.04119147494953695), ('covid19', 0.03919408320970267), ('omicron', 0.03442661482609226), ('means', 0.028485244954196454), ('yet describe covid', 0.02803635577760181), ('selfisolating selisolation', 0.02803635577760181), ('epidemiology', 0.02803635577760181), ('epidemiology describe', 0.02803635577760181)]",negative,"['describe', 'disease', 'covid', 'covid', 'omicron', 'means', 'yet describe covid', 'selfisolating selisolation', 'epidemiology', 'epidemiology describe ']"
17,16,14,16_jenny_searching answers_searching_virtual healthcare,"[('jenny', 0.04191297497751753), ('searching answers', 0.04191297497751753), ('searching', 0.04191297497751753), ('virtual healthcare', 0.04191297497751753), ('virtual healthcare provider', 0.04191297497751753), ('provider still', 0.04191297497751753), ('uphealth troubled', 0.04191297497751753), ('uphealth', 0.04191297497751753), ('still searching answers', 0.04191297497751753), ('healthcare provider still', 0.04191297497751753)]",negative,"['jenny', 'searching answers', 'searching', 'virtual healthcare', 'virtual healthcare provider', 'provider still', 'uphealth troubled', 'uphealth', 'still searching answers', 'healthcare provider still ']"
18,17,14,17_things_make things look_reverse_development,"[('things', 0.03244757030700709), ('make things look', 0.028230045002039298), ('reverse', 0.028230045002039298), ('development', 0.028230045002039298), ('things look', 0.028230045002039298), ('make things', 0.028230045002039298), ('look', 0.02611782829357019), ('make', 0.024214638916647324), ('example', 0.023611874430688566), ('god', 0.023611874430688566)]",negative,"['things', 'make things look', 'reverse', 'development', 'things look', 'make things', 'look', 'make', 'example', 'god ']"
19,18,14,18_ppl_situation_quarantine_make,"[('ppl', 0.032089166722083715), ('situation', 0.02779982123801151), ('quarantine', 0.024189748707789543), ('make', 0.023566755601151748), ('doctor', 0.022039236902238045), ('stated seeking asylum', 0.021566427521232164), ('international law', 0.021566427521232164), ('including 14 day', 0.021566427521232164), ('situation seekingasylumisahumanright', 0.021566427521232164), ('videos', 0.021566427521232164)]",negative,"['ppl', 'situation', 'quarantine', 'make', 'doctor', 'stated seeking asylum', 'international law', 'including', 'day', 'situation seekingasylumisahumanright', 'videos ']"
20,19,13,19_work_pretend work_pretend_ways,"[('work', 0.07671209229262031), ('pretend work', 0.030767577137054067), ('pretend', 0.029655885430716174), ('ways', 0.02798088670040935), ('thats', 0.026391235673199894), ('work office', 0.02415116789830868), ('pretend work office', 0.02415116789830868), ('people', 0.023378194385297726), ('office', 0.02307568285279055), ('production', 0.020985665025307014)]",negative,"['work', 'pretend work', 'pretend', 'ways', 'thats', 'work office', 'pretend work office', 'people', 'office', 'production ']"
21,20,13,20_health care providers_look end_treatment inequality_inequality,"[('health care providers', 0.1254588460582549), ('look end', 0.1254588460582549), ('treatment inequality', 0.1254588460582549), ('inequality', 0.1254588460582549), ('end treatment', 0.1254588460582549), ('end treatment inequality', 0.1254588460582549), ('look end treatment', 0.1254588460582549), ('providers look', 0.1254588460582549), ('black health', 0.1254588460582549), ('black health care', 0.1254588460582549)]",negative,"['health care providers', 'look end', 'treatment inequality', 'inequality', 'end treatment', 'end treatment inequality', 'look end treatment', 'providers look', 'black health', 'black health care ']"
22,21,11,21_miradaonline_read uomoelegante gloo_gloo_uomoelegante,"[('miradaonline', 0.1195548602092187), ('read uomoelegante gloo', 0.1195548602092187), ('gloo', 0.1195548602092187), ('uomoelegante', 0.1195548602092187), ('uomoelegante gloo', 0.1195548602092187), ('gloo miradaonline', 0.1195548602092187), ('uomoelegante gloo miradaonline', 0.1195548602092187), ('read uomoelegante', 0.1195548602092187), ('miradaonline ecosistemaonline', 0.1195548602092187), ('gloo miradaonline ecosistemaonline', 0.1195548602092187)]",negative,"['miradaonline', 'read uomoelegante gloo', 'gloo', 'uomoelegante', 'uomoelegante gloo', 'gloo miradaonline', 'uomoelegante gloo miradaonline', 'read uomoelegante', 'miradaonline ecosistemaonline', 'gloo miradaonline ecosistemaonline ']"
23,22,11,22_covid19 vaccination_cuban_vaccination_covid19,"[('covid19 vaccination', 0.05118285495648838), ('cuban', 0.05118285495648838), ('vaccination', 0.0426682836964431), ('covid19', 0.042173750354299946), ('health hand', 0.03472860267544394), ('vaccineeligible population', 0.03472860267544394), ('sunday closed 240', 0.03472860267544394), ('vaccination scheme cuban', 0.03472860267544394), ('vaccination scheme', 0.03472860267544394), ('ministry public health', 0.03472860267544394)]",negative,"['covid vaccination', 'cuban', 'vaccination', 'covid', 'health hand', 'vaccineeligible population', 'sunday closed', ' vaccination scheme cuban', 'vaccination scheme', 'ministry public health ']"
