Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,317,-1_health_covid19_people_dont,"[('health', 0.016247286886066466), ('covid19', 0.00967125462878624), ('people', 0.009059710681582251), ('dont', 0.0059991771404308315), ('get', 0.005854910041612373), ('covid', 0.00574215826227497), ('care', 0.005273336054325259), ('got', 0.005134365529334389), ('like', 0.005116856998499992), ('one', 0.004911328095818121)]",negative,"['health', 'covid', 'people', 'dont', 'get', 'covid', 'care', 'got', 'like', 'one ']"
1,0,470,0_health_mental_mental health_covid19,"[('health', 0.017375531194827057), ('mental', 0.011926613593638223), ('mental health', 0.011562042437451502), ('covid19', 0.010586078972470459), ('us', 0.00904500510371609), ('healthcare', 0.008875459554133462), ('people', 0.008484277336017877), ('care', 0.007396216295111218), ('get', 0.006316856760424871), ('dont', 0.005768621323026249)]",negative,"['health', 'mental', 'mental health', 'covid', 'us', 'healthcare', 'people', 'care', 'get', 'dont ']"
2,1,98,1_finland_covid19_health_learning,"[('finland', 0.03104682877776418), ('covid19', 0.012865185568110126), ('health', 0.012451906424366317), ('learning', 0.01122580063253062), ('finnish', 0.009746337913830798), ('helsinki', 0.009102917914122606), ('nordic', 0.007473998842806046), ('lockdown', 0.0072898366401904), ('amp', 0.007077087686882989), ('care', 0.00686399770217841)]",negative,"['finland', 'covid', 'health', 'learning', 'finnish', 'helsinki', 'nordic', 'lockdown', 'amp', 'care ']"
3,2,72,2_covid19_coronavirus_covid_pandemic,"[('covid19', 0.0364362153743696), ('coronavirus', 0.02354014462708067), ('covid', 0.01864264259370136), ('pandemic', 0.018131938739230028), ('covid19 covid', 0.012525614661676862), ('generation', 0.011953776642503718), ('god', 0.011605126073419295), ('health', 0.011281439622773119), ('covid19 covid covid19', 0.010740156506669757), ('flu', 0.010705880583314809)]",negative,"['covid', 'coronavirus', 'covid', 'pandemic', 'covid covid', 'generation', 'god', 'health', 'covid covid covid', 'flu ']"
4,3,69,3_vaccine_vaccines_vaccination_medical,"[('vaccine', 0.03222677213417372), ('vaccines', 0.026923318448622537), ('vaccination', 0.018553142643921983), ('medical', 0.012301481928284048), ('would', 0.011929172115649235), ('people', 0.010660909733496638), ('dont', 0.00992736885376416), ('health', 0.009736429429446046), ('measures', 0.009634468591407364), ('diagnoses', 0.009336092888139249)]",negative,"['vaccine', 'vaccines', 'vaccination', 'medical', 'would', 'people', 'dont', 'health', 'measures', 'diagnoses ']"
5,4,39,4_mask_masks_wearing_people,"[('mask', 0.055357832574427446), ('masks', 0.04287961596886624), ('wearing', 0.02320134675431852), ('people', 0.021806638651644776), ('even', 0.02174060654262215), ('odd', 0.020463072035931344), ('wear', 0.01755467038338361), ('face', 0.016699053168134425), ('day', 0.01412625418363053), ('face masks', 0.013789152343601582)]",negative,"['mask', 'masks', 'wearing', 'people', 'even', 'odd', 'wear', 'face', 'day', 'face masks ']"
6,5,35,5_coronavirus_finnish_cannot forget_finnish health,"[('coronavirus', 0.06443376555504088), ('finnish', 0.030138961854792392), ('cannot forget', 0.023999460153289253), ('finnish health', 0.023999460153289253), ('questions coronavirus testing', 0.023999460153289253), ('testing advice', 0.023999460153289253), ('health boss', 0.023999460153289253), ('health boss questions', 0.023999460153289253), ('boss questions coronavirus', 0.023999460153289253), ('boss questions', 0.023999460153289253)]",negative,"['coronavirus', 'finnish', 'cannot forget', 'finnish health', 'questions coronavirus testing', 'testing advice', 'health boss', 'health boss questions', 'boss questions coronavirus', 'boss questions ']"
7,6,25,6_italy_cases_covid19_ilo,"[('italy', 0.04374838812595928), ('cases', 0.03500858941189798), ('covid19', 0.02884477384089705), ('ilo', 0.028581175273462656), ('healthcare workers', 0.02727634488425848), ('france', 0.025833047749668464), ('workers', 0.024559045509152107), ('northern italy', 0.02028092090171292), ('health', 0.01896793245666256), ('northern', 0.018587932186978674)]",negative,"['italy', 'cases', 'covid', 'ilo', 'healthcare workers', 'france', 'workers', 'northern italy', 'health', 'northern ']"
8,7,23,7_support_politicians_vote_later,"[('support', 0.08229886725390413), ('politicians', 0.04783391786623122), ('vote', 0.04711308730316324), ('later', 0.04487014166765055), ('jimmy', 0.04452704811552542), ('m4a', 0.04452704811552542), ('politicians support', 0.04452704811552542), ('country national health', 0.04452704811552542), ('never politicians', 0.04452704811552542), ('american lives', 0.04452704811552542)]",negative,"['support', 'politicians', 'vote', 'later', 'jimmy', 'ma', 'politicians support', 'country national health', 'never politicians', 'american lives ']"
9,8,22,8_protest_whatshappeninginmyanmar_protests_police,"[('protest', 0.04459213533160993), ('whatshappeninginmyanmar', 0.029451328150640676), ('protests', 0.0218445292363351), ('police', 0.016581178491796408), ('resignation', 0.016346782062205533), ('ypgpkk', 0.016346782062205533), ('terrorists', 0.01567377961959078), ('sri', 0.015196287110802951), ('today', 0.014155234172636439), ('military', 0.013778272572572081)]",negative,"['protest', 'whatshappeninginmyanmar', 'protests', 'police', 'resignation', 'ypgpkk', 'terrorists', 'sri', 'today', 'military ']"
10,9,20,9_work_pretend work_office_pretend,"[('work', 0.0716492535902332), ('pretend work', 0.021606792243955654), ('office', 0.021606792243955654), ('pretend', 0.020887393961639585), ('ways', 0.01980312387958987), ('health', 0.01732111438449988), ('work office', 0.016900910267704027), ('pretend work office', 0.016900910267704027), ('got', 0.016794336730334362), ('ceo', 0.016205094182966742)]",negative,"['work', 'pretend work', 'office', 'pretend', 'ways', 'health', 'work office', 'pretend work office', 'got', 'ceo ']"
11,10,19,10_russia_ukraine_russian_putin,"[('russia', 0.039405963210524746), ('ukraine', 0.03887882820402232), ('russian', 0.03501977612195404), ('putin', 0.024928842644863437), ('shows important', 0.01758388315015851), ('russia money disgusting', 0.01758388315015851), ('contracts', 0.01758388315015851), ('ukrainians', 0.01758388315015851), ('russia money', 0.01758388315015851), ('emergency response', 0.01758388315015851)]",negative,"['russia', 'ukraine', 'russian', 'putin', 'shows important', 'russia money disgusting', 'contracts', 'ukrainians', 'russia money', 'emergency response ']"
12,11,18,11_air_pollution_lead_higher,"[('air', 0.0593982097561452), ('pollution', 0.05159170827363339), ('lead', 0.03331290708541102), ('higher', 0.029183146768295032), ('airpollution', 0.026558348799862155), ('sulphur dioxide', 0.026558348799862155), ('sulphur', 0.026558348799862155), ('respiratory problems', 0.026558348799862155), ('government', 0.02500613529421284), ('respiratory', 0.024341339768662547)]",negative,"['air', 'pollution', 'lead', 'higher', 'airpollution', 'sulphur dioxide', 'sulphur', 'respiratory problems', 'government', 'respiratory ']"
