Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,469,-1_health_healthcare_care_covid19,"[('health', 0.014466352313081497), ('healthcare', 0.009249589409365901), ('care', 0.006671905287665521), ('covid19', 0.005896619260577187), ('work', 0.005787331903292005), ('great', 0.005003260711631319), ('public', 0.004809823673881352), ('amp', 0.004770288388979921), ('new', 0.004711724549705826), ('safe', 0.004690567594701317)]",positive,"['health', 'healthcare', 'care', 'covid', 'work', 'great', 'public', 'amp', 'new', 'safe ']"
1,0,272,0_health_healthcare_covid19_finland,"[('health', 0.017784695177025207), ('healthcare', 0.011276210149917946), ('covid19', 0.00952306817160684), ('finland', 0.008717655316523062), ('amp', 0.0072668609872398515), ('today', 0.006547732862731018), ('new', 0.006295963932872236), ('care', 0.006217796550808705), ('work', 0.006019452825740796), ('good', 0.005991955258549174)]",positive,"['health', 'healthcare', 'covid', 'finland', 'amp', 'today', 'new', 'care', 'work', 'good ']"
2,1,110,1_coronavirus_covid19_covid19 coronavirus_test,"[('coronavirus', 0.04052350855586798), ('covid19', 0.027969065491747165), ('covid19 coronavirus', 0.01660470168041636), ('test', 0.013740944857647276), ('corona', 0.013544449474697014), ('help', 0.012118262662841411), ('virus', 0.011525578483644189), ('coronavirus covid19', 0.010718142755186863), ('diary', 0.008769939596372579), ('system', 0.008249616857368743)]",positive,"['coronavirus', 'covid', 'covid coronavirus', 'test', 'corona', 'help', 'virus', 'coronavirus covid', 'diary', 'system ']"
3,2,89,2_mental health_mental_health_mentalhealth,"[('mental health', 0.06268970227547875), ('mental', 0.06188104017888363), ('health', 0.03144517829790578), ('mentalhealth', 0.019031553325041296), ('depression', 0.015965885551708532), ('anxiety', 0.01499992958616989), ('important', 0.012624147352097376), ('burnout', 0.010155657426169034), ('depression anxiety', 0.010155657426169034), ('academic', 0.007837254601769126)]",positive,"['mental health', 'mental', 'health', 'mentalhealth', 'depression', 'anxiety', 'important', 'burnout', 'depression anxiety', 'academic ']"
4,3,73,3_happy_happiness_birthday_health,"[('happy', 0.04058958925518279), ('happiness', 0.0257024096412205), ('birthday', 0.02304252906873894), ('health', 0.021313612825004706), ('year', 0.021068881121324108), ('good', 0.018936313619572154), ('love', 0.018760163800868878), ('happy birthday', 0.018711646108721364), ('life', 0.018080992782689192), ('good health', 0.016555692270625817)]",positive,"['happy', 'happiness', 'birthday', 'health', 'year', 'good', 'love', 'happy birthday', 'life', 'good health ']"
5,4,72,4_finland_estonia_safe_stay,"[('finland', 0.03129165414072976), ('estonia', 0.01689655088625913), ('safe', 0.0140011725329548), ('stay', 0.01369878631632962), ('suomi', 0.012639176351166487), ('helsinki', 0.01254153828261169), ('day', 0.012406053931701617), ('sauna', 0.011881332272021395), ('morning', 0.011266366482867635), ('oulu', 0.01105831125264083)]",positive,"['finland', 'estonia', 'safe', 'stay', 'suomi', 'helsinki', 'day', 'sauna', 'morning', 'oulu ']"
6,5,61,5_health_biodiversity_planet_climate,"[('health', 0.024013653174406846), ('biodiversity', 0.02346603476116032), ('planet', 0.022607173582806003), ('climate', 0.017973409232542065), ('environment', 0.01686794261626062), ('planetary', 0.016343657704984135), ('planetary health', 0.016343657704984135), ('human', 0.015570961749530248), ('safeguarding', 0.014826181071569121), ('benefits', 0.011751615601748741)]",positive,"['health', 'biodiversity', 'planet', 'climate', 'environment', 'planetary', 'planetary health', 'human', 'safeguarding', 'benefits ']"
7,6,58,6_safe_stay_take care_stay safe,"[('safe', 0.10224038033723584), ('stay', 0.07627733289774447), ('take care', 0.06729156129169901), ('stay safe', 0.06322027525552597), ('take', 0.062281716578880424), ('care', 0.05520863776260416), ('healthy', 0.034401498492939275), ('safe take', 0.03269522346223651), ('safe take care', 0.03269522346223651), ('take care safe', 0.031486679398582844)]",positive,"['safe', 'stay', 'take care', 'stay safe', 'take', 'care', 'healthy', 'safe take', 'safe take care', 'take care safe ']"
8,7,54,7_vaccination_vaccine_covid19_covid19 vaccine,"[('vaccination', 0.04541374235633705), ('vaccine', 0.03920537383800115), ('covid19', 0.033065650759132204), ('covid19 vaccine', 0.025497407985951837), ('covid19 vaccination', 0.020571463250750495), ('vaccinated', 0.018200970125057128), ('vaccines', 0.01804307232397798), ('first', 0.01741585781000068), ('omicron', 0.01710964130261387), ('infection', 0.013933897965889428)]",positive,"['vaccination', 'vaccine', 'covid', 'covid vaccine', 'covid vaccination', 'vaccinated', 'vaccines', 'first', 'omicron', 'infection ']"
9,8,54,8_digital_healthcare_health_digital health,"[('digital', 0.052125459177720344), ('healthcare', 0.02317491985431089), ('health', 0.02303421273233322), ('digital health', 0.02301916174385401), ('digital transformation', 0.017824038396390754), ('transformation', 0.017496570849059367), ('digitalhealth', 0.016930209859306253), ('digitalization', 0.014313913248228149), ('management', 0.01403282764429095), ('germany', 0.013642687670242112)]",positive,"['digital', 'healthcare', 'health', 'digital health', 'digital transformation', 'transformation', 'digitalhealth', 'digitalization', 'management', 'germany ']"
