Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,258,-1_health_amp_care_people,"[('health', 0.017192601853245167), ('amp', 0.008940119732501696), ('care', 0.008765439439158015), ('people', 0.008579465002577997), ('good', 0.007672764917944177), ('covid19', 0.006837676719548194), ('think', 0.0062380445905673996), ('also', 0.005861131351635003), ('time', 0.005669790358438276), ('covid', 0.005558172587989289)]",neutral,"['health', 'amp', 'care', 'people', 'good', 'covid', 'think', 'also', 'time', 'covid ']"
1,0,134,0_health_healthcare_public_care,"[('health', 0.020850153239170378), ('healthcare', 0.017136296242630186), ('public', 0.011304931295115736), ('care', 0.009011818185157132), ('health care', 0.008720892977723192), ('public health', 0.008479903289114514), ('countries', 0.008295824545238462), ('better', 0.007368131610603929), ('system', 0.007244655656580682), ('us', 0.007235063404433928)]",neutral,"['health', 'healthcare', 'public', 'care', 'health care', 'public health', 'countries', 'better', 'system', 'us ']"
2,1,108,1_mental_mental health_health_people,"[('mental', 0.05865841714378445), ('mental health', 0.05670124536554512), ('health', 0.03547861214489791), ('people', 0.012145830846786889), ('youre', 0.01152487030156371), ('dont', 0.010900705379575649), ('get', 0.01044532117744796), ('think', 0.009457577578742596), ('mental health issues', 0.0092929134598069), ('like', 0.009218168800232192)]",neutral,"['mental', 'mental health', 'health', 'people', 'youre', 'dont', 'get', 'think', 'mental health issues', 'like ']"
3,2,50,2_covid_get_three_positive,"[('covid', 0.0516524830800668), ('get', 0.01342138819962925), ('three', 0.011851081166144844), ('positive', 0.011608953618183898), ('covid19', 0.010590500608857977), ('anything', 0.009954268220508643), ('ie', 0.009954268220508643), ('care', 0.009137898293214647), ('via', 0.009113959800702877), ('got', 0.008828859705405426)]",neutral,"['covid', 'get', 'three', 'positive', 'covid', 'anything', 'ie', 'care', 'via', 'got ']"
4,3,44,3_workers_salary_worker_job,"[('workers', 0.034111517242650484), ('salary', 0.023012748496774763), ('worker', 0.022388637142561944), ('job', 0.020141242148317508), ('workers income', 0.017145729363648395), ('income', 0.016108923947742337), ('tipping', 0.014696339454555766), ('jobs', 0.012946266705001774), ('want', 0.012567401089397546), ('minimum', 0.012246949545463136)]",neutral,"['workers', 'salary', 'worker', 'job', 'workers income', 'income', 'tipping', 'jobs', 'want', 'minimum ']"
5,4,33,4_vaccine_vaccines_covid19_mandate,"[('vaccine', 0.050316234532495806), ('vaccines', 0.04447621628611363), ('covid19', 0.031460016514548696), ('mandate', 0.028009023429930828), ('database html', 0.02371683859379575), ('health organization pharmacovigilance', 0.02371683859379575), ('analysis world', 0.02371683859379575), ('analysis world health', 0.02371683859379575), ('disproportionality analysis world', 0.02371683859379575), ('disproportionality analysis', 0.02371683859379575)]",neutral,"['vaccine', 'vaccines', 'covid', 'mandate', 'database html', 'health organization pharmacovigilance', 'analysis world', 'analysis world health', 'disproportionality analysis world', 'disproportionality analysis ']"
6,5,30,5_france_covid19_measures_world,"[('france', 0.04720843218949138), ('covid19', 0.025561263418070815), ('measures', 0.024781614264147298), ('world', 0.021121682503189153), ('safety', 0.020328236612275806), ('political', 0.019638001785544167), ('one best', 0.01903862750735555), ('best world', 0.01903862750735555), ('assurancemaladie cartevitale helpless', 0.01903862750735555), ('helpless cowardly', 0.01903862750735555)]",neutral,"['france', 'covid', 'measures', 'world', 'safety', 'political', 'one best', 'best world', 'assurancemaladie cartevitale helpless', 'helpless cowardly ']"
7,6,30,6_health_hope_hair_good,"[('health', 0.03725857652971847), ('hope', 0.0359477870688261), ('hair', 0.03285770346848786), ('good', 0.03236038752933269), ('better', 0.030384513320689), ('take', 0.028750443354855125), ('care', 0.025852317300131076), ('im', 0.022472458687273746), ('rest', 0.022173810215361908), ('take care', 0.021266081107459384)]",neutral,"['health', 'hope', 'hair', 'good', 'better', 'take', 'care', 'im', 'rest', 'take care ']"
8,7,28,7_mask_wearing_people_masks,"[('mask', 0.0664036123393473), ('wearing', 0.040362868741605176), ('people', 0.02884937865803672), ('masks', 0.0241631969427564), ('wear', 0.024080984198116714), ('mask wearing', 0.020672681365272293), ('layers', 0.017130941662183985), ('things', 0.01642868519524925), ('could', 0.01636995487933632), ('covid', 0.014578165883276338)]",neutral,"['mask', 'wearing', 'people', 'masks', 'wear', 'mask wearing', 'layers', 'things', 'could', 'covid ']"
9,8,20,8_new research_new_research_health,"[('new research', 0.038963538721287126), ('new', 0.03390743299142806), ('research', 0.03083840524519748), ('health', 0.02752944840519385), ('covid19 pandemic', 0.02705061229429703), ('related', 0.02644853899043523), ('worries', 0.02576414416747543), ('mental health', 0.02566494149813772), ('mental', 0.025396441327727892), ('older', 0.024341474173634952)]",neutral,"['new research', 'new', 'research', 'health', 'covid pandemic', 'related', 'worries', 'mental health', 'mental', 'older ']"
10,9,18,9_amp_people_someone_covid,"[('amp', 0.034229822066714835), ('people', 0.023463536863111038), ('someone', 0.022979315044936582), ('covid', 0.0213418668726276), ('ive', 0.019652210500521034), ('tracking', 0.017813744793400928), ('time', 0.017278133865033005), ('global', 0.016736544361290736), ('less', 0.01590597963461243), ('parts world', 0.015282347730935598)]",neutral,"['amp', 'people', 'someone', 'covid', 'ive', 'tracking', 'time', 'global', 'less', 'parts world ']"
11,10,17,10_safe_dont_may_way,"[('safe', 0.04725828696988977), ('dont', 0.029806796508807912), ('may', 0.023812714319310375), ('way', 0.01876149351110666), ('dont know', 0.01866201835499145), ('careful', 0.01866201835499145), ('back', 0.016252664588140356), ('take precautions', 0.015088460421014548), ('sure noones hurt', 0.015088460421014548), ('sure noones', 0.015088460421014548)]",neutral,"['safe', 'dont', 'may', 'way', 'dont know', 'careful', 'back', 'take precautions', 'sure noones hurt', 'sure noones ']"
12,11,17,11_cancer_cancer science_cancer science health_scientificresearch,"[('cancer', 0.12289894394254722), ('cancer science', 0.09045210857357266), ('cancer science health', 0.09045210857357266), ('scientificresearch', 0.08454956969629711), ('science health medical', 0.08454956969629711), ('science health', 0.08454956969629711), ('medical study', 0.08454956969629711), ('study research', 0.08454956969629711), ('medical study research', 0.08454956969629711), ('health medical study', 0.08454956969629711)]",neutral,"['cancer', 'cancer science', 'cancer science health', 'scientificresearch', 'science health medical', 'science health', 'medical study', 'study research', 'medical study research', 'health medical study ']"
13,12,17,12_health_like_health problems_different,"[('health', 0.041174158245192674), ('like', 0.026882164341594423), ('health problems', 0.0254842663883596), ('different', 0.02470372178730872), ('seems', 0.024035630728939963), ('better', 0.023280528516133544), ('problems', 0.023185271219210914), ('oreo', 0.022313920340937005), ('wont like', 0.022313920340937005), ('feel', 0.021473791748751112)]",neutral,"['health', 'like', 'health problems', 'different', 'seems', 'better', 'problems', 'oreo', 'wont like', 'feel ']"
14,13,15,13_sendyoursong peace_bokaomw doffouradio bordeaux_covid musique webradio_nowplaying,"[('sendyoursong peace', 0.05511179040141027), ('bokaomw doffouradio bordeaux', 0.05511179040141027), ('covid musique webradio', 0.05511179040141027), ('nowplaying', 0.05511179040141027), ('peace love', 0.05511179040141027), ('covid musique', 0.05511179040141027), ('sendyoursong peace love', 0.05511179040141027), ('peace love unity', 0.05511179040141027), ('submityoursong', 0.05511179040141027), ('sendyoursong', 0.05511179040141027)]",neutral,"['sendyoursong peace', 'bokaomw doffouradio bordeaux', 'covid musique webradio', 'nowplaying', 'peace love', 'covid musique', 'sendyoursong peace love', 'peace love unity', 'submityoursong', 'sendyoursong ']"
15,14,15,14_health benefits_subjective value_subjective_benefits,"[('health benefits', 0.0434458968670674), ('subjective value', 0.04046189820330004), ('subjective', 0.03954555461694115), ('benefits', 0.038131179032306076), ('value', 0.03676573785612202), ('sedentary', 0.035588711160048594), ('features', 0.035588711160048594), ('options', 0.03202447634643418), ('likely', 0.02947034227198448), ('pa', 0.028901355859500027)]",neutral,"['health benefits', 'subjective value', 'subjective', 'benefits', 'value', 'sedentary', 'features', 'options', 'likely', 'pa ']"
16,15,14,15_kids_doesnt_nutriscore_health,"[('kids', 0.037922884038994166), ('doesnt', 0.034168455196180815), ('nutriscore', 0.03178741397316361), ('health', 0.030316380219052974), ('seafood doesnt much', 0.02490456667263579), ('bad doesnt interesting', 0.02490456667263579), ('seafood', 0.02490456667263579), ('seafood doesnt', 0.02490456667263579), ('except veggies', 0.02490456667263579), ('memories related making', 0.02490456667263579)]",neutral,"['kids', 'doesnt', 'nutriscore', 'health', 'seafood doesnt much', 'bad doesnt interesting', 'seafood', 'seafood doesnt', 'except veggies', 'memories related making ']"
17,16,13,16_french_healthcare_actors_territorial level,"[('french', 0.131962906339824), ('healthcare', 0.10023011294983261), ('actors', 0.0812400986413386), ('territorial level', 0.0812400986413386), ('innovative training french', 0.0812400986413386), ('shifting towards', 0.0812400986413386), ('innovative', 0.0812400986413386), ('territorial', 0.0812400986413386), ('indepth analysis amp', 0.0812400986413386), ('territorial level french', 0.0812400986413386)]",neutral,"['french', 'healthcare', 'actors', 'territorial level', 'innovative training french', 'shifting towards', 'innovative', 'territorial', 'indepth analysis amp', 'territorial level french ']"
18,17,12,17_sarscov2_omicron_scientificresearch effects ba1ba2_infection infectiousness sarscov2,"[('sarscov2', 0.05238674454550352), ('omicron', 0.04904298001323771), ('scientificresearch effects ba1ba2', 0.04904298001323771), ('infection infectiousness sarscov2', 0.04904298001323771), ('infectiousness sarscov2', 0.04904298001323771), ('sarscov2 om covid19', 0.04904298001323771), ('prior infection infectiousness', 0.04904298001323771), ('scientificresearch effects', 0.04904298001323771), ('omicron science health', 0.04904298001323771), ('omicron science', 0.04904298001323771)]",neutral,"['sarscov', 'omicron', 'scientificresearch effects baba', 'infection infectiousness sarscov', 'infectiousness sarscov', 'sarscov om covid', 'prior infection infectiousness', 'scientificresearch effects', 'omicron science health', 'omicron science ']"
