Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1435,-1_health_covid_people_amp,"[('health', 0.010131266263860576), ('covid', 0.007197345696793617), ('people', 0.005483230704197787), ('amp', 0.0050561390513214005), ('covid19', 0.004772862773773697), ('care', 0.004742456292806473), ('dont', 0.004082544256393294), ('healthcare', 0.004030492976399385), ('mental', 0.00355207796212019), ('medical', 0.0034801707437278934)]",negative,"['health', 'covid', 'people', 'amp', 'covid', 'care', 'dont', 'healthcare', 'mental', 'medical ']"
1,0,345,0_covid_covid19_coronavirus_quarantine,"[('covid', 0.01976071200756891), ('covid19', 0.017767125514375134), ('coronavirus', 0.007603007904096515), ('quarantine', 0.006575959212983833), ('paris', 0.005699421395097412), ('france', 0.005323853206974705), ('care', 0.005279870339210677), ('risk', 0.005103973187063177), ('trump', 0.005084545720469583), ('new', 0.005075385713904855)]",negative,"['covid', 'covid', 'coronavirus', 'quarantine', 'paris', 'france', 'care', 'risk', 'trump', 'new ']"
2,1,294,1_mental_mental health_health_gun,"[('mental', 0.035825551135784034), ('mental health', 0.03452019153651039), ('health', 0.019849274649788834), ('gun', 0.013011635558079252), ('guns', 0.01213874829414522), ('dont', 0.008355814810192853), ('im', 0.007732680926766348), ('issues', 0.006204592997543624), ('one', 0.005969395348887157), ('like', 0.005893298431136776)]",negative,"['mental', 'mental health', 'health', 'gun', 'guns', 'dont', 'im', 'issues', 'one', 'like ']"
3,2,110,2_protest_whatshappeninginmyanmar_military_protests,"[('protest', 0.043865525981221176), ('whatshappeninginmyanmar', 0.025183194457045286), ('military', 0.024755408506252182), ('protests', 0.016577054680388024), ('myanmar', 0.014064435834519494), ('protest military', 0.011860558440755162), ('police', 0.01179395915585618), ('people', 0.01116293641341659), ('dictatorship', 0.010035857142177446), ('military dictatorship', 0.008742797940655907)]",negative,"['protest', 'whatshappeninginmyanmar', 'military', 'protests', 'myanmar', 'protest military', 'police', 'people', 'dictatorship', 'military dictatorship ']"
4,3,110,3_worker_workers_strike_pay,"[('worker', 0.0243349945994244), ('workers', 0.02063740079766007), ('strike', 0.019429946786353226), ('pay', 0.014749855152009736), ('work', 0.011734533255304512), ('dont', 0.008838923061166348), ('tesla', 0.008716806975999167), ('salary', 0.008556556280084839), ('coop', 0.008039407465486058), ('money', 0.007208623222541997)]",negative,"['worker', 'workers', 'strike', 'pay', 'work', 'dont', 'tesla', 'salary', 'coop', 'money ']"
5,4,101,4_mask_masks_wear_wear mask,"[('mask', 0.04280918071144216), ('masks', 0.028941378643078775), ('wear', 0.021285502337096276), ('wear mask', 0.016082964018994016), ('wearing', 0.01515198941653338), ('dont', 0.01372766124225076), ('people', 0.012865483199286386), ('wearing mask', 0.009831528611347128), ('wear masks', 0.00856479589925051), ('covid', 0.008142123453618423)]",negative,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'dont', 'people', 'wearing mask', 'wear masks', 'covid ']"
6,5,96,5_amp_hospital_medics_pain,"[('amp', 0.03967106399683206), ('hospital', 0.02035057518354976), ('medics', 0.010087842730470134), ('pain', 0.009403353214050381), ('nhs', 0.008956872272690136), ('doctors', 0.008128477717506164), ('safety', 0.007270794805280835), ('health safety', 0.007116075567823405), ('rules', 0.006983891121094707), ('go', 0.006524971306347487)]",negative,"['amp', 'hospital', 'medics', 'pain', 'nhs', 'doctors', 'safety', 'health safety', 'rules', 'go ']"
7,6,62,6_ukraine_war_russia_russian,"[('ukraine', 0.03294675958386842), ('war', 0.01947820202020373), ('russia', 0.01925345041820771), ('russian', 0.0149433673122988), ('health', 0.012823464543794176), ('trustworthy', 0.01279652757386891), ('attacks', 0.011238217342800536), ('putin', 0.010791481131792534), ('boris', 0.01046035711860916), ('care', 0.010031207282447864)]",negative,"['ukraine', 'war', 'russia', 'russian', 'health', 'trustworthy', 'attacks', 'putin', 'boris', 'care ']"
8,7,62,7_vaccine_vaccines_big pharma_pharma,"[('vaccine', 0.030957864016365615), ('vaccines', 0.023162335888667635), ('big pharma', 0.016356606745480912), ('pharma', 0.016090638893932432), ('countries', 0.015504094166131533), ('big', 0.012364237913648969), ('covid19', 0.01038821741207303), ('cause', 0.010104034156833272), ('among', 0.009894877951957258), ('stop', 0.009187509979635418)]",negative,"['vaccine', 'vaccines', 'big pharma', 'pharma', 'countries', 'big', 'covid', 'cause', 'among', 'stop ']"
9,8,56,8_biden_republicans_democrats_children,"[('biden', 0.015935715800857998), ('republicans', 0.01409850665776203), ('democrats', 0.01409850665776203), ('children', 0.012258446457416711), ('support', 0.01143484235868907), ('dems', 0.010544279493087763), ('innocent', 0.010544279493087763), ('know', 0.009858415542257587), ('babies', 0.008903466756769658), ('kids', 0.008675022607692855)]",negative,"['biden', 'republicans', 'democrats', 'children', 'support', 'dems', 'innocent', 'know', 'babies', 'kids ']"
10,9,46,9_costs_pay_french_housing,"[('costs', 0.016596130287761156), ('pay', 0.014837840922337024), ('french', 0.014760596184584885), ('housing', 0.013146149384892458), ('healthcare', 0.013035057635462003), ('cost', 0.012715487728726434), ('france', 0.012211756358335121), ('care', 0.011391101842805042), ('health', 0.011367193812502157), ('living', 0.011297342200131538)]",negative,"['costs', 'pay', 'french', 'housing', 'healthcare', 'cost', 'france', 'care', 'health', 'living ']"
11,10,42,10_tobacco_worldnotobaccoday_planet_smoking,"[('tobacco', 0.07483163768719382), ('worldnotobaccoday', 0.03220406222299532), ('planet', 0.02590973918094006), ('smoking', 0.024449341934978396), ('pollution', 0.023867550641093204), ('tobaccoexposed', 0.023738646901859676), ('health', 0.021557556536220917), ('every year', 0.021101019468319715), ('notobacco', 0.019231308343272687), ('tobacco industry', 0.016887871286764906)]",negative,"['tobacco', 'worldnotobaccoday', 'planet', 'smoking', 'pollution', 'tobaccoexposed', 'health', 'every year', 'notobacco', 'tobacco industry ']"
12,11,38,11_brexit_eu_tory_tories,"[('brexit', 0.0310742403488537), ('eu', 0.016794994594041518), ('tory', 0.01642122238840482), ('tories', 0.015601656264655777), ('uk', 0.012748542398880954), ('disaster', 0.012384288563358553), ('benefits', 0.011855508118079916), ('vote', 0.011082815139826079), ('big', 0.011013162079539042), ('brexit disaster', 0.010513527712838937)]",negative,"['brexit', 'eu', 'tory', 'tories', 'uk', 'disaster', 'benefits', 'vote', 'big', 'brexit disaster ']"
13,12,37,12_discrimination_pridemonth_lgbtqi people_lgbtqi,"[('discrimination', 0.0279410348426876), ('pridemonth', 0.02289434612028781), ('lgbtqi people', 0.02289434612028781), ('lgbtqi', 0.02289434612028781), ('health care', 0.02084770596686435), ('stigma', 0.019307105209254518), ('gender', 0.018997375064362033), ('access', 0.01744099380239142), ('lack', 0.016736833353100097), ('care', 0.015835495229398266)]",negative,"['discrimination', 'pridemonth', 'lgbtqi people', 'lgbtqi', 'health care', 'stigma', 'gender', 'access', 'lack', 'care ']"
14,13,35,13_worldwide_cruise_crew_cruise ship,"[('worldwide', 0.08614243173662715), ('cruise', 0.08103062405601902), ('crew', 0.062263280219749445), ('cruise ship', 0.06113036464684299), ('ship', 0.06013634968992119), ('crew members', 0.05680540392303419), ('passengers', 0.053156838823341726), ('members', 0.05292441226550433), ('worldwide negligence beyond', 0.052382039987565104), ('avoiding', 0.052382039987565104)]",negative,"['worldwide', 'cruise', 'crew', 'cruise ship', 'ship', 'crew members', 'passengers', 'members', 'worldwide negligence beyond', 'avoiding ']"
15,14,34,14_apply_june_digital_2022,"[('apply', 0.027505783919833836), ('june', 0.026201545055936283), ('digital', 0.023036041489277945), ('2022', 0.017911010780022697), ('apply june', 0.017043618977111367), ('innovation', 0.017043618977111367), ('healthcare', 0.016042705069566173), ('professionals', 0.015619133644050353), ('digital health', 0.014094196262641993), ('june apply', 0.014094196262641993)]",negative,"['apply', 'june', 'digital', '', 'apply june', 'innovation', 'healthcare', 'professionals', 'digital health', 'june apply ']"
16,15,31,15_fraud_scam_phishing_419fraud,"[('fraud', 0.0861713228771368), ('scam', 0.04661725486393859), ('phishing', 0.03512416222920886), ('419fraud', 0.019281917049439195), ('department', 0.01694857709355823), ('scam phishing', 0.016932313053309025), ('attorney', 0.016932313053309025), ('settlement', 0.016176662982361256), ('pfizer', 0.014527351794478482), ('campaign', 0.013600134325642764)]",negative,"['fraud', 'scam', 'phishing', 'fraud', 'department', 'scam phishing', 'attorney', 'settlement', 'pfizer', 'campaign ']"
17,16,31,16_soil_worldenvironmentday_food_savesoilsaveenvironment,"[('soil', 0.030561246559884233), ('worldenvironmentday', 0.028202613614105778), ('food', 0.02215211533424203), ('savesoilsaveenvironment', 0.021268878022603466), ('amp', 0.020896291161890547), ('water', 0.020894276365932492), ('one health', 0.019741829529874043), ('us', 0.018742362880015153), ('worldenvironmentday savesoilsaveenvironment', 0.018677152279411986), ('biodiversity', 0.018677152279411986)]",negative,"['soil', 'worldenvironmentday', 'food', 'savesoilsaveenvironment', 'amp', 'water', 'one health', 'us', 'worldenvironmentday savesoilsaveenvironment', 'biodiversity ']"
