Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1509,-1_health_covid19_amp_care,"[('health', 0.009702277398217397), ('covid19', 0.007047547710490587), ('amp', 0.005275538381529666), ('care', 0.004871599714334657), ('covid', 0.004808872083897794), ('people', 0.004544461035729643), ('new', 0.004534974686578263), ('healthcare', 0.004177282926761885), ('public', 0.0036630573312906116), ('work', 0.0035007059836760827)]",positive,"['health', 'covid', 'amp', 'care', 'covid', 'people', 'new', 'healthcare', 'public', 'work ']"
1,0,939,0_health_amp_mental_covid19,"[('health', 0.01415280417905753), ('amp', 0.012072981760226444), ('mental', 0.010306110320346677), ('covid19', 0.010231265957624866), ('mental health', 0.009920435699679781), ('new', 0.005765674485032137), ('covid', 0.005123148291198721), ('pandemic', 0.0050518055366708114), ('healthcare', 0.005033460434973663), ('care', 0.00470829706878893)]",positive,"['health', 'amp', 'mental', 'covid', 'mental health', 'new', 'covid', 'pandemic', 'healthcare', 'care ']"
2,1,125,1_soil_climate_health_biodiversity,"[('soil', 0.01853535422514272), ('climate', 0.017421864931093118), ('health', 0.014859106328538062), ('biodiversity', 0.012923472443091992), ('planet', 0.012908549737686414), ('action', 0.012702930104976006), ('worldenvironmentday', 0.01264324647369352), ('amp', 0.011396636870453019), ('human health', 0.01064543521586959), ('savesoil', 0.010500321360012244)]",positive,"['soil', 'climate', 'health', 'biodiversity', 'planet', 'action', 'worldenvironmentday', 'amp', 'human health', 'savesoil ']"
3,2,116,2_cancer_medical study research_science health_health medical study,"[('cancer', 0.08760254196192567), ('medical study research', 0.06186284934489599), ('science health', 0.06186284934489599), ('health medical study', 0.06186284934489599), ('cancer science', 0.06186284934489599), ('medical study', 0.06186284934489599), ('science health medical', 0.06186284934489599), ('cancer science health', 0.06186284934489599), ('study research', 0.0616951589787789), ('health medical', 0.0616951589787789)]",positive,"['cancer', 'medical study research', 'science health', 'health medical study', 'cancer science', 'medical study', 'science health medical', 'cancer science health', 'study research', 'health medical ']"
4,3,79,3_weight loss_loss_health_weight,"[('weight loss', 0.016334679927381045), ('loss', 0.016247234179996135), ('health', 0.01622609472192282), ('weight', 0.016119825776818114), ('food', 0.01517766437394947), ('healthy', 0.013688155542535083), ('nutrition', 0.012319475761838568), ('nutrition weight', 0.01091909568829901), ('nutrition weight loss', 0.01091909568829901), ('diets', 0.009763017987972732)]",positive,"['weight loss', 'loss', 'health', 'weight', 'food', 'healthy', 'nutrition', 'nutrition weight', 'nutrition weight loss', 'diets ']"
5,4,67,4_safe_take care_take_care,"[('safe', 0.11468772973838351), ('take care', 0.09170749008265772), ('take', 0.07784219426059351), ('care', 0.06248221502651094), ('stay safe', 0.059847328489945194), ('stay', 0.05188322232614147), ('safe take', 0.051542619726646366), ('safe take care', 0.051542619726646366), ('take care safe', 0.05126327513590092), ('care safe', 0.05047400401987375)]",positive,"['safe', 'take care', 'take', 'care', 'stay safe', 'stay', 'safe take', 'safe take care', 'take care safe', 'care safe ']"
6,5,56,5_cycling_worldbicycleday_exercise_activity,"[('cycling', 0.025150841216108628), ('worldbicycleday', 0.016018259586085937), ('exercise', 0.014044547753805401), ('activity', 0.014044547753805401), ('physical', 0.0134400191953853), ('workout', 0.012427701301956135), ('bike', 0.01201369468956445), ('health', 0.01107144233746962), ('fitness', 0.010916900014438803), ('good', 0.010842102746481912)]",positive,"['cycling', 'worldbicycleday', 'exercise', 'activity', 'physical', 'workout', 'bike', 'health', 'fitness', 'good ']"
7,6,56,6_worker_workers_ilc2022_salary,"[('worker', 0.04299074172092092), ('workers', 0.024774779171426255), ('ilc2022', 0.016194998954384626), ('salary', 0.015231565533621871), ('people', 0.011827968960310334), ('international', 0.011361250987782952), ('talent', 0.010447270777385723), ('employers', 0.009346648807051288), ('today', 0.009286552316358537), ('word', 0.009195448866685477)]",positive,"['worker', 'workers', 'ilc', 'salary', 'people', 'international', 'talent', 'employers', 'today', 'word ']"
8,7,52,7_paris_french_covid_france,"[('paris', 0.030942492602501283), ('french', 0.026773187174925415), ('covid', 0.021268399437185666), ('france', 0.018445794795454547), ('travel', 0.012908872596074428), ('covid crisis', 0.010584777766194407), ('crisis', 0.00952103639275577), ('made lot', 0.009227280656462345), ('well amp people', 0.009227280656462345), ('pdt macron', 0.009227280656462345)]",positive,"['paris', 'french', 'covid', 'france', 'travel', 'covid crisis', 'crisis', 'made lot', 'well amp people', 'pdt macron ']"
9,8,47,8_women_sexual_gender_womens,"[('women', 0.026313983977231614), ('sexual', 0.021662522966691484), ('gender', 0.020334972719328086), ('womens', 0.01763904220718622), ('health', 0.016985359692460195), ('sexual health', 0.016061372115439954), ('menopause', 0.015439104085819931), ('health gender', 0.014206454111805886), ('girls', 0.013395453770820671), ('womens health', 0.012287283464236113)]",positive,"['women', 'sexual', 'gender', 'womens', 'health', 'sexual health', 'menopause', 'health gender', 'girls', 'womens health ']"
