Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,328,-1_covid19_health_people_covid,"[('covid19', 0.013378435862163475), ('health', 0.012525484011272287), ('people', 0.008080679388720941), ('covid', 0.007487523549561039), ('care', 0.006336021866971685), ('dont', 0.006166101643983508), ('also', 0.006143921098695362), ('safe', 0.005676032745165293), ('amp', 0.004900979054197702), ('would', 0.004856096864799958)]",negative,"['covid', 'health', 'people', 'covid', 'care', 'dont', 'also', 'safe', 'amp', 'would ']"
1,0,90,0_health_healthcare_system_death,"[('health', 0.015288284980801979), ('healthcare', 0.013833203339702548), ('system', 0.012796611984772346), ('death', 0.012493067204965623), ('covid19', 0.012066549544457572), ('deaths', 0.010201115929884062), ('died', 0.009943237382430489), ('covid', 0.009740334702282166), ('government', 0.00967101725867301), ('even', 0.009076512309853029)]",negative,"['health', 'healthcare', 'system', 'death', 'covid', 'deaths', 'died', 'covid', 'government', 'even ']"
2,1,52,1_mental_mental health_health_issues,"[('mental', 0.06928848015107687), ('mental health', 0.06571034951972152), ('health', 0.039767093516079176), ('issues', 0.015152340128093264), ('im', 0.014992587775751097), ('health issues', 0.014071385881363923), ('mental health issues', 0.013646783600413779), ('problems', 0.011487547902751881), ('po', 0.00995279751317268), ('mental health problems', 0.00995279751317268)]",negative,"['mental', 'mental health', 'health', 'issues', 'im', 'health issues', 'mental health issues', 'problems', 'po', 'mental health problems ']"
3,2,50,2_vaccine_many_vaccination_medicine,"[('vaccine', 0.04672977872995535), ('many', 0.027952412691327155), ('vaccination', 0.022867281624006097), ('medicine', 0.020807704006447728), ('people', 0.019912074121434333), ('covid19', 0.016483292660273496), ('medicine ontario', 0.015339980482441421), ('medicine ontario canada', 0.015339980482441421), ('covid19 vaccine', 0.015339980482441421), ('ontario', 0.015339980482441421)]",negative,"['vaccine', 'many', 'vaccination', 'medicine', 'people', 'covid', 'medicine ontario', 'medicine ontario canada', 'covid vaccine', 'ontario ']"
4,3,30,3_tesla_provider_money_greatest,"[('tesla', 0.02258129649982948), ('provider', 0.022011756511037782), ('money', 0.01779129035950855), ('greatest', 0.016053493766617417), ('worker', 0.013587267887357497), ('company', 0.013562190770020162), ('dont', 0.013321348760022706), ('people', 0.013035033707272289), ('musk', 0.012572169894429944), ('barca', 0.012572169894429944)]",negative,"['tesla', 'provider', 'money', 'greatest', 'worker', 'company', 'dont', 'people', 'musk', 'barca ']"
5,4,30,4_coronavirus_covid19_corona_coronavirus covid19,"[('coronavirus', 0.055998687533578666), ('covid19', 0.03157539229374344), ('corona', 0.02572740152520229), ('coronavirus covid19', 0.023092378878682977), ('health', 0.01950289327280685), ('virus', 0.016999575411153222), ('world health', 0.016234384583636394), ('jena', 0.015619615556708837), ('pandemic', 0.014709347941987893), ('sarscov2', 0.01464732745934885)]",negative,"['coronavirus', 'covid', 'corona', 'coronavirus covid', 'health', 'virus', 'world health', 'jena', 'pandemic', 'sarscov ']"
6,5,30,5_germany_health_healthcare_like,"[('germany', 0.04213369305051445), ('health', 0.02118911406148346), ('healthcare', 0.014911877270596157), ('like', 0.014397219006743163), ('nazi', 0.014141740022795113), ('talking', 0.013920237415118466), ('know', 0.013511541016213026), ('uk', 0.013456044302170915), ('government', 0.012410875873011587), ('job', 0.01238196666461789)]",negative,"['germany', 'health', 'healthcare', 'like', 'nazi', 'talking', 'know', 'uk', 'government', 'job ']"
7,6,29,6_protest_police_strike_people,"[('protest', 0.054036777523284424), ('police', 0.02052555452871041), ('strike', 0.02052555452871041), ('people', 0.019374946881164427), ('provide health', 0.016703057098214652), ('whatshappeninginmyanmar', 0.016703057098214652), ('myanmar', 0.016703057098214652), ('primaries', 0.016703057098214652), ('provide', 0.016703057098214652), ('provide health care', 0.016703057098214652)]",negative,"['protest', 'police', 'strike', 'people', 'provide health', 'whatshappeninginmyanmar', 'myanmar', 'primaries', 'provide', 'provide health care ']"
8,7,28,7_sports_mindset_health_erfolg,"[('sports', 0.041159985103250765), ('mindset', 0.03531657347932723), ('health', 0.03392727545830052), ('erfolg', 0.03310842231379244), ('sports health', 0.03310842231379244), ('fitness', 0.030882147418036576), ('sportmotivation sports health', 0.030312602821605326), ('pminternational', 0.030312602821605326), ('sportmotivation sports', 0.030312602821605326), ('sportmotivation', 0.030312602821605326)]",negative,"['sports', 'mindset', 'health', 'erfolg', 'sports health', 'fitness', 'sportmotivation sports health', 'pminternational', 'sportmotivation sports', 'sportmotivation ']"
9,8,27,8_mask_wear_masks_wear mask,"[('mask', 0.07389909728663502), ('wear', 0.04093789885269366), ('masks', 0.03889244652051021), ('wear mask', 0.03071551712621264), ('delivery', 0.020899343912678735), ('wearing', 0.018821632458946504), ('among', 0.01462098334521333), ('go', 0.013478629403671314), ('need', 0.013287395653512807), ('health', 0.012978544084421824)]",negative,"['mask', 'wear', 'masks', 'wear mask', 'delivery', 'wearing', 'among', 'go', 'need', 'health ']"
