Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,148,-1_health_covid19_care_people,"[('health', 0.02242887257123904), ('covid19', 0.009807511006989837), ('care', 0.0077030542130933095), ('people', 0.0066812671120795395), ('good', 0.006555571224716146), ('public', 0.0065309325315579606), ('amp', 0.006193007994469952), ('war', 0.00616505065707043), ('without', 0.005907325540594886), ('world', 0.005633288408465334)]",negative,"['health', 'covid', 'care', 'people', 'good', 'public', 'amp', 'war', 'without', 'world ']"
1,0,120,0_greece_covid19_greek_athens,"[('greece', 0.041706856622897304), ('covid19', 0.024708213549149947), ('greek', 0.0243630419933122), ('athens', 0.01986500551824284), ('news', 0.013000815282996486), ('news greece', 0.012400574361780716), ('health', 0.012207957686757294), ('athens greece', 0.012096595457363574), ('workers', 0.01082801866369431), ('stayhome', 0.009491598773091426)]",negative,"['greece', 'covid', 'greek', 'athens', 'news', 'news greece', 'health', 'athens greece', 'workers', 'stayhome ']"
2,1,64,1_covid19_covid_deaths_china,"[('covid19', 0.026630116692590463), ('covid', 0.025709800501977086), ('deaths', 0.022838224250629775), ('china', 0.019594802581297626), ('health', 0.015479460236494708), ('china covid19', 0.015317486972042271), ('worldwide', 0.01180971474360807), ('death', 0.01159193140201063), ('2020', 0.011452563754772457), ('medical', 0.01022783580219479)]",negative,"['covid', 'covid', 'deaths', 'china', 'health', 'china covid', 'worldwide', 'death', '', 'medical ']"
3,2,57,2_mental_health_mental health_life,"[('mental', 0.03837158763497055), ('health', 0.03727251015633348), ('mental health', 0.03594212341082719), ('life', 0.011111375888950892), ('one', 0.009925914905915987), ('right', 0.00970874569234434), ('dont', 0.009614272150576596), ('like', 0.009354879462646983), ('always', 0.00918769843188887), ('im', 0.009125206295829216)]",negative,"['mental', 'health', 'mental health', 'life', 'one', 'right', 'dont', 'like', 'always', 'im ']"
4,3,48,3_health_healthcare_people_pay,"[('health', 0.02145800031455665), ('healthcare', 0.020560790063938954), ('people', 0.01402788862536202), ('pay', 0.01350658477774948), ('public', 0.013424578839206277), ('care', 0.012865059422282393), ('average', 0.011820566102992959), ('lockdown', 0.01178820568067776), ('per', 0.01116248174629486), ('economy', 0.010982828833065995)]",negative,"['health', 'healthcare', 'people', 'pay', 'public', 'care', 'average', 'lockdown', 'per', 'economy ']"
5,4,36,4_vaccine_vaccines_health_unvxd,"[('vaccine', 0.03697095629101197), ('vaccines', 0.021769111932334106), ('health', 0.020406316787189693), ('unvxd', 0.016325190035543502), ('choices consequences', 0.01556399481890946), ('choices', 0.015164173937919186), ('consequences', 0.015164173937919186), ('maybe', 0.013767811437029412), ('treatment', 0.013190727994716028), ('amp', 0.012447221269509439)]",negative,"['vaccine', 'vaccines', 'health', 'unvxd', 'choices consequences', 'choices', 'consequences', 'maybe', 'treatment', 'amp ']"
6,5,23,5_mask_masks_lol_covid19,"[('mask', 0.06730575818218508), ('masks', 0.0357370878418443), ('lol', 0.02943659964163863), ('covid19', 0.02668064822331644), ('cases', 0.02659950291431023), ('wearing', 0.020898297057813358), ('2021', 0.020421193052482457), ('school', 0.020421193052482457), ('least', 0.017948797009564848), ('revisiting pediatric covid19', 0.017946891069885514)]",negative,"['mask', 'masks', 'lol', 'covid', 'cases', 'wearing', '', 'school', 'least', 'revisiting pediatric covid ']"
7,6,21,6_amp_looted_tigraygenocide_looted amp,"[('amp', 0.07596756473216475), ('looted', 0.05527322191229104), ('tigraygenocide', 0.05206089918358852), ('looted amp', 0.04879007831832082), ('hospitals', 0.04559914785310325), ('destroyed', 0.04342896007394296), ('neveragain4tigray', 0.04230787866540286), ('tigray', 0.04065839859860068), ('victims', 0.04065839859860068), ('looted amp destroyed', 0.035007759518541355)]",negative,"['amp', 'looted', 'tigraygenocide', 'looted amp', 'hospitals', 'destroyed', 'neveragaintigray', 'tigray', 'victims', 'looted amp destroyed ']"
8,7,20,7_brexit_coronavirus_deal_uk,"[('brexit', 0.08100897893002214), ('coronavirus', 0.03919415367634669), ('deal', 0.022313035077817626), ('uk', 0.020606652196301152), ('ignored', 0.018393013683761804), ('pfizer', 0.016994818379247146), ('plan', 0.014935667736012105), ('us', 0.012799028978428696), ('wrong', 0.01274611378443536), ('needs', 0.012248786428064394)]",negative,"['brexit', 'coronavirus', 'deal', 'uk', 'ignored', 'pfizer', 'plan', 'us', 'wrong', 'needs ']"
9,8,18,8_pandemic_covid19_connection_covid19 pandemic,"[('pandemic', 0.04828879854150984), ('covid19', 0.041909691844076793), ('connection', 0.03270139895011304), ('covid19 pandemic', 0.031179751606231293), ('wall', 0.023274978088768567), ('world', 0.022026944353683516), ('worse', 0.021800932633408696), ('lockdown', 0.0194054478759791), ('healthy', 0.018994897222091148), ('society', 0.018994897222091148)]",negative,"['pandemic', 'covid', 'connection', 'covid pandemic', 'wall', 'world', 'worse', 'lockdown', 'healthy', 'society ']"
