Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,650,-1_health_covid19_covid_people,"[('health', 0.009496433244425567), ('covid19', 0.0076725136530033395), ('covid', 0.007537148388892914), ('people', 0.005813551048472651), ('amp', 0.005771641906654419), ('care', 0.004933613604160158), ('like', 0.004594013236528326), ('dont', 0.004504466820801391), ('public', 0.004209297023851824), ('china', 0.004092957537130648)]",negative,"['health', 'covid', 'covid', 'people', 'amp', 'care', 'like', 'dont', 'public', 'china ']"
1,0,451,0_covid19_taiwan_covid_china,"[('covid19', 0.017528781870173118), ('taiwan', 0.01033474819285527), ('covid', 0.010085792380188661), ('china', 0.00972136019844261), ('health', 0.009036296788252369), ('people', 0.007127041366749381), ('cases', 0.005783060423139039), ('quarantine', 0.005735196628884199), ('chinese', 0.00519642840368902), ('new', 0.00503886706942655)]",negative,"['covid', 'taiwan', 'covid', 'china', 'health', 'people', 'cases', 'quarantine', 'chinese', 'new ']"
2,1,146,1_mask_wear_wearing_masks,"[('mask', 0.048909082514969254), ('wear', 0.01855112006332531), ('wearing', 0.01842546970327961), ('masks', 0.018300334242488673), ('wear mask', 0.014702200306943948), ('people', 0.011909019841974164), ('medical', 0.011211068081773714), ('wearing mask', 0.010866147401894156), ('infected', 0.008202568368247605), ('covid19', 0.007761526969294549)]",negative,"['mask', 'wear', 'wearing', 'masks', 'wear mask', 'people', 'medical', 'wearing mask', 'infected', 'covid ']"
3,2,106,2_vaccine_died_vaccines_covid,"[('vaccine', 0.030879578882651113), ('died', 0.020641793998325827), ('vaccines', 0.014632923016767881), ('covid', 0.01384863588202242), ('vaccinated', 0.012717481592013122), ('go', 0.012584804041021977), ('get', 0.011749797659960825), ('people', 0.01044078451899105), ('vaccination', 0.0098770607221743), ('china', 0.009052254738550107)]",negative,"['vaccine', 'died', 'vaccines', 'covid', 'vaccinated', 'go', 'get', 'people', 'vaccination', 'china ']"
4,3,85,3_health authorities_hongkongs latest_hongkongs_authorities update,"[('health authorities', 0.031800538357339786), ('hongkongs latest', 0.03165173910932371), ('hongkongs', 0.03165173910932371), ('authorities update', 0.03165173910932371), ('update hongkongs', 0.03165173910932371), ('update hongkongs latest', 0.03165173910932371), ('latest covid19 situation', 0.03165173910932371), ('health authorities update', 0.03165173910932371), ('hongkongs latest covid19', 0.03165173910932371), ('watch health', 0.03165173910932371)]",negative,"['health authorities', 'hongkongs latest', 'hongkongs', 'authorities update', 'update hongkongs', 'update hongkongs latest', 'latest covid situation', 'health authorities update', 'hongkongs latest covid', 'watch health ']"
5,4,58,4_nurses_nurse_lads_local lads,"[('nurses', 0.04421586939406738), ('nurse', 0.03503736684116158), ('lads', 0.0175862826391985), ('local lads', 0.0175862826391985), ('doctors', 0.017428201326890106), ('aed', 0.015725929064601026), ('doctors nurses', 0.015387997309298686), ('say nurses', 0.013813847914776849), ('veterinary', 0.013813847914776849), ('around', 0.013679311749315207)]",negative,"['nurses', 'nurse', 'lads', 'local lads', 'doctors', 'aed', 'doctors nurses', 'say nurses', 'veterinary', 'around ']"
6,5,55,5_health_im_rest_good,"[('health', 0.025099759554166972), ('im', 0.020189506508349397), ('rest', 0.01708817093005549), ('good', 0.01584109738786707), ('dont', 0.014296040861199087), ('eat', 0.013079802402014932), ('enough', 0.011894648611754528), ('take', 0.01140158238669334), ('playing', 0.010937753849569513), ('get', 0.010267914776216924)]",negative,"['health', 'im', 'rest', 'good', 'dont', 'eat', 'enough', 'take', 'playing', 'get ']"
7,6,41,6_mental_mental health_health_mental health issue,"[('mental', 0.08306980730289493), ('mental health', 0.07420797086918525), ('health', 0.03648875827907361), ('mental health issue', 0.011098941331139069), ('health mental', 0.011098941331139069), ('health issue', 0.011098941331139069), ('good mental', 0.010733007718395304), ('good mental health', 0.010733007718395304), ('take', 0.010359401621188256), ('break', 0.009769744039497163)]",negative,"['mental', 'mental health', 'health', 'mental health issue', 'health mental', 'health issue', 'good mental', 'good mental health', 'take', 'break ']"
8,7,39,7_hong_kong_hong kong_hk,"[('hong', 0.031748982263059694), ('kong', 0.03060630897216889), ('hong kong', 0.03060630897216889), ('hk', 0.019311059045820027), ('people', 0.01586364222867712), ('protests', 0.013988150915647965), ('protesters', 0.012907586296411415), ('tiananmen', 0.012548124093201718), ('hongkong', 0.01156274588250813), ('hongkongers', 0.010279327735458098)]",negative,"['hong', 'kong', 'hong kong', 'hk', 'people', 'protests', 'protesters', 'tiananmen', 'hongkong', 'hongkongers ']"
9,8,25,8_shanghai_lockdown_fragility_systems fragility,"[('shanghai', 0.05240895773574944), ('lockdown', 0.034714838798054766), ('fragility', 0.027931296882625717), ('systems fragility', 0.027931296882625717), ('coronavirus shanghai', 0.027931296882625717), ('chinese health systems', 0.027931296882625717), ('shanghai outbreak', 0.027931296882625717), ('health systems fragility', 0.027931296882625717), ('stores', 0.027931296882625717), ('chinese health', 0.026669307738564758)]",negative,"['shanghai', 'lockdown', 'fragility', 'systems fragility', 'coronavirus shanghai', 'chinese health systems', 'shanghai outbreak', 'health systems fragility', 'stores', 'chinese health ']"
10,9,25,9_protest_workers_protest wage_arrears,"[('protest', 0.09994966733960974), ('workers', 0.05675014860894549), ('protest wage', 0.05381862951853203), ('arrears', 0.05381862951853203), ('wage', 0.05073101599104952), ('demanded', 0.03510701679998536), ('chanted dictatorship', 0.03510701679998536), ('protest chinas covid', 0.03510701679998536), ('travel beijing angry', 0.03510701679998536), ('covid rules turned', 0.03510701679998536)]",negative,"['protest', 'workers', 'protest wage', 'arrears', 'wage', 'demanded', 'chanted dictatorship', 'protest chinas covid', 'travel beijing angry', 'covid rules turned ']"
11,10,24,10_tests_acid tests_nucleic acid tests_acid,"[('tests', 0.12426615040721838), ('acid tests', 0.07977708629625525), ('nucleic acid tests', 0.07977708629625525), ('acid', 0.07724502520520159), ('nucleic acid', 0.07724502520520159), ('nucleic', 0.07667114523438164), ('additional covid19 cases', 0.07415273509814121), ('identified via', 0.07415273509814121), ('via rapid antigen', 0.07415273509814121), ('via rapid', 0.07415273509814121)]",negative,"['tests', 'acid tests', 'nucleic acid tests', 'acid', 'nucleic acid', 'nucleic', 'additional covid cases', 'identified via', 'via rapid antigen', 'via rapid ']"
12,11,24,11_hkt_dim_dim sum_sum,"[('hkt', 0.02311412440871815), ('dim', 0.021613503540127043), ('dim sum', 0.021613503540127043), ('sum', 0.021090167258648602), ('court', 0.01987994274051897), ('2022', 0.01913429217790023), ('worker', 0.018783015474185243), ('1024', 0.01839253134874474), ('premises lkf soho', 0.01839253134874474), ('finedjune', 0.01839253134874474)]",negative,"['hkt', 'dim', 'dim sum', 'sum', 'court', '', 'worker', '', 'premises lkf soho', 'finedjune ']"
13,12,22,12_cases_added_total number_singapore,"[('cases', 0.0892951737989183), ('added', 0.045236228787743415), ('total number', 0.045236228787743415), ('singapore', 0.04433194522234131), ('total', 0.04121684331217428), ('bringing total', 0.04047465387791682), ('bringing total number', 0.04047465387791682), ('number', 0.03996606694470473), ('new', 0.03989960046811228), ('bringing', 0.03911348614560136)]",negative,"['cases', 'added', 'total number', 'singapore', 'total', 'bringing total', 'bringing total number', 'number', 'new', 'bringing ']"
14,13,22,13_vote_time_healthcare_care,"[('vote', 0.04353261541170007), ('time', 0.027930344844087348), ('healthcare', 0.023901513090347156), ('care', 0.023207458730095477), ('amp', 0.023167573127061948), ('chose undermine', 0.021235872971094024), ('still 2020', 0.021235872971094024), ('makes sick lnp', 0.021235872971094024), ('undermine health system', 0.021235872971094024), ('return vote springst', 0.021235872971094024)]",negative,"['vote', 'time', 'healthcare', 'care', 'amp', 'chose undermine', 'still', ' makes sick lnp', 'undermine health system', 'return vote springst ']"
15,14,21,14_number_record_since_capital,"[('number', 0.043547279334413075), ('record', 0.03932468477250519), ('since', 0.03922513867613604), ('capital', 0.038834294131584284), ('infections', 0.03656787528619214), ('tuesday', 0.03143777302946096), ('covid19', 0.029676622176386183), ('see', 0.02962530490100873), ('daily', 0.0269485370650321), ('previous', 0.026554643143651777)]",negative,"['number', 'record', 'since', 'capital', 'infections', 'tuesday', 'covid', 'see', 'daily', 'previous ']"
16,15,20,15_referral hospital_ambulance_emergency_referral,"[('referral hospital', 0.025754143816007644), ('ambulance', 0.025754143816007644), ('emergency', 0.025215823829934494), ('referral', 0.025036918994473405), ('hospital', 0.022678981709115975), ('angrier', 0.02130576917466885), ('lack', 0.020946018516860235), ('beds', 0.019544552164043154), ('count', 0.018423020222892286), ('crisis', 0.017598761489235896)]",negative,"['referral hospital', 'ambulance', 'emergency', 'referral', 'hospital', 'angrier', 'lack', 'beds', 'count', 'crisis ']"
17,16,19,16_dans_hard working healthcare_vote premier_remember dans,"[('dans', 0.07157957798025753), ('hard working healthcare', 0.057640070667776905), ('vote premier', 0.057640070667776905), ('remember dans', 0.057640070667776905), ('system time vote', 0.057640070667776905), ('underfunds right', 0.057640070667776905), ('remember dans man', 0.057640070667776905), ('underfunds right thing', 0.057640070667776905), ('premier protects hard', 0.057640070667776905), ('time vote', 0.057640070667776905)]",negative,"['dans', 'hard working healthcare', 'vote premier', 'remember dans', 'system time vote', 'underfunds right', 'remember dans man', 'underfunds right thing', 'premier protects hard', 'time vote ']"
18,17,19,17_tobacco_smoking_smokers_health,"[('tobacco', 0.042916127395391565), ('smoking', 0.028896559241833514), ('smokers', 0.023905412097837992), ('health', 0.02210376703443882), ('lung', 0.02192929858193701), ('air', 0.019014801576700227), ('smoke', 0.017929059073378495), ('people', 0.016712640400690888), ('lets', 0.014261101182525169), ('coal mine', 0.01317740448546053)]",negative,"['tobacco', 'smoking', 'smokers', 'health', 'lung', 'air', 'smoke', 'people', 'lets', 'coal mine ']"
19,18,19,18_covid19 vaccine_vaccine_dose_pfizer,"[('covid19 vaccine', 0.057370173864051466), ('vaccine', 0.05056044770150115), ('dose', 0.04431935374584261), ('pfizer', 0.030951619868696503), ('sinovac', 0.030601131556660773), ('second', 0.028425359645602444), ('doses', 0.027854747753060734), ('via usaid', 0.025315562811474505), ('united states via', 0.025315562811474505), ('covax coalition', 0.025315562811474505)]",negative,"['covid vaccine', 'vaccine', 'dose', 'pfizer', 'sinovac', 'second', 'doses', 'via usaid', 'united states via', 'covax coalition ']"
20,19,19,19_japan_japanese_deaths_western,"[('japan', 0.04942637517162387), ('japanese', 0.02952441610960332), ('deaths', 0.027303364270520675), ('western', 0.027168890912214538), ('lockdown', 0.02445626223663004), ('lockdown city', 0.021927835427943854), ('japans', 0.020614339142894893), ('per', 0.02051789950088092), ('covid19 deaths', 0.01930178141136666), ('city', 0.017732741894203603)]",negative,"['japan', 'japanese', 'deaths', 'western', 'lockdown', 'lockdown city', 'japans', 'per', 'covid deaths', 'city ']"
21,20,18,20_received_death_reports_health involving individuals,"[('received', 0.060033274389509846), ('death', 0.03767751520753625), ('reports', 0.03644627081504805), ('health involving individuals', 0.03176094120749631), ('involving individuals received', 0.03176094120749631), ('reports received dept', 0.03176094120749631), ('received dept health', 0.03176094120749631), ('dept health involving', 0.03176094120749631), ('received dept', 0.03176094120749631), ('individuals received', 0.03176094120749631)]",negative,"['received', 'death', 'reports', 'health involving individuals', 'involving individuals received', 'reports received dept', 'received dept health', 'dept health involving', 'received dept', 'individuals received ']"
22,21,17,21_australia_nsw_state_nsw story,"[('australia', 0.03593136427551978), ('nsw', 0.0262288882150706), ('state', 0.02484169205542854), ('nsw story', 0.022873960306814527), ('individual', 0.022873960306814527), ('stopping spread auspol', 0.022873960306814527), ('strong message stopping', 0.022873960306814527), ('stopping spread', 0.022873960306814527), ('individual look', 0.022873960306814527), ('auspol', 0.022873960306814527)]",negative,"['australia', 'nsw', 'state', 'nsw story', 'individual', 'stopping spread auspol', 'strong message stopping', 'stopping spread', 'individual look', 'auspol ']"
23,22,17,22_pay_salary_worker_workers,"[('pay', 0.04489737004513232), ('salary', 0.03710866978913445), ('worker', 0.03618746100531102), ('workers', 0.03141216176825423), ('etc', 0.026884384898973022), ('etc etc', 0.025282402340642978), ('deserve', 0.0247391131927563), ('even', 0.02238293010283684), ('factory', 0.018961801755482233), ('staff', 0.01821429922062572)]",negative,"['pay', 'salary', 'worker', 'workers', 'etc', 'etc etc', 'deserve', 'even', 'factory', 'staff ']"
24,23,17,23_resources_owns_wealth_poor,"[('resources', 0.10157120097768704), ('owns', 0.039665160800358486), ('wealth', 0.035440663330527526), ('poor', 0.033502926628938424), ('etc', 0.03296697698236567), ('80', 0.03256870798101718), ('majority', 0.027546941683139887), ('1ers', 0.027235007085428087), ('middle', 0.02583545489184454), ('20', 0.025298570084586178)]",negative,"['resources', 'owns', 'wealth', 'poor', 'etc', '', 'majority', 'ers', 'middle', ' ']"
25,24,16,24_hku_hk_public health_public,"[('hku', 0.032092777983825004), ('hk', 0.03165993363378419), ('public health', 0.026184600267939475), ('public', 0.023285472897903708), ('gov', 0.01879867704532016), ('eating', 0.01855012907955548), ('health policies', 0.017794563832951405), ('public health policies', 0.017794563832951405), ('putting', 0.017526772946922495), ('policies', 0.017526772946922495)]",negative,"['hku', 'hk', 'public health', 'public', 'gov', 'eating', 'health policies', 'public health policies', 'putting', 'policies ']"
26,25,16,25_mental_mental health_issues_guns,"[('mental', 0.07550673529472092), ('mental health', 0.0710018134475001), ('issues', 0.05033897835849534), ('guns', 0.036222492600140196), ('health', 0.03482497982321436), ('mental health issues', 0.030185410500116826), ('problem', 0.029691220940611864), ('health issues', 0.028173932736994756), ('level', 0.027777149663980535), ('provide', 0.01716323123404)]",negative,"['mental', 'mental health', 'issues', 'guns', 'health', 'mental health issues', 'problem', 'health issues', 'level', 'provide ']"
27,26,16,26_poor_health care_working_poor working conditions,"[('poor', 0.035641411307381306), ('health care', 0.02446357507267302), ('working', 0.024030723194690153), ('poor working conditions', 0.023968990321502456), ('zanu pf', 0.023968990321502456), ('zanu', 0.023968990321502456), ('poor working', 0.023968990321502456), ('care', 0.02374752592128786), ('country', 0.023504471318067013), ('pf', 0.02317872943440688)]",negative,"['poor', 'health care', 'working', 'poor working conditions', 'zanu pf', 'zanu', 'poor working', 'care', 'country', 'pf ']"
