Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,241,-1_health_covid19_coronavirus_people,"[('health', 0.01712798257704272), ('covid19', 0.00821234336126029), ('coronavirus', 0.007837880417538275), ('people', 0.0071229943855288585), ('know', 0.006353208374992975), ('amp', 0.005914476552017743), ('like', 0.005883625611050172), ('covid', 0.0058371396870444845), ('dont', 0.005833476929274314), ('get', 0.005631443566383544)]",negative,"['health', 'covid', 'coronavirus', 'people', 'know', 'amp', 'like', 'covid', 'dont', 'get ']"
1,0,67,0_mental health_mental_health_im,"[('mental health', 0.04950195032456374), ('mental', 0.04875399946373756), ('health', 0.040215760259291626), ('im', 0.02011320955165822), ('much', 0.012844226261411688), ('people', 0.012456254745978161), ('good', 0.012347594867203684), ('day', 0.010876917334354823), ('really', 0.010747431001420784), ('dont', 0.010044283945744985)]",negative,"['mental health', 'mental', 'health', 'im', 'much', 'people', 'good', 'day', 'really', 'dont ']"
2,1,66,1_hungary_hungarian_covid19_healthcare,"[('hungary', 0.031323199781384384), ('hungarian', 0.02329459560099007), ('covid19', 0.015141815420503345), ('healthcare', 0.013740478341941179), ('orbn', 0.013361203039273501), ('government', 0.013082089004806514), ('health', 0.009843228746099072), ('budapest', 0.00921839403740142), ('public', 0.00888934219069861), ('teachers', 0.008548543439183938)]",negative,"['hungary', 'hungarian', 'covid', 'healthcare', 'orbn', 'government', 'health', 'budapest', 'public', 'teachers ']"
3,2,32,2_quarantine_wait_stay_new,"[('quarantine', 0.05259198006230717), ('wait', 0.021448857302193605), ('stay', 0.01945425208343467), ('new', 0.01546285520306455), ('safe', 0.014271362512679651), ('go', 0.013363659222805413), ('home', 0.012982217151387669), ('get', 0.012855096781644504), ('stuck', 0.012780066639609441), ('stuck quarantine', 0.012780066639609441)]",negative,"['quarantine', 'wait', 'stay', 'new', 'safe', 'go', 'home', 'get', 'stuck', 'stuck quarantine ']"
4,3,25,3_healthcare_country_health care_health,"[('healthcare', 0.029651992615736793), ('country', 0.02718599464439392), ('health care', 0.027127256462485237), ('health', 0.02413831425254839), ('care', 0.023594844702992678), ('universal', 0.020963388463197025), ('free', 0.020558306350864523), ('universal healthcare', 0.018410051943402145), ('system', 0.017723359171459667), ('us', 0.0147129195193135)]",negative,"['healthcare', 'country', 'health care', 'health', 'care', 'universal', 'free', 'universal healthcare', 'system', 'us ']"
5,4,24,4_workout_know_win covid19_bad guys,"[('workout', 0.03434869006805569), ('know', 0.028684809175776597), ('win covid19', 0.02708593324890532), ('bad guys', 0.02708593324890532), ('bad guys win', 0.02708593324890532), ('teamneverquit healthandfitness personaldevelopment', 0.02708593324890532), ('mindfulness teamneverquit', 0.02708593324890532), ('mindfulness teamneverquit healthandfitness', 0.02708593324890532), ('teamneverquit', 0.02708593324890532), ('teamneverquit healthandfitness', 0.02708593324890532)]",negative,"['workout', 'know', 'win covid', 'bad guys', 'bad guys win', 'teamneverquit healthandfitness personaldevelopment', 'mindfulness teamneverquit', 'mindfulness teamneverquit healthandfitness', 'teamneverquit', 'teamneverquit healthandfitness ']"
6,5,23,5_covid19_please_virus_india,"[('covid19', 0.02647569215980088), ('please', 0.019732497004846708), ('virus', 0.01795004231925483), ('india', 0.017670536114808826), ('lives hold', 0.017670536114808826), ('hold', 0.01653024537952925), ('lives', 0.016443747504038923), ('despite', 0.01609704585588406), ('hospitals', 0.015807937990664805), ('due covid19', 0.015721969132630142)]",negative,"['covid', 'please', 'virus', 'india', 'lives hold', 'hold', 'lives', 'despite', 'hospitals', 'due covid ']"
7,6,22,6_covid_results_lot_test,"[('covid', 0.03840445029673258), ('results', 0.03202963871925007), ('lot', 0.02777600066226124), ('test', 0.024874004367693745), ('hospital', 0.023236117265877123), ('covid test', 0.02234522656170089), ('get', 0.020209695421143044), ('insulin', 0.02009173938053984), ('theres', 0.019840000473043743), ('got', 0.019840000473043743)]",negative,"['covid', 'results', 'lot', 'test', 'hospital', 'covid test', 'get', 'insulin', 'theres', 'got ']"
8,7,22,7_mask_wear_wearing_masks,"[('mask', 0.06333212414286044), ('wear', 0.047247216498599615), ('wearing', 0.033283529282697184), ('masks', 0.031391582074629894), ('cant', 0.02653161101698443), ('wear mask', 0.026464413854119177), ('people', 0.021368983156586578), ('workers', 0.020902522030779885), ('dont', 0.019600482482361695), ('ones', 0.01947289690494414)]",negative,"['mask', 'wear', 'wearing', 'masks', 'cant', 'wear mask', 'people', 'workers', 'dont', 'ones ']"
9,8,18,8_covid19_expert covid19 cez_spoke public health_spoke public,"[('covid19', 0.04030576888183397), ('expert covid19 cez', 0.027430254969882852), ('spoke public health', 0.027430254969882852), ('spoke public', 0.027430254969882852), ('spoke', 0.027430254969882852), ('cez', 0.027430254969882852), ('expert covid19', 0.027430254969882852), ('health expert covid19', 0.027430254969882852), ('health expert', 0.027430254969882852), ('covid19 cez', 0.027430254969882852)]",negative,"['covid', 'expert covid cez', 'spoke public health', 'spoke public', 'spoke', 'cez', 'expert covid', 'health expert covid', 'health expert', 'covid cez ']"
10,9,16,9_eu_uk_brexit_many,"[('eu', 0.05953340225567128), ('uk', 0.031807702156415686), ('brexit', 0.02932052274194001), ('many', 0.02333367770823123), ('amp', 0.022074439531189857), ('little', 0.0190347567245829), ('agree', 0.0190347567245829), ('big', 0.0178505672604694), ('us', 0.016699163654420823), ('damage', 0.016389577344505007)]",negative,"['eu', 'uk', 'brexit', 'many', 'amp', 'little', 'agree', 'big', 'us', 'damage ']"
