Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,275,-1_health_amp_good_covid19,"[('health', 0.019259246701751487), ('amp', 0.01358140442840514), ('good', 0.010207240093335632), ('covid19', 0.009904451567290777), ('good health', 0.008497278470026905), ('love', 0.008369936876535217), ('safe', 0.00829938483632333), ('hope', 0.007468040425350077), ('well', 0.0070261318549814135), ('happy', 0.006752663008143015)]",positive,"['health', 'amp', 'good', 'covid', 'good health', 'love', 'safe', 'hope', 'well', 'happy ']"
1,0,150,0_health_year_care_new,"[('health', 0.022663387210521392), ('year', 0.018086659083691628), ('care', 0.014220698379786066), ('new', 0.012890887315414936), ('thank', 0.012706814730566982), ('new year', 0.012068353531325118), ('dear', 0.011806158260482577), ('covid19', 0.011655098688618625), ('take', 0.010703279236284143), ('please', 0.010285469346260387)]",positive,"['health', 'year', 'care', 'new', 'thank', 'new year', 'dear', 'covid', 'take', 'please ']"
2,1,108,1_amp_love_good_adorada,"[('amp', 0.0275285688166842), ('love', 0.027241004802689085), ('good', 0.02430735813163026), ('adorada', 0.023865432712226162), ('health', 0.022131131504721253), ('blessed', 0.02112008979073622), ('good health', 0.01993623931017749), ('happy', 0.019869810160415037), ('happiness', 0.019711631415389026), ('birthday', 0.019574525165796434)]",positive,"['amp', 'love', 'good', 'adorada', 'health', 'blessed', 'good health', 'happy', 'happiness', 'birthday ']"
3,2,46,2_aikido_artsmartiaux_selfdefense selfdevelopment_kampfkunst,"[('aikido', 0.0654553092953563), ('artsmartiaux', 0.04661932243835869), ('selfdefense selfdevelopment', 0.04661932243835869), ('kampfkunst', 0.04661932243835869), ('harcmuveszet kampfkunst artsmartiaux', 0.04661932243835869), ('harcmuveszet', 0.04661932243835869), ('japanese', 0.04661932243835869), ('selfdefense', 0.04661932243835869), ('martialarts selfdefense selfdevelopment', 0.04661932243835869), ('kampfkunst artsmartiaux', 0.04661932243835869)]",positive,"['aikido', 'artsmartiaux', 'selfdefense selfdevelopment', 'kampfkunst', 'harcmuveszet kampfkunst artsmartiaux', 'harcmuveszet', 'japanese', 'selfdefense', 'martialarts selfdefense selfdevelopment', 'kampfkunst artsmartiaux ']"
4,3,43,3_mental_mental health_health_dont,"[('mental', 0.07167248320166042), ('mental health', 0.07050290990070741), ('health', 0.032195319001933544), ('dont', 0.022901667148933737), ('feel safe', 0.01524578190742774), ('place', 0.014816889464637883), ('dont know', 0.014790652829887374), ('struggle', 0.014790652829887374), ('people', 0.014200906618709307), ('situation', 0.014072988340338839)]",positive,"['mental', 'mental health', 'health', 'dont', 'feel safe', 'place', 'dont know', 'struggle', 'people', 'situation ']"
5,4,26,4_vaccine_covid19_vaccines_vaccinated,"[('vaccine', 0.0399718269186037), ('covid19', 0.03885032896206208), ('vaccines', 0.03206893623100582), ('vaccinated', 0.024413256845688163), ('role vaccine hesitancy', 0.021424616860856848), ('plays key role', 0.021424616860856848), ('perception doctors views', 0.021424616860856848), ('vaccine hesitancy covid19', 0.021424616860856848), ('plays key', 0.021424616860856848), ('perception doctors', 0.021424616860856848)]",positive,"['vaccine', 'covid', 'vaccines', 'vaccinated', 'role vaccine hesitancy', 'plays key role', 'perception doctors views', 'vaccine hesitancy covid', 'plays key', 'perception doctors ']"
6,5,24,5_healthcare_digital_future_technology,"[('healthcare', 0.042720361740730975), ('digital', 0.03446974323515424), ('future', 0.025551461968339732), ('technology', 0.022056114805414823), ('healthier', 0.018673454253511496), ('book', 0.018115999604055157), ('trends', 0.015177323001939514), ('digitalhealth', 0.015177323001939514), ('ai', 0.015177323001939514), ('fish', 0.015177323001939514)]",positive,"['healthcare', 'digital', 'future', 'technology', 'healthier', 'book', 'trends', 'digitalhealth', 'ai', 'fish ']"
7,6,24,6_work_programmer_salary_nurse,"[('work', 0.05423119433025201), ('programmer', 0.04546037760609919), ('salary', 0.03138358391705053), ('nurse', 0.028237703203019233), ('writer programmer', 0.027618433975808383), ('writer', 0.027618433975808383), ('nurses', 0.02277499678184232), ('programming company', 0.01967260379980547), ('phone', 0.01967260379980547), ('part time', 0.01967260379980547)]",positive,"['work', 'programmer', 'salary', 'nurse', 'writer programmer', 'writer', 'nurses', 'programming company', 'phone', 'part time ']"
8,7,23,7_hungary_budapest_budapest hungary_means,"[('hungary', 0.05728160836040973), ('budapest', 0.045403484294142364), ('budapest hungary', 0.027566056597984116), ('means', 0.02434444216796277), ('hungarian', 0.02259699252443547), ('allergiakepzettiskola', 0.021869803704718808), ('tourism', 0.021869803704718808), ('safety', 0.020853421803914182), ('believe', 0.018377371065322744), ('try', 0.01780195019014645)]",positive,"['hungary', 'budapest', 'budapest hungary', 'means', 'hungarian', 'allergiakepzettiskola', 'tourism', 'safety', 'believe', 'try ']"
9,8,21,8_hospital_patient_nurse_medicine,"[('hospital', 0.06770976183087064), ('patient', 0.04152996306786204), ('nurse', 0.0412764240809161), ('medicine', 0.040555598486508894), ('one', 0.03563671675308981), ('pediatrician', 0.027742324454499662), ('nurse pediatrician', 0.027742324454499662), ('didnt', 0.026914138756024567), ('test', 0.026633056345979546), ('handle', 0.023005121383379075)]",positive,"['hospital', 'patient', 'nurse', 'medicine', 'one', 'pediatrician', 'nurse pediatrician', 'didnt', 'test', 'handle ']"
10,9,21,9_kings landing_kings_landing_personaldevelopment,"[('kings landing', 0.08184746654070534), ('kings', 0.08184746654070534), ('landing', 0.08014325022893044), ('personaldevelopment', 0.06686268596360981), ('mindfulness', 0.051533252149364495), ('personaldevelopment kings', 0.051533252149364495), ('personaldevelopment kings landing', 0.051533252149364495), ('covid19', 0.0466381955924869), ('healthandfitness', 0.046158673252569164), ('healthandfitness personaldevelopment', 0.040620926947237075)]",positive,"['kings landing', 'kings', 'landing', 'personaldevelopment', 'mindfulness', 'personaldevelopment kings', 'personaldevelopment kings landing', 'covid', 'healthandfitness', 'healthandfitness personaldevelopment ']"
11,10,18,10_quarantine_stayhealthy_covid_covid19 stayhome stayunited,"[('quarantine', 0.045549063477355725), ('stayhealthy', 0.040225794998565094), ('covid', 0.040099526480922625), ('covid19 stayhome stayunited', 0.02833534551864244), ('solidarity unity cant', 0.02833534551864244), ('car also carries', 0.02833534551864244), ('support health workers', 0.02833534551864244), ('support health', 0.02833534551864244), ('sparcosuits race design', 0.02833534551864244), ('sparcosuits race', 0.02833534551864244)]",positive,"['quarantine', 'stayhealthy', 'covid', 'covid stayhome stayunited', 'solidarity unity cant', 'car also carries', 'support health workers', 'support health', 'sparcosuits race design', 'sparcosuits race ']"
