Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,270,-1_health_healthcare_us_dont,"[('health', 0.020358300161107745), ('healthcare', 0.009914702272652726), ('us', 0.008267167748607402), ('dont', 0.008091635603151567), ('care', 0.007922964474590287), ('people', 0.007244309054697983), ('good', 0.00706408752066072), ('covid', 0.006842498685019489), ('safe', 0.006685001275435555), ('like', 0.006649559108819111)]",neutral,"['health', 'healthcare', 'us', 'dont', 'care', 'people', 'good', 'covid', 'safe', 'like ']"
1,0,340,0_singapore_safe_covid19_health,"[('singapore', 0.022822848119296427), ('safe', 0.01806226730345835), ('covid19', 0.015560101816765436), ('health', 0.01484137146643247), ('stay', 0.013397085325749432), ('covid', 0.012342137578902488), ('care', 0.011826484543931063), ('take', 0.0114597229001178), ('stay safe', 0.010512113064644231), ('take care', 0.010370813911571028)]",neutral,"['singapore', 'safe', 'covid', 'health', 'stay', 'covid', 'care', 'take', 'stay safe', 'take care ']"
2,1,154,1_mental_mental health_health_time,"[('mental', 0.06830253269732353), ('mental health', 0.0669075824339946), ('health', 0.04596916293797113), ('time', 0.012131544280695674), ('im', 0.01111528449472002), ('important', 0.00980229712164551), ('okay', 0.009695011222030986), ('better', 0.009367285079229497), ('think', 0.009066161370821411), ('dont', 0.008909888161932195)]",neutral,"['mental', 'mental health', 'health', 'time', 'im', 'important', 'okay', 'better', 'think', 'dont ']"
3,2,58,2_health_healthcare_system_public,"[('health', 0.03518183478208916), ('healthcare', 0.026440699849088284), ('system', 0.02085153770723668), ('public', 0.012073974436992761), ('healthy', 0.011775167956378323), ('public healthcare', 0.011391911737669519), ('good', 0.010948947946402783), ('like', 0.010657807965901423), ('best', 0.010418206324640494), ('start', 0.010127415940091845)]",neutral,"['health', 'healthcare', 'system', 'public', 'healthy', 'public healthcare', 'good', 'like', 'best', 'start ']"
4,3,42,3_mask_wear_singapore_face,"[('mask', 0.08752499198872539), ('wear', 0.02920794505550515), ('singapore', 0.018547951859953508), ('face', 0.018314141156631353), ('0414', 0.017060661361269314), ('pants', 0.017060661361269314), ('face mask', 0.017060661361269314), ('skincare', 0.017060661361269314), ('0414 singapore', 0.017060661361269314), ('wear mask', 0.015697835277112587)]",neutral,"['mask', 'wear', 'singapore', 'face', '', 'pants', 'face mask', 'skincare', ' singapore', 'wear mask ']"
5,4,39,4_money_work_people_health,"[('money', 0.031411282349860944), ('work', 0.0196011221872225), ('people', 0.019083888778420804), ('health', 0.018505529308861818), ('buy', 0.016536145915997655), ('benefits', 0.015674252868318184), ('cant buy', 0.012276051822719004), ('money cant buy', 0.012276051822719004), ('money cant', 0.012276051822719004), ('also', 0.011542051139234616)]",neutral,"['money', 'work', 'people', 'health', 'buy', 'benefits', 'cant buy', 'money cant buy', 'money cant', 'also ']"
6,5,28,5_covid19_booster_vaccination_even,"[('covid19', 0.03003454904101865), ('booster', 0.028432963268539536), ('vaccination', 0.02529124215741942), ('even', 0.02493412872412749), ('vaccines', 0.023434476411986444), ('health', 0.021351976674177937), ('spread', 0.019148696652446534), ('protocols decide', 0.01770538198306048), ('spread covid19 papuaindonesia', 0.01770538198306048), ('health protocols decide', 0.01770538198306048)]",neutral,"['covid', 'booster', 'vaccination', 'even', 'vaccines', 'health', 'spread', 'protocols decide', 'spread covid papuaindonesia', 'health protocols decide ']"
7,6,21,6_hospitals_patients_covid19_care,"[('hospitals', 0.043721288711942134), ('patients', 0.03944015626685903), ('covid19', 0.03475179089328238), ('care', 0.02946923232754444), ('contact', 0.028198801122190722), ('patients home', 0.026073343496668316), ('many public', 0.026073343496668316), ('contact tracing', 0.024517530640210273), ('tracing', 0.024517530640210273), ('medical', 0.02182446943320359)]",neutral,"['hospitals', 'patients', 'covid', 'care', 'contact', 'patients home', 'many public', 'contact tracing', 'tracing', 'medical ']"
8,7,18,7_semua_hospital_sampai_kk,"[('semua', 0.031125304142023042), ('hospital', 0.02314874624816461), ('sampai', 0.022066951691082696), ('kk', 0.022066951691082696), ('sakit', 0.022066951691082696), ('pregnancy', 0.02126695676045082), ('buat', 0.016550213768312023), ('healthcare', 0.016319429242899343), ('doctor', 0.01625841298698579), ('dekat', 0.01600665009677513)]",neutral,"['semua', 'hospital', 'sampai', 'kk', 'sakit', 'pregnancy', 'buat', 'healthcare', 'doctor', 'dekat ']"
9,8,16,8_nurses_doctors_nurse_doctors nurses,"[('nurses', 0.11192825358577904), ('doctors', 0.09407647182364666), ('nurse', 0.07867440712186376), ('doctors nurses', 0.06530076158883387), ('nurse health', 0.05278348650505488), ('workers', 0.0515488489858687), ('worker', 0.04754231260458637), ('lay nurses office', 0.03720482434905366), ('new students', 0.03720482434905366), ('need nurse health', 0.03720482434905366)]",neutral,"['nurses', 'doctors', 'nurse', 'doctors nurses', 'nurse health', 'workers', 'worker', 'lay nurses office', 'new students', 'need nurse health ']"
10,9,15,9_malaysia_health_change_kj,"[('malaysia', 0.06495024324525578), ('health', 0.054014158814380826), ('change', 0.03653891454029177), ('kj', 0.03501478807761066), ('health malaysia', 0.03501478807761066), ('kj health', 0.03501478807761066), ('main factors', 0.03501478807761066), ('three main factors', 0.03501478807761066), ('three main', 0.03359201804459371), ('factors', 0.03158756113423131)]",neutral,"['malaysia', 'health', 'change', 'kj', 'health malaysia', 'kj health', 'main factors', 'three main factors', 'three main', 'factors ']"
11,10,14,10_vaccines modestly reduce_infant infections_pregnancy cuts_modestly reduce long,"[('vaccines modestly reduce', 0.1688432194770345), ('infant infections', 0.1688432194770345), ('pregnancy cuts', 0.1688432194770345), ('modestly reduce long', 0.1688432194770345), ('modestly reduce', 0.1688432194770345), ('modestly', 0.1688432194770345), ('vaccines modestly', 0.1688432194770345), ('reduce long', 0.1688432194770345), ('infections vaccines modestly', 0.1688432194770345), ('infant infections vaccines', 0.1688432194770345)]",neutral,"['vaccines modestly reduce', 'infant infections', 'pregnancy cuts', 'modestly reduce long', 'modestly reduce', 'modestly', 'vaccines modestly', 'reduce long', 'infections vaccines modestly', 'infant infections vaccines ']"
12,11,12,11_philippines_nurse_vacancy_abroad,"[('philippines', 0.09502642916249723), ('nurse', 0.0880732711305743), ('vacancy', 0.0746279222118681), ('abroad', 0.0746279222118681), ('nurses', 0.058473239690036614), ('philippines jobs', 0.052909065458151494), ('vacancy open', 0.052909065458151494), ('vacancy open philippines', 0.052909065458151494), ('registered', 0.052909065458151494), ('open philippines apply', 0.052909065458151494)]",neutral,"['philippines', 'nurse', 'vacancy', 'abroad', 'nurses', 'philippines jobs', 'vacancy open', 'vacancy open philippines', 'registered', 'open philippines apply ']"
13,12,11,12_party_worker_worker party_open,"[('party', 0.0858423254221375), ('worker', 0.08115503043330667), ('worker party', 0.06773553449166372), ('open', 0.04537014226721708), ('know', 0.03564266186766921), ('day open kiosk', 0.031754436068619045), ('kiosk', 0.031754436068619045), ('first day', 0.031754436068619045), ('first day open', 0.031754436068619045), ('look better', 0.031754436068619045)]",neutral,"['party', 'worker', 'worker party', 'open', 'know', 'day open kiosk', 'kiosk', 'first day', 'first day open', 'look better ']"
