Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1584,-1_health_singapore_safe_stay,"[('health', 0.007588436571869228), ('singapore', 0.007309996759337876), ('safe', 0.006799515582367798), ('stay', 0.0057645410986429035), ('covid19', 0.005145297945835618), ('amp', 0.0049562242107952705), ('care', 0.004621339147573846), ('stay safe', 0.004536161112274312), ('us', 0.004294986530599195), ('take', 0.004174209810590349)]",positive,"['health', 'singapore', 'safe', 'stay', 'covid', 'amp', 'care', 'stay safe', 'us', 'take ']"
1,0,708,0_stay_happy_birthday_safe,"[('stay', 0.017627225925095302), ('happy', 0.017257909683487605), ('birthday', 0.016199893322029646), ('safe', 0.015456628954705922), ('good', 0.014746238455073493), ('stay safe', 0.014549608108917743), ('happy birthday', 0.013460409605897231), ('take care', 0.013415265943822774), ('health', 0.013273585430967244), ('take', 0.01326535704047735)]",positive,"['stay', 'happy', 'birthday', 'safe', 'good', 'stay safe', 'happy birthday', 'take care', 'health', 'take ']"
2,1,381,1_covid19_covid_singapore_cases,"[('covid19', 0.024839038792725317), ('covid', 0.01643033240579536), ('singapore', 0.012538484544794297), ('cases', 0.012510917016152995), ('new', 0.008448730320928377), ('covid19 cases', 0.007745783563934276), ('us', 0.007110824750165577), ('pandemic', 0.00678815979321979), ('cases singapore', 0.0062267813916267595), ('new covid19', 0.005604741373074084)]",positive,"['covid', 'covid', 'singapore', 'cases', 'new', 'covid cases', 'us', 'pandemic', 'cases singapore', 'new covid ']"
3,2,231,2_mental_mental health_health_awareness,"[('mental', 0.06189701231108044), ('mental health', 0.05880484917561444), ('health', 0.02395044605541414), ('awareness', 0.008498026690441494), ('important', 0.007619716718002593), ('good', 0.007213282888609504), ('month', 0.007194750715125993), ('take', 0.00675614138903778), ('good mental', 0.005998986123563884), ('care mental', 0.005892681021032036)]",positive,"['mental', 'mental health', 'health', 'awareness', 'important', 'good', 'month', 'take', 'good mental', 'care mental ']"
4,3,170,3_vaccine_vaccination_covid19_vaccines,"[('vaccine', 0.03466243886659775), ('vaccination', 0.02339965780393866), ('covid19', 0.021280791237510602), ('vaccines', 0.017300522653508513), ('singapore', 0.015307804211719386), ('vaccinated', 0.014233008112060467), ('covid19 vaccine', 0.012802871814817452), ('covid19 vaccination', 0.011038584225396608), ('first', 0.010285728339698515), ('dose', 0.010262762905569206)]",positive,"['vaccine', 'vaccination', 'covid', 'vaccines', 'singapore', 'vaccinated', 'covid vaccine', 'covid vaccination', 'first', 'dose ']"
5,4,110,4_malaysia_indonesia_covid19_sarawak,"[('malaysia', 0.025168604653792993), ('indonesia', 0.021870365447462972), ('covid19', 0.011425837762280948), ('sarawak', 0.011122113054683833), ('jakarta', 0.010949300762900287), ('health', 0.009444693000372786), ('malaysian', 0.008182223087309514), ('indonesian', 0.007802779782826874), ('healthcare', 0.007774165588888141), ('hospital', 0.007418689229276376)]",positive,"['malaysia', 'indonesia', 'covid', 'sarawak', 'jakarta', 'health', 'malaysian', 'indonesian', 'healthcare', 'hospital ']"
6,5,88,5_healthcare_ai_digitalhealth_hospitals,"[('healthcare', 0.02312683823674274), ('ai', 0.01452237319834142), ('digitalhealth', 0.012622377037043343), ('hospitals', 0.012349011640366813), ('digital', 0.011337694815099074), ('healthtech', 0.010423146444360917), ('innovation', 0.010238742298129025), ('future', 0.010207581444756298), ('care', 0.010101982054181415), ('system', 0.009713173092945759)]",positive,"['healthcare', 'ai', 'digitalhealth', 'hospitals', 'digital', 'healthtech', 'innovation', 'future', 'care', 'system ']"
7,6,81,6_worker_salary_safety_work,"[('worker', 0.01537529533175821), ('salary', 0.01323341899426975), ('safety', 0.011717809325629778), ('work', 0.010518327784572437), ('safety health', 0.010021995469729416), ('workplace', 0.009818544041839636), ('hiring', 0.008582661832545139), ('job', 0.00811402550905435), ('join', 0.007964922261754827), ('workers', 0.00751030596838828)]",positive,"['worker', 'salary', 'safety', 'work', 'safety health', 'workplace', 'hiring', 'job', 'join', 'workers ']"
8,7,74,7_mask_masks_wear_wear mask,"[('mask', 0.057722493958723066), ('masks', 0.0318403049336465), ('wear', 0.029195773428897814), ('wear mask', 0.0274000027865555), ('wearing', 0.02073843736444248), ('singapore', 0.016890767923420834), ('face', 0.01123333900609401), ('wearing masks', 0.010512425274174968), ('required', 0.00939647156467677), ('forget wear', 0.008697578133934401)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'singapore', 'face', 'wearing masks', 'required', 'forget wear ']"
9,8,63,8_safe_singapore_stay safe_stay,"[('safe', 0.03496668667142443), ('singapore', 0.034586166712175036), ('stay safe', 0.023304886217180628), ('stay', 0.02303858250021357), ('singapore stay', 0.01723935500497208), ('asia', 0.017234015809394532), ('everyone', 0.0162031198819452), ('safe singapore', 0.015406318783968396), ('singapore stay safe', 0.013687387838410257), ('stay safe singapore', 0.012842312633877289)]",positive,"['safe', 'singapore', 'stay safe', 'stay', 'singapore stay', 'asia', 'everyone', 'safe singapore', 'singapore stay safe', 'stay safe singapore ']"
