Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,178,-1_health_covid19_nurses_amp,"[('health', 0.015033098257499041), ('covid19', 0.010161103605638686), ('nurses', 0.009074423253928985), ('amp', 0.008929452359758375), ('gun', 0.008032339647395888), ('hospital', 0.007181256049533113), ('moh', 0.007067745401342489), ('hajj', 0.006743739321571253), ('safe', 0.006346013652757397), ('care', 0.0060966621633832116)]",positive,"['health', 'covid', 'nurses', 'amp', 'gun', 'hospital', 'moh', 'hajj', 'safe', 'care ']"
1,0,72,0_mental_mental health_health_feel,"[('mental', 0.07259857938122935), ('mental health', 0.07101304426070036), ('health', 0.031057505285531417), ('feel', 0.015540341119382592), ('spend time people', 0.015505055497851075), ('spend time', 0.015505055497851075), ('time people', 0.014829698451108542), ('spend', 0.01454157636227727), ('health priority', 0.013920948866875532), ('priority', 0.013254892285280599)]",positive,"['mental', 'mental health', 'health', 'feel', 'spend time people', 'spend time', 'time people', 'spend', 'health priority', 'priority ']"
2,1,69,1_health_good_good health_god,"[('health', 0.03032536434631328), ('good', 0.028149663679055754), ('good health', 0.023368485658767403), ('god', 0.02206940629205061), ('allah', 0.019489965838197558), ('safe', 0.018836391926315414), ('may', 0.01571188782786278), ('life', 0.014394486044804807), ('hooray', 0.014349089468178346), ('heart', 0.01299331055879837)]",positive,"['health', 'good', 'good health', 'god', 'allah', 'safe', 'may', 'life', 'hooray', 'heart ']"
3,2,59,2_hospital_kuwait_im_hospital kuwait,"[('hospital', 0.05044668999406603), ('kuwait', 0.049081121173436174), ('im', 0.025450656485718717), ('hospital kuwait', 0.023117513293954596), ('medical', 0.02305572986692883), ('alsabah', 0.02167406078625098), ('al', 0.02122111892080564), ('oncology', 0.017704695143191992), ('amp', 0.01674596788834047), ('asimah', 0.016502889355566826)]",positive,"['hospital', 'kuwait', 'im', 'hospital kuwait', 'medical', 'alsabah', 'al', 'oncology', 'amp', 'asimah ']"
4,3,43,3_iran_tehran_health_iraq,"[('iran', 0.045281101635261285), ('tehran', 0.03453126215320795), ('health', 0.02456065948895831), ('iraq', 0.020302666760077588), ('irans', 0.016018692232807833), ('greek', 0.016018692232807833), ('cooperation', 0.014031126886591666), ('seized', 0.013327917700628966), ('pmo', 0.013327917700628966), ('areas', 0.012042343310445963)]",positive,"['iran', 'tehran', 'health', 'iraq', 'irans', 'greek', 'cooperation', 'seized', 'pmo', 'areas ']"
5,4,37,4_wound_benefits_dressing_massage,"[('wound', 0.029145958903027236), ('benefits', 0.02281287205934068), ('dressing', 0.021099414557728912), ('massage', 0.021099414557728912), ('home', 0.02025230937340861), ('water', 0.019788303758930967), ('health', 0.01892387627365195), ('use', 0.01700180936009922), ('food', 0.016714138852958412), ('take', 0.014426583688995076)]",positive,"['wound', 'benefits', 'dressing', 'massage', 'home', 'water', 'health', 'use', 'food', 'take ']"
6,5,28,5_world_soil_people_savesoil,"[('world', 0.032578756655491585), ('soil', 0.026988323928286134), ('people', 0.022792165454585723), ('savesoil', 0.022573916074242414), ('soil health', 0.022573916074242414), ('air', 0.01975217656496211), ('around', 0.019260099725792915), ('journey', 0.016541046945025707), ('environment', 0.015327584429454139), ('live', 0.015327584429454139)]",positive,"['world', 'soil', 'people', 'savesoil', 'soil health', 'air', 'around', 'journey', 'environment', 'live ']"
7,6,28,6_physical medicine_physical medicine rehabilitation_hospital al_al farwaniyah,"[('physical medicine', 0.15900314579333574), ('physical medicine rehabilitation', 0.15900314579333574), ('hospital al', 0.15900314579333574), ('al farwaniyah', 0.15900314579333574), ('medicine rehabilitation', 0.15900314579333574), ('farwaniyah governate', 0.15900314579333574), ('farwaniyah', 0.15900314579333574), ('medicine rehabilitation hospital', 0.15900314579333574), ('hospital al farwaniyah', 0.15900314579333574), ('rehabilitation', 0.15900314579333574)]",positive,"['physical medicine', 'physical medicine rehabilitation', 'hospital al', 'al farwaniyah', 'medicine rehabilitation', 'farwaniyah governate', 'farwaniyah', 'medicine rehabilitation hospital', 'hospital al farwaniyah', 'rehabilitation ']"
8,7,27,7_nurse_training_registered nurse_nurses,"[('nurse', 0.08310197306506145), ('training', 0.029647997291564008), ('registered nurse', 0.02693544206630609), ('nurses', 0.02645226107272935), ('walk', 0.02505237298756546), ('registered', 0.022685290462797155), ('change', 0.022244544260476593), ('first', 0.017789351383481616), ('us', 0.0176348407151529), ('patients', 0.016683408195357446)]",positive,"['nurse', 'training', 'registered nurse', 'nurses', 'walk', 'registered', 'change', 'first', 'us', 'patients ']"
9,8,24,8_day_good morning_dear friend_wonderful day,"[('day', 0.1167516625307481), ('good morning', 0.11305769633849742), ('dear friend', 0.11305769633849742), ('wonderful day', 0.11045743571067167), ('wonderful', 0.10813321787266644), ('friend', 0.10813321787266644), ('day good', 0.10150691882096742), ('morning', 0.10072443318118347), ('dear', 0.09920831946716967), ('good', 0.09583680952551253)]",positive,"['day', 'good morning', 'dear friend', 'wonderful day', 'wonderful', 'friend', 'day good', 'morning', 'dear', 'good ']"
