Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,4049,-1_health_amp_mental_mental health,"[('health', 0.005666177213068063), ('amp', 0.004422751911702681), ('mental', 0.0037524972583025005), ('mental health', 0.0036332735463831304), ('people', 0.003291716981458641), ('need', 0.0029481991182314636), ('would', 0.002907480956209229), ('covid', 0.002759429885090076), ('covid19', 0.002729931837943378), ('care', 0.0026467014705581766)]",neutral,"['health', 'amp', 'mental', 'mental health', 'people', 'need', 'would', 'covid', 'covid', 'care ']"
1,0,683,0_vaccine_vaccines_vaccination_vaccinated,"[('vaccine', 0.022024117671746467), ('vaccines', 0.0103892496633314), ('vaccination', 0.009029704325837905), ('vaccinated', 0.007427851060209587), ('covid', 0.005047602551242561), ('get', 0.004984870277070022), ('gp', 0.0038076450803088274), ('virus', 0.0037119221895228175), ('people', 0.0035860099716248455), ('covid vaccine', 0.003534084614770479)]",neutral,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'covid', 'get', 'gp', 'virus', 'people', 'covid vaccine ']"
2,1,444,1_ireland_irish_health_dublin,"[('ireland', 0.019500304259442616), ('irish', 0.010311957697995892), ('health', 0.005910095652597063), ('dublin', 0.005159831735756152), ('system', 0.004815918176678266), ('healthcare', 0.004430369500278243), ('people', 0.004270041119215829), ('public', 0.004008233665144602), ('covid19', 0.003891572271815259), ('housing', 0.0035400153357027647)]",neutral,"['ireland', 'irish', 'health', 'dublin', 'system', 'healthcare', 'people', 'public', 'covid', 'housing ']"
3,2,261,2_mask_wearing_masks_wear,"[('mask', 0.037627252774523945), ('wearing', 0.023091545995379645), ('masks', 0.022451025477166934), ('wear', 0.015888762546906163), ('wearing mask', 0.012225959021077986), ('face', 0.010999894913292032), ('wear mask', 0.01011179614479598), ('mask wearing', 0.00999171210100542), ('wear masks', 0.005781822494884671), ('face mask', 0.005396367661892361)]",neutral,"['mask', 'wearing', 'masks', 'wear', 'wearing mask', 'face', 'wear mask', 'mask wearing', 'wear masks', 'face mask ']"
4,3,189,3_mental_mental health_health_mental health issues,"[('mental', 0.03995894368794568), ('mental health', 0.03889847027468584), ('health', 0.015030048052092137), ('mental health issues', 0.010968760130296745), ('mental health services', 0.009726148634988956), ('health issues', 0.009188186984621517), ('services', 0.007945780720000578), ('issues', 0.00776275284226529), ('health services', 0.007752446195471577), ('people', 0.006414963334138453)]",neutral,"['mental', 'mental health', 'health', 'mental health issues', 'mental health services', 'health issues', 'services', 'issues', 'health services', 'people ']"
5,4,164,4_covid_covid19_coronavirus_data,"[('covid', 0.014824396421389044), ('covid19', 0.01338094448537431), ('coronavirus', 0.007357736524462101), ('data', 0.006755096677382918), ('die', 0.00666371708782601), ('would', 0.0063564398769792195), ('die covid', 0.005525915792598317), ('ebola', 0.005231778070820512), ('disinfectant', 0.005231778070820512), ('might', 0.005199298483505448)]",neutral,"['covid', 'covid', 'coronavirus', 'data', 'die', 'would', 'die covid', 'ebola', 'disinfectant', 'might ']"
6,5,161,5_lockdown_lock_like_believe,"[('lockdown', 0.04200727319590844), ('lock', 0.007226158365592287), ('like', 0.0058795803850508815), ('believe', 0.00571427778497641), ('weeks', 0.00541205913361037), ('oct', 0.005318012908956219), ('agree', 0.004894992388292746), ('going', 0.004863811973349205), ('still', 0.004320850456994372), ('good', 0.004311559161738856)]",neutral,"['lockdown', 'lock', 'like', 'believe', 'weeks', 'oct', 'agree', 'going', 'still', 'good ']"
7,6,151,6_frontline_nurses_frontline workers_workers,"[('frontline', 0.02272248518408344), ('nurses', 0.016990759709502676), ('frontline workers', 0.015321043311951485), ('workers', 0.015163779967565738), ('doctors', 0.013992370180707042), ('doctors nurses', 0.010102591109560646), ('nurses doctors', 0.00989903055482079), ('worker', 0.008188831586311061), ('front', 0.007850229947453002), ('staff', 0.007778018721652231)]",neutral,"['frontline', 'nurses', 'frontline workers', 'workers', 'doctors', 'doctors nurses', 'nurses doctors', 'worker', 'front', 'staff ']"
8,7,132,7_schools_teachers_school_children,"[('schools', 0.0333479874744435), ('teachers', 0.026460155451590216), ('school', 0.013883544866395155), ('children', 0.01090160034386405), ('education', 0.00796360349598524), ('schools safe', 0.007837632833676686), ('open', 0.007211251339954055), ('safe', 0.006594410986721601), ('unions', 0.006211626832600478), ('safety', 0.005974366417276137)]",neutral,"['schools', 'teachers', 'school', 'children', 'education', 'schools safe', 'open', 'safe', 'unions', 'safety ']"
9,8,106,8_minister_minister health_health minister_health,"[('minister', 0.050664882126828965), ('minister health', 0.03912743450402731), ('health minister', 0.019978930982826704), ('health', 0.014311359765631545), ('ministers', 0.012591597160142605), ('hes', 0.011980819713582187), ('job', 0.009550941389991015), ('simon', 0.008124333128534986), ('harney', 0.007911900617683997), ('harris', 0.007120308793579775)]",neutral,"['minister', 'minister health', 'health minister', 'health', 'ministers', 'hes', 'job', 'simon', 'harney', 'harris ']"
