Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,15533,-1_health_people_covid_amp,"[('health', 0.0018855165136692058), ('people', 0.0016491505741246999), ('covid', 0.00154335909414938), ('amp', 0.0014849123841348248), ('mental', 0.0014420405187212679), ('mental health', 0.0014027840211827147), ('public', 0.001401867785616385), ('care', 0.0013788852252506001), ('get', 0.001328141829232505), ('covid19', 0.001310023283377525)]",negative,"['health', 'people', 'covid', 'amp', 'mental', 'mental health', 'public', 'care', 'get', 'covid ']"
1,0,1043,0_mask_masks_wearing_wear,"[('mask', 0.020793106221626275), ('masks', 0.013681187675917205), ('wearing', 0.01221776956447538), ('wear', 0.010969006241046056), ('wear mask', 0.008122707273599058), ('wearing mask', 0.0066046536779257314), ('mask wearing', 0.004128580542857894), ('wearing masks', 0.004121183251565299), ('face', 0.0038052828966474747), ('dont', 0.0031630344259028715)]",negative,"['mask', 'masks', 'wearing', 'wear', 'wear mask', 'wearing mask', 'mask wearing', 'wearing masks', 'face', 'dont ']"
2,1,902,1_mental health_mental_lockdown_health,"[('mental health', 0.01433421852113852), ('mental', 0.014306759154496564), ('lockdown', 0.006437986802980983), ('health', 0.0040978007094410445), ('mental health issues', 0.0035129237625471156), ('mental health services', 0.0033411093386887048), ('health issues', 0.0030232589066412187), ('services', 0.0027870002272441115), ('issues', 0.0026364938438014234), ('health services', 0.0025917475531438087)]",negative,"['mental health', 'mental', 'lockdown', 'health', 'mental health issues', 'mental health services', 'health issues', 'services', 'issues', 'health services ']"
3,2,678,2_vaccine_vaccines_vaccination_vaccinated,"[('vaccine', 0.014003404991943634), ('vaccines', 0.007307614597039902), ('vaccination', 0.006165960432133062), ('vaccinated', 0.005386432048509438), ('gp', 0.004875379944546146), ('got', 0.004222543855695285), ('gps', 0.003258812136448779), ('get', 0.0031672216801007674), ('booster', 0.0029779922097768695), ('rollout', 0.0027376795221853278)]",negative,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'gp', 'got', 'gps', 'get', 'booster', 'rollout ']"
4,3,616,3_irish_ireland_service_health service,"[('irish', 0.009680535174300764), ('ireland', 0.009675390262840014), ('service', 0.003811523946042639), ('health service', 0.003803736745508508), ('irelands', 0.003587926680067158), ('irish people', 0.003584513154974899), ('system', 0.0034793153241855232), ('gael', 0.0031756021459294), ('healthcare', 0.0030582632215884094), ('fine gael', 0.0029620817126027733)]",negative,"['irish', 'ireland', 'service', 'health service', 'irelands', 'irish people', 'system', 'gael', 'healthcare', 'fine gael ']"
5,4,560,4_amp_health amp_amp safety_health amp safety,"[('amp', 0.014125826260559735), ('health amp', 0.006184689059728742), ('amp safety', 0.006173703982954708), ('health amp safety', 0.005989385136641832), ('safety', 0.004226830350157139), ('need', 0.0020326937831792002), ('health', 0.001772615078347646), ('amp im', 0.0017348959024894623), ('im', 0.0017164407301535917), ('high', 0.001700007382423418)]",negative,"['amp', 'health amp', 'amp safety', 'health amp safety', 'safety', 'need', 'health', 'amp im', 'im', 'high ']"
6,5,481,5_minister_minister health_health minister_harris,"[('minister', 0.02077170908765177), ('minister health', 0.01531894579489034), ('health minister', 0.012128615792974154), ('harris', 0.008894689835911664), ('boris', 0.006898869872907182), ('donnelly', 0.006649930624693564), ('simon', 0.006008443215065712), ('simon harris', 0.005058976348477568), ('ministers', 0.004681415703111402), ('health', 0.004610977865295223)]",negative,"['minister', 'minister health', 'health minister', 'harris', 'boris', 'donnelly', 'simon', 'simon harris', 'ministers', 'health ']"
7,6,418,6_nurses_nurse_teachers_doctors,"[('nurses', 0.011997156105694433), ('nurse', 0.011386807055069847), ('teachers', 0.010667311568316068), ('doctors', 0.0041500819579451224), ('doctors nurses', 0.0039665433404537246), ('midwives', 0.003647922562487794), ('student', 0.0036387884190673607), ('ireland', 0.0036031179866061374), ('work', 0.0033099382483400214), ('like', 0.0031269781636921743)]",negative,"['nurses', 'nurse', 'teachers', 'doctors', 'doctors nurses', 'midwives', 'student', 'ireland', 'work', 'like ']"
8,7,341,7_covid19_covid_scaremongering_people,"[('covid19', 0.005794693427281438), ('covid', 0.005256155610254897), ('scaremongering', 0.004209823081623336), ('people', 0.003926402589696604), ('many', 0.003257905842454797), ('death', 0.0032137122813418544), ('scared', 0.003105941276396357), ('would', 0.002893412591681689), ('really', 0.0027525618500859094), ('healthy', 0.0027385863647453753)]",negative,"['covid', 'covid', 'scaremongering', 'people', 'many', 'death', 'scared', 'would', 'really', 'healthy ']"
9,8,334,8_players_football_game_games,"[('players', 0.0167837330229307), ('football', 0.01226607045249936), ('game', 0.009976891340046938), ('games', 0.007945575784709167), ('club', 0.006637965935257022), ('gaa', 0.006581383846460076), ('fans', 0.0061474730672290805), ('league', 0.006111921847310204), ('clubs', 0.005985899051591112), ('player', 0.005574613309109459)]",negative,"['players', 'football', 'game', 'games', 'club', 'gaa', 'fans', 'league', 'clubs', 'player ']"
10,9,296,9_insurance_vet_dogs_health insurance,"[('insurance', 0.00899479826274936), ('vet', 0.008985444567868844), ('dogs', 0.008930548130943855), ('health insurance', 0.007532334251487463), ('obesity', 0.006014033165330543), ('weight', 0.005754873825003958), ('dog', 0.005669107243344293), ('milk', 0.0053688080936365136), ('vegan', 0.005136519438896988), ('private', 0.004946637731168359)]",negative,"['insurance', 'vet', 'dogs', 'health insurance', 'obesity', 'weight', 'dog', 'milk', 'vegan', 'private ']"
11,10,288,10_housing_homelessness_housing health_homeless,"[('housing', 0.02138582570731629), ('homelessness', 0.013522608492290183), ('housing health', 0.009012603275119609), ('homeless', 0.008013864579255145), ('health housing', 0.0066056909024999845), ('crisis', 0.006171181316583957), ('fg', 0.0045631695320878145), ('sf', 0.004491815124558209), ('ge2020', 0.003907839010938481), ('vote', 0.00365001979726957)]",negative,"['housing', 'homelessness', 'housing health', 'homeless', 'health housing', 'crisis', 'fg', 'sf', 'ge', 'vote ']"
12,11,284,11_abortion_maternity_women_pregnant,"[('abortion', 0.018960935229783905), ('maternity', 0.015300437185088977), ('women', 0.010944082530969708), ('pregnant', 0.010280702518058387), ('baby', 0.0070636719876126085), ('pregnancy', 0.006851766539208923), ('abortions', 0.006686234229202375), ('maternity hospital', 0.006206581792937839), ('birth', 0.0061698280002708975), ('babies', 0.005412613510948071)]",negative,"['abortion', 'maternity', 'women', 'pregnant', 'baby', 'pregnancy', 'abortions', 'maternity hospital', 'birth', 'babies ']"
13,12,243,12_schools_school_teachers_kids,"[('schools', 0.023467136048305616), ('school', 0.014601899341819808), ('teachers', 0.007082629576782269), ('kids', 0.006678140078871538), ('pupils', 0.006203197105666874), ('children', 0.00581918200371089), ('students', 0.005125170962252389), ('close', 0.0048811287987230965), ('closed', 0.0047647618774369896), ('parents', 0.004637567240620187)]",negative,"['schools', 'school', 'teachers', 'kids', 'pupils', 'children', 'students', 'close', 'closed', 'parents ']"
14,13,239,13_healthcare_economy_system_health service,"[('healthcare', 0.006375382393860744), ('economy', 0.006150578747923892), ('system', 0.004854139104997926), ('health service', 0.003982194318905172), ('government', 0.0038379959552418924), ('tax', 0.003821728984538413), ('healthcare system', 0.003735523664890106), ('service', 0.0035872815266554062), ('us', 0.003582939169674588), ('health care', 0.0035440236861295524)]",negative,"['healthcare', 'economy', 'system', 'health service', 'government', 'tax', 'healthcare system', 'service', 'us', 'health care ']"
15,14,238,14_student_student nurses_nurses_pay student,"[('student', 0.03711009006386579), ('student nurses', 0.035888890450651925), ('nurses', 0.019414641377948662), ('pay student', 0.017597863041698313), ('pay student nurses', 0.016824940754447716), ('pay', 0.01625508108109261), ('paying student nurses', 0.012587804683470444), ('paying student', 0.012587804683470444), ('paying', 0.010338015328975355), ('paid', 0.010106595082013217)]",negative,"['student', 'student nurses', 'nurses', 'pay student', 'pay student nurses', 'pay', 'paying student nurses', 'paying student', 'paying', 'paid ']"
16,15,187,15_nursing_nursing homes_homes_nursing home,"[('nursing', 0.0311230815128908), ('nursing homes', 0.03077369027780639), ('homes', 0.030151576657374942), ('nursing home', 0.012116801194170876), ('elderly', 0.011597371850268011), ('residents', 0.009092860734262971), ('home', 0.007071466490638635), ('care homes', 0.006657059944653393), ('care', 0.0052966893679555664), ('homes covid19', 0.0051466121268485335)]",negative,"['nursing', 'nursing homes', 'homes', 'nursing home', 'elderly', 'residents', 'home', 'care homes', 'care', 'homes covid ']"
17,16,186,16_cycling_transport_traffic_bus,"[('cycling', 0.01121970820693239), ('transport', 0.009824803572757876), ('traffic', 0.008784064167439393), ('bus', 0.007506487119865239), ('bike', 0.007154908227591567), ('road', 0.006903289393902343), ('cycle', 0.006773703827280053), ('walking', 0.006353512843753471), ('car', 0.006332544330238535), ('public transport', 0.00632140015084855)]",negative,"['cycling', 'transport', 'traffic', 'bus', 'bike', 'road', 'cycle', 'walking', 'car', 'public transport ']"
18,17,184,17_ambulance_hospital_emergency_waiting,"[('ambulance', 0.012967203085904273), ('hospital', 0.006580717862488557), ('emergency', 0.006217782764561208), ('waiting', 0.006068432482939461), ('pain', 0.004851509514722025), ('surgery', 0.004300172760404678), ('hours', 0.0042650732711393404), ('aampe', 0.004060510408061376), ('called ambulance', 0.0033164207918221517), ('brought ambulance', 0.0033164207918221517)]",negative,"['ambulance', 'hospital', 'emergency', 'waiting', 'pain', 'surgery', 'hours', 'aampe', 'called ambulance', 'brought ambulance ']"
19,18,160,18_public health_public_advice_public health advice,"[('public health', 0.01233036299861313), ('public', 0.011097405835453628), ('advice', 0.007187989028414078), ('public health advice', 0.006695300703375272), ('decision', 0.0061853622092631864), ('health advice', 0.006185176626025942), ('decisions', 0.005434329849606925), ('political', 0.005069566947649659), ('politics', 0.004999896793814093), ('health', 0.004890604157409038)]",negative,"['public health', 'public', 'advice', 'public health advice', 'decision', 'health advice', 'decisions', 'political', 'politics', 'health ']"
20,19,152,19_cases_deaths_total_department health,"[('cases', 0.020031715217419803), ('deaths', 0.01821023514064018), ('total', 0.013583424623012272), ('department health', 0.011624765552563303), ('confirmed', 0.011163122666158437), ('number', 0.010833658021827676), ('new cases', 0.01079369603058592), ('bringing', 0.010460708586261212), ('department', 0.010235117607664651), ('new', 0.009940134105070903)]",negative,"['cases', 'deaths', 'total', 'department health', 'confirmed', 'number', 'new cases', 'bringing', 'department', 'new ']"
21,20,150,20_hse_private hospitals_private_hospitals,"[('hse', 0.03379131444726644), ('private hospitals', 0.007516270258795209), ('private', 0.007023009914545002), ('hospitals', 0.006321971813436287), ('beacon', 0.0046573358796519046), ('service', 0.0042952489154634895), ('health service', 0.0038770911381011824), ('hospital', 0.003458284490022638), ('securing', 0.0034503277404659533), ('system', 0.0033904074018000947)]",negative,"['hse', 'private hospitals', 'private', 'hospitals', 'beacon', 'service', 'health service', 'hospital', 'securing', 'system ']"
22,21,149,21_health safety_safety_health safety gone_safety gone mad,"[('health safety', 0.034190360149953775), ('safety', 0.032488505780872604), ('health safety gone', 0.008780948969156589), ('safety gone mad', 0.008617252042586721), ('safety gone', 0.008470853591831235), ('hazard', 0.008275887242205408), ('gone mad', 0.008217603173806556), ('mad', 0.0061071469103266395), ('health', 0.005140547396331226), ('health hazard', 0.004784306549428375)]",negative,"['health safety', 'safety', 'health safety gone', 'safety gone mad', 'safety gone', 'hazard', 'gone mad', 'mad', 'health', 'health hazard ']"
23,22,134,22_protest_protests_publically_mass protests,"[('protest', 0.032707776950115036), ('protests', 0.024941795623813944), ('publically', 0.005359587432276482), ('mass protests', 0.0049744036375677664), ('micaredress', 0.0049618762231288084), ('right protest', 0.00484332002228476), ('100percentredress', 0.004466322860230401), ('peaceful', 0.003959077077379269), ('protesting', 0.003959077077379269), ('right', 0.0038466356788333282)]",negative,"['protest', 'protests', 'publically', 'mass protests', 'micaredress', 'right protest', 'percentredress', 'peaceful', 'protesting', 'right ']"
24,23,133,23_pubs_restaurants_hospitality_pub,"[('pubs', 0.032287928992728566), ('restaurants', 0.011224507621831107), ('hospitality', 0.00921916458365692), ('pub', 0.007783657737033533), ('bars', 0.005861254994022113), ('close', 0.005780495096216511), ('closing pubs', 0.00572966628464036), ('closing', 0.005467016479287299), ('open', 0.004851305162509943), ('pubs clubs', 0.004626739531276703)]",negative,"['pubs', 'restaurants', 'hospitality', 'pub', 'bars', 'close', 'closing pubs', 'closing', 'open', 'pubs clubs ']"
25,24,124,24_icu_beds_icu beds_capacity,"[('icu', 0.03359502507037031), ('beds', 0.027051265673945127), ('icu beds', 0.020764491089454582), ('capacity', 0.0079770171637028), ('bed', 0.007867680532655264), ('icu bed', 0.0067102853876293), ('beds per', 0.006656433262548501), ('icu capacity', 0.0065162652889609735), ('hospital', 0.005726354967795382), ('per', 0.005720976770381389)]",negative,"['icu', 'beds', 'icu beds', 'capacity', 'bed', 'icu bed', 'beds per', 'icu capacity', 'hospital', 'per ']"
26,25,124,25_vaccinated_frontline_staff_teachers,"[('vaccinated', 0.016577545646299027), ('frontline', 0.014853074431356098), ('staff', 0.01120710122180221), ('teachers', 0.009875401407874764), ('workers', 0.009816222052432032), ('vaccine', 0.009682496294160093), ('frontline healthcare', 0.007772786536797609), ('vaccination', 0.00744232898876608), ('workers vaccinated', 0.007388126797107772), ('frontline workers', 0.0066270899229656875)]",negative,"['vaccinated', 'frontline', 'staff', 'teachers', 'workers', 'vaccine', 'frontline healthcare', 'vaccination', 'workers vaccinated', 'frontline workers ']"
27,26,120,26_lockdown_ireland_dublin_ireland lockdown,"[('lockdown', 0.017075716913466623), ('ireland', 0.008313566519403872), ('dublin', 0.007120372337137122), ('ireland lockdown', 0.0059465581173006364), ('lock', 0.00566438720629381), ('guinness', 0.00564036322265536), ('night', 0.005369303755466614), ('back lockdown', 0.005361699634862608), ('gatherings', 0.005279399120290733), ('pints', 0.005201170948832248)]",negative,"['lockdown', 'ireland', 'dublin', 'ireland lockdown', 'lock', 'guinness', 'night', 'back lockdown', 'gatherings', 'pints ']"
28,27,117,27_tory_nhs_political_nurses,"[('tory', 0.012654288122766272), ('nhs', 0.008208219986045349), ('political', 0.0071218531757969526), ('nurses', 0.00555298951246505), ('pay', 0.005529859917586081), ('tory government', 0.005451114822037245), ('parties', 0.004869827722950454), ('pols', 0.004743606136337515), ('labour', 0.00467430503090021), ('tories', 0.004642030375683239)]",negative,"['tory', 'nhs', 'political', 'nurses', 'pay', 'tory government', 'parties', 'pols', 'labour', 'tories ']"
29,28,114,28_waiting_waiting lists_lists_health waiting,"[('waiting', 0.0200244170234873), ('waiting lists', 0.01932380564789234), ('lists', 0.01861639865492903), ('health waiting', 0.010877955289962207), ('health waiting lists', 0.010521559929371056), ('13 million', 0.007730505592574119), ('amp', 0.006889487107221408), ('people waiting', 0.006715237799449898), ('13', 0.00629013794652057), ('onequarter states', 0.0058189846335282855)]",negative,"['waiting', 'waiting lists', 'lists', 'health waiting', 'health waiting lists', ' million', 'amp', 'people waiting', '', 'onequarter states ']"
30,29,98,29_trans_trans people_puberty_gender,"[('trans', 0.032671196691857175), ('trans people', 0.012124470302886334), ('puberty', 0.011673433606071388), ('gender', 0.011063462070705599), ('trans healthcare', 0.010289437400046788), ('lgbtqia', 0.010160195272572427), ('conversion', 0.009635488411915204), ('conversion therapy', 0.008192410382956733), ('gay', 0.008123268706507593), ('lgbtq', 0.007975099022798887)]",negative,"['trans', 'trans people', 'puberty', 'gender', 'trans healthcare', 'lgbtqia', 'conversion', 'conversion therapy', 'gay', 'lgbtq ']"
