Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,16505,-1_health_mental_mental health_amp,"[('health', 0.001808902638934787), ('mental', 0.0016990707028746218), ('mental health', 0.0016769790153051795), ('amp', 0.0016565339424823083), ('great', 0.0014075821499364692), ('people', 0.0013685218104998913), ('care', 0.001302893506779647), ('well', 0.001280501611995631), ('nurses', 0.0012577356149818522), ('get', 0.0012536703741860466)]",positive,"['health', 'mental', 'mental health', 'amp', 'great', 'people', 'care', 'well', 'nurses', 'get ']"
1,0,836,0_mental_mental health_100daysofwalking_health,"[('mental', 0.010436529390853098), ('mental health', 0.010369923840837585), ('100daysofwalking', 0.00481620054598563), ('health', 0.004298678148772143), ('mentalhealthmatters', 0.003920130651883034), ('mentalhealth', 0.003909930694377626), ('world mental health', 0.003655533546906447), ('world mental', 0.003655533546906447), ('mental health day', 0.003644816269475075), ('health day', 0.003510584565562706)]",positive,"['mental', 'mental health', 'daysofwalking', 'health', 'mentalhealthmatters', 'mentalhealth', 'world mental health', 'world mental', 'mental health day', 'health day ']"
2,1,530,1_coronavirus_lockdown_covid19_ireland,"[('coronavirus', 0.007169477636874523), ('lockdown', 0.005882250431667494), ('covid19', 0.0054822619929374705), ('ireland', 0.005057244827521647), ('familycarers', 0.004647643936622454), ('covid19 coronavirus', 0.003389780531580496), ('covid19 ireland', 0.0033537421585970867), ('list', 0.0029820774931534123), ('covid vaccine', 0.002825471768523612), ('covid', 0.0027287122698824995)]",positive,"['coronavirus', 'lockdown', 'covid', 'ireland', 'familycarers', 'covid coronavirus', 'covid ireland', 'list', 'covid vaccine', 'covid ']"
3,2,481,2_safety_amp_safe amp_amp safety,"[('safety', 0.010734486360497588), ('amp', 0.00994733366683757), ('safe amp', 0.009700369095591197), ('amp safety', 0.0070547505657643375), ('health amp safety', 0.00703667347656102), ('health safety', 0.006924413728258634), ('stay safe amp', 0.004742404629683328), ('safe', 0.0045848646169022), ('health amp', 0.00454425410791082), ('amp well', 0.0043139392709645496)]",positive,"['safety', 'amp', 'safe amp', 'amp safety', 'health amp safety', 'health safety', 'stay safe amp', 'safe', 'health amp', 'amp well ']"
4,3,451,3_christmas_new year_year_happy,"[('christmas', 0.017744608653758362), ('new year', 0.0176086635302223), ('year', 0.013566403926293961), ('happy', 0.012917127030714858), ('happy new', 0.012124269730396747), ('happy new year', 0.011866254766909926), ('wishing', 0.01029523470806236), ('easter', 0.009413334185331919), ('happiness', 0.009363699368525956), ('2021', 0.00901616088361327)]",positive,"['christmas', 'new year', 'year', 'happy', 'happy new', 'happy new year', 'wishing', 'easter', 'happiness', ' ']"
5,4,437,4_vaccine_vaccines_vaccinated_vaccination,"[('vaccine', 0.01597460558595567), ('vaccines', 0.010199153665141803), ('vaccinated', 0.008255227590318766), ('vaccination', 0.0060895881477485755), ('get', 0.003610974804833138), ('rollout', 0.003460238876195867), ('ireland', 0.003233498910374752), ('getting', 0.002615445895654556), ('covid19 vaccine', 0.0024501085791611183), ('vaccine today', 0.002417200699862935)]",positive,"['vaccine', 'vaccines', 'vaccinated', 'vaccination', 'get', 'rollout', 'ireland', 'getting', 'covid vaccine', 'vaccine today ']"
6,5,396,5_public health_public_ambulance_health emergency team,"[('public health', 0.012052669300527726), ('public', 0.010806038600532293), ('ambulance', 0.008908372022842765), ('health emergency team', 0.005222246944998736), ('emergency team', 0.005222246944998736), ('emergency', 0.005148990623010467), ('national public health', 0.004926947524998457), ('national public', 0.004926947524998457), ('public health emergency', 0.004770723821092472), ('government', 0.004539292640166478)]",positive,"['public health', 'public', 'ambulance', 'health emergency team', 'emergency team', 'emergency', 'national public health', 'national public', 'public health emergency', 'government ']"
7,6,306,6_workers_worker_essential_essential workers,"[('workers', 0.012513562405774057), ('worker', 0.008358784599834522), ('essential', 0.00743680231825693), ('essential workers', 0.006892202617398898), ('employers', 0.006186794701067161), ('health safety', 0.005500087593054527), ('health workers', 0.004463074799283488), ('safety', 0.004388511824503661), ('keeping', 0.00436435440552408), ('construction', 0.004192902299173152)]",positive,"['workers', 'worker', 'essential', 'essential workers', 'employers', 'health safety', 'health workers', 'safety', 'keeping', 'construction ']"
8,7,238,7_frontline workers_frontline_workers_front,"[('frontline workers', 0.017235154034394972), ('frontline', 0.015401714175224826), ('workers', 0.011460523783681018), ('front', 0.006493610299580574), ('front line', 0.006356558180497993), ('frontlineworkers', 0.005849010134362079), ('frontlineheroes', 0.005657978936823614), ('line', 0.005317350493853082), ('support frontline', 0.004683219122856851), ('workers frontline', 0.004592376637359533)]",positive,"['frontline workers', 'frontline', 'workers', 'front', 'front line', 'frontlineworkers', 'frontlineheroes', 'line', 'support frontline', 'workers frontline ']"
9,8,231,8_mask_masks_wearing_wear,"[('mask', 0.03637040781446311), ('masks', 0.020974505702185706), ('wearing', 0.017694239021726343), ('wear', 0.015754014165830475), ('face mask', 0.011269518461315183), ('face', 0.010845855073600601), ('wear mask', 0.010625855580310034), ('wearing mask', 0.007691897121922651), ('mask wearing', 0.0070357395186088235), ('face masks', 0.0055714660321505086)]",positive,"['mask', 'masks', 'wearing', 'wear', 'face mask', 'face', 'wear mask', 'wearing mask', 'mask wearing', 'face masks ']"
10,9,222,9_international nurses_international nurses day_nurses day_international,"[('international nurses', 0.03895173801214066), ('international nurses day', 0.038724358034409115), ('nurses day', 0.0386647246717376), ('international', 0.03808208408070435), ('happy international', 0.03398903013778699), ('happy international nurses', 0.030910516950929362), ('nurses', 0.018881153769849935), ('internationalnursesday', 0.016549808178620267), ('day', 0.016228853544037608), ('happy', 0.015726354036113232)]",positive,"['international nurses', 'international nurses day', 'nurses day', 'international', 'happy international', 'happy international nurses', 'nurses', 'internationalnursesday', 'day', 'happy ']"
11,10,218,10_nurse_nurses_midwives_opportunity,"[('nurse', 0.011792865395597981), ('nurses', 0.011047085882514436), ('midwives', 0.009917701470047863), ('opportunity', 0.005171349646038496), ('role', 0.0050935440666645205), ('nurses midwives', 0.0047895900343255925), ('midwifery', 0.00454123138690292), ('practitioners', 0.00454123138690292), ('clinical nurse', 0.004466166240928846), ('midwife', 0.004423477322290886)]",positive,"['nurse', 'nurses', 'midwives', 'opportunity', 'role', 'nurses midwives', 'midwifery', 'practitioners', 'clinical nurse', 'midwife ']"
12,11,215,11_cycling_bike_cycle_bicycle,"[('cycling', 0.018212808217514222), ('bike', 0.012673206998157873), ('cycle', 0.008592781784462539), ('bicycle', 0.008022768718579522), ('road', 0.006542318898860925), ('parking', 0.006110452453622429), ('bikes', 0.00592802597407105), ('cars', 0.00580991204223396), ('walking', 0.005789073616767028), ('roads', 0.005784963231193838)]",positive,"['cycling', 'bike', 'cycle', 'bicycle', 'road', 'parking', 'bikes', 'cars', 'walking', 'roads ']"
13,12,215,12_advice_guidance_guidelines_follow,"[('advice', 0.008473157807278526), ('guidance', 0.006764944274923782), ('guidelines', 0.005711435831923158), ('follow', 0.005133987485168018), ('covid19', 0.005010992463976312), ('guidance healthcare', 0.004894920770476909), ('practice', 0.004577773721466225), ('covid', 0.004491257595747946), ('covid19 advice', 0.004421333366723587), ('please', 0.004016919783803105)]",positive,"['advice', 'guidance', 'guidelines', 'follow', 'covid', 'guidance healthcare', 'practice', 'covid', 'covid advice', 'please ']"
14,13,215,13_amp_nurses_nurses amp_nurse,"[('amp', 0.010684683029033092), ('nurses', 0.006087040081813938), ('nurses amp', 0.00528752855604808), ('nurse', 0.004542772219462871), ('safe staffing', 0.0042253333547220134), ('staffing', 0.004220063079138357), ('team', 0.004082125030148486), ('practice', 0.0036862460917406496), ('nursing', 0.003604858328119001), ('porters', 0.0031980692130334255)]",positive,"['amp', 'nurses', 'nurses amp', 'nurse', 'safe staffing', 'staffing', 'team', 'practice', 'nursing', 'porters ']"
15,14,213,14_irish_health service_irish health_system,"[('irish', 0.013661301420532384), ('health service', 0.011475971680474534), ('irish health', 0.010836035684329172), ('system', 0.010723006751949114), ('service', 0.009564779481068807), ('health system', 0.008636047157113816), ('ireland', 0.008418778417482608), ('healthcare system', 0.006134183164003343), ('healthcare', 0.005655745611318902), ('irish health system', 0.0056416430498188895)]",positive,"['irish', 'health service', 'irish health', 'system', 'service', 'health system', 'ireland', 'healthcare system', 'healthcare', 'irish health system ']"
16,15,207,15_happiness_health happiness_wishing_good health,"[('happiness', 0.05135332673389904), ('health happiness', 0.04535303142283366), ('wishing', 0.03407372088577981), ('good health', 0.02538952394755268), ('congratulations', 0.016429062021927923), ('wishing health', 0.015355450098161074), ('wishing health happiness', 0.015355171933889245), ('retirement', 0.013871086409362132), ('good', 0.012809002007076837), ('many years', 0.011915702142729457)]",positive,"['happiness', 'health happiness', 'wishing', 'good health', 'congratulations', 'wishing health', 'wishing health happiness', 'retirement', 'good', 'many years ']"
17,16,194,16_nursing homes_nursing_homes_nursing home,"[('nursing homes', 0.026600887767538727), ('nursing', 0.023853595676367977), ('homes', 0.022940475724864694), ('nursing home', 0.016923643638400366), ('residents', 0.009018542320751794), ('covid19 nursing', 0.008182474876959462), ('home', 0.008143723797929247), ('nursing home residents', 0.007549349054534979), ('home residents', 0.007486884050241138), ('shortly', 0.007385066782032499)]",positive,"['nursing homes', 'nursing', 'homes', 'nursing home', 'residents', 'covid nursing', 'home', 'nursing home residents', 'home residents', 'shortly ']"
18,17,191,17_hands_wash_wash hands_hand,"[('hands', 0.02556905841409292), ('wash', 0.02028376054387427), ('wash hands', 0.01881384858141571), ('hand', 0.012542935426241419), ('hygiene', 0.007785806643625814), ('distance', 0.0069124910654204345), ('washing', 0.006351620189501885), ('mask', 0.006122348947592562), ('hand sanitizer', 0.006099104373039194), ('wear', 0.005730050943283244)]",positive,"['hands', 'wash', 'wash hands', 'hand', 'hygiene', 'distance', 'washing', 'mask', 'hand sanitizer', 'wear ']"
19,18,189,18_donate_funds_donation_raise,"[('donate', 0.01372604678807632), ('funds', 0.010340722189977959), ('donation', 0.007826102038631181), ('raise', 0.007682695815646568), ('please donate', 0.007613165260781832), ('childrens', 0.006559910007348893), ('childrens health', 0.006351997514267168), ('childrens health foundation', 0.006222088024076143), ('health foundation', 0.005868653665513314), ('campaign', 0.005646346822393473)]",positive,"['donate', 'funds', 'donation', 'raise', 'please donate', 'childrens', 'childrens health', 'childrens health foundation', 'health foundation', 'campaign ']"
20,19,185,19_animal_dog_animal health_pig,"[('animal', 0.016442404739118902), ('dog', 0.013194517332443716), ('animal health', 0.010842708059327586), ('pig', 0.010598486492326307), ('dogs', 0.010366049976189423), ('pet', 0.009490494641628976), ('vet', 0.009039558260178384), ('veterinary', 0.007321614773153919), ('farm', 0.007321614773153919), ('herd', 0.007170130990493898)]",positive,"['animal', 'dog', 'animal health', 'pig', 'dogs', 'pet', 'vet', 'veterinary', 'farm', 'herd ']"
