Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,370,-1_health_safe_stay_covid19,"[('health', 0.02048512668922207), ('safe', 0.013369167341004195), ('stay', 0.009424984746362558), ('covid19', 0.009245282466790402), ('amp', 0.007890442771203184), ('us', 0.007583112699225533), ('healthcare', 0.00650148776049143), ('support', 0.0063171850186527255), ('community', 0.006298693950473261), ('stay safe', 0.006056993038736694)]",positive,"['health', 'safe', 'stay', 'covid', 'amp', 'us', 'healthcare', 'support', 'community', 'stay safe ']"
1,0,621,0_health_safe_mental_mental health,"[('health', 0.02753543440803409), ('safe', 0.014025076032899606), ('mental', 0.012330970360693982), ('mental health', 0.011904064505422963), ('good', 0.010863376737800676), ('care', 0.01041687141343388), ('country', 0.009530584698218448), ('healthy', 0.009386118189334072), ('amp', 0.009188233313832428), ('take', 0.008614273303027803)]",positive,"['health', 'safe', 'mental', 'mental health', 'good', 'care', 'country', 'healthy', 'amp', 'take ']"
2,1,172,1_egypt_stay_home stay safe_home stay,"[('egypt', 0.09641177100000521), ('stay', 0.07605342692449481), ('home stay safe', 0.051853040679364776), ('home stay', 0.051853040679364776), ('stay home stay', 0.051853040679364776), ('stay home', 0.051806497888179495), ('see', 0.05047974808223566), ('home', 0.05021317120996287), ('egypt stay', 0.048105720368460704), ('egypt stay home', 0.047772947644749916)]",positive,"['egypt', 'stay', 'home stay safe', 'home stay', 'stay home stay', 'stay home', 'see', 'home', 'egypt stay', 'egypt stay home ']"
3,2,63,2_vaccine_vaccines_covid19_pfizer,"[('vaccine', 0.05319711266193422), ('vaccines', 0.042045486183914585), ('covid19', 0.02979292232128106), ('pfizer', 0.019819769996728718), ('covid19 vaccine', 0.018763000754243857), ('covid', 0.016944318015631097), ('medicine', 0.014522886888257083), ('health', 0.01351794313054716), ('first', 0.013189207299814732), ('patients', 0.012243561986747484)]",positive,"['vaccine', 'vaccines', 'covid', 'pfizer', 'covid vaccine', 'covid', 'medicine', 'health', 'first', 'patients ']"
4,3,35,3_masks_precautions_appointments taking_sanitizer,"[('masks', 0.07013149122505813), ('precautions', 0.0691919530493022), ('appointments taking', 0.06801198897185352), ('sanitizer', 0.06801198897185352), ('working appointments taking', 0.06801198897185352), ('adhere safety', 0.06801198897185352), ('adhere', 0.06801198897185352), ('taking precautions adhere', 0.06801198897185352), ('gloves', 0.06801198897185352), ('safety guidlines', 0.06801198897185352)]",positive,"['masks', 'precautions', 'appointments taking', 'sanitizer', 'working appointments taking', 'adhere safety', 'adhere', 'taking precautions adhere', 'gloves', 'safety guidlines ']"
5,4,28,4_covid19_eastern mediterranean_eastern_mediterranean,"[('covid19', 0.0751315670631988), ('eastern mediterranean', 0.06831640762320892), ('eastern', 0.06831640762320892), ('mediterranean', 0.06788818247783428), ('2022', 0.05948682675297786), ('may 2022', 0.04529027542644134), ('regional', 0.042565239409733335), ('region', 0.04039932332882551), ('health', 0.039580729703464435), ('may', 0.03708137201543404)]",positive,"['covid', 'eastern mediterranean', 'eastern', 'mediterranean', '', 'may', ' regional', 'region', 'health', 'may ']"
6,5,28,5_africa_africa health_africa health excon_health excon,"[('africa', 0.0790534701015683), ('africa health', 0.06885214257253262), ('africa health excon', 0.0646401308783469), ('health excon', 0.0646401308783469), ('excon', 0.0646401308783469), ('healthcare', 0.05508982160598687), ('hall', 0.03446495878679583), ('health', 0.03433431471745369), ('africahealthexcon', 0.02948931027175932), ('amp', 0.024312370039325255)]",positive,"['africa', 'africa health', 'africa health excon', 'health excon', 'excon', 'healthcare', 'hall', 'health', 'africahealthexcon', 'amp ']"
7,6,19,6_israel_million_energy_digital,"[('israel', 0.04002870828745821), ('million', 0.039145874510471954), ('energy', 0.03732546137161738), ('digital', 0.03225147202381454), ('amp', 0.030237361982158296), ('30 million', 0.029340749514722753), ('infrastructure', 0.028576109825323995), ('fund', 0.028576109825323995), ('startups', 0.027929735639602632), ('19', 0.02736992422980286)]",positive,"['israel', 'million', 'energy', 'digital', 'amp', ' million', 'infrastructure', 'fund', 'startups', ' ']"
8,7,17,7_covid19_office region june_june 2022 2359_region june 2022,"[('covid19', 0.08406698435813748), ('office region june', 0.05784864936801674), ('june 2022 2359', 0.05784864936801674), ('region june 2022', 0.05784864936801674), ('region june', 0.05784864936801674), ('june 2022', 0.0557914464026058), ('time', 0.05343398078925797), ('2359', 0.05160024413290545), ('2359 cairo time', 0.05160024413290545), ('daily update', 0.05160024413290545)]",positive,"['covid', 'office region june', 'june', '', 'region june', ' region june', 'june', ' time', '', ' cairo time', 'daily update ']"
9,8,16,8_lungcancer_cancer_meded healthcare lungcancer_healthcare lungcancer,"[('lungcancer', 0.10591952795251948), ('cancer', 0.08396544571776475), ('meded healthcare lungcancer', 0.08137857216337913), ('healthcare lungcancer', 0.08137857216337913), ('healthcare lungcancer oncology', 0.08137857216337913), ('lungcancer oncology cancer', 0.08137857216337913), ('lungcancer oncology', 0.08137857216337913), ('cancer pulmonary', 0.0800990224113222), ('pulmonary', 0.0800990224113222), ('oncology cancer', 0.0800990224113222)]",positive,"['lungcancer', 'cancer', 'meded healthcare lungcancer', 'healthcare lungcancer', 'healthcare lungcancer oncology', 'lungcancer oncology cancer', 'lungcancer oncology', 'cancer pulmonary', 'pulmonary', 'oncology cancer ']"
