Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,615,-1_health_one_people_covid19,"[('health', 0.016189894266412562), ('one', 0.006791634370710553), ('people', 0.006661854910647748), ('covid19', 0.0065504074122569), ('care', 0.006459980519415998), ('like', 0.006417244186071164), ('know', 0.0063348679259607275), ('public', 0.006112470933639497), ('get', 0.006098805381904446), ('covid', 0.006067754163543755)]",neutral,"['health', 'one', 'people', 'covid', 'care', 'like', 'know', 'public', 'get', 'covid ']"
1,0,532,0_health_covid19_jamaica_vaccine,"[('health', 0.01590506975431041), ('covid19', 0.012888700872018353), ('jamaica', 0.012802284681817532), ('vaccine', 0.012197258500770792), ('covid', 0.010458979311183905), ('care', 0.007799793916588524), ('take', 0.007138444688045283), ('need', 0.006920095081820374), ('government', 0.006259715128173449), ('ministry', 0.006055870822354054)]",neutral,"['health', 'covid', 'jamaica', 'vaccine', 'covid', 'care', 'take', 'need', 'government', 'ministry ']"
2,1,214,1_nurse_nurses_hope_night,"[('nurse', 0.04846823009181121), ('nurses', 0.044668619144287616), ('hope', 0.009140806079581799), ('night', 0.008842791638559621), ('come', 0.008478479971822607), ('doctors', 0.008473385217348833), ('still', 0.008140021059058913), ('covid', 0.008131695963853885), ('blitz', 0.007791681560470448), ('doctors nurses', 0.00743592082583584)]",neutral,"['nurse', 'nurses', 'hope', 'night', 'come', 'doctors', 'still', 'covid', 'blitz', 'doctors nurses ']"
3,2,135,2_mental_mental health_health_issues,"[('mental', 0.07717860652117711), ('mental health', 0.07381563797672877), ('health', 0.03628573989723636), ('issues', 0.012051778423195493), ('sometimes', 0.011248874673913316), ('mental health issues', 0.010600118308809525), ('health issues', 0.010093992241400602), ('things', 0.009245768884661196), ('im', 0.009177942285557255), ('people', 0.009155414497831563)]",neutral,"['mental', 'mental health', 'health', 'issues', 'sometimes', 'mental health issues', 'health issues', 'things', 'im', 'people ']"
4,3,123,3_worker_workers_salary_fish,"[('worker', 0.03870035821498097), ('workers', 0.024894828317221604), ('salary', 0.013391019569050411), ('fish', 0.012982222280319916), ('companies', 0.012504074509490561), ('essential', 0.010090562074283107), ('work', 0.009684949981630839), ('frontline workers', 0.009057933317694567), ('yall', 0.008435099304310559), ('frontline', 0.008435099304310559)]",neutral,"['worker', 'workers', 'salary', 'fish', 'companies', 'essential', 'work', 'frontline workers', 'yall', 'frontline ']"
5,4,49,4_mask_wearing_masks_yuh,"[('mask', 0.06382654862434525), ('wearing', 0.02823491720100747), ('masks', 0.026063000493237662), ('yuh', 0.02390025225187069), ('wear', 0.019298306206418227), ('face', 0.014153163310278593), ('people', 0.013263545285977658), ('wearing masks', 0.01279180483332162), ('nuh', 0.01243119469985102), ('hands', 0.01227712276530066)]",neutral,"['mask', 'wearing', 'masks', 'yuh', 'wear', 'face', 'people', 'wearing masks', 'nuh', 'hands ']"
6,5,46,5_insurance_health insurance_plan_health,"[('insurance', 0.062154404260953776), ('health insurance', 0.04800030678677066), ('plan', 0.03109152541008062), ('health', 0.030063791789074035), ('health plan', 0.020594977953879393), ('ccrp', 0.01671266644125185), ('get health', 0.01624945855992296), ('get', 0.01451542284188272), ('card', 0.014490008996363591), ('cards', 0.013823797505120207)]",neutral,"['insurance', 'health insurance', 'plan', 'health', 'health plan', 'ccrp', 'get health', 'get', 'card', 'cards ']"
7,6,29,6_safe_ridiculous_postponed ban public_dancehall vs soca,"[('safe', 0.04629331616021538), ('ridiculous', 0.04218202618941401), ('postponed ban public', 0.04218202618941401), ('dancehall vs soca', 0.04218202618941401), ('soca postponed ban', 0.04218202618941401), ('due covid 19', 0.04218202618941401), ('ridiculous dancehall vs', 0.04218202618941401), ('postponed ban', 0.04218202618941401), ('persons tickets', 0.04218202618941401), ('postponed', 0.04218202618941401)]",neutral,"['safe', 'ridiculous', 'postponed ban public', 'dancehall vs soca', 'soca postponed ban', 'due covid', ' ridiculous dancehall vs', 'postponed ban', 'persons tickets', 'postponed ']"
8,7,27,7_gym_fitness_workout_nutrition,"[('gym', 0.03445715606737853), ('fitness', 0.03445715606737853), ('workout', 0.03445715606737853), ('nutrition', 0.026407488622009718), ('health', 0.023988931318983067), ('happen', 0.021573039347036874), ('fit', 0.020749767796095872), ('protein', 0.01918344780901215), ('gym health', 0.01918344780901215), ('shake', 0.01918344780901215)]",neutral,"['gym', 'fitness', 'workout', 'nutrition', 'health', 'happen', 'fit', 'protein', 'gym health', 'shake ']"
9,8,27,8_quarantine_facilities_least_confirmed,"[('quarantine', 0.07762754002744987), ('facilities', 0.032711012290314256), ('least', 0.02542151069399077), ('confirmed', 0.024913875097736928), ('covid19', 0.023792499689808386), ('isolation', 0.022091553208148155), ('health', 0.01809906582890027), ('area', 0.017673242566518522), ('suspected confirmed covid19', 0.017348876420484487), ('ready least quarantine', 0.017348876420484487)]",neutral,"['quarantine', 'facilities', 'least', 'confirmed', 'covid', 'isolation', 'health', 'area', 'suspected confirmed covid', 'ready least quarantine ']"
10,9,24,9_ogsda ejcsda_ejcsda jamaicaunion adventistiad_adventist seventhdayadventist sdachurch_adventist seventhdayadventist,"[('ogsda ejcsda', 0.0434485293795725), ('ejcsda jamaicaunion adventistiad', 0.0434485293795725), ('adventist seventhdayadventist sdachurch', 0.0434485293795725), ('adventist seventhdayadventist', 0.0434485293795725), ('adventistiad adventist', 0.0434485293795725), ('adventist', 0.0434485293795725), ('tip world health', 0.0434485293795725), ('jamaicaunion adventistiad adventist', 0.0434485293795725), ('tip world', 0.0434485293795725), ('adventistiad', 0.0434485293795725)]",neutral,"['ogsda ejcsda', 'ejcsda jamaicaunion adventistiad', 'adventist seventhdayadventist sdachurch', 'adventist seventhdayadventist', 'adventistiad adventist', 'adventist', 'tip world health', 'jamaicaunion adventistiad adventist', 'tip world', 'adventistiad ']"
11,10,20,10_pray_economy_citizens_safety,"[('pray', 0.05782442431290889), ('economy', 0.04939036363403921), ('citizens', 0.034029158401444624), ('safety', 0.03347645048595675), ('health safety citizens', 0.033174219293764795), ('lockdown pray', 0.033174219293764795), ('safety citizens', 0.033174219293764795), ('lockdown', 0.03268803861286619), ('health safety', 0.0252039023747), ('financial mental', 0.023518408742477237)]",neutral,"['pray', 'economy', 'citizens', 'safety', 'health safety citizens', 'lockdown pray', 'safety citizens', 'lockdown', 'health safety', 'financial mental ']"
12,11,20,11_road_kingston_clinic_comprehensive,"[('road', 0.07997165132661627), ('kingston', 0.07424821933919458), ('clinic', 0.05484799417195403), ('comprehensive', 0.0542359796951336), ('st', 0.053877484366940155), ('mandeville', 0.051799722401217475), ('pen', 0.050620247715458026), ('health center', 0.04626758352442771), ('center', 0.04559644707066725), ('town', 0.04363431325817788)]",neutral,"['road', 'kingston', 'clinic', 'comprehensive', 'st', 'mandeville', 'pen', 'health center', 'center', 'town ']"
13,12,19,12_private_hospitals_facilities_private hospitals,"[('private', 0.07590584487043647), ('hospitals', 0.06769011160270513), ('facilities', 0.05356803388826691), ('private hospitals', 0.05021466293128422), ('mohw', 0.03594088220094404), ('hospitals maybe', 0.032469456786961795), ('health', 0.03161524893415239), ('maybe', 0.029895044138326162), ('schools', 0.02695566165070803), ('schools min', 0.022885399362044374)]",neutral,"['private', 'hospitals', 'facilities', 'private hospitals', 'mohw', 'hospitals maybe', 'health', 'maybe', 'schools', 'schools min ']"
14,13,18,13_side_side effects_scared_effects,"[('side', 0.06333646613045689), ('side effects', 0.0494125189438449), ('scared', 0.046839272777052084), ('effects', 0.04489222657074573), ('vaccine', 0.031246831726180955), ('term', 0.02769173245951148), ('short', 0.027205251110436805), ('certain', 0.024757720360834134), ('side effectsthey signs', 0.02457757492901969), ('side effectsthey', 0.02457757492901969)]",neutral,"['side', 'side effects', 'scared', 'effects', 'vaccine', 'term', 'short', 'certain', 'side effectsthey signs', 'side effectsthey ']"
15,14,17,14_remember_remember pray_pray_covid19,"[('remember', 0.05585012514476397), ('remember pray', 0.03778720244999836), ('pray', 0.03546582237671585), ('covid19', 0.031330844131603516), ('family', 0.029670468682764507), ('face', 0.024286493254324214), ('persons', 0.02425149451106961), ('likely', 0.02133338155958449), ('trying', 0.02133338155958449), ('families impacted', 0.020941838992774176)]",neutral,"['remember', 'remember pray', 'pray', 'covid', 'family', 'face', 'persons', 'likely', 'trying', 'families impacted ']"
16,15,17,15_free_healthcare_free healthcare_free health,"[('free', 0.14927568829524238), ('healthcare', 0.07658491932990635), ('free healthcare', 0.06466393741896737), ('free health', 0.0460254934345926), ('free health care', 0.0460254934345926), ('health care', 0.0426715062188045), ('youre healthcare worker', 0.038261305835446874), ('hospital paid bills', 0.038261305835446874), ('bills would add', 0.038261305835446874), ('bills would', 0.038261305835446874)]",neutral,"['free', 'healthcare', 'free healthcare', 'free health', 'free health care', 'health care', 'youre healthcare worker', 'hospital paid bills', 'bills would add', 'bills would ']"
17,16,17,16_sick_pain_pains_better,"[('sick', 0.04255922111517324), ('pain', 0.038034898194899434), ('pains', 0.03600919907572355), ('better', 0.0307389861558931), ('feel better sometimes', 0.029784826861360972), ('make us feel', 0.029784826861360972), ('sick worked', 0.029784826861360972), ('covid19 outbreak 12', 0.029784826861360972), ('covid19 outbreak', 0.029784826861360972), ('really goes nurseshospitals', 0.029784826861360972)]",neutral,"['sick', 'pain', 'pains', 'better', 'feel better sometimes', 'make us feel', 'sick worked', 'covid outbreak', ' covid outbreak', 'really goes nurseshospitals ']"
18,17,15,17_benefits_health benefits_alkalineforming_papaya,"[('benefits', 0.0793845404832225), ('health benefits', 0.06781462533619785), ('alkalineforming', 0.04920971394485726), ('papaya', 0.04920971394485726), ('lemons', 0.04920971394485726), ('taste', 0.04759476747399983), ('health', 0.04548373934393198), ('mi', 0.038751214477827346), ('tedivinadetoxtea', 0.038469247714987345), ('papaya one', 0.038469247714987345)]",neutral,"['benefits', 'health benefits', 'alkalineforming', 'papaya', 'lemons', 'taste', 'health', 'mi', 'tedivinadetoxtea', 'papaya one ']"
19,18,13,18_working_done given nature_mri done given_aampe consultant,"[('working', 0.027617316844982732), ('done given nature', 0.02621607992428767), ('mri done given', 0.02621607992428767), ('aampe consultant', 0.02621607992428767), ('get ill hospital', 0.02621607992428767), ('happen get ill', 0.02621607992428767), ('mri', 0.02621607992428767), ('staff dont', 0.02621607992428767), ('mri done', 0.02621607992428767), ('working health', 0.02621607992428767)]",neutral,"['working', 'done given nature', 'mri done given', 'aampe consultant', 'get ill hospital', 'happen get ill', 'mri', 'staff dont', 'mri done', 'working health ']"
20,19,13,19_amp_christmas_given_given covid19 measures,"[('amp', 0.06095143174658769), ('christmas', 0.043001094659111366), ('given', 0.0415345052843777), ('given covid19 measures', 0.02930287173415448), ('given covid19', 0.02930287173415448), ('given greater appreciation', 0.02930287173415448), ('jcdc', 0.02930287173415448), ('attended jcdc gospel', 0.02930287173415448), ('experience given covid19', 0.02930287173415448), ('given greater', 0.02930287173415448)]",neutral,"['amp', 'christmas', 'given', 'given covid measures', 'given covid', 'given greater appreciation', 'jcdc', 'attended jcdc gospel', 'experience given covid', 'given greater ']"
21,20,13,20_guidelines_health_protocols guidelines_health protocols guidelines,"[('guidelines', 0.04987620682431365), ('health', 0.04571306912213668), ('protocols guidelines', 0.044515480819959236), ('health protocols guidelines', 0.044515480819959236), ('health protocols', 0.040105793830274024), ('listening', 0.0356358361494691), ('discretion', 0.0356358361494691), ('follow health protocols', 0.03370638847408415), ('public', 0.031370882569472555), ('protocols', 0.031145181908284147)]",neutral,"['guidelines', 'health', 'protocols guidelines', 'health protocols guidelines', 'health protocols', 'listening', 'discretion', 'follow health protocols', 'public', 'protocols ']"
22,21,13,21_tufton_dr tufton_dr_holness,"[('tufton', 0.06925521407386005), ('dr tufton', 0.05979330023456862), ('dr', 0.05849272814250524), ('holness', 0.05301972769955556), ('bartlett', 0.03328892413916815), ('andrew', 0.030666574022169612), ('pm', 0.03041815106940285), ('minister', 0.027796681994716688), ('made cabinet', 0.026023314630726734), ('civil servants', 0.026023314630726734)]",neutral,"['tufton', 'dr tufton', 'dr', 'holness', 'bartlett', 'andrew', 'pm', 'minister', 'made cabinet', 'civil servants ']"
23,22,13,22_close relatives hospital_unvaccinated drs nurses_nurses caring_dont close,"[('close relatives hospital', 0.055851002648061025), ('unvaccinated drs nurses', 0.055851002648061025), ('nurses caring', 0.055851002648061025), ('dont close', 0.055851002648061025), ('dont close relatives', 0.055851002648061025), ('19 patients good', 0.055851002648061025), ('19 patients', 0.055851002648061025), ('caring covid 19', 0.055851002648061025), ('good thing dont', 0.055851002648061025), ('nurses caring covid', 0.055851002648061025)]",neutral,"['close relatives hospital', 'unvaccinated drs nurses', 'nurses caring', 'dont close', 'dont close relatives', ' patients good', ' patients', 'caring covid', ' good thing dont', 'nurses caring covid ']"
24,23,13,23_levels_death_vaccination_zero health system,"[('levels', 0.05415976257930277), ('death', 0.041072715805992116), ('vaccination', 0.0355649725037858), ('zero health system', 0.03261908562008144), ('detected patient', 0.03261908562008144), ('health system back', 0.03261908562008144), ('probability delta', 0.03261908562008144), ('hendrix', 0.03261908562008144), ('envision', 0.03261908562008144), ('levels probability delta', 0.03261908562008144)]",neutral,"['levels', 'death', 'vaccination', 'zero health system', 'detected patient', 'health system back', 'probability delta', 'hendrix', 'envision', 'levels probability delta ']"
25,24,12,24_icu_consent_emergency_younger wanted emergency,"[('icu', 0.06036391577235824), ('consent', 0.058382914768106454), ('emergency', 0.05708308553966647), ('younger wanted emergency', 0.04718894386371781), ('cardiologist nurse', 0.04718894386371781), ('wanted emergency room', 0.04718894386371781), ('cardiologist', 0.04718894386371781), ('doctor cardiologist', 0.04718894386371781), ('wanted emergency', 0.04718894386371781), ('younger wanted', 0.04718894386371781)]",neutral,"['icu', 'consent', 'emergency', 'younger wanted emergency', 'cardiologist nurse', 'wanted emergency room', 'cardiologist', 'doctor cardiologist', 'wanted emergency', 'younger wanted ']"
26,25,11,25_sister law_sister_law_law whos frontline,"[('sister law', 0.08921302904613508), ('sister', 0.08151741257463443), ('law', 0.07741530792941242), ('law whos frontline', 0.055549615741433966), ('whos frontline', 0.055549615741433966), ('whos frontline worker', 0.055549615741433966), ('worker uk line', 0.055549615741433966), ('frontline worker uk', 0.055549615741433966), ('worker uk', 0.055549615741433966), ('sister law whos', 0.055549615741433966)]",neutral,"['sister law', 'sister', 'law', 'law whos frontline', 'whos frontline', 'whos frontline worker', 'worker uk line', 'frontline worker uk', 'worker uk', 'sister law whos ']"
