Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2109,-1_health_people_care_dont,"[('health', 0.006822438382479024), ('people', 0.004724230658414514), ('care', 0.00459385957773983), ('dont', 0.004341248937688307), ('covid', 0.004011430902869083), ('amp', 0.0037718874585952757), ('get', 0.0037651971086451234), ('worker', 0.003506003742577225), ('workers', 0.0034002947092069595), ('would', 0.003351893230347271)]",negative,"['health', 'people', 'care', 'dont', 'covid', 'amp', 'get', 'worker', 'workers', 'would ']"
1,0,3386,0_health_mental_jamaica_covid19,"[('health', 0.008221270458838909), ('mental', 0.006136397901262714), ('jamaica', 0.006050433830284935), ('covid19', 0.005943027885428486), ('mental health', 0.005883064047256804), ('nurse', 0.005293582528280791), ('nurses', 0.005120135048543207), ('people', 0.00452156134213122), ('covid', 0.004292442729290246), ('dont', 0.004084808580870324)]",negative,"['health', 'mental', 'jamaica', 'covid', 'mental health', 'nurse', 'nurses', 'people', 'covid', 'dont ']"
2,1,241,1_mask_wear_wearing_masks,"[('mask', 0.047956093576558376), ('wear', 0.02052423563013991), ('wearing', 0.01991952685294312), ('masks', 0.01983513697956866), ('wear mask', 0.014259392692558315), ('wearing mask', 0.010180948197198164), ('mask wearing', 0.00784499746516334), ('told', 0.007423572081638562), ('people', 0.007378470066025295), ('persons', 0.0061941015993740405)]",negative,"['mask', 'wear', 'wearing', 'masks', 'wear mask', 'wearing mask', 'mask wearing', 'told', 'people', 'persons ']"
3,2,101,2_samples_national_covid19update_samples pending,"[('samples', 0.09729250449056308), ('national', 0.08700104317600053), ('covid19update', 0.05882816900612303), ('samples pending', 0.05834046407705789), ('health laboratory date', 0.05834046407705789), ('laboratory date tested', 0.05834046407705789), ('influenza centre national', 0.05834046407705789), ('tested total', 0.05834046407705789), ('influenza', 0.05834046407705789), ('date tested total', 0.05834046407705789)]",negative,"['samples', 'national', 'covidupdate', 'samples pending', 'health laboratory date', 'laboratory date tested', 'influenza centre national', 'tested total', 'influenza', 'date tested total ']"
4,3,82,3_quarantine_14_14 days_days,"[('quarantine', 0.05632960389897212), ('14', 0.02302569752513639), ('14 days', 0.02149635678293485), ('days', 0.016018034464227983), ('airport', 0.010889560528851799), ('measures', 0.01008976928493496), ('covid19', 0.009241005528988811), ('lack adherence covid19', 0.009143071647314718), ('control measures', 0.009143071647314718), ('bay clarendon placed', 0.009143071647314718)]",negative,"['quarantine', '', ' days', 'days', 'airport', 'measures', 'covid', 'lack adherence covid', 'control measures', 'bay clarendon placed ']"
5,4,67,4_worker_essential_essential worker_hard worker,"[('worker', 0.07665533093951717), ('essential', 0.056157765687157996), ('essential worker', 0.05603308397648267), ('hard worker', 0.017318424178108686), ('im essential', 0.015504641247635186), ('im essential worker', 0.015504641247635186), ('im', 0.015331066187903435), ('mi', 0.014226059212004058), ('work', 0.013794718399823096), ('hard', 0.013773549581701879)]",negative,"['worker', 'essential', 'essential worker', 'hard worker', 'im essential', 'im essential worker', 'im', 'mi', 'work', 'hard ']"
6,5,55,5_covid19_covid_videos crazyyyyyyy_campaign videos crazyyyyyyy,"[('covid19', 0.026565390623784123), ('covid', 0.0241423294448843), ('videos crazyyyyyyy', 0.018553310972635385), ('campaign videos crazyyyyyyy', 0.018553310972635385), ('winning seats', 0.018553310972635385), ('videos crazyyyyyyy covid', 0.018553310972635385), ('crazyyyyyyy', 0.018553310972635385), ('important health okay', 0.018553310972635385), ('crazyyyyyyy covid stop', 0.018553310972635385), ('crazyyyyyyy covid', 0.018553310972635385)]",negative,"['covid', 'covid', 'videos crazyyyyyyy', 'campaign videos crazyyyyyyy', 'winning seats', 'videos crazyyyyyyy covid', 'crazyyyyyyy', 'important health okay', 'crazyyyyyyy covid stop', 'crazyyyyyyy covid ']"
7,6,52,6_pnp_jlp_etc etc_etc,"[('pnp', 0.05104307621449271), ('jlp', 0.022771449817263426), ('etc etc', 0.020723520924487288), ('etc', 0.0182697725835745), ('etc etc etc', 0.01586078449348838), ('campaign', 0.015557118535809319), ('list', 0.014558417645069429), ('corruption', 0.012431208208135014), ('administration', 0.011498676414216527), ('citizens voters list', 0.010641377615589757)]",negative,"['pnp', 'jlp', 'etc etc', 'etc', 'etc etc etc', 'campaign', 'list', 'corruption', 'administration', 'citizens voters list ']"
8,7,48,7_tourism_hotel_workers_hotel workers,"[('tourism', 0.03972369479095473), ('hotel', 0.028071603102581673), ('workers', 0.018367073265341222), ('hotel workers', 0.017998875101619474), ('tourist', 0.016834400586307908), ('travel', 0.01189729950850315), ('tourism worker', 0.010161803969134006), ('bartlett', 0.009571271200733148), ('hotels', 0.009359529399003027), ('westmoreland', 0.008999437550809737)]",negative,"['tourism', 'hotel', 'workers', 'hotel workers', 'tourist', 'travel', 'tourism worker', 'bartlett', 'hotels', 'westmoreland ']"
9,8,42,8_wealth_health wealth_health_none spent,"[('wealth', 0.05554165894317429), ('health wealth', 0.04046738449618063), ('health', 0.03605400905508099), ('none spent', 0.023600789718313732), ('comes', 0.018550252627788515), ('money', 0.018261090239744638), ('wealth without', 0.017700592288735297), ('wealth without health', 0.017700592288735297), ('retire', 0.0171432593387151), ('wealth health', 0.0171432593387151)]",negative,"['wealth', 'health wealth', 'health', 'none spent', 'comes', 'money', 'wealth without', 'wealth without health', 'retire', 'wealth health ']"
10,9,38,9_hear_jamaica_trang_coronavirus,"[('hear', 0.015969957938737584), ('jamaica', 0.015910268147049874), ('trang', 0.015632769334312496), ('coronavirus', 0.013039886813951953), ('address', 0.012939679694563805), ('possible', 0.011516824904311601), ('right', 0.01132247325296267), ('safe cyah hear', 0.011054234060100107), ('covid19 beatcovid19', 0.011054234060100107), ('joke watchread', 0.011054234060100107)]",negative,"['hear', 'jamaica', 'trang', 'coronavirus', 'address', 'possible', 'right', 'safe cyah hear', 'covid beatcovid', 'joke watchread ']"
11,10,35,10_amp_health amp_workout_gym,"[('amp', 0.060091076726863944), ('health amp', 0.020053177384919033), ('workout', 0.01910509278182936), ('gym', 0.018643342166255603), ('amp safety', 0.01579842430467663), ('health amp safety', 0.011791212927155343), ('safety', 0.011636489527866502), ('ur workout', 0.011456694038016375), ('ur workout mantra', 0.011456694038016375), ('situation try part', 0.011456694038016375)]",negative,"['amp', 'health amp', 'workout', 'gym', 'amp safety', 'health amp safety', 'safety', 'ur workout', 'ur workout mantra', 'situation try part ']"
12,11,35,11_esp_vaccination_vaccine_make frivolous,"[('esp', 0.029556933890795882), ('vaccination', 0.020658166875859488), ('vaccine', 0.01769089612700684), ('make frivolous', 0.015829417671943766), ('falling persons still', 0.015829417671943766), ('comments serious illness', 0.015829417671943766), ('comments serious', 0.015829417671943766), ('dying esp unvaccinated', 0.015829417671943766), ('dying esp', 0.015829417671943766), ('seriously ill dying', 0.015829417671943766)]",negative,"['esp', 'vaccination', 'vaccine', 'make frivolous', 'falling persons still', 'comments serious illness', 'comments serious', 'dying esp unvaccinated', 'dying esp', 'seriously ill dying ']"
13,12,34,12_strike_workers_strike strike_sector,"[('strike', 0.11516468526614818), ('workers', 0.03309457455342233), ('strike strike', 0.0316626069628374), ('sector', 0.01989078185193095), ('health sector need', 0.017547055552649612), ('strike strike strike', 0.017547055552649612), ('doctors nurses public', 0.017547055552649612), ('need strike way', 0.017547055552649612), ('sector need strike', 0.017547055552649612), ('strike way', 0.017547055552649612)]",negative,"['strike', 'workers', 'strike strike', 'sector', 'health sector need', 'strike strike strike', 'doctors nurses public', 'need strike way', 'sector need strike', 'strike way ']"
14,13,33,13_resign_resignation_lack_oxygen days,"[('resign', 0.046303830789806516), ('resignation', 0.03148848494230426), ('lack', 0.01563041336916441), ('oxygen days', 0.01484326397378222), ('ppe frontline hc', 0.01484326397378222), ('resignation dr christopher', 0.01484326397378222), ('lockdown vaccination site', 0.01484326397378222), ('lockdown vaccination', 0.01484326397378222), ('like portmore lack', 0.01484326397378222), ('like portmore', 0.01484326397378222)]",negative,"['resign', 'resignation', 'lack', 'oxygen days', 'ppe frontline hc', 'resignation dr christopher', 'lockdown vaccination site', 'lockdown vaccination', 'like portmore lack', 'like portmore ']"
15,14,32,14_dr_tufton_peter_phillips,"[('dr', 0.04414840549508688), ('tufton', 0.03688541318738415), ('peter', 0.02938959164669545), ('phillips', 0.028859463543398745), ('health minister dr', 0.028152534503499735), ('minister dr christopher', 0.027151497329251494), ('second case', 0.026979175390831864), ('confirmed second case', 0.026979175390831864), ('confirmed second', 0.026979175390831864), ('dr peter', 0.02642761033290019)]",negative,"['dr', 'tufton', 'peter', 'phillips', 'health minister dr', 'minister dr christopher', 'second case', 'confirmed second case', 'confirmed second', 'dr peter ']"
16,15,32,15_number_pharmacy_appointments_junction,"[('number', 0.0237821600545181), ('pharmacy', 0.02170965017713676), ('appointments', 0.019362384926402215), ('junction', 0.015056325179147517), ('days', 0.014192835782587263), ('st', 0.012780584237144423), ('junction health ctr', 0.011750731375397722), ('ctr', 0.011750731375397722), ('health ctr', 0.011750731375397722), ('junction health', 0.011750731375397722)]",negative,"['number', 'pharmacy', 'appointments', 'junction', 'days', 'st', 'junction health ctr', 'ctr', 'health ctr', 'junction health ']"
17,16,30,16_hardworking_debtors jail reckless_put debtors jail_jail reckless,"[('hardworking', 0.07688510381027223), ('debtors jail reckless', 0.07625976581346754), ('put debtors jail', 0.07625976581346754), ('jail reckless', 0.07625976581346754), ('amp others', 0.07625976581346754), ('timez amp', 0.07625976581346754), ('tina', 0.07625976581346754), ('timez amp others', 0.07625976581346754), ('timez', 0.07625976581346754), ('others deserve put', 0.07625976581346754)]",negative,"['hardworking', 'debtors jail reckless', 'put debtors jail', 'jail reckless', 'amp others', 'timez amp', 'tina', 'timez amp others', 'timez', 'others deserve put ']"
18,17,29,17_smoking_air_pollution_air pollution,"[('smoking', 0.04517964543049953), ('air', 0.04432867954841283), ('pollution', 0.03405710462118079), ('air pollution', 0.03405710462118079), ('drugs', 0.023491680397868815), ('health', 0.02252437050504852), ('levels', 0.01959453309310538), ('pack cigarettes', 0.018795174929526457), ('tobacco', 0.018795174929526457), ('cigarettes', 0.018795174929526457)]",negative,"['smoking', 'air', 'pollution', 'air pollution', 'drugs', 'health', 'levels', 'pack cigarettes', 'tobacco', 'cigarettes ']"
19,18,29,18_nature_covid_becoming educated_interested becoming,"[('nature', 0.02470928254020274), ('covid', 0.01749608816241027), ('becoming educated', 0.017353521851701272), ('interested becoming', 0.017353521851701272), ('citizen offer', 0.017353521851701272), ('us citizens hope', 0.017353521851701272), ('us citizens', 0.017353521851701272), ('health agencies us', 0.017353521851701272), ('historic reckoning someday', 0.017353521851701272), ('historic reckoning', 0.017353521851701272)]",negative,"['nature', 'covid', 'becoming educated', 'interested becoming', 'citizen offer', 'us citizens hope', 'us citizens', 'health agencies us', 'historic reckoning someday', 'historic reckoning ']"
20,19,28,19_mi_fi_workersi prefer aside_best possible,"[('mi', 0.027591807333321703), ('fi', 0.024425786288790323), ('workersi prefer aside', 0.0186567507654654), ('best possible', 0.0186567507654654), ('oxygenoverburdened', 0.0186567507654654), ('faceno oxygenoverburdened', 0.0186567507654654), ('covid19 slap mi', 0.0186567507654654), ('suffer covid19', 0.0186567507654654), ('best possible dont', 0.0186567507654654), ('suffer covid19 slap', 0.0186567507654654)]",negative,"['mi', 'fi', 'workersi prefer aside', 'best possible', 'oxygenoverburdened', 'faceno oxygenoverburdened', 'covid slap mi', 'suffer covid', 'best possible dont', 'suffer covid slap ']"
21,20,25,20_ship_frontline_workers_ports,"[('ship', 0.032623745109881266), ('frontline', 0.03206981372422103), ('workers', 0.024884529852887787), ('ports', 0.023166638279156163), ('ship workers', 0.02278564678111586), ('cruise ship', 0.020128556007592526), ('cruise', 0.017835365121940186), ('know', 0.015814881105424075), ('frontline workers', 0.015745967376761275), ('protective gears frontline', 0.015445929921120276)]",negative,"['ship', 'frontline', 'workers', 'ports', 'ship workers', 'cruise ship', 'cruise', 'know', 'frontline workers', 'protective gears frontline ']"
22,21,24,21_public sector_sector_public sector workers_sector workers,"[('public sector', 0.04056631373532803), ('sector', 0.040426909070613436), ('public sector workers', 0.031485192904454784), ('sector workers', 0.031091070246323207), ('workers', 0.022256101387176517), ('allowances', 0.021293103182508155), ('public', 0.018896908923076883), ('concession', 0.018286143294629437), ('benefit', 0.017470313995705984), ('patty', 0.014735417144748743)]",negative,"['public sector', 'sector', 'public sector workers', 'sector workers', 'workers', 'allowances', 'public', 'concession', 'benefit', 'patty ']"
23,22,24,22_treating_vaccinated_wheather nurses_wheather,"[('treating', 0.07161109486293499), ('vaccinated', 0.0630426687800159), ('wheather nurses', 0.05716269310740443), ('wheather', 0.05716269310740443), ('drs treating covid', 0.05716269310740443), ('drs treating', 0.05716269310740443), ('nurses drs treating', 0.05716269310740443), ('one wheather', 0.05716269310740443), ('one wheather nurses', 0.05716269310740443), ('sympathy one wheather', 0.05716269310740443)]",negative,"['treating', 'vaccinated', 'wheather nurses', 'wheather', 'drs treating covid', 'drs treating', 'nurses drs treating', 'one wheather', 'one wheather nurses', 'sympathy one wheather ']"
24,23,24,23_taxi_nurses_taken taxi_dem taxi,"[('taxi', 0.05630867816991844), ('nurses', 0.02817273355325846), ('taken taxi', 0.02760326282843711), ('dem taxi', 0.02760326282843711), ('bloggers', 0.02760326282843711), ('copy cats', 0.02760326282843711), ('cats', 0.02760326282843711), ('taxi copy cats', 0.02760326282843711), ('taxi copy', 0.02760326282843711), ('sure nurses', 0.02602414232261768)]",negative,"['taxi', 'nurses', 'taken taxi', 'dem taxi', 'bloggers', 'copy cats', 'cats', 'taxi copy cats', 'taxi copy', 'sure nurses ']"
25,24,24,24_cunningham_nurse cunningham_cunningham died_cunningham died lack,"[('cunningham', 0.1732707440299367), ('nurse cunningham', 0.1732707440299367), ('cunningham died', 0.11171056434440835), ('cunningham died lack', 0.11171056434440835), ('nurse cunningham died', 0.11171056434440835), ('died lack', 0.0986458301217082), ('lack', 0.09224674091015589), ('died', 0.08517243541629134), ('oxygen', 0.08474579893269128), ('medical oxygen', 0.07117499804120735)]",negative,"['cunningham', 'nurse cunningham', 'cunningham died', 'cunningham died lack', 'nurse cunningham died', 'died lack', 'lack', 'died', 'oxygen', 'medical oxygen ']"
26,25,23,25_card_health card_cards_health cards,"[('card', 0.0693728761194995), ('health card', 0.06295948338112548), ('cards', 0.04747771142890117), ('health cards', 0.03039705148338541), ('wallet', 0.02013035129064036), ('health', 0.0184954211724515), ('see', 0.014397630134667558), ('card see', 0.014158402951961704), ('health card doesnt', 0.014158402951961704), ('cards health', 0.014158402951961704)]",negative,"['card', 'health card', 'cards', 'health cards', 'wallet', 'health', 'see', 'card see', 'health card doesnt', 'cards health ']"
27,26,23,26_tired_night_nurses_hospital tired,"[('tired', 0.06921829064219795), ('night', 0.034438368475503314), ('nurses', 0.03235220501445615), ('hospital tired', 0.03148593406997595), ('westmoreland shambles nurses', 0.03148593406997595), ('westmoreland shambles', 0.03148593406997595), ('nurses savannalamar hospital', 0.03148593406997595), ('nurses savannalamar', 0.03148593406997595), ('shambles nurses savannalamar', 0.03148593406997595), ('shambles nurses', 0.03148593406997595)]",negative,"['tired', 'night', 'nurses', 'hospital tired', 'westmoreland shambles nurses', 'westmoreland shambles', 'nurses savannalamar hospital', 'nurses savannalamar', 'shambles nurses savannalamar', 'shambles nurses ']"
28,27,22,27_ricks_tpdco_protocols ricks caf_breach covid19,"[('ricks', 0.07208802842658456), ('tpdco', 0.071126188790184), ('protocols ricks caf', 0.05130868236748952), ('breach covid19', 0.05130868236748952), ('caf', 0.05130868236748952), ('ricks caf', 0.05130868236748952), ('protocols ricks', 0.05130868236748952), ('protocols', 0.0436766398718103), ('breach', 0.042185252867715455), ('ministry', 0.041379287146225525)]",negative,"['ricks', 'tpdco', 'protocols ricks caf', 'breach covid', 'caf', 'ricks caf', 'protocols ricks', 'protocols', 'breach', 'ministry ']"
29,28,22,28_propoganda_labourites twitter_spreading_labourites,"[('propoganda', 0.02979996654353319), ('labourites twitter', 0.025510802587373656), ('spreading', 0.024221335473923945), ('labourites', 0.022582245812600796), ('spreading propoganda', 0.02107213367706583), ('twitter', 0.0209407239519704), ('holness', 0.017987897819794138), ('yet still', 0.017569862111860925), ('released news', 0.01644577806333565), ('twitter said', 0.01644577806333565)]",negative,"['propoganda', 'labourites twitter', 'spreading', 'labourites', 'spreading propoganda', 'twitter', 'holness', 'yet still', 'released news', 'twitter said ']"
30,29,22,29_wage_minimum wage_pay_minimum,"[('wage', 0.047411639259719474), ('minimum wage', 0.04269734328486721), ('pay', 0.04061626438344252), ('minimum', 0.0389345719940512), ('raise minimum', 0.03792723014631497), ('raise minimum wage', 0.03792723014631497), ('raise', 0.036837366332000715), ('underpaid', 0.028741040125128292), ('nurses', 0.027372371804586345), ('25 increase', 0.02681907922535651)]",negative,"['wage', 'minimum wage', 'pay', 'minimum', 'raise minimum', 'raise minimum wage', 'raise', 'underpaid', 'nurses', ' increase ']"
31,30,22,30_tufton_dr_dr tufton_minister,"[('tufton', 0.06747371470279559), ('dr', 0.03993936954262296), ('dr tufton', 0.03918731967620192), ('minister', 0.024757936164021686), ('must resign', 0.022914966534623354), ('tufton still', 0.02230640770510087), ('tufton much', 0.01846543501848213), ('dr tufton much', 0.01846543501848213), ('resign', 0.018451902495186055), ('interview', 0.017550756832182372)]",negative,"['tufton', 'dr', 'dr tufton', 'minister', 'must resign', 'tufton still', 'tufton much', 'dr tufton much', 'resign', 'interview ']"
