Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,114,-1_health_worker_like_one,"[('health', 0.014564382207644846), ('worker', 0.012269741490402946), ('like', 0.008721196919990149), ('one', 0.00866099399322561), ('see', 0.00858147716804081), ('good', 0.007074277916383161), ('lot', 0.006466879015350317), ('care', 0.006378755430886701), ('people', 0.006192729685289436), ('safe', 0.00614573302016865)]",neutral,"['health', 'worker', 'like', 'one', 'see', 'good', 'lot', 'care', 'people', 'safe ']"
1,0,64,0_insurance_japan_health_japanese,"[('insurance', 0.02672410554518589), ('japan', 0.026374875924343687), ('health', 0.02368604836826541), ('japanese', 0.018363227023682042), ('health insurance', 0.0159371559184513), ('healthcare', 0.014968472446446541), ('welfare', 0.013795120445436232), ('current', 0.013308088210715073), ('would', 0.012709601977055616), ('medical', 0.01247372703870545)]",neutral,"['insurance', 'japan', 'health', 'japanese', 'health insurance', 'healthcare', 'welfare', 'current', 'would', 'medical ']"
2,1,60,1_health_check_good_weight,"[('health', 0.041036245112317196), ('check', 0.016636855869965547), ('good', 0.015945849178111926), ('weight', 0.01444483682759045), ('im', 0.013037013066466577), ('time', 0.01185356614298152), ('heart', 0.0114461117701596), ('please', 0.01078419996095364), ('health check', 0.010574758237737783), ('rest', 0.010317740591136037)]",neutral,"['health', 'check', 'good', 'weight', 'im', 'time', 'heart', 'please', 'health check', 'rest ']"
3,2,33,2_mental_mental health_health_people,"[('mental', 0.07432905846863913), ('mental health', 0.06259353795052976), ('health', 0.04705974716649768), ('people', 0.01867567992231078), ('work', 0.018656664444387315), ('woman', 0.01662324733813018), ('day', 0.016548169703696908), ('medicine', 0.01484016298482239), ('cant', 0.0141325151612814), ('physical health', 0.014000336427402336)]",neutral,"['mental', 'mental health', 'health', 'people', 'work', 'woman', 'day', 'medicine', 'cant', 'physical health ']"
4,3,30,3_mask_wearing_masks_ppl,"[('mask', 0.06628013633587584), ('wearing', 0.024618024204029403), ('masks', 0.019744638846779718), ('ppl', 0.016053957381875927), ('medical', 0.015333227641441178), ('people', 0.015203486723758415), ('outdoor', 0.014505590793201805), ('near', 0.014505590793201805), ('mask inside', 0.014505590793201805), ('wear', 0.014505590793201805)]",neutral,"['mask', 'wearing', 'masks', 'ppl', 'medical', 'people', 'outdoor', 'near', 'mask inside', 'wear ']"
5,4,27,4_event_held_measures_event held,"[('event', 0.03651887329747216), ('held', 0.03382536063748087), ('measures', 0.031204988759811276), ('event held', 0.031066392272956593), ('hope event', 0.031066392272956593), ('hope event held', 0.031066392272956593), ('infection', 0.029364727219873734), ('go', 0.028368171599828435), ('preventive measures', 0.02823457901447385), ('event held safely', 0.02823457901447385)]",neutral,"['event', 'held', 'measures', 'event held', 'hope event', 'hope event held', 'infection', 'go', 'preventive measures', 'event held safely ']"
6,5,24,5_mental health_mental_health_gun,"[('mental health', 0.048806510400568666), ('mental', 0.0486839912003099), ('health', 0.032290927481742046), ('gun', 0.02647638639274265), ('guns', 0.022142470679400655), ('like', 0.017578097111556907), ('us', 0.017296483545127896), ('safety', 0.0162929796769005), ('really', 0.01566875531033362), ('better', 0.014983135642059862)]",neutral,"['mental health', 'mental', 'health', 'gun', 'guns', 'like', 'us', 'safety', 'really', 'better ']"
7,6,20,6_vaccines_vaccine_vaccinated_dont,"[('vaccines', 0.02880612919695308), ('vaccine', 0.02580471391796725), ('vaccinated', 0.022142773119667943), ('dont', 0.02154854078472912), ('also', 0.01934462909075832), ('need', 0.018053375204980092), ('people', 0.01705006405862786), ('empathy', 0.016267403440149392), ('chains', 0.016267403440149392), ('aids', 0.016267403440149392)]",neutral,"['vaccines', 'vaccine', 'vaccinated', 'dont', 'also', 'need', 'people', 'empathy', 'chains', 'aids ']"
8,7,19,7_covid_covid19_made_medicine,"[('covid', 0.06409622343057657), ('covid19', 0.03684238351089742), ('made', 0.025830275395894487), ('medicine', 0.01901395882430369), ('today', 0.01838572547458052), ('people', 0.01823102087654148), ('healthy', 0.017848218646059188), ('think itcovit19 covid19', 0.016967204935316314), ('covid fortunately', 0.016967204935316314), ('covid19 medicine', 0.016967204935316314)]",neutral,"['covid', 'covid', 'made', 'medicine', 'today', 'people', 'healthy', 'think itcovit covid', 'covid fortunately', 'covid medicine ']"
9,8,16,8_nurse_nurse need_complicated_get,"[('nurse', 0.08894877605610903), ('nurse need', 0.042073807850438745), ('complicated', 0.042073807850438745), ('get', 0.04176662951366648), ('go', 0.03742816357673699), ('could', 0.033370493914858176), ('need', 0.03335215912961916), ('kind', 0.0328930521644651), ('wait', 0.03155535588782906), ('call', 0.03039022187306987)]",neutral,"['nurse', 'nurse need', 'complicated', 'get', 'go', 'could', 'need', 'kind', 'wait', 'call ']"
