Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,556,-1_health_japan_people_im,"[('health', 0.011348798195327983), ('japan', 0.007684650714812718), ('people', 0.005527847784095812), ('im', 0.005217658480339811), ('like', 0.005098413866834922), ('covid19', 0.005033720183581567), ('also', 0.004444282993704089), ('japanese', 0.004419762056663401), ('covid', 0.004393904059882086), ('care', 0.004041066048156519)]",negative,"['health', 'japan', 'people', 'im', 'like', 'covid', 'also', 'japanese', 'covid', 'care ']"
1,0,117,0_mental health_mental_health_im,"[('mental health', 0.04500227941259107), ('mental', 0.04458981340718822), ('health', 0.0279571732245018), ('im', 0.0115423441227825), ('dont', 0.010822265574968076), ('even', 0.007735864014189008), ('bad', 0.0076348625406604045), ('might', 0.00723498591155536), ('issues', 0.007130343232828022), ('issue', 0.007087732663443707)]",negative,"['mental health', 'mental', 'health', 'im', 'dont', 'even', 'bad', 'might', 'issues', 'issue ']"
2,1,94,1_mask_wear_masks_dont,"[('mask', 0.032405362296082645), ('wear', 0.022300257341560898), ('masks', 0.02030874193237435), ('dont', 0.01330673260863389), ('wearing', 0.011847011712704227), ('every', 0.011529040835242197), ('wear mask', 0.01119252522047432), ('everyone', 0.01112493237819173), ('people', 0.010984902967141897), ('covid19', 0.00971949068575107)]",negative,"['mask', 'wear', 'masks', 'dont', 'wearing', 'every', 'wear mask', 'everyone', 'people', 'covid ']"
3,2,38,2_worry much commuting_findisolate_much commuting although_worry much,"[('worry much commuting', 0.04404556041934473), ('findisolate', 0.04404556041934473), ('much commuting although', 0.04404556041934473), ('worry much', 0.04404556041934473), ('commuting although', 0.04404556041934473), ('prevent 19covid', 0.04404556041934473), ('prevent 19covid spreading', 0.04404556041934473), ('sickthen', 0.04404556041934473), ('much commuting', 0.04404556041934473), ('spreading requires', 0.04404556041934473)]",negative,"['worry much commuting', 'findisolate', 'much commuting although', 'worry much', 'commuting although', 'prevent covid', 'prevent covid spreading', 'sickthen', 'much commuting', 'spreading requires ']"
4,3,35,3_mental health_mental_gun_guns,"[('mental health', 0.04510553871036715), ('mental', 0.043005630955748574), ('gun', 0.03159455088685949), ('guns', 0.0281074492054449), ('health', 0.025293582629209405), ('violence', 0.01685612646370536), ('country', 0.01632520064443748), ('school', 0.01380204881371713), ('mass', 0.012636711745985504), ('shootings', 0.012186836948485252)]",negative,"['mental health', 'mental', 'gun', 'guns', 'health', 'violence', 'country', 'school', 'mass', 'shootings ']"
5,4,34,4_vaccine_covid19_covid19 vaccine_research,"[('vaccine', 0.05986947063308898), ('covid19', 0.040079248108658906), ('covid19 vaccine', 0.030794713145025868), ('research', 0.022565115325604426), ('duplication', 0.021268572423610806), ('virus', 0.020718857949776914), ('coz', 0.01925899163756904), ('health overcoming', 0.01872350278148711), ('overcoming covid19', 0.01872350278148711), ('overcoming', 0.01872350278148711)]",negative,"['vaccine', 'covid', 'covid vaccine', 'research', 'duplication', 'virus', 'coz', 'health overcoming', 'overcoming covid', 'overcoming ']"
6,5,33,5_nurse_nurses_one nurses_dress,"[('nurse', 0.09787552624841359), ('nurses', 0.04103778665186499), ('one nurses', 0.025745546779595507), ('dress', 0.024075835361953495), ('one', 0.018251975473708937), ('jp', 0.018056876521465124), ('time', 0.018024704142192004), ('girl', 0.017581141910538965), ('want', 0.014884163141885209), ('would', 0.014419763313753602)]",negative,"['nurse', 'nurses', 'one nurses', 'dress', 'one', 'jp', 'time', 'girl', 'want', 'would ']"
7,6,30,6_coronavirus_news_news coronavirustips_covidvaccine,"[('coronavirus', 0.0811408871783079), ('news', 0.047491855803263185), ('news coronavirustips', 0.03753411578043359), ('covidvaccine', 0.03753411578043359), ('coronavirustips', 0.03753411578043359), ('coronavirussymptoms', 0.03753411578043359), ('omicron', 0.034803050878043536), ('cdc', 0.034803050878043536), ('health news', 0.030965079978380734), ('says', 0.028660504092950446)]",negative,"['coronavirus', 'news', 'news coronavirustips', 'covidvaccine', 'coronavirustips', 'coronavirussymptoms', 'omicron', 'cdc', 'health news', 'says ']"
8,7,27,7_japan_allowed go_allowed_entering,"[('japan', 0.03301201795773479), ('allowed go', 0.02597938136495873), ('allowed', 0.023290311507760755), ('entering', 0.02164948447079894), ('restrictions', 0.02107909739088376), ('due', 0.020646834331120124), ('people', 0.01899351262564324), ('japanese', 0.01697079150075013), ('go', 0.01637656783019314), ('go phil consulate', 0.014530181876738274)]",negative,"['japan', 'allowed go', 'allowed', 'entering', 'restrictions', 'due', 'people', 'japanese', 'go', 'go phil consulate ']"
9,8,25,8_shot_covid_deaths_doctor,"[('shot', 0.023472712822768495), ('covid', 0.020232395438526816), ('deaths', 0.01934794284517309), ('doctor', 0.01781517972206952), ('children', 0.01767568655821944), ('vaccine', 0.01715758353384768), ('vaccines', 0.016583951010148364), ('vaccination', 0.016494973527702975), ('getting', 0.01629532722769423), ('gov', 0.01593857486600067)]",negative,"['shot', 'covid', 'deaths', 'doctor', 'children', 'vaccine', 'vaccines', 'vaccination', 'getting', 'gov ']"
10,9,24,9_universal_universal healthcare_healthcare_insurance,"[('universal', 0.04910646133206433), ('universal healthcare', 0.04041992042336899), ('healthcare', 0.0398749863796976), ('insurance', 0.02906549189787195), ('health insurance', 0.028522905468637283), ('need universal', 0.02489763955032739), ('american', 0.020209960211684495), ('drugs', 0.018673229662745545), ('health', 0.01850823830712209), ('g7', 0.018006598904423566)]",negative,"['universal', 'universal healthcare', 'healthcare', 'insurance', 'health insurance', 'need universal', 'american', 'drugs', 'health', 'g ']"
11,10,24,10_worker_hard worker_2100_hard worker returned,"[('worker', 0.08957935230512935), ('hard worker', 0.03313611038059213), ('2100', 0.026958891167997875), ('hard worker returned', 0.026958891167997875), ('worker returned home', 0.026958891167997875), ('pooh adult', 0.026958891167997875), ('worker returned', 0.026958891167997875), ('adult shocking', 0.026958891167997875), ('adult shocking robin', 0.026958891167997875), ('ive seen pooh', 0.026958891167997875)]",negative,"['worker', 'hard worker', '', 'hard worker returned', 'worker returned home', 'pooh adult', 'worker returned', 'adult shocking', 'adult shocking robin', 'ive seen pooh ']"
12,11,23,11_bodyhealth_healthtips_news_cancer,"[('bodyhealth', 0.08750297598942659), ('healthtips', 0.0775749368880854), ('news', 0.06321551076515437), ('cancer', 0.05468935999339162), ('news bodyhealth', 0.04996095141044202), ('news health', 0.03940791294887321), ('healthtips bodyhealth', 0.03940791294887321), ('health', 0.03694913894888563), ('bodyhealth health', 0.0280939581412478), ('melanoma', 0.0280939581412478)]",negative,"['bodyhealth', 'healthtips', 'news', 'cancer', 'news bodyhealth', 'news health', 'healthtips bodyhealth', 'health', 'bodyhealth health', 'melanoma ']"
