Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,411,-1_health_good_care_stayhome,"[('health', 0.015604808257052344), ('good', 0.008362419652312863), ('care', 0.00674913100608429), ('stayhome', 0.00613172057845295), ('good health', 0.0056132413931022284), ('amp', 0.0055149483414176585), ('take', 0.005322398637958799), ('year', 0.005280858682204106), ('new', 0.005148564125940244), ('today', 0.004641912667659593)]",positive,"['health', 'good', 'care', 'stayhome', 'good health', 'amp', 'take', 'year', 'new', 'today ']"
1,0,88,0_mental_mental health_health_gun,"[('mental', 0.06546392326962117), ('mental health', 0.06412371526687857), ('health', 0.029739447427523623), ('gun', 0.010462316143178534), ('month', 0.009869180672183033), ('amp', 0.009108943330475064), ('social', 0.009066975761330294), ('issues', 0.007995879934017007), ('awareness', 0.007914068545412102), ('foundation', 0.007675061923846482)]",positive,"['mental', 'mental health', 'health', 'gun', 'month', 'amp', 'social', 'issues', 'awareness', 'foundation ']"
2,1,72,1_bayes_innovation science_welcome blog_science philosophy datascience,"[('bayes', 0.11301702462923556), ('innovation science', 0.11301702462923556), ('welcome blog', 0.11301702462923556), ('science philosophy datascience', 0.11301702462923556), ('science philosophy', 0.11301702462923556), ('philosophy datascience bayes', 0.11301702462923556), ('philosophy datascience', 0.11301702462923556), ('ottalk occupationaltherapy healthcare', 0.11301702462923556), ('ottalk occupationaltherapy', 0.11301702462923556), ('ottalk', 0.11301702462923556)]",positive,"['bayes', 'innovation science', 'welcome blog', 'science philosophy datascience', 'science philosophy', 'philosophy datascience bayes', 'philosophy datascience', 'ottalk occupationaltherapy healthcare', 'ottalk occupationaltherapy', 'ottalk ']"
3,2,68,2_health_global_insurance_global health,"[('health', 0.02523471558512895), ('global', 0.016805320131325116), ('insurance', 0.016157069985490744), ('global health', 0.01304049030556841), ('system', 0.01195939646744198), ('public', 0.010763101135647392), ('universal', 0.010714104792041108), ('people', 0.009355920225304343), ('world', 0.009079292742506184), ('rich', 0.008928420660034256)]",positive,"['health', 'global', 'insurance', 'global health', 'system', 'public', 'universal', 'people', 'world', 'rich ']"
4,3,55,3_mask_wearing_wearing mask_wear,"[('mask', 0.07317255493106695), ('wearing', 0.024930097524762666), ('wearing mask', 0.020278702473623865), ('wear', 0.018995692149633352), ('wear mask', 0.01891644069192794), ('still', 0.018366266693391118), ('masks', 0.016870486713902944), ('face', 0.013621996364073269), ('handmade', 0.012213794877597405), ('corona', 0.011927980604492839)]",positive,"['mask', 'wearing', 'wearing mask', 'wear', 'wear mask', 'still', 'masks', 'face', 'handmade', 'corona ']"
5,4,53,4_tokyo_japan_stayhome_morning,"[('tokyo', 0.036396654591884764), ('japan', 0.025115127550596972), ('stayhome', 0.01811158272053588), ('morning', 0.01671523049534046), ('quarantine', 0.013134387477638818), ('ginza', 0.012424942686249621), ('traffic', 0.011666707515808998), ('features', 0.011666707515808998), ('traffic light', 0.011666707515808998), ('light', 0.01046048826549693)]",positive,"['tokyo', 'japan', 'stayhome', 'morning', 'quarantine', 'ginza', 'traffic', 'features', 'traffic light', 'light ']"
6,5,49,5_health_good_important_health important,"[('health', 0.05281459291050414), ('good', 0.03424577890818147), ('important', 0.03366132343310116), ('health important', 0.033550472526328604), ('good health', 0.03009728253359046), ('pray', 0.024305162997684426), ('take', 0.022748728328091928), ('rest', 0.022027175256306368), ('pray health', 0.01958544963453762), ('take care', 0.01784380110747695)]",positive,"['health', 'good', 'important', 'health important', 'good health', 'pray', 'take', 'rest', 'pray health', 'take care ']"
7,6,48,6_happy_birthday_happiness_happy birthday,"[('happy', 0.04760125250972004), ('birthday', 0.04759432098919725), ('happiness', 0.041954657903920604), ('happy birthday', 0.039739448284999396), ('good', 0.031080202706584868), ('good health', 0.02857588143848589), ('health', 0.024375965958694217), ('wish', 0.024227724093056666), ('love', 0.018993015997452494), ('health happiness', 0.018299499443700677)]",positive,"['happy', 'birthday', 'happiness', 'happy birthday', 'good', 'good health', 'health', 'wish', 'love', 'health happiness ']"
8,7,46,7_healthcare_digital_security_accessibility,"[('healthcare', 0.02832374377564155), ('digital', 0.02803443739143899), ('security', 0.025767960531942153), ('accessibility', 0.025659993944971725), ('privacy', 0.022588731573162102), ('health', 0.020594626558525404), ('tech', 0.02025328579064299), ('cybersecurity', 0.018823942977635084), ('solutions', 0.01832856710355123), ('learn', 0.017899661416477808)]",positive,"['healthcare', 'digital', 'security', 'accessibility', 'privacy', 'health', 'tech', 'cybersecurity', 'solutions', 'learn ']"
9,8,45,8_appreciate_amp_thank_good day,"[('appreciate', 0.03822882516820454), ('amp', 0.026794583483931874), ('thank', 0.025287760454799458), ('good day', 0.02463610961671659), ('stay healthy amp', 0.02361499190384441), ('safe take care', 0.02361499190384441), ('good day stay', 0.02361499190384441), ('day stay', 0.02361499190384441), ('safe take', 0.02361499190384441), ('amp safe', 0.02361499190384441)]",positive,"['appreciate', 'amp', 'thank', 'good day', 'stay healthy amp', 'safe take care', 'good day stay', 'day stay', 'safe take', 'amp safe ']"
10,9,43,9_honey_pbees_manukahoney_kagurazaka,"[('honey', 0.039618641471784996), ('pbees', 0.035216570197142215), ('manukahoney', 0.029606321181223826), ('kagurazaka', 0.028035582845844696), ('newzealand', 0.02368783000535934), ('rawhoney', 0.022341995918412006), ('health', 0.02208746844336873), ('beauty', 0.018219274573060815), ('manukahoney newzealand', 0.017691845844858993), ('healthy', 0.01591584123478129)]",positive,"['honey', 'pbees', 'manukahoney', 'kagurazaka', 'newzealand', 'rawhoney', 'health', 'beauty', 'manukahoney newzealand', 'healthy ']"
11,10,42,10_nurse_nurses_put_uniform becomes,"[('nurse', 0.10260005139952068), ('nurses', 0.04830592653302527), ('put', 0.04816474765549565), ('uniform becomes', 0.04342111414577843), ('becomes 10', 0.04342111414577843), ('put nurses uniform', 0.04342111414577843), ('put nurses', 0.04342111414577843), ('nurses uniform', 0.04342111414577843), ('woman whos put', 0.04342111414577843), ('woman whos', 0.04342111414577843)]",positive,"['nurse', 'nurses', 'put', 'uniform becomes', 'becomes', ' put nurses uniform', 'put nurses', 'nurses uniform', 'woman whos put', 'woman whos ']"
12,11,39,11_day_day please_wonderful day_care hope wonderful,"[('day', 0.07309628282804251), ('day please', 0.05311414830369127), ('wonderful day', 0.05263389699794241), ('care hope wonderful', 0.051381121022713555), ('god bless see', 0.051381121022713555), ('healthy best good', 0.051381121022713555), ('take care hope', 0.051381121022713555), ('healthy best', 0.051381121022713555), ('everyone nice', 0.051381121022713555), ('luck god', 0.051381121022713555)]",positive,"['day', 'day please', 'wonderful day', 'care hope wonderful', 'god bless see', 'healthy best good', 'take care hope', 'healthy best', 'everyone nice', 'luck god ']"
13,12,37,12_japan_health_welfare_medicine,"[('japan', 0.03476584785939118), ('health', 0.01728477586161954), ('welfare', 0.014421808475111167), ('medicine', 0.013715876293741295), ('nasdaq', 0.013514461787679436), ('medirom', 0.013514461787679436), ('motion', 0.013032518072185122), ('hospital', 0.012080259934966218), ('center', 0.011659523623067554), ('university', 0.011565878173394975)]",positive,"['japan', 'health', 'welfare', 'medicine', 'nasdaq', 'medirom', 'motion', 'hospital', 'center', 'university ']"
14,13,35,13_fitness_weightloss_foodie_gym,"[('fitness', 0.03903780519412606), ('weightloss', 0.03044769035428678), ('foodie', 0.028967352516983225), ('gym', 0.028967352516983225), ('japan', 0.0248822530022818), ('fit', 0.021389822270745918), ('like', 0.021026825997629416), ('fit fitness', 0.02082503505444507), ('diet', 0.019636097053469154), ('exercise', 0.018737040218022635)]",positive,"['fitness', 'weightloss', 'foodie', 'gym', 'japan', 'fit', 'like', 'fit fitness', 'diet', 'exercise ']"
15,14,35,14_safe_healthy safe_family_appreciate hope,"[('safe', 0.0913864377964792), ('healthy safe', 0.055745400505284454), ('family', 0.0493240219948475), ('appreciate hope', 0.044916823935864644), ('appreciate hope family', 0.044916823935864644), ('hope family healthy', 0.044916823935864644), ('family healthy', 0.044916823935864644), ('family healthy safe', 0.044916823935864644), ('hope family', 0.044916823935864644), ('always appreciate hope', 0.044916823935864644)]",positive,"['safe', 'healthy safe', 'family', 'appreciate hope', 'appreciate hope family', 'hope family healthy', 'family healthy', 'family healthy safe', 'hope family', 'always appreciate hope ']"
16,15,30,15_covid_coronavirus_experts health_news,"[('covid', 0.04699719094683718), ('coronavirus', 0.04320264987016718), ('experts health', 0.03084708317439676), ('news', 0.027489092904460426), ('experts', 0.027017767439754464), ('sudden', 0.02432994629859335), ('coronavirus news', 0.02432994629859335), ('virus', 0.02027495524882779), ('tips', 0.018178730475281988), ('places youll likely', 0.01734355929418861)]",positive,"['covid', 'coronavirus', 'experts health', 'news', 'experts', 'sudden', 'coronavirus news', 'virus', 'tips', 'places youll likely ']"
17,16,27,16_worker_work_job_benefited,"[('worker', 0.051844988424867164), ('work', 0.02441517137572341), ('job', 0.019831342336671262), ('benefited', 0.018553629624221264), ('car', 0.017105179969742975), ('theyre', 0.01658859974904092), ('salary', 0.014627690084925477), ('working', 0.01440167010842836), ('design', 0.014192509511733764), ('well', 0.013882519446645834)]",positive,"['worker', 'work', 'job', 'benefited', 'car', 'theyre', 'salary', 'working', 'design', 'well ']"
18,17,26,17_jica_medical_hygiene_toyota,"[('jica', 0.02967254493729548), ('medical', 0.028054641081431877), ('hygiene', 0.02278766138485608), ('toyota', 0.02278766138485608), ('regional', 0.019502962964804287), ('diseases', 0.019502962964804287), ('infectious', 0.019502962964804287), ('infectious diseases', 0.019502962964804287), ('years national institute', 0.016683183288999065), ('received valuable', 0.016683183288999065)]",positive,"['jica', 'medical', 'hygiene', 'toyota', 'regional', 'diseases', 'infectious', 'infectious diseases', 'years national institute', 'received valuable ']"
19,18,25,18_medical_nurses_000_doctors,"[('medical', 0.032685067653600686), ('nurses', 0.0325423007229486), ('000', 0.03191077569765182), ('doctors', 0.02742237124506948), ('000 rtgs', 0.025168909964062083), ('rtgs', 0.025168909964062083), ('usd', 0.025168909964062083), ('30', 0.023933081773238864), ('100', 0.02342748512614325), ('hospitals', 0.019944234811032385)]",positive,"['medical', 'nurses', '', 'doctors', ' rtgs', 'rtgs', 'usd', '', '', 'hospitals ']"
20,19,25,19_music_nowplaying_song_favorite,"[('music', 0.03534746162398467), ('nowplaying', 0.03388237968812459), ('song', 0.026723968474427477), ('favorite', 0.023960981129891135), ('north', 0.02296347577936509), ('north wave', 0.02296347577936509), ('wave', 0.022269973728689562), ('move', 0.022257199721536856), ('bonus', 0.01996748427490928), ('gardening', 0.019050133778513806)]",positive,"['music', 'nowplaying', 'song', 'favorite', 'north', 'north wave', 'wave', 'move', 'bonus', 'gardening ']"
21,20,24,20_vaccine_years age_johnson_covid19,"[('vaccine', 0.07005170510303746), ('years age', 0.03500378232555661), ('johnson', 0.03500378232555661), ('covid19', 0.034194000944756574), ('individuals', 0.03360315468810773), ('age', 0.03195831601681187), ('rates evaluates effectiveness', 0.02760844970053146), ('vaccination rates', 0.02760844970053146), ('rates', 0.02760844970053146), ('rates evaluates', 0.02760844970053146)]",positive,"['vaccine', 'years age', 'johnson', 'covid', 'individuals', 'age', 'rates evaluates effectiveness', 'vaccination rates', 'rates', 'rates evaluates ']"
22,21,21,21_marathon_tokyo2020_infection_event,"[('marathon', 0.03427453686044084), ('tokyo2020', 0.030838045358828916), ('infection', 0.029648495427920724), ('event', 0.02781067003800646), ('like', 0.027190940166577325), ('held', 0.024677316724079107), ('would like', 0.024238307300375985), ('team', 0.02383771717543411), ('measures', 0.023459857714363194), ('preventive measures infection', 0.023229256749033665)]",positive,"['marathon', 'tokyo', 'infection', 'event', 'like', 'held', 'would like', 'team', 'measures', 'preventive measures infection ']"
23,22,19,22_vaccine_moderna_got_time,"[('vaccine', 0.05856101039246018), ('moderna', 0.04275642042032959), ('got', 0.03696483411351203), ('time', 0.03446169411539038), ('got vaccine', 0.031225599527606434), ('pm', 0.029065115236712482), ('covidvaccine', 0.02850428028021972), ('japan japanese', 0.026021332939672032), ('vaccinated', 0.026021332939672032), ('wednesdaythought', 0.026021332939672032)]",positive,"['vaccine', 'moderna', 'got', 'time', 'got vaccine', 'pm', 'covidvaccine', 'japan japanese', 'vaccinated', 'wednesdaythought ']"
24,23,18,23_healthtips_vitamins_bodyhealth_news,"[('healthtips', 0.07734390111631492), ('vitamins', 0.07152946823048524), ('bodyhealth', 0.0714094736979305), ('news', 0.07011710653891355), ('says', 0.04534101845046408), ('healthtips health', 0.04021694908797359), ('cbd oil', 0.04021694908797359), ('cbd', 0.04021694908797359), ('visceral fat', 0.04021694908797359), ('howtolosebellyfat', 0.04021694908797359)]",positive,"['healthtips', 'vitamins', 'bodyhealth', 'news', 'says', 'healthtips health', 'cbd oil', 'cbd', 'visceral fat', 'howtolosebellyfat ']"
25,24,16,24_thank_many_health care worker_care worker,"[('thank', 0.04387665002685582), ('many', 0.03889335029838864), ('health care worker', 0.03786807137955677), ('care worker', 0.03672444724315977), ('thank much', 0.03367236571705711), ('many lives', 0.03141474891022842), ('healthcare workers', 0.03141474891022842), ('lives', 0.030294457103645415), ('health care', 0.028324949407107065), ('much', 0.02726293869427624)]",positive,"['thank', 'many', 'health care worker', 'care worker', 'thank much', 'many lives', 'healthcare workers', 'lives', 'health care', 'much ']"
26,25,14,25_cat_2017_happy_sensei,"[('cat', 0.11162532406706478), ('2017', 0.06842454365307334), ('happy', 0.050368767190517715), ('sensei', 0.04722303798361982), ('please follow', 0.03879858545955086), ('dec 23', 0.03879858545955086), ('23 2017 please', 0.03879858545955086), ('female cat rescued', 0.03879858545955086), ('came home dec', 0.03879858545955086), ('came home', 0.03879858545955086)]",positive,"['cat', '', 'happy', 'sensei', 'please follow', 'dec', '', ' please', 'female cat rescued', 'came home dec', 'came home ']"
27,26,14,26_nurse_power_mermaid become disaster_wiped,"[('nurse', 0.09576004797288597), ('power', 0.08321530359424271), ('mermaid become disaster', 0.07077802559590793), ('wiped', 0.07077802559590793), ('kid', 0.07077802559590793), ('kid shocked', 0.07077802559590793), ('kid shocked death', 0.07077802559590793), ('mermaid', 0.07077802559590793), ('mermaid become', 0.07077802559590793), ('wiped tears', 0.07077802559590793)]",positive,"['nurse', 'power', 'mermaid become disaster', 'wiped', 'kid', 'kid shocked', 'kid shocked death', 'mermaid', 'mermaid become', 'wiped tears ']"
28,27,13,27_covid19_community_labor_covid cases,"[('covid19', 0.05213128649932906), ('community', 0.04916778386228822), ('labor', 0.047238045044896954), ('covid cases', 0.046032288603589655), ('cases', 0.046032288603589655), ('plans expert weighs', 0.046032288603589655), ('weighs covid19', 0.046032288603589655), ('covid19 traveling', 0.046032288603589655), ('people change summer', 0.046032288603589655), ('travel plans', 0.046032288603589655)]",positive,"['covid', 'community', 'labor', 'covid cases', 'cases', 'plans expert weighs', 'weighs covid', 'covid traveling', 'people change summer', 'travel plans ']"
29,28,12,28_worlds advanced_physically_advanced_worlds,"[('worlds advanced', 0.09206045617273036), ('physically', 0.09042270080969281), ('advanced', 0.08755419478699107), ('worlds', 0.08509937280064257), ('create worlds advanced', 0.05199502028799246), ('others physically', 0.05199502028799246), ('others physically mentally', 0.05199502028799246), ('create worlds', 0.05199502028799246), ('nutrition facilities bring', 0.05199502028799246), ('bring together', 0.05199502028799246)]",positive,"['worlds advanced', 'physically', 'advanced', 'worlds', 'create worlds advanced', 'others physically', 'others physically mentally', 'create worlds', 'nutrition facilities bring', 'bring together ']"
30,29,12,29_occupational environmental_university occupational environmental_occupational environmental health_occupational,"[('occupational environmental', 0.06910280605517638), ('university occupational environmental', 0.06910280605517638), ('occupational environmental health', 0.06910280605517638), ('occupational', 0.06910280605517638), ('environmental health', 0.06910280605517638), ('hospital university', 0.06910280605517638), ('university occupational', 0.06910280605517638), ('bicycles', 0.06910280605517638), ('wakamatsu', 0.06910280605517638), ('wakamatsu hospital', 0.06910280605517638)]",positive,"['occupational environmental', 'university occupational environmental', 'occupational environmental health', 'occupational', 'environmental health', 'hospital university', 'university occupational', 'bicycles', 'wakamatsu', 'wakamatsu hospital ']"
31,30,10,30_akasaka_carrier_ship_airdrop,"[('akasaka', 0.06050971100168294), ('carrier', 0.043134240731660785), ('ship', 0.04033980733445529), ('airdrop', 0.03383874418510821), ('republic', 0.03235068054874559), ('00', 0.023958054262842872), ('strike group', 0.023958054262842872), ('symposium', 0.023958054262842872), ('carrier carrier', 0.023958054262842872), ('ship utilization', 0.023958054262842872)]",positive,"['akasaka', 'carrier', 'ship', 'airdrop', 'republic', '', 'strike group', 'symposium', 'carrier carrier', 'ship utilization ']"
