Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,43,-1_amp_health_ayurveda_healthcare,"[('amp', 0.02004872301606041), ('health', 0.01916098286983044), ('ayurveda', 0.0177684046547433), ('healthcare', 0.015368319153153565), ('cycling', 0.01434214045709264), ('without prejudice', 0.01434214045709264), ('urge', 0.01434214045709264), ('prejudice', 0.01434214045709264), ('medicine', 0.013326303491057474), ('covid19', 0.013212294225499714)]",positive,"['amp', 'health', 'ayurveda', 'healthcare', 'cycling', 'without prejudice', 'urge', 'prejudice', 'medicine', 'covid ']"
1,0,92,0_love_happy_wish_health,"[('love', 0.043823391369710744), ('happy', 0.04221651296129995), ('wish', 0.03745013246566931), ('health', 0.033904603320891326), ('birthday', 0.030982470874125177), ('good', 0.02915334641566088), ('happiness', 0.028581877466063624), ('happy birthday', 0.02631362044348289), ('good health', 0.020712408655841952), ('life', 0.01580964503987779)]",positive,"['love', 'happy', 'wish', 'health', 'birthday', 'good', 'happiness', 'happy birthday', 'good health', 'life ']"
2,1,43,1_amp_health_services_healthcare,"[('amp', 0.038340599169888724), ('health', 0.026173507528376636), ('services', 0.02404977520577688), ('healthcare', 0.02099280709064791), ('kazakhstan', 0.020026442053541378), ('sector', 0.014885037374855596), ('day', 0.014339304323783391), ('one', 0.013355738539073701), ('financial', 0.013024407702998647), ('see', 0.012670932048648975)]",positive,"['amp', 'health', 'services', 'healthcare', 'kazakhstan', 'sector', 'day', 'one', 'financial', 'see ']"
3,2,34,2_mental_mental health_health_conditions,"[('mental', 0.08260180005046114), ('mental health', 0.07522134415108932), ('health', 0.04773982151428112), ('conditions', 0.01792433007368873), ('support', 0.015965968082902283), ('piece', 0.014882025868336972), ('humans', 0.014882025868336972), ('deal', 0.014882025868336972), ('sex', 0.014882025868336972), ('time', 0.014043423317172652)]",positive,"['mental', 'mental health', 'health', 'conditions', 'support', 'piece', 'humans', 'deal', 'sex', 'time ']"
4,3,32,3_covid19_remains_remains stable_stable,"[('covid19', 0.05267850136869072), ('remains', 0.03046316532150733), ('remains stable', 0.03046316532150733), ('stable', 0.03046316532150733), ('centralasia', 0.022484968453070273), ('lost', 0.021942988227370713), ('says', 0.02104316571816206), ('health', 0.019843223684127487), ('measures', 0.0184127700033918), ('minister', 0.017770179770879278)]",positive,"['covid', 'remains', 'remains stable', 'stable', 'centralasia', 'lost', 'says', 'health', 'measures', 'minister ']"
5,4,21,4_unicef_foreverychild_health_amp,"[('unicef', 0.04834637933851479), ('foreverychild', 0.03322488519329721), ('health', 0.03039301951619154), ('amp', 0.026712963348214568), ('children', 0.02654097221459183), ('best', 0.026143647685729944), ('happeningnow', 0.02582591759686607), ('kazakhstan', 0.025534865319664986), ('experience doctors', 0.022738737849107047), ('among practitioners foreverychild', 0.022738737849107047)]",positive,"['unicef', 'foreverychild', 'health', 'amp', 'children', 'best', 'happeningnow', 'kazakhstan', 'experience doctors', 'among practitioners foreverychild ']"
6,5,18,5_vaccine_kazakhstan_temperature_space,"[('vaccine', 0.05927398562735716), ('kazakhstan', 0.04304636114248318), ('temperature', 0.03904795090201592), ('space', 0.03904795090201592), ('public health', 0.03640269741152941), ('covid19', 0.035971828456411885), ('public', 0.033927179749705806), ('hands promote vaccination', 0.03357742654214978), ('russia', 0.03357742654214978), ('around country vaccineswork', 0.03357742654214978)]",positive,"['vaccine', 'kazakhstan', 'temperature', 'space', 'public health', 'covid', 'public', 'hands promote vaccination', 'russia', 'around country vaccineswork ']"
7,6,15,6_safety_new_area_new coordinator,"[('safety', 0.07818879099186882), ('new', 0.061343040856835535), ('area', 0.048519156014419786), ('new coordinator', 0.048519156014419786), ('priority area', 0.048519156014419786), ('coordinator', 0.048519156014419786), ('priority', 0.047211975317504956), ('security', 0.03934331276458746), ('coordinator priority area', 0.03464028999991627), ('epidemiological safety public', 0.03464028999991627)]",positive,"['safety', 'new', 'area', 'new coordinator', 'priority area', 'coordinator', 'priority', 'security', 'coordinator priority area', 'epidemiological safety public ']"
8,7,15,7_covid19_easter_pray_would,"[('covid19', 0.054897773044977026), ('easter', 0.03972822879229494), ('pray', 0.038657889197260153), ('would', 0.03436726885509928), ('us', 0.03013717338262652), ('people', 0.0286051902219928), ('ones', 0.027329919303993686), ('loved ones', 0.027329919303993686), ('loved', 0.025771926131506768), ('coronavirus', 0.02515415723625423)]",positive,"['covid', 'easter', 'pray', 'would', 'us', 'people', 'ones', 'loved ones', 'loved', 'coronavirus ']"
9,8,12,8_stepson_worker_stay_medical worker giving,"[('stepson', 0.04132217335015392), ('worker', 0.03450183872139347), ('stay', 0.032880879144420026), ('medical worker giving', 0.032449113222673936), ('medical worker', 0.032449113222673936), ('separate yet powerfully', 0.032449113222673936), ('powerfully', 0.032449113222673936), ('nurse', 0.032449113222673936), ('yet powerfully', 0.032449113222673936), ('separate', 0.032449113222673936)]",positive,"['stepson', 'worker', 'stay', 'medical worker giving', 'medical worker', 'separate yet powerfully', 'powerfully', 'nurse', 'yet powerfully', 'separate ']"
