Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,140,-1_health_people_safety_good,"[('health', 0.020731656573031283), ('people', 0.010149545289094036), ('safety', 0.008697958287960772), ('good', 0.007531897993426482), ('better', 0.007503886326678773), ('russian', 0.0072412204246998695), ('ukraine', 0.007103947835966432), ('food', 0.006979824148657197), ('care', 0.006764396557082671), ('back', 0.006754722822357303)]",positive,"['health', 'people', 'safety', 'good', 'better', 'russian', 'ukraine', 'food', 'care', 'back ']"
1,0,155,0_covid19_health_covid_amp,"[('covid19', 0.023304521843180628), ('health', 0.023260884691529097), ('covid', 0.015442923121805025), ('amp', 0.014086800938406738), ('healthcare', 0.014068282344146435), ('luxembourg', 0.0134176920122276), ('new', 0.009344672695399568), ('vaccine', 0.007840324934871997), ('impact', 0.007084528341656367), ('public', 0.006900073592417268)]",positive,"['covid', 'health', 'covid', 'amp', 'healthcare', 'luxembourg', 'new', 'vaccine', 'impact', 'public ']"
2,1,53,1_mental_mental health_health_like,"[('mental', 0.07158304168965209), ('mental health', 0.06564442123124663), ('health', 0.048466302885241966), ('like', 0.017455972497194053), ('life', 0.012547174391360305), ('love', 0.011748606395700606), ('enough', 0.010692694429439799), ('people', 0.010384282299944654), ('day', 0.010319699512986582), ('always', 0.010010711499090915)]",positive,"['mental', 'mental health', 'health', 'like', 'life', 'love', 'enough', 'people', 'day', 'always ']"
3,2,40,2_nurse_nurses_day_job,"[('nurse', 0.0632134854519934), ('nurses', 0.04741011408899505), ('day', 0.021767686172726362), ('job', 0.017229114044381214), ('retired', 0.016915842587373758), ('doctors nurses', 0.016915842587373758), ('retired nurse', 0.016915842587373758), ('hand', 0.016915842587373758), ('last', 0.016541358239276667), ('blessing', 0.016321965020832323)]",positive,"['nurse', 'nurses', 'day', 'job', 'retired', 'doctors nurses', 'retired nurse', 'hand', 'last', 'blessing ']"
4,3,33,3_happy_summer_great_good,"[('happy', 0.035628665897473544), ('summer', 0.022511257951711133), ('great', 0.020668997209875428), ('good', 0.019536925451274802), ('birthday', 0.018752257606654783), ('health', 0.018322757079740553), ('dear', 0.018195020210893642), ('year', 0.017252417794526496), ('love', 0.017082992020219078), ('stay', 0.016766302544656983)]",positive,"['happy', 'summer', 'great', 'good', 'birthday', 'health', 'dear', 'year', 'love', 'stay ']"
5,4,32,4_amp_worker_safe_great,"[('amp', 0.07026879175729904), ('worker', 0.03289791104899465), ('safe', 0.021682092660148537), ('great', 0.01701563934953425), ('real', 0.016943790142830654), ('hospitals', 0.016448955524497325), ('hard worker', 0.016054923451918578), ('make', 0.01582637613702493), ('difference', 0.014379793212677204), ('us', 0.01401098210935661)]",positive,"['amp', 'worker', 'safe', 'great', 'real', 'hospitals', 'hard worker', 'make', 'difference', 'us ']"
6,5,30,5_health_healthcare_wealth_health wealth,"[('health', 0.044838415885644904), ('healthcare', 0.02992382378827517), ('wealth', 0.028941786534286962), ('health wealth', 0.02386252196028117), ('free', 0.023352183807903725), ('even', 0.020461360611079123), ('good', 0.019422674425243952), ('need', 0.0191119688438342), ('care', 0.018897126346723393), ('world', 0.017622019230297294)]",positive,"['health', 'healthcare', 'wealth', 'health wealth', 'free', 'even', 'good', 'need', 'care', 'world ']"
7,6,18,6_safe_stay safe_stay_take care,"[('safe', 0.15664205717739962), ('stay safe', 0.12086277592430936), ('stay', 0.11375232928257074), ('take care', 0.0820434002113391), ('take', 0.070539009403244), ('care', 0.0615506401007562), ('youre', 0.060486533533147965), ('healthy', 0.05080796671958748), ('hope', 0.05020141627766229), ('care stay', 0.04315265966166775)]",positive,"['safe', 'stay safe', 'stay', 'take care', 'take', 'care', 'youre', 'healthy', 'hope', 'care stay ']"
8,7,15,7_cycling_place de_place de la_de,"[('cycling', 0.0674529136021381), ('place de', 0.04095761790921162), ('place de la', 0.04095761790921162), ('de', 0.04095761790921162), ('de la', 0.04095761790921162), ('de la constitution', 0.04095761790921162), ('la constitution', 0.04095761790921162), ('constitution', 0.04095761790921162), ('la', 0.03989753789621941), ('place', 0.03817038720422253)]",positive,"['cycling', 'place de', 'place de la', 'de', 'de la', 'de la constitution', 'la constitution', 'constitution', 'la', 'place ']"
9,8,14,8_improve_wellbeing_workplacewellness_workplacewellness corporatewellness humanresources,"[('improve', 0.08473334775925187), ('wellbeing', 0.08240178103692698), ('workplacewellness', 0.0823613914399395), ('workplacewellness corporatewellness humanresources', 0.0823613914399395), ('workplacewellness corporatewellness', 0.0823613914399395), ('healthwellness', 0.0823613914399395), ('wellbeing healthcoaching wellnessatwork', 0.0823613914399395), ('healthcoaching', 0.0823613914399395), ('healthcoaching wellnessatwork', 0.0823613914399395), ('improve employee wellness', 0.0823613914399395)]",positive,"['improve', 'wellbeing', 'workplacewellness', 'workplacewellness corporatewellness humanresources', 'workplacewellness corporatewellness', 'healthwellness', 'wellbeing healthcoaching wellnessatwork', 'healthcoaching', 'healthcoaching wellnessatwork', 'improve employee wellness ']"
10,9,12,9_daycares_covid case_covid_case,"[('daycares', 0.07142151845619522), ('covid case', 0.0628450221887374), ('covid', 0.06255451347496137), ('case', 0.05981005806947987), ('shutting daycares', 0.05397475205301694), ('shutting', 0.05397475205301694), ('childcare', 0.05397475205301694), ('mask', 0.05251224837865608), ('year', 0.0496577528054096), ('one covid case', 0.0447509063158036)]",positive,"['daycares', 'covid case', 'covid', 'case', 'shutting daycares', 'shutting', 'childcare', 'mask', 'year', 'one covid case ']"
