Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1719,-1_health_covid19_care_people,"[('health', 0.009401077185858071), ('covid19', 0.004770118923218116), ('care', 0.004581570592665507), ('people', 0.004341792930962549), ('mental', 0.004313864838581194), ('amp', 0.004264387554823027), ('mental health', 0.004028911902573743), ('good', 0.0039788399144312205), ('singapore', 0.0038877090135250427), ('time', 0.003873688858391471)]",neutral,"['health', 'covid', 'care', 'people', 'mental', 'amp', 'mental health', 'good', 'singapore', 'time ']"
1,0,393,0_take care_safe_take_stay,"[('take care', 0.02665883095903561), ('safe', 0.026217971336279993), ('take', 0.025622137307623263), ('stay', 0.024625055526355733), ('care', 0.024043841501347935), ('stay safe', 0.0235964958483186), ('okay', 0.018927018228935107), ('health', 0.015085199037988375), ('care stay', 0.012480798176592273), ('take care stay', 0.011896709464999865)]",neutral,"['take care', 'safe', 'take', 'stay', 'care', 'stay safe', 'okay', 'health', 'care stay', 'take care stay ']"
2,1,351,1_vaccine_vaccination_vaccines_vaccinated,"[('vaccine', 0.02562837605743408), ('vaccination', 0.01857040033490091), ('vaccines', 0.012891772168240901), ('vaccinated', 0.008810184727116121), ('covid', 0.007969255716240778), ('covid19', 0.0076254447490635155), ('people', 0.006985123838817425), ('get', 0.006498613499179148), ('amp', 0.00572103925341735), ('booster', 0.00568779146251082)]",neutral,"['vaccine', 'vaccination', 'vaccines', 'vaccinated', 'covid', 'covid', 'people', 'get', 'amp', 'booster ']"
3,2,313,2_mental_mental health_health_okay,"[('mental', 0.052731242754680815), ('mental health', 0.051897098943966984), ('health', 0.027931217885833182), ('okay', 0.008136192839579325), ('good mental', 0.0078144748358503), ('health mental', 0.007593421563164386), ('good mental health', 0.007578193299101281), ('dont', 0.007465884028329023), ('health mental health', 0.007307767495616597), ('im', 0.007106341936377426)]",neutral,"['mental', 'mental health', 'health', 'okay', 'good mental', 'health mental', 'good mental health', 'dont', 'health mental health', 'im ']"
4,3,301,3_covid19_singapore_covid_cases,"[('covid19', 0.024952400569210876), ('singapore', 0.01841016583205906), ('covid', 0.01507267338767434), ('cases', 0.013001718331790172), ('new', 0.00887690586042506), ('covid19 cases', 0.005613312364024209), ('situation', 0.005345479339287063), ('covid cases', 0.005087641085897055), ('still', 0.0050159751523453045), ('testing', 0.004786909543632432)]",neutral,"['covid', 'singapore', 'covid', 'cases', 'new', 'covid cases', 'situation', 'covid cases', 'still', 'testing ']"
5,4,206,4_chocolate_cookies_cake_dark,"[('chocolate', 0.04243875718755862), ('cookies', 0.025501982994435315), ('cake', 0.012070859635429951), ('dark', 0.010480292175320571), ('red velvet', 0.010280888455822253), ('velvet', 0.010280888455822253), ('ada', 0.00990954970320154), ('chip', 0.009516763150000487), ('chocolate chip', 0.009516763150000487), ('price', 0.009421250696354352)]",neutral,"['chocolate', 'cookies', 'cake', 'dark', 'red velvet', 'velvet', 'ada', 'chip', 'chocolate chip', 'price ']"
6,5,145,5_salary_pay_career_worker,"[('salary', 0.023344518136587677), ('pay', 0.01083970313788606), ('career', 0.00993066765557113), ('worker', 0.009306151875054463), ('dont', 0.007334624075391938), ('offer', 0.007170455487205652), ('job', 0.0070830841623130535), ('nak', 0.006098642988938985), ('allowance', 0.005781286839967779), ('time', 0.005636911310299771)]",neutral,"['salary', 'pay', 'career', 'worker', 'dont', 'offer', 'job', 'nak', 'allowance', 'time ']"
7,6,143,6_nurse_nurses_doctors nurses_doctors,"[('nurse', 0.05580424046340124), ('nurses', 0.041907485212675476), ('doctors nurses', 0.013302655694131173), ('doctors', 0.013125739744409472), ('staff', 0.009966222878473515), ('husband', 0.009493152871329978), ('wife', 0.009004846046769923), ('shes', 0.00873774390019859), ('feel', 0.007601609353945816), ('train', 0.0071834138195563365)]",neutral,"['nurse', 'nurses', 'doctors nurses', 'doctors', 'staff', 'husband', 'wife', 'shes', 'feel', 'train ']"
8,7,103,7_mask_wear_wear mask_skincare,"[('mask', 0.04806762242297771), ('wear', 0.025555812155745376), ('wear mask', 0.019720491917817506), ('skincare', 0.014726167859839885), ('face', 0.014707874248820516), ('skin', 0.013100542598342967), ('wearing', 0.01010613795771025), ('masks', 0.009321674172903534), ('wearing mask', 0.008283469421159935), ('serum', 0.006551257517898298)]",neutral,"['mask', 'wear', 'wear mask', 'skincare', 'face', 'skin', 'wearing', 'masks', 'wearing mask', 'serum ']"
9,8,99,8_hospital_healthcare_private_hospitals,"[('hospital', 0.017726500366576917), ('healthcare', 0.013398537433967926), ('private', 0.01179519840266882), ('hospitals', 0.010743292245664539), ('medicines', 0.010302681634539321), ('health', 0.00957908007991088), ('shortage', 0.009029720303154435), ('system', 0.008865903924392874), ('medication', 0.008731188264452459), ('insurance', 0.00830908311935651)]",neutral,"['hospital', 'healthcare', 'private', 'hospitals', 'medicines', 'health', 'shortage', 'system', 'medication', 'insurance ']"
