Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,7100,-1_health_government_people_covid,"[('health', 0.0022205422666590007), ('government', 0.002132380405694665), ('people', 0.0021008316585794714), ('covid', 0.0020170544642214867), ('dont', 0.0019683767698438774), ('amp', 0.0018852889497668964), ('covid19', 0.001880335909422207), ('care', 0.0018781805382235895), ('like', 0.0018302118020930118), ('one', 0.0017320227670613935)]",negative,"['health', 'government', 'people', 'covid', 'dont', 'amp', 'covid', 'care', 'like', 'one ']"
1,0,1353,0_singapore_lockdown_government_cases,"[('singapore', 0.007344710375383996), ('lockdown', 0.005596075714602339), ('government', 0.005156501802555401), ('cases', 0.004486123689510482), ('malaysia', 0.004202205935248621), ('covid19 cases', 0.0041902626068665355), ('covid19', 0.004070015218572727), ('new covid19 cases', 0.004028398268109678), ('new covid19', 0.00392204809812453), ('new', 0.0037608157006369966)]",negative,"['singapore', 'lockdown', 'government', 'cases', 'malaysia', 'covid cases', 'covid', 'new covid cases', 'new covid', 'new ']"
2,1,1056,1_mental_mental health_health_mental health issues,"[('mental', 0.026763953851387547), ('mental health', 0.026362469675688206), ('health', 0.009928289021471226), ('mental health issues', 0.0044280450826323795), ('good mental', 0.004318253617591406), ('good mental health', 0.004318253617591406), ('issues', 0.003975858331743289), ('health issues', 0.00391644473130606), ('good', 0.0037259929423203715), ('dont', 0.003567154236153257)]",negative,"['mental', 'mental health', 'health', 'mental health issues', 'good mental', 'good mental health', 'issues', 'health issues', 'good', 'dont ']"
3,2,625,2_vaccine_vaccination_vaccinated_vaccines,"[('vaccine', 0.01685430959824131), ('vaccination', 0.0094486956604975), ('vaccinated', 0.008744739758580778), ('vaccines', 0.006177699996700641), ('people', 0.004063625013725199), ('dose', 0.003979873845591355), ('get', 0.003962196404978948), ('covid19 vaccine', 0.003633797859018194), ('covid', 0.0032740367529533864), ('dont', 0.0028468643453333853)]",negative,"['vaccine', 'vaccination', 'vaccinated', 'vaccines', 'people', 'dose', 'get', 'covid vaccine', 'covid', 'dont ']"
4,3,481,3_mask_wear_masks_face,"[('mask', 0.02852756910995042), ('wear', 0.013392804283236324), ('masks', 0.012285456439491626), ('face', 0.010631709130421663), ('wearing', 0.010550814477665179), ('wear mask', 0.010270614162011055), ('face mask', 0.009835389420573076), ('wearing mask', 0.006395914269424764), ('shopee', 0.004886831341184485), ('get shopee', 0.0046834407134473495)]",negative,"['mask', 'wear', 'masks', 'face', 'wearing', 'wear mask', 'face mask', 'wearing mask', 'shopee', 'get shopee ']"
5,4,387,4_salary_cash_allowance_sgdeals,"[('salary', 0.014720427809680612), ('cash', 0.010950912022637316), ('allowance', 0.005983851747008173), ('sgdeals', 0.005831223635978637), ('pay', 0.005828865970107532), ('card', 0.005357191945106508), ('job', 0.005162985442327337), ('minimum', 0.005101834373034642), ('creditcard', 0.004843681396010775), ('kerja', 0.004836808888422795)]",negative,"['salary', 'cash', 'allowance', 'sgdeals', 'pay', 'card', 'job', 'minimum', 'creditcard', 'kerja ']"
6,5,266,5_safe_stay safe_take care_stay,"[('safe', 0.012886630487227773), ('stay safe', 0.012145193791730208), ('take care', 0.011648289957474278), ('stay', 0.011646355578044089), ('care', 0.011446448616868847), ('take', 0.009026693303153158), ('safe take care', 0.00862269784781044), ('safe take', 0.008481815438532412), ('please', 0.007425799849226207), ('stay safe take', 0.007192097057440301)]",negative,"['safe', 'stay safe', 'take care', 'stay', 'care', 'take', 'safe take care', 'safe take', 'please', 'stay safe take ']"
7,6,246,6_quarantine_singapore_singapore quarantine_day,"[('quarantine', 0.03935005875972108), ('singapore', 0.008376694049100112), ('singapore quarantine', 0.008324288528615218), ('day', 0.008171659871752208), ('quarantine day', 0.008161001906081567), ('14 days', 0.007811749681110617), ('quarantine singapore', 0.007440959772646075), ('day quarantine', 0.007268858090599786), ('days', 0.007262092465434424), ('14', 0.006889198872832357)]",negative,"['quarantine', 'singapore', 'singapore quarantine', 'day', 'quarantine day', ' days', 'quarantine singapore', 'day quarantine', 'days', ' ']"
8,7,234,7_whatshappeninginmyanmar_military_protest_strike,"[('whatshappeninginmyanmar', 0.0320227161297973), ('military', 0.020117769751969945), ('protest', 0.017290446963089443), ('strike', 0.014931176382721019), ('terrorists', 0.0125984249294368), ('mandalay', 0.011453463807929682), ('abducted', 0.009845746541687248), ('terrorist', 0.007434304996838261), ('junta', 0.007106803806348964), ('township', 0.007034397218223422)]",negative,"['whatshappeninginmyanmar', 'military', 'protest', 'strike', 'terrorists', 'mandalay', 'abducted', 'terrorist', 'junta', 'township ']"
9,8,233,8_nurse_nurses_buat_nursing,"[('nurse', 0.029538862716028867), ('nurses', 0.018256944475469487), ('buat', 0.005211068171712042), ('nursing', 0.0048011663094962), ('ni', 0.004356255300639006), ('puan', 0.003916731411530325), ('feel', 0.0039050551288515294), ('nak', 0.003901625722586075), ('kau', 0.003891029258456851), ('refraction', 0.003705187903536199)]",negative,"['nurse', 'nurses', 'buat', 'nursing', 'ni', 'puan', 'feel', 'nak', 'kau', 'refraction ']"
