Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,198,-1_health_care_people_daud,"[('health', 0.016137148431945993), ('care', 0.0076672468913696855), ('people', 0.007659381663627416), ('daud', 0.006974362619640897), ('us', 0.006501421751586206), ('amp', 0.006199343089328049), ('like', 0.006059256201659006), ('covid19', 0.005138499759958798), ('one', 0.0048453028278917735), ('says', 0.004575927561874528)]",negative,"['health', 'care', 'people', 'daud', 'us', 'amp', 'like', 'covid', 'one', 'says ']"
1,0,103,0_nurse_covid19_amp_malta,"[('nurse', 0.018148106965784377), ('covid19', 0.01589244993905912), ('amp', 0.012285624743324534), ('malta', 0.011138082730449507), ('covid', 0.010869421298060154), ('like', 0.009571598844654111), ('get', 0.009521142528062914), ('quarantine', 0.009462679271899088), ('coronavirus', 0.00901090944108508), ('im', 0.008642693319989247)]",negative,"['nurse', 'covid', 'amp', 'malta', 'covid', 'like', 'get', 'quarantine', 'coronavirus', 'im ']"
2,1,74,1_health_covid19_african_countries,"[('health', 0.02724167744720903), ('covid19', 0.017490646133647557), ('african', 0.016072266604959484), ('countries', 0.013311222047464788), ('egypt', 0.012894301078740802), ('cases', 0.01160957244185662), ('sector', 0.01112695380343349), ('podcast', 0.010492467130602043), ('uganda', 0.00989062560305199), ('new', 0.009828836725459329)]",negative,"['health', 'covid', 'african', 'countries', 'egypt', 'cases', 'sector', 'podcast', 'uganda', 'new ']"
3,2,68,2_mental_mental health_health_issues,"[('mental', 0.06137298967333602), ('mental health', 0.05872881230904212), ('health', 0.04343500611639782), ('issues', 0.0160614884666401), ('mental health issues', 0.015040150310534585), ('men', 0.01417852099764936), ('health issues', 0.013943338081315666), ('talking', 0.012011210346838858), ('people', 0.01178215148951695), ('lose', 0.011280112732900938)]",negative,"['mental', 'mental health', 'health', 'issues', 'mental health issues', 'men', 'health issues', 'talking', 'people', 'lose ']"
4,3,37,3_nurses_salary_workers_paid,"[('nurses', 0.03091305027968589), ('salary', 0.01932034818651186), ('workers', 0.017171325354200347), ('paid', 0.016905304663197878), ('teachers', 0.015876313616895007), ('job', 0.014279027288982945), ('poor', 0.014082470217887012), ('doctors', 0.012993374355433258), ('tools', 0.011906385953501573), ('employees', 0.011132641316452542)]",negative,"['nurses', 'salary', 'workers', 'paid', 'teachers', 'job', 'poor', 'doctors', 'tools', 'employees ']"
5,4,33,4_chauffeur_taxi chauffeur_taxi_malta taxi,"[('chauffeur', 0.11703408678253117), ('taxi chauffeur', 0.11703408678253117), ('taxi', 0.11703408678253117), ('malta taxi', 0.09745752941967134), ('malta taxi chauffeur', 0.09745752941967134), ('malta', 0.09742347404026656), ('worker', 0.07689062563702795), ('uber', 0.05639873547615463), ('worker status', 0.045624913114661464), ('gig', 0.045624913114661464)]",negative,"['chauffeur', 'taxi chauffeur', 'taxi', 'malta taxi', 'malta taxi chauffeur', 'malta', 'worker', 'uber', 'worker status', 'gig ']"
6,5,30,5_vaccine_vaccines_vaccinated_hpv,"[('vaccine', 0.04617035936351306), ('vaccines', 0.03821258196513493), ('vaccinated', 0.030918658810512357), ('hpv', 0.02104733543643966), ('hpv vaccine', 0.02104733543643966), ('get', 0.017942676310871545), ('pfizer', 0.015006783019151168), ('children', 0.014246220782797412), ('doses', 0.013661078361724178), ('reasons', 0.013661078361724178)]",negative,"['vaccine', 'vaccines', 'vaccinated', 'hpv', 'hpv vaccine', 'get', 'pfizer', 'children', 'doses', 'reasons ']"
7,6,27,6_women_health_woman_sex,"[('women', 0.04982475493123905), ('health', 0.02757912038847007), ('woman', 0.02200362039038875), ('sex', 0.01883361892613452), ('screenings', 0.016114079630273004), ('maternal', 0.016114079630273004), ('options', 0.015066895140907614), ('parents', 0.014669080260259168), ('comes', 0.013749488379408658), ('cancer', 0.013504008833683516)]",negative,"['women', 'health', 'woman', 'sex', 'screenings', 'maternal', 'options', 'parents', 'comes', 'cancer ']"
8,7,26,7_monkeypox_cases_cases monkeypox_health,"[('monkeypox', 0.0830533823013219), ('cases', 0.050182028393616955), ('cases monkeypox', 0.045106255921472355), ('health', 0.039081261399541906), ('confirmed', 0.0380793619445016), ('reported', 0.03520925243073507), ('agency', 0.03406041794384363), ('said', 0.02635002982406557), ('authorities', 0.024445854230806262), ('health security agency', 0.023590467287583138)]",negative,"['monkeypox', 'cases', 'cases monkeypox', 'health', 'confirmed', 'reported', 'agency', 'said', 'authorities', 'health security agency ']"
9,8,23,8_learned_would learned_rights_emergency,"[('learned', 0.038929782202201654), ('would learned', 0.038929782202201654), ('rights', 0.037864610538064565), ('emergency', 0.03742628075054636), ('would', 0.0334191743019637), ('crisis', 0.029450252640716882), ('human rights', 0.029197336651651237), ('covid19', 0.02643105556295985), ('human', 0.021944035265760227), ('human rights justice', 0.021896440658550387)]",negative,"['learned', 'would learned', 'rights', 'emergency', 'would', 'crisis', 'human rights', 'covid', 'human', 'human rights justice ']"
10,9,22,9_tunisia_health_health ministry_ministry,"[('tunisia', 0.06178805446045386), ('health', 0.02818104563504382), ('health ministry', 0.024309057009923), ('ministry', 0.023425165901965236), ('tunisian', 0.02079887471075337), ('covid19', 0.020084952497968486), ('announced', 0.017746833371918444), ('alabiad tested', 0.01631892208582818), ('libya', 0.01631892208582818), ('covid19 spokesperson', 0.01631892208582818)]",negative,"['tunisia', 'health', 'health ministry', 'ministry', 'tunisian', 'covid', 'announced', 'alabiad tested', 'libya', 'covid spokesperson ']"
11,10,20,10_tobacco_world_air_health,"[('tobacco', 0.06657999779162341), ('world', 0.026906842335881427), ('air', 0.023766732368934323), ('health', 0.02287894168824434), ('smoking', 0.02138853352987267), ('smokers', 0.02138853352987267), ('air quality', 0.02138853352987267), ('ngo', 0.020623418824608764), ('quality', 0.020623418824608764), ('according', 0.017100484571170294)]",negative,"['tobacco', 'world', 'air', 'health', 'smoking', 'smokers', 'air quality', 'ngo', 'quality', 'according ']"
12,11,20,11_protest_protests_amp_junta,"[('protest', 0.04673055689234768), ('protests', 0.03705452887166976), ('amp', 0.022619837830016556), ('junta', 0.020158668458964225), ('guineas', 0.020158668458964225), ('power', 0.01801730107794293), ('price', 0.01712970679717619), ('serious', 0.015880512373572755), ('yet', 0.015880512373572755), ('police', 0.01563422912461157)]",negative,"['protest', 'protests', 'amp', 'junta', 'guineas', 'power', 'price', 'serious', 'yet', 'police ']"
13,12,19,12_strike_call_allied_talks govt,"[('strike', 0.08935306114053934), ('call', 0.06534186093605325), ('allied', 0.0638718071629196), ('talks govt', 0.0638718071629196), ('allied health', 0.0638718071629196), ('govt uganda', 0.0638718071629196), ('strike talks', 0.0638718071629196), ('strike talks govt', 0.0638718071629196), ('health workers call', 0.0638718071629196), ('talks', 0.0638718071629196)]",negative,"['strike', 'call', 'allied', 'talks govt', 'allied health', 'govt uganda', 'strike talks', 'strike talks govt', 'health workers call', 'talks ']"
