Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,213,-1_health_good_know_amp,"[('health', 0.019233776945145366), ('good', 0.007949391153707389), ('know', 0.006398689973580933), ('amp', 0.006391824658305629), ('ghana', 0.005994979119303822), ('today', 0.005897616380286427), ('covid19', 0.005809170458478476), ('workers', 0.00539161907052605), ('addison lee', 0.005334627672208548), ('addison', 0.005334627672208548)]",positive,"['health', 'good', 'know', 'amp', 'ghana', 'today', 'covid', 'workers', 'addison lee', 'addison ']"
1,0,162,0_health_healthcare_amp_care,"[('health', 0.01778832946563141), ('healthcare', 0.016408117055741175), ('amp', 0.009037300516883695), ('care', 0.009030534474186176), ('africas', 0.008694307979663288), ('services', 0.007650216794278934), ('nurses', 0.007561067659646059), ('health care', 0.007327516513505795), ('africa', 0.007163813118558049), ('public', 0.006915889175201749)]",positive,"['health', 'healthcare', 'amp', 'care', 'africas', 'services', 'nurses', 'health care', 'africa', 'public ']"
2,1,124,1_covid19_malta_covid_tunisia,"[('covid19', 0.025101953253932573), ('malta', 0.01707646512071321), ('covid', 0.013852003797088109), ('tunisia', 0.011768579053610926), ('health', 0.011606589535863583), ('hospital', 0.009042119621179729), ('pandemic', 0.008399390210261242), ('vaccine', 0.007443233486864396), ('first', 0.007183606900879904), ('medical', 0.007121673005241348)]",positive,"['covid', 'malta', 'covid', 'tunisia', 'health', 'hospital', 'pandemic', 'vaccine', 'first', 'medical ']"
3,2,84,2_mental_mental health_health_mentalhealth,"[('mental', 0.053802196182965153), ('mental health', 0.05005122699228319), ('health', 0.023966008336916075), ('mentalhealth', 0.01239694955771518), ('conversation', 0.009917559646172145), ('days', 0.009243131538249315), ('covid', 0.009098810047863778), ('might', 0.008987306166127496), ('youth', 0.008542120713222195), ('mentalhealth season', 0.00844774515464588)]",positive,"['mental', 'mental health', 'health', 'mentalhealth', 'conversation', 'days', 'covid', 'might', 'youth', 'mentalhealth season ']"
4,3,59,3_happy_year_wish_happiness,"[('happy', 0.03427778985906317), ('year', 0.03194560280652799), ('wish', 0.028759729629240886), ('happiness', 0.027062954167163165), ('may', 0.023985026615722157), ('health', 0.023115423539517108), ('good', 0.02248375676912006), ('love', 0.021446147454881836), ('new', 0.021151143412501364), ('life', 0.020497567603143432)]",positive,"['happy', 'year', 'wish', 'happiness', 'may', 'health', 'good', 'love', 'new', 'life ']"
5,4,58,4_safe_take care_take_care,"[('safe', 0.09950394697085528), ('take care', 0.06688800120554357), ('take', 0.06037785418979369), ('care', 0.0549759636882708), ('take care safe', 0.05360629799406041), ('care safe', 0.05360629799406041), ('stay safe', 0.031366859577782395), ('hope', 0.030215018338815472), ('welcome', 0.03014160499233495), ('twitter', 0.029106807329879747)]",positive,"['safe', 'take care', 'take', 'care', 'take care safe', 'care safe', 'stay safe', 'hope', 'welcome', 'twitter ']"
6,5,32,5_vaccine_committee_immunization_vaccination,"[('vaccine', 0.02906735168115017), ('committee', 0.026720847519577012), ('immunization', 0.026720847519577012), ('vaccination', 0.024766820203403362), ('meeting', 0.023276569465065927), ('technical', 0.02101907602529817), ('policy', 0.020690283968947492), ('health', 0.018786479806886174), ('75m', 0.017903980816125455), ('new vaccine', 0.017903980816125455)]",positive,"['vaccine', 'committee', 'immunization', 'vaccination', 'meeting', 'technical', 'policy', 'health', 'm', 'new vaccine ']"
7,6,22,6_food_food safety_worldfoodsafetyday_safety,"[('food', 0.08977577285999856), ('food safety', 0.04492521638658741), ('worldfoodsafetyday', 0.04492521638658741), ('safety', 0.03858571393256487), ('foodsafety', 0.03467543088485621), ('foodborne', 0.027365089162087488), ('safe food', 0.027365089162087488), ('health everyone', 0.02663697092756943), ('safe', 0.02422640470807925), ('play', 0.02120900907850324)]",positive,"['food', 'food safety', 'worldfoodsafetyday', 'safety', 'foodsafety', 'foodborne', 'safe food', 'health everyone', 'safe', 'play ']"
8,7,20,7_stchpdc42022_stchpdc42022 aidswatchafrica_yearofnutrition stchpdc42022 aidswatchafrica_aidswatchafrica,"[('stchpdc42022', 0.04918715368540424), ('stchpdc42022 aidswatchafrica', 0.04351706465207978), ('yearofnutrition stchpdc42022 aidswatchafrica', 0.04351706465207978), ('aidswatchafrica', 0.04351706465207978), ('yearofnutrition stchpdc42022', 0.04351706465207978), ('africa', 0.04124095313823675), ('yearofnutrition', 0.041202263519957), ('chws', 0.03347265978666933), ('au', 0.03258203400415739), ('community health', 0.030523347898375866)]",positive,"['stchpdc', 'stchpdc aidswatchafrica', 'yearofnutrition stchpdc aidswatchafrica', 'aidswatchafrica', 'yearofnutrition stchpdc', 'africa', 'yearofnutrition', 'chws', 'au', 'community health ']"
9,8,20,8_health benefits_amp_healthy_fitness,"[('health benefits', 0.03915713301118661), ('amp', 0.03285797363410237), ('healthy', 0.030221549502882618), ('fitness', 0.030073092777085725), ('benefits', 0.027880219513990057), ('health', 0.026646795142753477), ('amazing', 0.020545293023447472), ('juices various', 0.02020508183281994), ('vegetable used', 0.02020508183281994), ('healthyeating', 0.02020508183281994)]",positive,"['health benefits', 'amp', 'healthy', 'fitness', 'benefits', 'health', 'amazing', 'juices various', 'vegetable used', 'healthyeating ']"
10,9,20,9_climate_environment_impacts_climate change,"[('climate', 0.03715568802762917), ('environment', 0.028568296332431752), ('impacts', 0.026260305861837877), ('climate change', 0.02367778262203272), ('change', 0.022065531018470787), ('stockholm50 climate', 0.0217935190539183), ('climate health', 0.0217935190539183), ('stockholm50', 0.0217935190539183), ('stockholm50 climate health', 0.0217935190539183), ('hand', 0.021008244689470303)]",positive,"['climate', 'environment', 'impacts', 'climate change', 'change', 'stockholm climate', 'climate health', 'stockholm', 'stockholm climate health', 'hand ']"
11,10,20,10_taxi_taxi chauffeur_chauffeur_malta taxi,"[('taxi', 0.07258847231138779), ('taxi chauffeur', 0.06266553091226139), ('chauffeur', 0.06266553091226139), ('malta taxi', 0.05888826027020473), ('malta taxi chauffeur', 0.05888826027020473), ('malta', 0.05594909990150655), ('worker status', 0.043577613684531766), ('status', 0.04241811974126151), ('worker', 0.04075024910814794), ('worker status malta', 0.03745809666330083)]",positive,"['taxi', 'taxi chauffeur', 'chauffeur', 'malta taxi', 'malta taxi chauffeur', 'malta', 'worker status', 'status', 'worker', 'worker status malta ']"
