Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1916,-1_health_mental_mental health_care,"[('health', 0.009969321245964126), ('mental', 0.005644951529931095), ('mental health', 0.005453120617806443), ('care', 0.0047460310639900125), ('im', 0.004628445726432184), ('people', 0.0042879286220869365), ('dont', 0.0042010417334030084), ('covid', 0.004142314557568927), ('get', 0.004098530251475552), ('amp', 0.004060989600439116)]",neutral,"['health', 'mental', 'mental health', 'care', 'im', 'people', 'dont', 'covid', 'get', 'amp ']"
1,0,310,0_nurse_nurses_hospital_doctors,"[('nurse', 0.022831511729467093), ('nurses', 0.017878213695226335), ('hospital', 0.014500637874795755), ('doctors', 0.009775212853499584), ('nursing', 0.007819034012769467), ('patient', 0.006921893985672073), ('patients', 0.0065102192958382795), ('care', 0.006075990208109243), ('hospitals', 0.005986524869256902), ('healthcare', 0.005623815345622654)]",neutral,"['nurse', 'nurses', 'hospital', 'doctors', 'nursing', 'patient', 'patients', 'care', 'hospitals', 'healthcare ']"
2,1,276,1_mask_wear_wear mask_masks,"[('mask', 0.04429015217063282), ('wear', 0.024546932517777925), ('wear mask', 0.018048782808675293), ('masks', 0.017064884150317636), ('wearing', 0.016530864752721794), ('wearing mask', 0.011724494368222952), ('people', 0.008868114863834518), ('dont', 0.00764094228222172), ('covid', 0.007196048415000084), ('still', 0.006974839825337397)]",neutral,"['mask', 'wear', 'wear mask', 'masks', 'wearing', 'wearing mask', 'people', 'dont', 'covid', 'still ']"
3,2,261,2_vaccine_vaccines_covid_covid19,"[('vaccine', 0.03210580320883718), ('vaccines', 0.017619786941629374), ('covid', 0.01394366715185677), ('covid19', 0.012453741585547615), ('get', 0.011382088576059187), ('vaccinated', 0.010752354137727163), ('people', 0.009146713634452842), ('pro', 0.007096832102695063), ('available', 0.006859116859610661), ('care', 0.006110853657881035)]",neutral,"['vaccine', 'vaccines', 'covid', 'covid', 'get', 'vaccinated', 'people', 'pro', 'available', 'care ']"
4,3,248,3_mental_mental health_health_help,"[('mental', 0.04485383436083332), ('mental health', 0.043981150838563646), ('health', 0.022924810888898427), ('help', 0.00829934741537616), ('okay', 0.00750537921037668), ('needs', 0.0072875525281762875), ('month', 0.00712084744888015), ('issues', 0.006951969116841763), ('mental health issues', 0.006570764479052764), ('know', 0.005930402027468503)]",neutral,"['mental', 'mental health', 'health', 'help', 'okay', 'needs', 'month', 'issues', 'mental health issues', 'know ']"
5,4,202,4_gun_guns_mental_mental health,"[('gun', 0.028457942101359372), ('guns', 0.023163033858574655), ('mental', 0.016927784248376435), ('mental health', 0.016172833630120714), ('insurance', 0.013265688403215823), ('health', 0.012296451106248267), ('healthcare', 0.011595377488512356), ('gun control', 0.01147349190804744), ('control', 0.0110957800291609), ('free', 0.010377010753629201)]",neutral,"['gun', 'guns', 'mental', 'mental health', 'insurance', 'health', 'healthcare', 'gun control', 'control', 'free ']"
6,5,200,5_amp_safety_safe_health safety,"[('amp', 0.021611394368653274), ('safety', 0.018974191965148202), ('safe', 0.015313948654145336), ('health safety', 0.009447664470039441), ('im', 0.006717121178128411), ('stay', 0.006324244462253404), ('health', 0.005996028290667713), ('health amp', 0.005800885734423388), ('logistics', 0.005175762790932528), ('know', 0.005145280005995624)]",neutral,"['amp', 'safety', 'safe', 'health safety', 'im', 'stay', 'health', 'health amp', 'logistics', 'know ']"
7,6,128,6_healthcare_care_ontario_canada,"[('healthcare', 0.014256424171721833), ('care', 0.012607388351264343), ('ontario', 0.010231610339534989), ('canada', 0.009530756058425707), ('vote', 0.009458395035012463), ('education', 0.009398764286074572), ('health care', 0.009289076885713373), ('public', 0.007513760340470037), ('campaign', 0.006891285138381117), ('ndp', 0.006817633074055351)]",neutral,"['healthcare', 'care', 'ontario', 'canada', 'vote', 'education', 'health care', 'public', 'campaign', 'ndp ']"
8,7,121,7_health_hope_health comes_comes first,"[('health', 0.030202022273770376), ('hope', 0.015469857741960712), ('health comes', 0.013861186926603122), ('comes first', 0.013401103986288883), ('soon', 0.012666792891446442), ('health comes first', 0.012364920555483029), ('comes', 0.012009811495609715), ('im', 0.011185309651467492), ('first', 0.01098958456203256), ('better', 0.009907257532261377)]",neutral,"['health', 'hope', 'health comes', 'comes first', 'soon', 'health comes first', 'comes', 'im', 'first', 'better ']"
9,8,119,8_worker_food_workers_co,"[('worker', 0.02585030358640214), ('food', 0.015722593856112743), ('workers', 0.014302821367450117), ('co', 0.012879377193069703), ('co worker', 0.012838576501094472), ('working', 0.010761440243431718), ('work', 0.007740266224978252), ('essential', 0.007449540416595337), ('hard', 0.007176413330587545), ('store', 0.006344418448709363)]",neutral,"['worker', 'food', 'workers', 'co', 'co worker', 'working', 'work', 'essential', 'hard', 'store ']"
