Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,10356,-1_health_people_healthcare_covid,"[('health', 0.012866366787021698), ('people', 0.008040041444642348), ('healthcare', 0.007766206414514545), ('covid', 0.007383061229553173), ('care', 0.006929092295390299), ('covid19', 0.006634292386126102), ('dont', 0.006329044191238551), ('amp', 0.006140385047254423), ('get', 0.005529652857999803), ('mental', 0.005498011161083814)]",negative,"['health', 'people', 'healthcare', 'covid', 'care', 'covid', 'dont', 'amp', 'get', 'mental ']"
1,0,11827,0_health_covid19_people_amp,"[('health', 0.013781653063596164), ('covid19', 0.008042424276830546), ('people', 0.007630461322230201), ('amp', 0.007603268752471567), ('covid', 0.007508116933724709), ('dont', 0.006739204311945336), ('mental', 0.006302094326125379), ('care', 0.006235929032814903), ('healthcare', 0.0062029148647282225), ('mental health', 0.005964341461066303)]",negative,"['health', 'covid', 'people', 'amp', 'covid', 'dont', 'mental', 'care', 'healthcare', 'mental health ']"
2,1,105,1_safety_safety health_guests_staff reevaluate,"[('safety', 0.12908731847132182), ('safety health', 0.10419554991437481), ('guests', 0.10137715035169384), ('staff reevaluate', 0.10129051717287695), ('taking future bookings', 0.10129051717287695), ('bookings', 0.10129051717287695), ('time taking future', 0.10129051717287695), ('conditions time taking', 0.10129051717287695), ('guests staff reevaluate', 0.10129051717287695), ('safety health guests', 0.10129051717287695)]",negative,"['safety', 'safety health', 'guests', 'staff reevaluate', 'taking future bookings', 'bookings', 'time taking future', 'conditions time taking', 'guests staff reevaluate', 'safety health guests ']"
3,2,36,2_work harris health_work harris_want work harris_health system hiring,"[('work harris health', 0.23222996797914283), ('work harris', 0.23222996797914283), ('want work harris', 0.23222996797914283), ('health system hiring', 0.23222996797914283), ('harris health system', 0.23222996797914283), ('system hiring', 0.23127049803192634), ('harris health', 0.23127049803192634), ('harris', 0.21344267288647106), ('want work', 0.19726734049637093), ('hiring', 0.19145629962947835)]",negative,"['work harris health', 'work harris', 'want work harris', 'health system hiring', 'harris health system', 'system hiring', 'harris health', 'harris', 'want work', 'hiring ']"
4,3,34,3_monkeypox_case_cases_confirmed,"[('monkeypox', 0.1530261542866967), ('case', 0.051507941759055965), ('cases', 0.04780409919282768), ('confirmed', 0.0417952658097854), ('cases monkeypox', 0.03486089895456703), ('health', 0.034712408094805074), ('case monkeypox', 0.029644171566232745), ('monkeypox case', 0.029644171566232745), ('health officials', 0.029301438550276455), ('officials', 0.027230895516397572)]",negative,"['monkeypox', 'case', 'cases', 'confirmed', 'cases monkeypox', 'health', 'case monkeypox', 'monkeypox case', 'health officials', 'officials ']"
5,4,30,4_help_please_would appreciate help_edit bio would,"[('help', 0.11268159676030022), ('please', 0.10958127538881428), ('would appreciate help', 0.09888289068810897), ('edit bio would', 0.09888289068810897), ('working properly please', 0.09888289068810897), ('able edit bio', 0.09888289068810897), ('bio would', 0.09888289068810897), ('upload sometimes duplicate', 0.09888289068810897), ('account isnt working', 0.09888289068810897), ('instagram account isnt', 0.09888289068810897)]",negative,"['help', 'please', 'would appreciate help', 'edit bio would', 'working properly please', 'able edit bio', 'bio would', 'upload sometimes duplicate', 'account isnt working', 'instagram account isnt ']"
6,5,30,5_potus say care_potus say_say care weae_care weae,"[('potus say care', 0.3171129524059513), ('potus say', 0.3171129524059513), ('say care weae', 0.3155092893831469), ('care weae', 0.3155092893831469), ('weae mask', 0.3155092893831469), ('care weae mask', 0.3155092893831469), ('weae', 0.3155092893831469), ('say care', 0.3096393213282462), ('dont potus say', 0.28364407083461646), ('dont potus', 0.2805260101197073)]",negative,"['potus say care', 'potus say', 'say care weae', 'care weae', 'weae mask', 'care weae mask', 'weae', 'say care', 'dont potus say', 'dont potus ']"
7,6,29,6_climate_climate emergency_climate change_change,"[('climate', 0.09613220544650727), ('climate emergency', 0.04171305428500322), ('climate change', 0.04048654296013453), ('change', 0.03812217038102505), ('emergency', 0.02553178421691164), ('opposite safe', 0.021013087549442228), ('enough 5g comment', 0.021013087549442228), ('people bullshit', 0.021013087549442228), ('opposite safe dont', 0.021013087549442228), ('bullshit last century', 0.021013087549442228)]",negative,"['climate', 'climate emergency', 'climate change', 'change', 'emergency', 'opposite safe', 'enough g comment', 'people bullshit', 'opposite safe dont', 'bullshit last century ']"
8,7,29,7_resign_resignation_lindsey_resign immediately,"[('resign', 0.17365699820913028), ('resignation', 0.031130414128279854), ('lindsey', 0.027200614787033086), ('resign immediately', 0.026550115175354806), ('must resign', 0.026018630123525247), ('us', 0.020640402103483488), ('please resign', 0.01948088179206738), ('resign please resign', 0.01948088179206738), ('pelosi must resign', 0.01948088179206738), ('resign please', 0.01948088179206738)]",negative,"['resign', 'resignation', 'lindsey', 'resign immediately', 'must resign', 'us', 'please resign', 'resign please resign', 'pelosi must resign', 'resign please ']"
9,8,27,8_cybersecurity_security ceptbiro_ceptbiro cybersecurity_ceptbiro,"[('cybersecurity', 0.05434752787165947), ('security ceptbiro', 0.053313286583172075), ('ceptbiro cybersecurity', 0.053313286583172075), ('ceptbiro', 0.053313286583172075), ('infosec secinfo security', 0.053313286583172075), ('secinfo', 0.053313286583172075), ('infosec secinfo', 0.053313286583172075), ('secinfo security', 0.053313286583172075), ('secinfo security ceptbiro', 0.053313286583172075), ('healthcare organizations', 0.053313286583172075)]",negative,"['cybersecurity', 'security ceptbiro', 'ceptbiro cybersecurity', 'ceptbiro', 'infosec secinfo security', 'secinfo', 'infosec secinfo', 'secinfo security', 'secinfo security ceptbiro', 'healthcare organizations ']"
