Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,385,-1_health_amp_people_like,"[('health', 0.016610076961295427), ('amp', 0.012001855031935207), ('people', 0.008533983463528409), ('like', 0.006988736460649457), ('dont', 0.006806398820678608), ('safe', 0.006748954529621581), ('nurses', 0.006586793708352263), ('covid19', 0.00655197264494187), ('public', 0.0059454672478139545), ('workers', 0.005909876568133177)]",neutral,"['health', 'amp', 'people', 'like', 'dont', 'safe', 'nurses', 'covid', 'public', 'workers ']"
1,0,535,0_health_mental_mental health_covid19,"[('health', 0.026805383583797467), ('mental', 0.01496935171517007), ('mental health', 0.014103329772399625), ('covid19', 0.008615722631040554), ('go', 0.008576960291421607), ('dont', 0.007737610241686419), ('covid', 0.0077023165769377275), ('people', 0.007594893240911944), ('need', 0.007044883381074912), ('care', 0.006656731802092418)]",neutral,"['health', 'mental', 'mental health', 'covid', 'go', 'dont', 'covid', 'people', 'need', 'care ']"
2,1,145,1_nurses_nurse_day_heroes,"[('nurses', 0.062047899110354285), ('nurse', 0.058058674265183165), ('day', 0.014170283907262231), ('heroes', 0.01338835390267332), ('like', 0.013326764835797915), ('student', 0.013260575189776597), ('dont', 0.011771711630931136), ('hospital', 0.011467351537831702), ('imagine', 0.010382851388347096), ('nurse boy', 0.009544525761884746)]",neutral,"['nurses', 'nurse', 'day', 'heroes', 'like', 'student', 'dont', 'hospital', 'imagine', 'nurse boy ']"
3,2,50,2_vaccine_vaccines_vaccinated_burden,"[('vaccine', 0.03700625270596102), ('vaccines', 0.036748306639250036), ('vaccinated', 0.016853623910868042), ('burden', 0.01534305849060764), ('made', 0.014057395159428204), ('health', 0.014040957347809852), ('vaccination', 0.013786723765861281), ('would', 0.012600107994910495), ('however', 0.012467249641818846), ('needs', 0.011954828509173926)]",neutral,"['vaccine', 'vaccines', 'vaccinated', 'burden', 'made', 'health', 'vaccination', 'would', 'however', 'needs ']"
4,3,43,3_lockdown_extend_extend lockdown_health system,"[('lockdown', 0.0964085410953617), ('extend', 0.02571537369606371), ('extend lockdown', 0.0193820750303534), ('health system', 0.017910378561525987), ('system', 0.017221071530235277), ('prior', 0.014694499254893549), ('time', 0.01420309846784569), ('overwhelmed', 0.014089032649592615), ('cant', 0.013996676905262422), ('bwp', 0.012553472410803714)]",neutral,"['lockdown', 'extend', 'extend lockdown', 'health system', 'system', 'prior', 'time', 'overwhelmed', 'cant', 'bwp ']"
5,4,42,4_namibia_students_health_student,"[('namibia', 0.05926528921774644), ('students', 0.019302158458651804), ('health', 0.01660760898099418), ('student', 0.014074362228685161), ('clinical', 0.013533316744620286), ('support', 0.013069233529698772), ('leadership', 0.013069233529698772), ('leadership namibia', 0.012411723221293592), ('tell', 0.012375348405349106), ('terms', 0.012063739053158709)]",neutral,"['namibia', 'students', 'health', 'student', 'clinical', 'support', 'leadership', 'leadership namibia', 'tell', 'terms ']"
6,5,25,5_covid19_get_hospital_thats,"[('covid19', 0.031611579359100986), ('get', 0.02670700544317699), ('hospital', 0.02575228257722686), ('thats', 0.024070239768713787), ('concern preventive', 0.022825294855650727), ('prevent spread', 0.022825294855650727), ('much concern preventive', 0.022825294855650727), ('wind much concern', 0.022825294855650727), ('much concern', 0.022825294855650727), ('concern preventive measures', 0.022825294855650727)]",neutral,"['covid', 'get', 'hospital', 'thats', 'concern preventive', 'prevent spread', 'much concern preventive', 'wind much concern', 'much concern', 'concern preventive measures ']"
7,6,19,6_salary_wa_largest_paying,"[('salary', 0.04264679534338962), ('wa', 0.02989245633082183), ('largest', 0.023935714605385086), ('paying', 0.020640808897788968), ('salaries', 0.01872842370476662), ('payment', 0.01872842370476662), ('around', 0.018338360492661698), ('workers', 0.017250450523199543), ('status', 0.016857696176734275), ('employees', 0.01644195322034035)]",neutral,"['salary', 'wa', 'largest', 'paying', 'salaries', 'payment', 'around', 'workers', 'status', 'employees ']"
8,7,19,7_quarantine_results_days_facilities must,"[('quarantine', 0.09909594781646262), ('results', 0.03809363047501044), ('days', 0.033031982605487537), ('facilities must', 0.03085788990938147), ('water', 0.03019437591121605), ('must', 0.028013352096673546), ('day', 0.02765638785484082), ('givers curb spread', 0.02414465773785244), ('care givers curb', 0.02414465773785244), ('results brought', 0.02414465773785244)]",neutral,"['quarantine', 'results', 'days', 'facilities must', 'water', 'must', 'day', 'givers curb spread', 'care givers curb', 'results brought ']"
9,8,18,8_sexual_reproductive_reproductive health_mother,"[('sexual', 0.03749312820800679), ('reproductive', 0.033518031358269584), ('reproductive health', 0.033518031358269584), ('mother', 0.026780805862861995), ('abortion', 0.02439728485948342), ('health', 0.02190964025346952), ('sexual reproductive health', 0.0190895778808916), ('sexual reproductive', 0.0190895778808916), ('men', 0.016759015679134792), ('reasons', 0.0160684835177172)]",neutral,"['sexual', 'reproductive', 'reproductive health', 'mother', 'abortion', 'health', 'sexual reproductive health', 'sexual reproductive', 'men', 'reasons ']"
