Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1772,-1_health_people_covid19_amp,"[('health', 0.007336725379383591), ('people', 0.004952945068848627), ('covid19', 0.004355923524147114), ('amp', 0.004349276471869866), ('covid', 0.004036391921172149), ('dont', 0.003933149703962278), ('go', 0.003470705700427809), ('care', 0.003378141826645752), ('hospital', 0.0032178180292695997), ('ministry', 0.0032124862207191227)]",negative,"['health', 'people', 'covid', 'amp', 'covid', 'dont', 'go', 'care', 'hospital', 'ministry ']"
1,0,555,0_ke_le_go_ba,"[('ke', 0.013438564011540482), ('le', 0.011281218340965045), ('go', 0.0111734250355815), ('ba', 0.009817341640677305), ('covid', 0.00803258135159543), ('ya', 0.007952461108213559), ('ka', 0.007931774789542519), ('gape', 0.007459801707753854), ('gore', 0.007120786951489136), ('health', 0.006741025090684095)]",negative,"['ke', 'le', 'go', 'ba', 'covid', 'ya', 'ka', 'gape', 'gore', 'health ']"
2,1,499,1_nurses_nurse_hospital_dont,"[('nurses', 0.017318838314456117), ('nurse', 0.013632825104700286), ('hospital', 0.007826059152139813), ('dont', 0.007453210369048764), ('hospitals', 0.007207086529918309), ('private', 0.00599116550337125), ('doctors', 0.005950437255246563), ('public', 0.0058061046663208495), ('health', 0.005271852026918582), ('patient', 0.004761802966944622)]",negative,"['nurses', 'nurse', 'hospital', 'dont', 'hospitals', 'private', 'doctors', 'public', 'health', 'patient ']"
3,2,269,2_mental_mental health_health_mental health issues,"[('mental', 0.05173417930210601), ('mental health', 0.04922127452081542), ('health', 0.017132008763346748), ('mental health issues', 0.008908241536294792), ('health issues', 0.007990582374745132), ('depression', 0.007916979867478973), ('issues', 0.007608885027847906), ('dont', 0.006922207030393485), ('im', 0.005862842694357063), ('like', 0.005645121683852605)]",negative,"['mental', 'mental health', 'health', 'mental health issues', 'health issues', 'depression', 'issues', 'dont', 'im', 'like ']"
4,3,170,3_health_good health_good_bad,"[('health', 0.024883385245902147), ('good health', 0.019393447246018564), ('good', 0.01611649381391803), ('bad', 0.013337651378959306), ('bad health', 0.01160887748918946), ('tobacco', 0.010124866765094009), ('dont', 0.009050425555510081), ('smoking', 0.007762818576751431), ('know', 0.0071265186375082095), ('cant', 0.007012044819102062)]",negative,"['health', 'good health', 'good', 'bad', 'bad health', 'tobacco', 'dont', 'smoking', 'know', 'cant ']"
5,4,104,4_mask_wear_masks_wear mask,"[('mask', 0.05145924680206129), ('wear', 0.026945685493260253), ('masks', 0.021396152107013396), ('wear mask', 0.018964282456370544), ('spread', 0.013217722189715155), ('face', 0.012642854970913695), ('people', 0.01203560677569533), ('face mask', 0.011872591951539106), ('always', 0.010935089945438025), ('wear masks', 0.009429751161612031)]",negative,"['mask', 'wear', 'masks', 'wear mask', 'spread', 'face', 'people', 'face mask', 'always', 'wear masks ']"
6,5,92,5_botswana_africa_countries_african,"[('botswana', 0.03766307121892875), ('africa', 0.011334459865870018), ('countries', 0.009862809668657775), ('african', 0.008200225922923316), ('health', 0.007507575959999175), ('diabetes', 0.0066976501233926055), ('population', 0.0062524805408769295), ('system', 0.006015765011846079), ('dont', 0.00585643441611749), ('people', 0.005367666479751857)]",negative,"['botswana', 'africa', 'countries', 'african', 'health', 'diabetes', 'population', 'system', 'dont', 'people ']"
7,6,88,6_salary_pay_money_month,"[('salary', 0.042239631213791914), ('pay', 0.020127584386677087), ('money', 0.014410915211084643), ('month', 0.011420592403501522), ('workers', 0.010493793883596064), ('pay us money', 0.010176469282489223), ('pay us', 0.010176469282489223), ('us money', 0.009977442944493967), ('money pay', 0.00910190424938242), ('salaries', 0.008254884284052875)]",negative,"['salary', 'pay', 'money', 'month', 'workers', 'pay us money', 'pay us', 'us money', 'money pay', 'salaries ']"
8,7,83,7_coronavirus_corona_positive_corona virus,"[('coronavirus', 0.029641263489690987), ('corona', 0.022609807822985953), ('positive', 0.01623242480920886), ('corona virus', 0.015228838301221216), ('health mec madoda', 0.013433719166092936), ('health mec', 0.012980783822575273), ('virus', 0.01275347579051843), ('health', 0.012148667762802526), ('press briefing', 0.010731383736725041), ('mec madoda sambatha', 0.010606459811400779)]",negative,"['coronavirus', 'corona', 'positive', 'corona virus', 'health mec madoda', 'health mec', 'virus', 'health', 'press briefing', 'mec madoda sambatha ']"
9,8,70,8_lockdown_world_covid19_economic,"[('lockdown', 0.015432304215281308), ('world', 0.01457671811886354), ('covid19', 0.011963708457692561), ('economic', 0.010772725526070847), ('easing', 0.010678508433758692), ('economy', 0.010284027454661032), ('governments', 0.009242318081673594), ('led', 0.009146743991456556), ('crisis', 0.008671234709757513), ('todays', 0.00847605146115375)]",negative,"['lockdown', 'world', 'covid', 'economic', 'easing', 'economy', 'governments', 'led', 'crisis', 'todays ']"
10,9,62,9_lockdown_lock_making_lockdown making,"[('lockdown', 0.07732722226697863), ('lock', 0.02039314227162995), ('making', 0.018800473714290184), ('lockdown making', 0.01758156500792205), ('wings', 0.01758156500792205), ('people', 0.01742529298151165), ('making people', 0.016115182551774947), ('sleeping', 0.015457180309678646), ('lockdown making people', 0.013751870327888176), ('post lock', 0.013751870327888176)]",negative,"['lockdown', 'lock', 'making', 'lockdown making', 'wings', 'people', 'making people', 'sleeping', 'lockdown making people', 'post lock ']"
11,10,59,10_quarantine_virus_self quarantine_ministry,"[('quarantine', 0.051081109922389706), ('virus', 0.022809011324292187), ('self quarantine', 0.015525962246071442), ('ministry', 0.014765692005352368), ('ready', 0.013258040922904113), ('us', 0.012970027658071037), ('self', 0.012351030262793248), ('useless', 0.011867056066093201), ('nation', 0.011726396561672911), ('even', 0.011141852614365177)]",negative,"['quarantine', 'virus', 'self quarantine', 'ministry', 'ready', 'us', 'self', 'useless', 'nation', 'even ']"
12,11,58,11_minister_minister health_health minister_ministry,"[('minister', 0.046360028686331975), ('minister health', 0.0356893317607972), ('health minister', 0.021222132202861725), ('ministry', 0.02037665496738627), ('health', 0.01954905042456326), ('ministry health', 0.014729078274186512), ('hes', 0.013311912837821403), ('know', 0.010864304943303331), ('medicine know', 0.009979928752238848), ('approach dammit', 0.009979928752238848)]",negative,"['minister', 'minister health', 'health minister', 'ministry', 'health', 'ministry health', 'hes', 'know', 'medicine know', 'approach dammit ']"
13,12,55,12_namibia_namibian_namibians_healthcare,"[('namibia', 0.02842283985462968), ('namibian', 0.022862441237607622), ('namibians', 0.020779697085028404), ('healthcare', 0.017610266430270582), ('quality', 0.013260924435388717), ('high cost private', 0.011774980922123089), ('cost private', 0.011774980922123089), ('high cost', 0.011774980922123089), ('access', 0.010932675285177993), ('system', 0.00992498056678441)]",negative,"['namibia', 'namibian', 'namibians', 'healthcare', 'quality', 'high cost private', 'cost private', 'high cost', 'access', 'system ']"
14,13,54,13_wealth_health wealth_money_life,"[('wealth', 0.029226337695670554), ('health wealth', 0.021204048947117596), ('money', 0.02051274775357912), ('life', 0.017862724508450112), ('survive', 0.017611076249415485), ('temporary health wealth', 0.015001463129348618), ('short jobs temporary', 0.015001463129348618), ('life short jobs', 0.015001463129348618), ('money need', 0.015001463129348618), ('save money need', 0.015001463129348618)]",negative,"['wealth', 'health wealth', 'money', 'life', 'survive', 'temporary health wealth', 'short jobs temporary', 'life short jobs', 'money need', 'save money need ']"
15,14,46,14_total_cases_recoveries_dr,"[('total', 0.03404591179350639), ('cases', 0.03313417650873889), ('recoveries', 0.029632428701458612), ('dr', 0.028334999952349383), ('coronavirus covid19 coronavirusbotswana', 0.028177315274324776), ('covid19', 0.028167235937047827), ('death', 0.027831155210825596), ('covid19 coronavirusbotswana', 0.027797007439975208), ('coronavirusbotswana', 0.027437594559060134), ('according dr', 0.02728298441186725)]",negative,"['total', 'cases', 'recoveries', 'dr', 'coronavirus covid coronavirusbotswana', 'covid', 'death', 'covid coronavirusbotswana', 'coronavirusbotswana', 'according dr ']"
16,15,43,15_protest_shutitalldown_protests_protesting,"[('protest', 0.06490102541217771), ('shutitalldown', 0.026644561505917503), ('protests', 0.01996186034340116), ('protesting', 0.016157590926911197), ('gender based violence', 0.014201186043071131), ('based violence', 0.014201186043071131), ('gender based', 0.013802033558935944), ('violence', 0.013681062949845781), ('woman', 0.01282222486490055), ('police', 0.012063047833069001)]",negative,"['protest', 'shutitalldown', 'protests', 'protesting', 'gender based violence', 'based violence', 'gender based', 'violence', 'woman', 'police ']"
17,16,41,16_abortion_abortions_women_legalize,"[('abortion', 0.061556070211785316), ('abortions', 0.021030128666236304), ('women', 0.017051511249639675), ('legalize', 0.016133330279873796), ('safe abortion', 0.01417506149296124), ('legalizeabortionna', 0.012154168235060879), ('legalizing', 0.012154168235060879), ('legalizing abortion', 0.012154168235060879), ('unsafe', 0.01105327646018687), ('safe', 0.011034096933882557)]",negative,"['abortion', 'abortions', 'women', 'legalize', 'safe abortion', 'legalizeabortionna', 'legalizing', 'legalizing abortion', 'unsafe', 'safe ']"
18,17,39,17_covid19_tshwaranang_tested_tlhabane,"[('covid19', 0.027918556668722495), ('tshwaranang', 0.026149104783700028), ('tested', 0.025686396752314555), ('tlhabane', 0.02275250376511085), ('park', 0.02122131165411118), ('call', 0.02046409900252777), ('tested covid19', 0.018059768738253733), ('toll free', 0.017879907110439748), ('gph', 0.017529266559475204), ('contact', 0.017292699866271282)]",negative,"['covid', 'tshwaranang', 'tested', 'tlhabane', 'park', 'call', 'tested covid', 'toll free', 'gph', 'contact ']"
19,18,35,18_social_end_covid19_social distancing,"[('social', 0.02304093228787525), ('end', 0.01807546613302933), ('covid19', 0.017238772993793314), ('social distancing', 0.016518121267789673), ('distancing', 0.016251064416453947), ('home', 0.01598200594949544), ('follow', 0.01566483499167264), ('continue', 0.015167220447501888), ('beat', 0.014540557191520276), ('stay', 0.014458262693249974)]",negative,"['social', 'end', 'covid', 'social distancing', 'distancing', 'home', 'follow', 'continue', 'beat', 'stay ']"
20,19,34,19_professional nurse_promosa_nurse_professional,"[('professional nurse', 0.03385970116583727), ('promosa', 0.0310346843863835), ('nurse', 0.029496300714854717), ('professional', 0.029281912079392354), ('pts', 0.028141100281872337), ('community health', 0.026573431922107274), ('promosa community', 0.026573431922107274), ('promosa community health', 0.026573431922107274), ('potchefstroom', 0.023567433885364288), ('positive', 0.02280451150847869)]",negative,"['professional nurse', 'promosa', 'nurse', 'professional', 'pts', 'community health', 'promosa community', 'promosa community health', 'potchefstroom', 'positive ']"
