Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1081,-1_health_care_covid19_amp,"[('health', 0.009187918334974845), ('care', 0.0056334851554716665), ('covid19', 0.005607276393055484), ('amp', 0.005321199926925227), ('people', 0.005094247561870783), ('good', 0.0047162639141700834), ('covid', 0.00452067126702302), ('nurse', 0.004069585473120744), ('take', 0.004014596259259115), ('stay', 0.003716004778028132)]",positive,"['health', 'care', 'covid', 'amp', 'people', 'good', 'covid', 'nurse', 'take', 'stay ']"
1,0,553,0_covid19_botswana_health_covid,"[('covid19', 0.016312921231806273), ('botswana', 0.010353892199009335), ('health', 0.007694055282295806), ('covid', 0.0070680875614629445), ('lets', 0.005989728886350265), ('people', 0.005684093092466686), ('care', 0.0053102019610489284), ('us', 0.005052149771286092), ('testing', 0.004623571140508949), ('amp', 0.004499736833512355)]",positive,"['covid', 'botswana', 'health', 'covid', 'lets', 'people', 'care', 'us', 'testing', 'amp ']"
2,1,370,1_mental_mental health_health_important,"[('mental', 0.056187731239708764), ('mental health', 0.05423313011842981), ('health', 0.020541171053280852), ('important', 0.008530318907515504), ('care mental', 0.007494181200741781), ('care mental health', 0.00720695446658951), ('take care mental', 0.00720695446658951), ('issues', 0.006890687607377653), ('take', 0.006301659372154088), ('people', 0.006053329802251276)]",positive,"['mental', 'mental health', 'health', 'important', 'care mental', 'care mental health', 'take care mental', 'issues', 'take', 'people ']"
3,2,354,2_birthday_happy birthday_good health_good,"[('birthday', 0.03531726020331798), ('happy birthday', 0.028599290508624014), ('good health', 0.028251694202713274), ('good', 0.027542575001289173), ('happy', 0.02592202093341562), ('health', 0.01627506276962765), ('may', 0.01621837105983792), ('wish', 0.014933657190394165), ('life', 0.014195040953885971), ('wishing', 0.013367493156636264)]",positive,"['birthday', 'happy birthday', 'good health', 'good', 'happy', 'health', 'may', 'wish', 'life', 'wishing ']"
4,3,258,3_nurses_nurse_nurses day_doctors,"[('nurses', 0.05353047302812877), ('nurse', 0.031230316508200653), ('nurses day', 0.021494534146079467), ('doctors', 0.020502960204428242), ('day', 0.017283823849853334), ('international nurses', 0.01566157852512046), ('international', 0.015042776313843383), ('happy', 0.013836598483179849), ('nurses doctors', 0.013626241602244918), ('doctors nurses', 0.013102155386773959)]",positive,"['nurses', 'nurse', 'nurses day', 'doctors', 'day', 'international nurses', 'international', 'happy', 'nurses doctors', 'doctors nurses ']"
5,4,207,4_namibia_africa_namibian_health,"[('namibia', 0.02909943846036), ('africa', 0.013074337808657502), ('namibian', 0.010396985321631727), ('health', 0.008872964270351301), ('covid19', 0.007441673223009042), ('windhoek', 0.006917726106773517), ('minister', 0.005890224594700873), ('lives', 0.005703800784615729), ('government', 0.005685993524780191), ('namibians', 0.005651365121500555)]",positive,"['namibia', 'africa', 'namibian', 'health', 'covid', 'windhoek', 'minister', 'lives', 'government', 'namibians ']"
6,5,125,5_ministry_minister_minister health_ministry health,"[('ministry', 0.03510611848027684), ('minister', 0.03312939004012155), ('minister health', 0.030864748425936357), ('ministry health', 0.026741121455729253), ('health', 0.021975136259844003), ('btv', 0.015339412367094029), ('dr', 0.013866428282074048), ('services', 0.012409345282828095), ('ministry health social', 0.011988481476609221), ('kwape', 0.01169183825494589)]",positive,"['ministry', 'minister', 'minister health', 'ministry health', 'health', 'btv', 'dr', 'services', 'ministry health social', 'kwape ']"
7,6,111,6_safe_take_stay_stay safe,"[('safe', 0.05922386751377628), ('take', 0.022026369671053963), ('stay', 0.021503101789674545), ('stay safe', 0.021499558513038194), ('take care', 0.021476654175355728), ('care', 0.019306291627787922), ('safe take', 0.01763541596093561), ('healthy', 0.012426684279945607), ('safe take care', 0.01234395604722259), ('win', 0.011484000449053549)]",positive,"['safe', 'take', 'stay', 'stay safe', 'take care', 'care', 'safe take', 'healthy', 'safe take care', 'win ']"
8,7,90,7_sexual_hiv_reproductive_reproductive health,"[('sexual', 0.019717285435375393), ('hiv', 0.018927687473235418), ('reproductive', 0.01475302634850037), ('reproductive health', 0.013973470809843725), ('safe', 0.012508261770255233), ('women', 0.011721665452786079), ('amp', 0.011683143770678134), ('youth', 0.011504746869208965), ('sex', 0.011393254515962807), ('health', 0.010902714498784232)]",positive,"['sexual', 'hiv', 'reproductive', 'reproductive health', 'safe', 'women', 'amp', 'youth', 'sex', 'health ']"
9,8,88,8_vaccine_vaccination_vaccines_loveprotects,"[('vaccine', 0.04563182142024912), ('vaccination', 0.031149989069175404), ('vaccines', 0.02425029041717464), ('loveprotects', 0.016132771801553515), ('nearest', 0.013244236888244035), ('johnson', 0.012396882203943594), ('prime', 0.011551636490836723), ('prime health', 0.011551636490836723), ('facility', 0.011374033903084977), ('vaccinated', 0.011278761916375514)]",positive,"['vaccine', 'vaccination', 'vaccines', 'loveprotects', 'nearest', 'johnson', 'prime', 'prime health', 'facility', 'vaccinated ']"
10,9,80,9_workers_health workers_heroes_workers day,"[('workers', 0.055995044524586736), ('health workers', 0.02972764281465695), ('heroes', 0.020747988144310198), ('workers day', 0.018580744145269324), ('work', 0.016780936970733434), ('day', 0.015089060132483048), ('happy workers', 0.014658896807881888), ('happy workers day', 0.014658896807881888), ('thank', 0.014506636384763584), ('happy', 0.014016247338591194)]",positive,"['workers', 'health workers', 'heroes', 'workers day', 'work', 'day', 'happy workers', 'happy workers day', 'thank', 'happy ']"
11,10,74,10_lockdown_go_im_go lockdown,"[('lockdown', 0.059339818207874324), ('go', 0.015759751351615555), ('im', 0.012173917693965839), ('go lockdown', 0.01046166628431214), ('like', 0.009751180387017448), ('ke', 0.009453435139993551), ('mix', 0.008369333027449712), ('gape', 0.007755654960759609), ('grow', 0.007026026631826327), ('tsa', 0.006936186436333033)]",positive,"['lockdown', 'go', 'im', 'go lockdown', 'like', 'ke', 'mix', 'gape', 'grow', 'tsa ']"
12,11,70,11_food_food safety_safety_worldfoodsafetyday,"[('food', 0.06180301919406177), ('food safety', 0.03333117476930578), ('safety', 0.023157144936445127), ('worldfoodsafetyday', 0.017646707029865205), ('health food', 0.014485411300690657), ('world', 0.011353326458317959), ('world food', 0.01113100338734372), ('world food safety', 0.01113100338734372), ('amp', 0.01107900535034327), ('human', 0.01076622467596063)]",positive,"['food', 'food safety', 'safety', 'worldfoodsafetyday', 'health food', 'world', 'world food', 'world food safety', 'amp', 'human ']"
13,12,59,12_wealth_health wealth_money_health,"[('wealth', 0.09255596081546433), ('health wealth', 0.0685248291541034), ('money', 0.036375580253759913), ('health', 0.03624876084434874), ('wealth health', 0.02897609386979029), ('health wealth health', 0.022863809002406813), ('good health', 0.0216978644398093), ('good', 0.020888831170019186), ('upon', 0.01732282993290608), ('prosperity', 0.014951392240326924)]",positive,"['wealth', 'health wealth', 'money', 'health', 'wealth health', 'health wealth health', 'good health', 'good', 'upon', 'prosperity ']"
14,13,53,13_mask_masks_skin_face,"[('mask', 0.05948573235717041), ('masks', 0.02477553878408806), ('skin', 0.022207931039062274), ('face', 0.02192423934878177), ('face mask', 0.020001270958548662), ('skincare', 0.01824326744743302), ('wear', 0.01639401923748551), ('cloth', 0.015716212756206972), ('mask public', 0.015340407298746623), ('face mask public', 0.014781603459987643)]",positive,"['mask', 'masks', 'skin', 'face', 'face mask', 'skincare', 'wear', 'cloth', 'mask public', 'face mask public ']"
15,14,43,14_hospital_ke_clinic_mme,"[('hospital', 0.02091920563127484), ('ke', 0.018723130044029986), ('clinic', 0.014984353693398605), ('mme', 0.014359185401795193), ('ba', 0.01407738362092692), ('gatwe', 0.012936013548728536), ('health', 0.01271852780505152), ('di', 0.012020363909223402), ('go', 0.011948799573881138), ('ketumile masire teaching', 0.011745614040763606)]",positive,"['hospital', 'ke', 'clinic', 'mme', 'ba', 'gatwe', 'health', 'di', 'go', 'ketumile masire teaching ']"
16,15,43,15_positive_doctor_hospital_klerksdorp,"[('positive', 0.04106349618678711), ('doctor', 0.03345657227288652), ('hospital', 0.03318093284431585), ('klerksdorp', 0.03056362358825547), ('positive covid19', 0.028299537506947116), ('hospitals', 0.026496644258044755), ('tested positive', 0.025413527561902856), ('rustenburg', 0.02434559285030891), ('stayhome', 0.024182698947902693), ('doctor tested', 0.024119179685308675)]",positive,"['positive', 'doctor', 'hospital', 'klerksdorp', 'positive covid', 'hospitals', 'tested positive', 'rustenburg', 'stayhome', 'doctor tested ']"
17,16,37,16_fitness_herbalife_body_health fitness,"[('fitness', 0.04184241211595682), ('herbalife', 0.027420929486051626), ('body', 0.020429158954924576), ('health fitness', 0.018331193833395144), ('gym', 0.01787745551207945), ('sunday', 0.017484540719057612), ('running', 0.01605727496416337), ('goals', 0.015839648535024394), ('bodybuilding', 0.015620230575095628), ('run', 0.015102229411756842)]",positive,"['fitness', 'herbalife', 'body', 'health fitness', 'gym', 'sunday', 'running', 'goals', 'bodybuilding', 'run ']"
18,17,34,17_hospitals_facilities_health facilities_past3amsquad,"[('hospitals', 0.02355652047346118), ('facilities', 0.0231513210828436), ('health facilities', 0.019877446586885218), ('past3amsquad', 0.0181069009659687), ('health', 0.01792666955879462), ('clinics', 0.017926116807336672), ('hospital', 0.01607119766283143), ('private', 0.01592839375521977), ('health workforce', 0.014663314343883228), ('health financing', 0.014663314343883228)]",positive,"['hospitals', 'facilities', 'health facilities', 'pastamsquad', 'health', 'clinics', 'hospital', 'private', 'health workforce', 'health financing ']"
19,18,33,18_mec_screening_sambatha_madoda,"[('mec', 0.06543875453620364), ('screening', 0.05539590647835202), ('sambatha', 0.053635371266389786), ('madoda', 0.0449100815174726), ('madoda sambatha', 0.0449100815174726), ('mec madoda', 0.044051368747368515), ('mec madoda sambatha', 0.044051368747368515), ('mass screening', 0.0309586478431439), ('mass', 0.030266268766535882), ('sambatha today', 0.0301398428222718)]",positive,"['mec', 'screening', 'sambatha', 'madoda', 'madoda sambatha', 'mec madoda', 'mec madoda sambatha', 'mass screening', 'mass', 'sambatha today ']"
20,19,31,19_safety_health safety_officer_safety health,"[('safety', 0.0822078645243802), ('health safety', 0.043458216445650066), ('officer', 0.026664873805133174), ('safety health', 0.025867192403453216), ('business', 0.022293213985469948), ('healthandsafety gasdetectors', 0.021582565799903128), ('gasdetectors', 0.021582565799903128), ('healthandsafety', 0.021582565799903128), ('sscontrolsbw breathalysers healthandsafety', 0.021582565799903128), ('breathalysers healthandsafety gasdetectors', 0.021582565799903128)]",positive,"['safety', 'health safety', 'officer', 'safety health', 'business', 'healthandsafety gasdetectors', 'gasdetectors', 'healthandsafety', 'sscontrolsbw breathalysers healthandsafety', 'breathalysers healthandsafety gasdetectors ']"
21,20,30,20_test_test test_test test test_positive,"[('test', 0.08037482503039693), ('test test', 0.07476453030159382), ('test test test', 0.06606007445916864), ('positive', 0.03659287361806433), ('laboratory', 0.03331790356907348), ('testing', 0.031383939160917015), ('tests', 0.028626146111057342), ('committee', 0.024128192430475932), ('positive covid19', 0.023910911499298686), ('covid19', 0.021306468072149094)]",positive,"['test', 'test test', 'test test test', 'positive', 'laboratory', 'testing', 'tests', 'committee', 'positive covid', 'covid ']"
22,21,29,21_health health_health_health health health_dribbling,"[('health health', 0.19795891837801224), ('health', 0.09205277424946458), ('health health health', 0.09087396126274999), ('dribbling', 0.06413642394727723), ('health rn lt', 0.035106866513068304), ('health everything health', 0.035106866513068304), ('health entertaiment vs', 0.035106866513068304), ('health entertaiment', 0.035106866513068304), ('health puzzle', 0.035106866513068304), ('health especially health', 0.035106866513068304)]",positive,"['health health', 'health', 'health health health', 'dribbling', 'health rn lt', 'health everything health', 'health entertaiment vs', 'health entertaiment', 'health puzzle', 'health especially health ']"
23,22,26,22_new_new year_year_new month,"[('new', 0.05298364280975808), ('new year', 0.04526423429973474), ('year', 0.03672021447831259), ('new month', 0.03262606192427776), ('month', 0.02992384048993166), ('may', 0.028848170902891452), ('happiness', 0.02848964604572853), ('2022', 0.026515313186786148), ('happy new', 0.026210035512337748), ('happy new year', 0.023304329945912687)]",positive,"['new', 'new year', 'year', 'new month', 'month', 'may', 'happiness', '', 'happy new', 'happy new year ']"
24,23,26,23_salary_permanent employment healthy_banging_banging salary,"[('salary', 0.10958045705252266), ('permanent employment healthy', 0.06017702505262958), ('banging', 0.06017702505262958), ('banging salary', 0.06017702505262958), ('permanent employment', 0.06017702505262958), ('healthy working', 0.06017702505262958), ('working environment banging', 0.06017702505262958), ('environment banging salary', 0.06017702505262958), ('environment banging', 0.06017702505262958), ('healthy working environment', 0.06017702505262958)]",positive,"['salary', 'permanent employment healthy', 'banging', 'banging salary', 'permanent employment', 'healthy working', 'working environment banging', 'environment banging salary', 'environment banging', 'healthy working environment ']"
