Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,659,-1_health_covid19_covid_people,"[('health', 0.017609458471349454), ('covid19', 0.007593064169782816), ('covid', 0.007247253134149735), ('people', 0.006852631133216703), ('mental', 0.006695344337190945), ('would', 0.006255123629167259), ('like', 0.0061852330438479635), ('mental health', 0.005886624266652508), ('need', 0.00574670004925265), ('care', 0.00558258496469035)]",neutral,"['health', 'covid', 'covid', 'people', 'mental', 'would', 'like', 'mental health', 'need', 'care ']"
1,0,601,0_health_mental_mental health_amp,"[('health', 0.019868315401861007), ('mental', 0.009743609849215226), ('mental health', 0.009418120272184303), ('amp', 0.009164349327899878), ('care', 0.008214429527739774), ('people', 0.006949150120778533), ('good', 0.00637151895281246), ('safety', 0.006249835598545417), ('better', 0.006076856152229703), ('safe', 0.005943537735907525)]",neutral,"['health', 'mental', 'mental health', 'amp', 'care', 'people', 'good', 'safety', 'better', 'safe ']"
2,1,93,1_vaccine_vaccinated_vaccination_vaccines,"[('vaccine', 0.03101843338756581), ('vaccinated', 0.021567658693605336), ('vaccination', 0.019542956392616374), ('vaccines', 0.015884339453162238), ('get', 0.011994309396821824), ('health', 0.011856068175306577), ('covid', 0.010948940322212804), ('acceptance', 0.00988842437718325), ('would', 0.009739574568012246), ('time', 0.009692924419541678)]",neutral,"['vaccine', 'vaccinated', 'vaccination', 'vaccines', 'get', 'health', 'covid', 'acceptance', 'would', 'time ']"
3,2,70,2_nurse_nurses_get_nurse nurse,"[('nurse', 0.09290462360142203), ('nurses', 0.04418702576395735), ('get', 0.02807115391753083), ('nurse nurse', 0.02314259816970589), ('ive', 0.020482571919945968), ('wants', 0.01693651706288088), ('student', 0.015428398779803927), ('doctors', 0.01512366288677282), ('work', 0.013735204681965148), ('funny', 0.013376394014877127)]",neutral,"['nurse', 'nurses', 'get', 'nurse nurse', 'ive', 'wants', 'student', 'doctors', 'work', 'funny ']"
4,3,47,3_mask_wear_wearing_masks,"[('mask', 0.057015035931395744), ('wear', 0.03678957025624602), ('wearing', 0.02393015563055694), ('masks', 0.018349067296321953), ('wear mask', 0.0181044070256906), ('people', 0.015610767919330202), ('still', 0.015536928450443674), ('wearing mask', 0.013864374054046462), ('im', 0.012975857987361037), ('wear one', 0.012154548852422845)]",neutral,"['mask', 'wear', 'wearing', 'masks', 'wear mask', 'people', 'still', 'wearing mask', 'im', 'wear one ']"
5,4,30,4_healthcare_health_insurance_think,"[('healthcare', 0.03030749962173787), ('health', 0.028704165056005395), ('insurance', 0.028005894514745652), ('think', 0.027627231605062228), ('health insurance', 0.027622140009510524), ('margins efficiency', 0.019871886145591464), ('margins', 0.019871886145591464), ('focusing margins efficiency', 0.019871886145591464), ('focusing margins', 0.019871886145591464), ('focusing', 0.019240831474238797)]",neutral,"['healthcare', 'health', 'insurance', 'think', 'health insurance', 'margins efficiency', 'margins', 'focusing margins efficiency', 'focusing margins', 'focusing ']"
6,5,25,5_climate_health_energy_air,"[('climate', 0.04498794979574423), ('health', 0.024492140835830692), ('energy', 0.021899963052803045), ('air', 0.01885067319242952), ('energy efficiency', 0.018570750743201546), ('green', 0.01843824822063415), ('cities', 0.016739392210261543), ('efficiency', 0.016428387589606033), ('green spaces', 0.014498417291199876), ('climatechange', 0.014498417291199876)]",neutral,"['climate', 'health', 'energy', 'air', 'energy efficiency', 'green', 'cities', 'efficiency', 'green spaces', 'climatechange ']"
7,6,24,6_coronavirus_corona_like_point,"[('coronavirus', 0.06475938946940846), ('corona', 0.02997378902438165), ('like', 0.022173593720270102), ('point', 0.01964536943441717), ('crisis', 0.01809160189405223), ('say', 0.017691877215238128), ('public', 0.01744360462471272), ('singapore', 0.01734617460578514), ('better', 0.017158348493143925), ('covid19', 0.016630191417142302)]",neutral,"['coronavirus', 'corona', 'like', 'point', 'crisis', 'say', 'public', 'singapore', 'better', 'covid ']"
8,7,24,7_covid19_health measures_public health measures_public health,"[('covid19', 0.07034736443992658), ('health measures', 0.06381093552303008), ('public health measures', 0.05893450750818778), ('public health', 0.05041312008834556), ('measures covid19', 0.04936362388211762), ('measures covid19 bmj', 0.04936362388211762), ('18 november 2021', 0.04936362388211762), ('bmj 18 november', 0.04936362388211762), ('bmj 18', 0.04936362388211762), ('covid19 bmj', 0.04936362388211762)]",neutral,"['covid', 'health measures', 'public health measures', 'public health', 'measures covid', 'measures covid bmj', ' november', ' bmj', 'november', 'bmj', ' covid bmj ']"
9,8,16,8_pregnancy_months life_familymedicine mothers babies_familymedicine,"[('pregnancy', 0.08997081251237293), ('months life', 0.051600328281173204), ('familymedicine mothers babies', 0.051600328281173204), ('familymedicine', 0.051600328281173204), ('pediatrics', 0.051600328281173204), ('obgyn health publichealth', 0.051600328281173204), ('obgyn health', 0.051600328281173204), ('familymedicine mothers', 0.051600328281173204), ('norway pediatrics obgyn', 0.051600328281173204), ('norway pediatrics', 0.051600328281173204)]",neutral,"['pregnancy', 'months life', 'familymedicine mothers babies', 'familymedicine', 'pediatrics', 'obgyn health publichealth', 'obgyn health', 'familymedicine mothers', 'norway pediatrics obgyn', 'norway pediatrics ']"
10,9,16,9_covid_test_pcr test_covid test,"[('covid', 0.06084897807389063), ('test', 0.060357863371874675), ('pcr test', 0.03902492979471245), ('covid test', 0.03902492979471245), ('pcr', 0.036636758164431155), ('sister', 0.026016619863141636), ('still', 0.024917138940682038), ('morocco next', 0.02155516907010247), ('morocco next week', 0.02155516907010247), ('test please help', 0.02155516907010247)]",neutral,"['covid', 'test', 'pcr test', 'covid test', 'pcr', 'sister', 'still', 'morocco next', 'morocco next week', 'test please help ']"
11,10,15,10_airlines_check_brussels_next,"[('airlines', 0.035962030255422515), ('check', 0.03349067741676832), ('brussels', 0.03285677517921207), ('next', 0.02969413444377477), ('sky', 0.028769624204338016), ('well', 0.02565622779219755), ('safe', 0.02471832436681998), ('air', 0.024128861686309788), ('trips', 0.023197467665919805), ('morning assume air', 0.023197467665919805)]",neutral,"['airlines', 'check', 'brussels', 'next', 'sky', 'well', 'safe', 'air', 'trips', 'morning assume air ']"
12,11,14,11_committee_food safety_health food safety_health food,"[('committee', 0.23353102369228537), ('food safety', 0.09343207752401074), ('health food safety', 0.09343207752401074), ('health food', 0.09012258783139586), ('committee environment', 0.08742314397893537), ('environment public', 0.08742314397893537), ('environment public health', 0.08742314397893537), ('safety committee', 0.08742314397893537), ('food safety committee', 0.08742314397893537), ('public health food', 0.08742314397893537)]",neutral,"['committee', 'food safety', 'health food safety', 'health food', 'committee environment', 'environment public', 'environment public health', 'safety committee', 'food safety committee', 'public health food ']"
13,12,14,12_symptoms_long_covid_long covid,"[('symptoms', 0.07328427353207863), ('long', 0.06330729170754013), ('covid', 0.05511034882994636), ('long covid', 0.05353206645921205), ('days onset', 0.04751095621610954), ('onset symptoms', 0.04751095621610954), ('onset', 0.04751095621610954), ('days onset symptoms', 0.04751095621610954), ('syndrome', 0.03709239753687684), ('may', 0.035417559203546584)]",neutral,"['symptoms', 'long', 'covid', 'long covid', 'days onset', 'onset symptoms', 'onset', 'days onset symptoms', 'syndrome', 'may ']"
