Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2178,-1_health_covid19_people_care,"[('health', 0.006586628267210387), ('covid19', 0.0049825616669604104), ('people', 0.0043099516590353465), ('care', 0.0037799144779846316), ('coronavirus', 0.0036317829321572234), ('mental', 0.003571267651223007), ('mental health', 0.0033695641100082857), ('covid', 0.00320112471488812), ('dont', 0.0030351012282832934), ('like', 0.0029163800341552282)]",negative,"['health', 'covid', 'people', 'care', 'coronavirus', 'mental', 'mental health', 'covid', 'dont', 'like ']"
1,0,772,0_nurses_nurse_people_health,"[('nurses', 0.007492182603616151), ('nurse', 0.006335255798899101), ('people', 0.005722156587453996), ('health', 0.005277381551074612), ('deaths', 0.0049836745105464875), ('care', 0.00481899044493199), ('doctors', 0.004636385216878703), ('covid19', 0.004241002824425494), ('died', 0.004190159983251122), ('belgium', 0.004125253527938554)]",negative,"['nurses', 'nurse', 'people', 'health', 'deaths', 'care', 'doctors', 'covid', 'died', 'belgium ']"
2,1,215,1_vaccine_vaccinated_vaccines_vaccination,"[('vaccine', 0.025554859095974044), ('vaccinated', 0.012486099813238455), ('vaccines', 0.012098554567135078), ('vaccination', 0.010675578801699436), ('risk', 0.009447444212610774), ('covid', 0.007979343130952792), ('people', 0.007307431336795302), ('get', 0.006975951670412588), ('healthy', 0.006473300823717374), ('dont', 0.005537526862208787)]",negative,"['vaccine', 'vaccinated', 'vaccines', 'vaccination', 'risk', 'covid', 'people', 'get', 'healthy', 'dont ']"
3,2,150,2_mask_masks_wear_wearing,"[('mask', 0.04131576397348632), ('masks', 0.020043355598025604), ('wear', 0.01577284616617288), ('wearing', 0.015421831255205298), ('face', 0.013994549256308325), ('face mask', 0.012849839557374438), ('wearing mask', 0.0103620655622247), ('medical', 0.00764141211061511), ('wear face', 0.007009813469700158), ('facemask', 0.0065796232868888666)]",negative,"['mask', 'masks', 'wear', 'wearing', 'face', 'face mask', 'wearing mask', 'medical', 'wear face', 'facemask ']"
4,3,136,3_mental_mental health_health_stress,"[('mental', 0.042696255943773354), ('mental health', 0.04147342622260149), ('health', 0.01581174667217659), ('stress', 0.012477162339583093), ('mentalhealth', 0.011000375545077655), ('depression', 0.009606328260496209), ('anxiety', 0.00869294550028686), ('mental health issues', 0.008304780903569824), ('mentalhealthawareness', 0.007221262190117894), ('issues', 0.00715116679371743)]",negative,"['mental', 'mental health', 'health', 'stress', 'mentalhealth', 'depression', 'anxiety', 'mental health issues', 'mentalhealthawareness', 'issues ']"
5,4,103,4_guns_gun_weapons_mental,"[('guns', 0.025796776207673587), ('gun', 0.021089158184153873), ('weapons', 0.01732323707984068), ('mental', 0.01696861829999514), ('mental health', 0.01511078699842553), ('shootings', 0.009754378876723578), ('police', 0.009064173227288114), ('health', 0.00782397119633251), ('shooting', 0.007663711744959148), ('mass', 0.007589023428691283)]",negative,"['guns', 'gun', 'weapons', 'mental', 'mental health', 'shootings', 'police', 'health', 'shooting', 'mass ']"
6,5,96,5_donaldtrump_gop_republicans_joebiden,"[('donaldtrump', 0.03521068095999112), ('gop', 0.035053506287431806), ('republicans', 0.033198642047991625), ('joebiden', 0.02729175535817624), ('gop republicans', 0.026996954203235998), ('trump', 0.026603132659098788), ('coronavirus', 0.026191776641581493), ('republicans joebiden', 0.023545292607990688), ('gop republicans joebiden', 0.01997799777871614), ('donaldtrump gop', 0.018967041267548054)]",negative,"['donaldtrump', 'gop', 'republicans', 'joebiden', 'gop republicans', 'trump', 'coronavirus', 'republicans joebiden', 'gop republicans joebiden', 'donaldtrump gop ']"
7,6,70,6_prisoners_detention_prison_libya,"[('prisoners', 0.01954148606458364), ('detention', 0.014302142852638897), ('prison', 0.013120013983957816), ('libya', 0.010591138782316982), ('displaced', 0.010512629577018423), ('children', 0.009558498795579002), ('refugees', 0.009198550879891122), ('asylum', 0.00885718519388886), ('people', 0.008430050089171701), ('150000', 0.007884472182763818)]",negative,"['prisoners', 'detention', 'prison', 'libya', 'displaced', 'children', 'refugees', 'asylum', 'people', ' ']"
8,7,65,7_lockdown_coronavirus lockdown_coronavirus_lock,"[('lockdown', 0.050747443670798774), ('coronavirus lockdown', 0.012724391889529518), ('coronavirus', 0.011503554234628949), ('lock', 0.011353170475260395), ('lockdown working theres', 0.009650856180331346), ('know coronavirus lockdown', 0.009650856180331346), ('know coronavirus', 0.009650856180331346), ('lockdown working', 0.009650856180331346), ('italian doctors dont', 0.009650856180331346), ('dont know coronavirus', 0.009650856180331346)]",negative,"['lockdown', 'coronavirus lockdown', 'coronavirus', 'lock', 'lockdown working theres', 'know coronavirus lockdown', 'know coronavirus', 'lockdown working', 'italian doctors dont', 'dont know coronavirus ']"
9,8,64,8_coronavirus_covid19_corona_covid19 coronavirus,"[('coronavirus', 0.026019099822803538), ('covid19', 0.01522778079363807), ('corona', 0.011742265751661393), ('covid19 coronavirus', 0.011535122176354247), ('global', 0.011323569780810214), ('indias', 0.010468938230725259), ('coronavirusupdate', 0.008965989483748962), ('coronavirus covid19', 0.00881283042882528), ('coronaviruspandemic', 0.00821757301256564), ('coronavirus covid19outbreak', 0.008084670091229523)]",negative,"['coronavirus', 'covid', 'corona', 'covid coronavirus', 'global', 'indias', 'coronavirusupdate', 'coronavirus covid', 'coronaviruspandemic', 'coronavirus covidoutbreak ']"
10,9,60,9_car_safety car_safety_monacogp,"[('car', 0.04203582823411144), ('safety car', 0.04107226204644771), ('safety', 0.03243650541334756), ('monacogp', 0.027496373230777596), ('f1', 0.019011202569685793), ('race', 0.01686343381798605), ('verstappen', 0.015494954778149155), ('stewards', 0.013614736489464362), ('perez', 0.013614736489464362), ('ferrari', 0.013281389809842132)]",negative,"['car', 'safety car', 'safety', 'monacogp', 'f', 'race', 'verstappen', 'stewards', 'perez', 'ferrari ']"
11,10,60,10_tobacco_pollution_smoking_air,"[('tobacco', 0.03108339761619912), ('pollution', 0.02360305389495933), ('smoking', 0.018482208393257232), ('air', 0.016672831869295017), ('industry', 0.012197888294306005), ('air pollution', 0.012151098776747384), ('health', 0.0110430206002118), ('oil', 0.008724824604109964), ('filters', 0.008490712397326372), ('fossil', 0.008175615171686464)]",negative,"['tobacco', 'pollution', 'smoking', 'air', 'industry', 'air pollution', 'health', 'oil', 'filters', 'fossil ']"
12,11,59,11_worker_workers_wages_salary,"[('worker', 0.031930109828180356), ('workers', 0.021698744505877162), ('wages', 0.015521822685186672), ('salary', 0.01300185573071905), ('dont', 0.01138118447212649), ('working', 0.009771135459743676), ('factory', 0.009571259802386378), ('robots', 0.00910272602975368), ('would', 0.00852843699229885), ('money', 0.008371387147506648)]",negative,"['worker', 'workers', 'wages', 'salary', 'dont', 'working', 'factory', 'robots', 'would', 'money ']"
13,12,57,12_amp_canceled_safe_safe amp,"[('amp', 0.04163822791478308), ('canceled', 0.014204706303583762), ('safe', 0.009922544336168869), ('safe amp', 0.009777509626155766), ('last', 0.008615795011376009), ('book', 0.007577910475070152), ('workhygiene', 0.00755071220205433), ('coronahair', 0.00755071220205433), ('coronafree coronahairstylist', 0.00755071220205433), ('coronafree coronahairstylist coronahair', 0.00755071220205433)]",negative,"['amp', 'canceled', 'safe', 'safe amp', 'last', 'book', 'workhygiene', 'coronahair', 'coronafree coronahairstylist', 'coronafree coronahairstylist coronahair ']"
14,13,53,13_working paper_oil_unemployment_showed clearly lockdowns,"[('working paper', 0.013169284770010748), ('oil', 0.012607880367142327), ('unemployment', 0.011684692675878326), ('showed clearly lockdowns', 0.011571272357067779), ('january john', 0.011571272357067779), ('enterprise published', 0.011571272357067779), ('john hopkins institute', 0.011571272357067779), ('clearly lockdowns across', 0.011571272357067779), ('january john hopkins', 0.011571272357067779), ('business enterprise published', 0.011571272357067779)]",negative,"['working paper', 'oil', 'unemployment', 'showed clearly lockdowns', 'january john', 'enterprise published', 'john hopkins institute', 'clearly lockdowns across', 'january john hopkins', 'business enterprise published ']"
15,14,43,14_dutch_coronavirus_netherlands_amsterdam,"[('dutch', 0.03580086081360197), ('coronavirus', 0.020828559260221976), ('netherlands', 0.01978756343482553), ('amsterdam', 0.013950044535208208), ('stay home dutch', 0.011273566511537502), ('home dutch', 0.011273566511537502), ('dutch government', 0.011178843572641503), ('corona', 0.010915903180853363), ('stay home', 0.010767867332450711), ('dutch health', 0.010418759376922783)]",negative,"['dutch', 'coronavirus', 'netherlands', 'amsterdam', 'stay home dutch', 'home dutch', 'dutch government', 'corona', 'stay home', 'dutch health ']"
16,15,42,15_protest_protesters_protests_law,"[('protest', 0.03642063961615045), ('protesters', 0.030606658388956806), ('protests', 0.015908320964491733), ('law', 0.013665566625269816), ('police', 0.013358732426825322), ('crackdown law', 0.01094158418481738), ('protest crackdown', 0.01094158418481738), ('protest crackdown law', 0.01094158418481738), ('health pass', 0.010279265259530148), ('antilockdown', 0.009809637783217806)]",negative,"['protest', 'protesters', 'protests', 'law', 'police', 'crackdown law', 'protest crackdown', 'protest crackdown law', 'health pass', 'antilockdown ']"
17,16,42,16_healthy_stay healthy_stay_races,"[('healthy', 0.020012863160902804), ('stay healthy', 0.019216925158006857), ('stay', 0.01590204924330409), ('races', 0.015755107969304176), ('bike', 0.014125185147212916), ('health', 0.012653643601865246), ('healthy togetherness world', 0.012324052875363872), ('healthy togetherness', 0.012324052875363872), ('hours bike wish', 0.012324052875363872), ('time hours bike', 0.012324052875363872)]",negative,"['healthy', 'stay healthy', 'stay', 'races', 'bike', 'health', 'healthy togetherness world', 'healthy togetherness', 'hours bike wish', 'time hours bike ']"
18,17,41,17_pandemic_social_public_public health,"[('pandemic', 0.015916955883379658), ('social', 0.013095681396210805), ('public', 0.012550230513815536), ('public health', 0.012320824679507432), ('social distancing', 0.012269834243889709), ('distancing', 0.01216499537339095), ('us change', 0.011063760683159013), ('covid', 0.010967707547064678), ('none', 0.01022486186990809), ('change', 0.00950945132075052)]",negative,"['pandemic', 'social', 'public', 'public health', 'social distancing', 'distancing', 'us change', 'covid', 'none', 'change ']"
19,18,38,18_climate_deal_war_costs,"[('climate', 0.01580616482809456), ('deal', 0.013716776892791405), ('war', 0.013498127957288296), ('costs', 0.013041704020196594), ('environmental', 0.010964547806883936), ('integrate', 0.010491048365442545), ('destroying add land', 0.010491048365442545), ('taiwan china', 0.010491048365442545), ('taiwan china deal', 0.010491048365442545), ('china deal covid', 0.010491048365442545)]",negative,"['climate', 'deal', 'war', 'costs', 'environmental', 'integrate', 'destroying add land', 'taiwan china', 'taiwan china deal', 'china deal covid ']"
20,19,37,19_ukraine_medical_emergency_assistance,"[('ukraine', 0.04223565966148947), ('medical', 0.0214639536717822), ('emergency', 0.0210387962939992), ('assistance', 0.0203795614324289), ('medical assistance', 0.018312219283267185), ('ukraine need', 0.018312219283267185), ('transferred', 0.017914207283373104), ('patients ukraine', 0.016090143123912427), ('500 patients', 0.016090143123912427), ('500', 0.014785197014711857)]",negative,"['ukraine', 'medical', 'emergency', 'assistance', 'medical assistance', 'ukraine need', 'transferred', 'patients ukraine', ' patients', ' ']"
21,20,37,20_headaches_fever_days_ache,"[('headaches', 0.015156789455152286), ('fever', 0.013238274385499444), ('days', 0.013089087252644611), ('ache', 0.011906466229525878), ('throat', 0.011571272357067779), ('nose', 0.011465892754328638), ('ill', 0.01133315184279766), ('fatigue', 0.011287958374294926), ('moderate', 0.010826278182251634), ('mild', 0.010298194072763918)]",negative,"['headaches', 'fever', 'days', 'ache', 'throat', 'nose', 'ill', 'fatigue', 'moderate', 'mild ']"
22,21,36,21_brussels_photography_scansfromthearchive_analogphotography,"[('brussels', 0.03690062326564996), ('photography', 0.030045608755311946), ('scansfromthearchive', 0.027993662156964944), ('analogphotography', 0.027993662156964944), ('brussels belgium', 0.027041047879780757), ('concertphotography', 0.025380491407373054), ('dailylife', 0.025380491407373054), ('scansfromthearchive lockdown', 0.025380491407373054), ('streetphotography', 0.025380491407373054), ('alexvanhee', 0.025380491407373054)]",negative,"['brussels', 'photography', 'scansfromthearchive', 'analogphotography', 'brussels belgium', 'concertphotography', 'dailylife', 'scansfromthearchive lockdown', 'streetphotography', 'alexvanhee ']"
23,22,35,22_safe_stay_please_stay safe,"[('safe', 0.020425037522104523), ('stay', 0.01963868384226779), ('please', 0.015092456948525727), ('stay safe', 0.014652216563476159), ('sorry', 0.013812379654979359), ('unki', 0.013470379321187559), ('safety', 0.01197130133591071), ('guys', 0.00979250875080118), ('take', 0.009517418090607759), ('careful', 0.009496067367959533)]",negative,"['safe', 'stay', 'please', 'stay safe', 'sorry', 'unki', 'safety', 'guys', 'take', 'careful ']"
24,23,34,23_severe covid19_patients_covid19_need quite lot,"[('severe covid19', 0.017643527338060287), ('patients', 0.017239770528455812), ('covid19', 0.01666477565190664), ('need quite lot', 0.015401366339596139), ('kings hospital', 0.015401366339596139), ('apungu', 0.015401366339596139), ('became completely untenable', 0.015401366339596139), ('untenable', 0.015401366339596139), ('untenable afterward', 0.015401366339596139), ('wenceslaus apungu', 0.015401366339596139)]",negative,"['severe covid', 'patients', 'covid', 'need quite lot', 'kings hospital', 'apungu', 'became completely untenable', 'untenable', 'untenable afterward', 'wenceslaus apungu ']"
25,24,33,24_privacy_gdpr_data_contacttracing,"[('privacy', 0.050968089777534004), ('gdpr', 0.03751539593401546), ('data', 0.028972350401484114), ('contacttracing', 0.02727289646844911), ('dataprotection', 0.02100458467391992), ('apps', 0.019480640334606506), ('tracing', 0.019098989775707072), ('covid19 privacy', 0.01738282867568453), ('contacttracing apps', 0.01738282867568453), ('era', 0.016803667739135938)]",negative,"['privacy', 'gdpr', 'data', 'contacttracing', 'dataprotection', 'apps', 'tracing', 'covid privacy', 'contacttracing apps', 'era ']"
26,25,32,25_food_banks print_central banks print_central banks,"[('food', 0.0854667474357406), ('banks print', 0.07339944785091469), ('central banks print', 0.07339944785091469), ('central banks', 0.07339944785091469), ('banks print food', 0.07339944785091469), ('central', 0.07244553090552029), ('banks', 0.07069702087490201), ('print food', 0.06518915257585765), ('print', 0.06490233638070127), ('unrest rage around', 0.059863361386432376)]",negative,"['food', 'banks print', 'central banks print', 'central banks', 'banks print food', 'central', 'banks', 'print food', 'print', 'unrest rage around ']"
