Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,2457,-1_health_covid19_amp_care,"[('health', 0.011400951387671944), ('covid19', 0.007542992178060286), ('amp', 0.00660835537064351), ('care', 0.005138881874226428), ('healthcare', 0.0044665217232782006), ('people', 0.004286969998415658), ('good', 0.0041026624402392235), ('safe', 0.0037693471380119675), ('day', 0.0036281454931006095), ('work', 0.0035554661461122735)]",positive,"['health', 'covid', 'amp', 'care', 'healthcare', 'people', 'good', 'safe', 'day', 'work ']"
1,0,3350,0_health_covid19_amp_care,"[('health', 0.012088396835265781), ('covid19', 0.008588525215573092), ('amp', 0.006644636059479217), ('care', 0.0063007200288112955), ('mental', 0.006233531995185373), ('mental health', 0.006109671687147254), ('safe', 0.0057460905599854215), ('good', 0.0053183927328337875), ('stay', 0.004977523651774068), ('healthcare', 0.004601792336654045)]",positive,"['health', 'covid', 'amp', 'care', 'mental', 'mental health', 'safe', 'good', 'stay', 'healthcare ']"
2,1,92,1_cycling_bike_worldbicycleday_bicycle,"[('cycling', 0.036644783951804816), ('bike', 0.02337586529820895), ('worldbicycleday', 0.0168240969483748), ('bicycle', 0.015338911326874665), ('mobility', 0.01229341159034889), ('health', 0.010988830451632849), ('car', 0.009399728967569965), ('benefits', 0.0093431651063384), ('safety', 0.00894949536974249), ('infrastructure', 0.008710590005254789)]",positive,"['cycling', 'bike', 'worldbicycleday', 'bicycle', 'mobility', 'health', 'car', 'benefits', 'safety', 'infrastructure ']"
3,2,85,2_food_health_dietary_amp,"[('food', 0.04453770259085314), ('health', 0.013626261944451816), ('dietary', 0.01020935043217573), ('amp', 0.01000832397252925), ('eat', 0.009395678178116278), ('nutrition', 0.009395678178116278), ('healthy', 0.009392677203525124), ('foodsafety', 0.008945696855422559), ('diets', 0.008433311339997498), ('eating', 0.008394424875720494)]",positive,"['food', 'health', 'dietary', 'amp', 'eat', 'nutrition', 'healthy', 'foodsafety', 'diets', 'eating ']"
4,3,83,3_mask_masks_wear_wear mask,"[('mask', 0.06760913857351204), ('masks', 0.03253022632519802), ('wear', 0.032079354907124054), ('wear mask', 0.02417650815520457), ('wearing', 0.015086413214115977), ('covid', 0.009847171974464304), ('mondkapje', 0.00961440466590082), ('people', 0.008719453346709967), ('face', 0.008704671573048384), ('wearing masks', 0.00840138224259527)]",positive,"['mask', 'masks', 'wear', 'wear mask', 'wearing', 'covid', 'mondkapje', 'people', 'face', 'wearing masks ']"
5,4,77,4_climate_health_naturematters_climate change,"[('climate', 0.034775283380920695), ('health', 0.016597164972402406), ('naturematters', 0.01632864829352934), ('climate change', 0.014582200872586892), ('environmental', 0.014200276700533065), ('planet', 0.01267416480863491), ('standards', 0.012329288402496929), ('nature', 0.01230663602008838), ('change', 0.012083666987097124), ('health environmental', 0.01156909708916419)]",positive,"['climate', 'health', 'naturematters', 'climate change', 'environmental', 'planet', 'standards', 'nature', 'change', 'health environmental ']"
6,5,55,5_hiking_path_netherlands_hiking healthy,"[('hiking', 0.17713082794635954), ('path', 0.07305903150847849), ('netherlands', 0.06022925247411778), ('hiking healthy', 0.0493210524411763), ('hiking path', 0.04885482265005157), ('outdoor', 0.04761286427114739), ('hiking dutch', 0.04688529438126505), ('hiking path netherlands', 0.04441958994930429), ('path netherlands', 0.04441958994930429), ('long distance', 0.04192193081255499)]",positive,"['hiking', 'path', 'netherlands', 'hiking healthy', 'hiking path', 'outdoor', 'hiking dutch', 'hiking path netherlands', 'path netherlands', 'long distance ']"
7,6,54,6_fb_insta_take look insta_pages visit,"[('fb', 0.07625461522395328), ('insta', 0.0757997280600546), ('take look insta', 0.07429117204059295), ('pages visit', 0.07429117204059295), ('look insta fb', 0.07429117204059295), ('look insta', 0.07429117204059295), ('insta fb pages', 0.07429117204059295), ('insta fb', 0.07429117204059295), ('pages visit shops', 0.07429117204059295), ('fb pages visit', 0.07429117204059295)]",positive,"['fb', 'insta', 'take look insta', 'pages visit', 'look insta fb', 'look insta', 'insta fb pages', 'insta fb', 'pages visit shops', 'fb pages visit ']"
8,7,49,7_stay_danyfication_fashion_shopdany tongeren danyfication,"[('stay', 0.07284800349346382), ('danyfication', 0.05817054699896541), ('fashion', 0.05581897912421359), ('shopdany tongeren danyfication', 0.05351016708587069), ('fashion mode 5decadesdany', 0.05351016708587069), ('tongeren danyfication', 0.05351016708587069), ('tongeren danyfication boutiquedany', 0.05351016708587069), ('5decadesdany', 0.05351016708587069), ('danyblue shopdany', 0.05351016708587069), ('boutiquedany fashion mode', 0.05351016708587069)]",positive,"['stay', 'danyfication', 'fashion', 'shopdany tongeren danyfication', 'fashion mode decadesdany', 'tongeren danyfication', 'tongeren danyfication boutiquedany', 'decadesdany', 'danyblue shopdany', 'boutiquedany fashion mode ']"
9,8,39,8_dank_thanks_thanks dank_thank,"[('dank', 0.16791095898742486), ('thanks', 0.15532368947086067), ('thanks dank', 0.13845843457035556), ('thank', 0.11369785902227544), ('appreciate', 0.09980642823745682), ('back wow isnt', 0.07564462557151713), ('wonderful thanks', 0.07564462557151713), ('wonderful thanks dank', 0.07564462557151713), ('wow isnt', 0.07564462557151713), ('welcome back wow', 0.07564462557151713)]",positive,"['dank', 'thanks', 'thanks dank', 'thank', 'appreciate', 'back wow isnt', 'wonderful thanks', 'wonderful thanks dank', 'wow isnt', 'welcome back wow ']"
